Filter, ID, Time_ms, Average_time
100, 0, 189, 0
0, 1, 156, 0
0, 2, 156, 0
0, 3, 159, 0
0, 4, 154, 0
0, 5, 154, 0
0, 6, 150, 0
0, 7, 157, 0
0, 8, 158, 0
0, 9, 159, 0
0, 10, 147, 0
0, 11, 164, 0
0, 12, 154, 0
0, 13, 144, 0
0, 14, 143, 0
0, 15, 152, 0
0, 16, 139, 0
0, 17, 151, 0
0, 18, 146, 0
0, 19, 151, 0
0, 20, 155, 0
0, 21, 159, 0
0, 22, 145, 0
0, 23, 166, 0
0, 24, 160, 0
0, 25, 156, 0
0, 26, 150, 0
0, 27, 170, 0
0, 28, 163, 0
0, 29, 161, 0
0, 0, 0, 156
110, 0, 160, 0
0, 1, 191, 0
0, 2, 179, 0
0, 3, 169, 0
0, 4, 182, 0
0, 5, 180, 0
0, 6, 176, 0
0, 7, 182, 0
0, 8, 192, 0
0, 9, 170, 0
0, 10, 197, 0
0, 11, 174, 0
0, 12, 169, 0
0, 13, 182, 0
0, 14, 171, 0
0, 15, 162, 0
0, 16, 191, 0
0, 17, 170, 0
0, 18, 175, 0
0, 19, 187, 0
0, 20, 172, 0
0, 21, 169, 0
0, 22, 186, 0
0, 23, 173, 0
0, 24, 175, 0
0, 25, 185, 0
0, 26, 170, 0
0, 27, 168, 0
0, 28, 184, 0
0, 29, 174, 0
0, 0, 0, 177
120, 0, 192, 0
0, 1, 207, 0
0, 2, 194, 0
0, 3, 200, 0
0, 4, 203, 0
0, 5, 205, 0
0, 6, 194, 0
0, 7, 210, 0
0, 8, 204, 0
0, 9, 200, 0
0, 10, 219, 0
0, 11, 194, 0
0, 12, 196, 0
0, 13, 196, 0
0, 14, 188, 0
0, 15, 193, 0
0, 16, 191, 0
0, 17, 194, 0
0, 18, 180, 0
0, 19, 189, 0
0, 20, 183, 0
0, 21, 188, 0
0, 22, 200, 0
0, 23, 186, 0
0, 24, 182, 0
0, 25, 218, 0
0, 26, 188, 0
0, 27, 193, 0
0, 28, 200, 0
0, 29, 190, 0
0, 0, 0, 196
130, 0, 209, 0
0, 1, 219, 0
0, 2, 211, 0
0, 3, 216, 0
0, 4, 216, 0
0, 5, 213, 0
0, 6, 204, 0
0, 7, 228, 0
0, 8, 210, 0
0, 9, 202, 0
0, 10, 222, 0
0, 11, 209, 0
0, 12, 210, 0
0, 13, 213, 0
0, 14, 203, 0
0, 15, 202, 0
0, 16, 222, 0
0, 17, 216, 0
0, 18, 201, 0
0, 19, 239, 0
0, 20, 197, 0
0, 21, 202, 0
0, 22, 225, 0
0, 23, 196, 0
0, 24, 201, 0
0, 25, 201, 0
0, 26, 197, 0
0, 27, 211, 0
0, 28, 228, 0
0, 29, 210, 0
0, 0, 0, 211
140, 0, 240, 0
0, 1, 237, 0
0, 2, 222, 0
0, 3, 220, 0
0, 4, 240, 0
0, 5, 230, 0
0, 6, 212, 0
0, 7, 228, 0
0, 8, 226, 0
0, 9, 221, 0
0, 10, 232, 0
0, 11, 221, 0
0, 12, 216, 0
0, 13, 235, 0
0, 14, 233, 0
0, 15, 219, 0
0, 16, 239, 0
0, 17, 219, 0
0, 18, 221, 0
0, 19, 238, 0
0, 20, 222, 0
0, 21, 215, 0
0, 22, 233, 0
0, 23, 218, 0
0, 24, 220, 0
0, 25, 241, 0
0, 26, 218, 0
0, 27, 214, 0
0, 28, 239, 0
0, 29, 205, 0
0, 0, 0, 226
150, 0, 232, 0
0, 1, 273, 0
0, 2, 254, 0
0, 3, 229, 0
0, 4, 249, 0
0, 5, 236, 0
0, 6, 233, 0
0, 7, 242, 0
0, 8, 222, 0
0, 9, 230, 0
0, 10, 251, 0
0, 11, 228, 0
0, 12, 240, 0
0, 13, 242, 0
0, 14, 244, 0
0, 15, 229, 0
0, 16, 243, 0
0, 17, 242, 0
0, 18, 232, 0
0, 19, 241, 0
0, 20, 226, 0
0, 21, 250, 0
0, 22, 241, 0
0, 23, 228, 0
0, 24, 229, 0
0, 25, 243, 0
0, 26, 232, 0
0, 27, 255, 0
0, 28, 245, 0
0, 29, 248, 0
0, 0, 0, 240
160, 0, 255, 0
0, 1, 258, 0
0, 2, 253, 0
0, 3, 280, 0
0, 4, 272, 0
0, 5, 246, 0
0, 6, 243, 0
0, 7, 257, 0
0, 8, 241, 0
0, 9, 266, 0
0, 10, 267, 0
0, 11, 285, 0
0, 12, 259, 0
0, 13, 272, 0
0, 14, 264, 0
0, 15, 244, 0
0, 16, 256, 0
0, 17, 246, 0
0, 18, 252, 0
0, 19, 259, 0
0, 20, 240, 0
0, 21, 244, 0
0, 22, 256, 0
0, 23, 244, 0
0, 24, 253, 0
0, 25, 263, 0
0, 26, 246, 0
0, 27, 241, 0
0, 28, 268, 0
0, 29, 290, 0
0, 0, 0, 257
170, 0, 288, 0
0, 1, 289, 0
0, 2, 279, 0
0, 3, 276, 0
0, 4, 286, 0
0, 5, 265, 0
0, 6, 288, 0
0, 7, 287, 0
0, 8, 267, 0
0, 9, 264, 0
0, 10, 283, 0
0, 11, 266, 0
0, 12, 270, 0
0, 13, 291, 0
0, 14, 261, 0
0, 15, 272, 0
0, 16, 278, 0
0, 17, 269, 0
0, 18, 265, 0
0, 19, 272, 0
0, 20, 262, 0
0, 21, 257, 0
0, 22, 272, 0
0, 23, 261, 0
0, 24, 288, 0
0, 25, 270, 0
0, 26, 263, 0
0, 27, 261, 0
0, 28, 286, 0
0, 29, 252, 0
0, 0, 0, 273
180, 0, 283, 0
0, 1, 294, 0
0, 2, 281, 0
0, 3, 275, 0
0, 4, 294, 0
0, 5, 288, 0
0, 6, 284, 0
0, 7, 306, 0
0, 8, 272, 0
0, 9, 265, 0
0, 10, 292, 0
0, 11, 269, 0
0, 12, 276, 0
0, 13, 288, 0
0, 14, 273, 0
0, 15, 281, 0
0, 16, 293, 0
0, 17, 275, 0
0, 18, 280, 0
0, 19, 300, 0
0, 20, 262, 0
0, 21, 279, 0
0, 22, 296, 0
0, 23, 266, 0
0, 24, 287, 0
0, 25, 297, 0
0, 26, 271, 0
0, 27, 270, 0
0, 28, 294, 0
0, 29, 260, 0
0, 0, 0, 282
190, 0, 302, 0
0, 1, 320, 0
0, 2, 303, 0
0, 3, 325, 0
0, 4, 326, 0
0, 5, 313, 0
0, 6, 295, 0
0, 7, 316, 0
0, 8, 297, 0
0, 9, 320, 0
0, 10, 320, 0
0, 11, 305, 0
0, 12, 296, 0
0, 13, 316, 0
0, 14, 289, 0
0, 15, 303, 0
0, 16, 324, 0
0, 17, 289, 0
0, 18, 302, 0
0, 19, 317, 0
0, 20, 292, 0
0, 21, 300, 0
0, 22, 321, 0
0, 23, 298, 0
0, 24, 310, 0
0, 25, 306, 0
0, 26, 290, 0
0, 27, 297, 0
0, 28, 307, 0
0, 29, 292, 0
0, 0, 0, 306
200, 0, 316, 0
0, 1, 334, 0
0, 2, 313, 0
0, 3, 307, 0
0, 4, 329, 0
0, 5, 326, 0
0, 6, 315, 0
0, 7, 348, 0
0, 8, 348, 0
0, 9, 302, 0
0, 10, 320, 0
