Filter, ID, Time_ms, Average_time
50, 1, 32, 0
0, 2, 32, 0
0, 3, 32, 0
0, 4, 32, 0
0, 5, 32, 0
0, 6, 32, 0
0, 7, 32, 0
0, 8, 32, 0
0, 9, 32, 0
0, 10, 32, 0
0, 11, 32, 0
0, 12, 32, 0
0, 13, 32, 0
0, 14, 32, 0
0, 15, 32, 0
0, 16, 32, 0
0, 17, 32, 0
0, 18, 32, 0
0, 19, 33, 0
0, 20, 32, 0
0, 21, 32, 0
0, 22, 32, 0
0, 23, 32, 0
0, 24, 32, 0
0, 25, 32, 0
0, 26, 32, 0
0, 27, 32, 0
0, 28, 32, 0
0, 29, 32, 0
0, 30, 32, 0
0, 0, 0, 32
100, 1, 66, 0
0, 2, 62, 0
0, 3, 63, 0
0, 4, 62, 0
0, 5, 62, 0
0, 6, 63, 0
0, 7, 64, 0
0, 8, 63, 0
0, 9, 62, 0
0, 10, 62, 0
0, 11, 64, 0
0, 12, 61, 0
0, 13, 61, 0
0, 14, 61, 0
0, 15, 61, 0
0, 16, 61, 0
0, 17, 62, 0
0, 18, 64, 0
0, 19, 62, 0
0, 20, 62, 0
0, 21, 62, 0
0, 22, 62, 0
0, 23, 62, 0
0, 24, 62, 0
0, 25, 61, 0
0, 26, 61, 0
0, 27, 62, 0
0, 28, 62, 0
0, 29, 63, 0
0, 30, 62, 0
0, 0, 0, 62
150, 1, 95, 0
0, 2, 92, 0
0, 3, 93, 0
0, 4, 92, 0
0, 5, 94, 0
0, 6, 94, 0
0, 7, 93, 0
0, 8, 94, 0
0, 9, 92, 0
0, 10, 93, 0
0, 11, 93, 0
0, 12, 95, 0
0, 13, 94, 0
0, 14, 92, 0
0, 15, 93, 0
0, 16, 92, 0
0, 17, 93, 0
0, 18, 92, 0
0, 19, 93, 0
0, 20, 94, 0
0, 21, 92, 0
0, 22, 92, 0
0, 23, 93, 0
0, 24, 93, 0
0, 25, 94, 0
0, 26, 93, 0
0, 27, 93, 0
0, 28, 93, 0
0, 29, 93, 0
0, 30, 93, 0
0, 0, 0, 93
200, 1, 124, 0
0, 2, 124, 0
0, 3, 124, 0
0, 4, 124, 0
0, 5, 125, 0
0, 6, 128, 0
0, 7, 125, 0
0, 8, 126, 0
0, 9, 125, 0
0, 10, 123, 0
0, 11, 123, 0
0, 12, 128, 0
0, 13, 124, 0
0, 14, 123, 0
0, 15, 125, 0
0, 16, 124, 0
0, 17, 125, 0
0, 18, 124, 0
0, 19, 124, 0
0, 20, 125, 0
0, 21, 124, 0
0, 22, 126, 0
0, 23, 123, 0
0, 24, 124, 0
0, 25, 123, 0
0, 26, 124, 0
0, 27, 124, 0
0, 28, 125, 0
0, 29, 124, 0
0, 30, 124, 0
0, 0, 0, 124
250, 1, 154, 0
0, 2, 155, 0
0, 3, 155, 0
0, 4, 155, 0
0, 5, 154, 0
0, 6, 154, 0
0, 7, 156, 0
0, 8, 155, 0
0, 9, 155, 0
0, 10, 154, 0
0, 11, 154, 0
0, 12, 154, 0
0, 13, 157, 0
0, 14, 156, 0
0, 15, 154, 0
0, 16, 154, 0
0, 17, 155, 0
0, 18, 155, 0
0, 19, 155, 0
0, 20, 157, 0
0, 21, 155, 0
0, 22, 154, 0
0, 23, 155, 0
0, 24, 154, 0
0, 25, 155, 0
0, 26, 154, 0
0, 27, 156, 0
0, 28, 154, 0
0, 29, 154, 0
0, 30, 154, 0
0, 0, 0, 154
300, 1, 185, 0
0, 2, 184, 0
0, 3, 184, 0
0, 4, 186, 0
0, 5, 184, 0
0, 6, 185, 0
0, 7, 184, 0
0, 8, 186, 0
0, 9, 184, 0
0, 10, 185, 0
0, 11, 185, 0
0, 12, 184, 0
0, 13, 187, 0
0, 14, 185, 0
0, 15, 184, 0
0, 16, 185, 0
0, 17, 184, 0
0, 18, 187, 0
0, 19, 185, 0
0, 20, 185, 0
0, 21, 185, 0
0, 22, 185, 0
0, 23, 184, 0
0, 24, 185, 0
0, 25, 184, 0
0, 26, 184, 0
0, 27, 184, 0
0, 28, 185, 0
0, 29, 184, 0
0, 30, 185, 0
0, 0, 0, 184
350, 1, 215, 0
0, 2, 214, 0
0, 3, 214, 0
0, 4, 214, 0
0, 5, 214, 0
0, 6, 216, 0
0, 7, 214, 0
0, 8, 216, 0
0, 9, 218, 0
0, 10, 215, 0
0, 11, 215, 0
0, 12, 217, 0
0, 13, 214, 0
0, 14, 217, 0
0, 15, 215, 0
0, 16, 215, 0
0, 17, 217, 0
0, 18, 215, 0
0, 19, 216, 0
0, 20, 215, 0
0, 21, 217, 0
0, 22, 215, 0
0, 23, 214, 0
0, 24, 216, 0
0, 25, 215, 0
0, 26, 216, 0
0, 27, 215, 0
0, 28, 217, 0
0, 29, 215, 0
0, 30, 215, 0
0, 0, 0, 215
400, 1, 245, 0
0, 2, 245, 0
0, 3, 245, 0
0, 4, 245, 0
0, 5, 249, 0
0, 6, 245, 0
0, 7, 246, 0
0, 8, 245, 0
0, 9, 245, 0
0, 10, 245, 0
0, 11, 245, 0
0, 12, 246, 0
0, 13, 246, 0
0, 14, 245, 0
0, 15, 249, 0
0, 16, 245, 0
0, 17, 246, 0
0, 18, 246, 0
0, 19, 246, 0
0, 20, 245, 0
0, 21, 247, 0
0, 22, 245, 0
0, 23, 245, 0
0, 24, 246, 0
0, 25, 249, 0
0, 26, 246, 0
0, 27, 246, 0
0, 28, 245, 0
0, 29, 248, 0
0, 30, 246, 0
0, 0, 0, 245
450, 1, 278, 0
