Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
1, 1, 1817, 0, 2, 26769
0, 2, 1088, 0, 2, 26769
0, 3, 1090, 0, 2, 26769
0, 4, 992, 0, 2, 26769
0, 5, 986, 0, 2, 26769
0, 6, 1024, 0, 2, 26769
0, 7, 983, 0, 2, 26769
0, 8, 1047, 0, 2, 26769
0, 9, 982, 0, 2, 26769
0, 10, 1036, 0, 2, 26769
0, 11, 986, 0, 2, 26769
0, 12, 1030, 0, 2, 26769
0, 13, 1022, 0, 2, 26769
0, 14, 981, 0, 2, 26769
0, 15, 997, 0, 2, 26769
0, 16, 1019, 0, 2, 26769
0, 17, 984, 0, 2, 26769
0, 18, 1040, 0, 2, 26769
0, 19, 976, 0, 2, 26769
0, 20, 1106, 0, 2, 26769
0, 21, 993, 0, 2, 26769
0, 22, 950, 0, 2, 26769
0, 23, 971, 0, 2, 26769
0, 24, 992, 0, 2, 26769
0, 25, 947, 0, 2, 26769
0, 26, 974, 0, 2, 26769
0, 27, 994, 0, 2, 26769
0, 28, 949, 0, 2, 26769
0, 29, 976, 0, 2, 26769
0, 30, 1038, 0, 2, 26769
0, 0, 0, 1032
2, 1, 1029, 0, 2, 26769
0, 2, 1007, 0, 2, 26769
0, 3, 983, 0, 2, 26769
0, 4, 1067, 0, 2, 26769
0, 5, 1018, 0, 2, 26769
0, 6, 966, 0, 2, 26769
0, 7, 1073, 0, 2, 26769
0, 8, 977, 0, 2, 26769
0, 9, 997, 0, 2, 26769
0, 10, 1033, 0, 2, 26769
0, 11, 1050, 0, 2, 26769
0, 12, 1017, 0, 2, 26769
0, 13, 1055, 0, 2, 26769
0, 14, 999, 0, 2, 26769
0, 15, 1016, 0, 2, 26769
0, 16, 996, 0, 2, 26769
0, 17, 1034, 0, 2, 26769
0, 18, 991, 0, 2, 26769
0, 19, 1011, 0, 2, 26769
0, 20, 1029, 0, 2, 26769
0, 21, 1084, 0, 2, 26769
0, 22, 1036, 0, 2, 26769
0, 23, 986, 0, 2, 26769
0, 24, 1004, 0, 2, 26769
0, 25, 1003, 0, 2, 26769
0, 26, 937, 0, 2, 26769
0, 27, 936, 0, 2, 26769
0, 28, 2085, 0, 2, 26769
0, 29, 1197, 0, 2, 26769
0, 30, 1227, 0, 2, 26769
0, 0, 0, 1061
3, 1, 1696, 0, 2, 26749
0, 2, 2219, 0, 18, 26733
0, 3, 1079, 0, 2, 26733
0, 4, 980, 0, 2, 26733
0, 5, 983, 0, 2, 26733
0, 6, 1434, 0, 18, 26717
0, 7, 993, 0, 2, 26717
0, 8, 987, 0, 2, 26717
0, 9, 1043, 0, 2, 26717
0, 10, 1993, 0, 2, 26717
0, 11, 1392, 0, 2, 26717
0, 12, 1420, 0, 2, 26717
0, 13, 1291, 0, 22, 26697
0, 14, 1444, 0, 2, 26697
0, 15, 1163, 0, 2, 26697
0, 16, 1005, 0, 2, 26697
0, 17, 1038, 0, 2, 26697
0, 18, 1393, 0, 18, 26681
0, 19, 1101, 0, 2, 26681
0, 20, 1043, 0, 2, 26681
0, 21, 986, 0, 2, 26681
0, 22, 1537, 0, 22, 26661
0, 23, 991, 0, 2, 26661
0, 24, 1234, 0, 2, 26661
0, 25, 1159, 0, 2, 26661
0, 26, 1198, 0, 2, 26661
0, 27, 1127, 0, 18, 26645
0, 28, 1117, 0, 2, 26645
0, 29, 1035, 0, 2, 26645
0, 30, 987, 0, 2, 26645
0, 0, 0, 1236
4, 1, 1291, 0, 2, 26629
0, 2, 1014, 0, 2, 26629
0, 3, 997, 0, 2, 26629
0, 4, 2109, 0, 2, 26629
0, 5, 1418, 0, 22, 26609
0, 6, 1439, 0, 2, 26609
0, 7, 1412, 0, 2, 26609
0, 8, 2097, 0, 18, 26593
0, 9, 986, 0, 2, 26593
0, 10, 1005, 0, 2, 26593
0, 11, 1039, 0, 2, 26593
0, 12, 1293, 0, 18, 26577
0, 13, 1020, 0, 2, 26577
0, 14, 1051, 0, 2, 26577
0, 15, 978, 0, 2, 26577
0, 16, 2004, 0, 2, 26577
0, 17, 1436, 0, 2, 26577
0, 18, 1289, 0, 22, 26557
0, 19, 983, 0, 2, 26557
0, 20, 1154, 0, 2, 26557
0, 21, 1174, 0, 18, 26541
0, 22, 1005, 0, 2, 26541
0, 23, 1033, 0, 2, 26541
0, 24, 991, 0, 2, 26541
0, 25, 1166, 0, 18, 26525
0, 26, 1028, 0, 2, 26525
0, 27, 1011, 0, 2, 26525
0, 28, 993, 0, 2, 26525
0, 29, 1182, 0, 2, 26525
0, 30, 1190, 0, 2, 26525
0, 0, 0, 1226
5, 1, 1258, 0, 2, 26525
0, 2, 1341, 0, 22, 26505
0, 3, 1142, 0, 2, 26505
0, 4, 1092, 0, 2, 26505
0, 5, 1059, 0, 2, 26505
0, 6, 1476, 0, 18, 26489
0, 7, 1007, 0, 2, 26489
0, 8, 1072, 0, 2, 26489
0, 9, 1037, 0, 2, 26489
0, 10, 2034, 0, 22, 26469
0, 11, 1032, 0, 2, 26469
0, 12, 1184, 0, 2, 26469
0, 13, 1295, 0, 2, 26469
0, 14, 1220, 0, 2, 26469
0, 15, 1162, 0, 18, 26453
0, 16, 1038, 0, 2, 26453
0, 17, 1050, 0, 2, 26453
0, 18, 1109, 0, 2, 26453
0, 19, 1165, 0, 18, 26437
0, 20, 996, 0, 2, 26437
0, 21, 1040, 0, 2, 26437
0, 22, 991, 0, 2, 26437
0, 23, 1203, 0, 2, 26437
0, 24, 1157, 0, 22, 26417
0, 25, 1413, 0, 2, 26417
0, 26, 1281, 0, 2, 26417
0, 27, 2103, 0, 18, 26401
0, 28, 1006, 0, 2, 26401
0, 29, 1040, 0, 2, 26401
0, 30, 1001, 0, 2, 26401
0, 0, 0, 1200
6, 1, 1418, 0, 18, 26385
0, 2, 1113, 0, 2, 26385
0, 3, 1062, 0, 2, 26385
0, 4, 2212, 0, 2, 26385
0, 5, 1396, 0, 2, 26385
0, 6, 1420, 0, 22, 26365
0, 7, 1428, 0, 2, 26365
0, 8, 1359, 0, 2, 26365
0, 9, 1334, 0, 18, 26349
0, 10, 1056, 0, 2, 26349
0, 11, 1045, 0, 2, 26349
0, 12, 1461, 0, 18, 26333
0, 13, 999, 0, 2, 26333
