Filter, ID, Time_ms, Average_time
1, 1, 636, 0
0, 2, 159, 0
0, 3, 175, 0
0, 4, 152, 0
0, 5, 140, 0
0, 6, 166, 0
0, 7, 151, 0
0, 8, 149, 0
0, 9, 166, 0
0, 10, 149, 0
0, 11, 149, 0
0, 12, 154, 0
0, 13, 150, 0
0, 14, 150, 0
0, 15, 157, 0
0, 16, 146, 0
0, 17, 151, 0
0, 18, 151, 0
0, 19, 149, 0
0, 20, 156, 0
0, 21, 150, 0
0, 22, 161, 0
0, 23, 152, 0
0, 24, 144, 0
0, 25, 149, 0
0, 26, 291, 0
0, 27, 229, 0
0, 28, 142, 0
0, 29, 151, 0
0, 30, 157, 0
0, 0, 0, 176
2, 1, 198, 0
0, 2, 243, 0
0, 3, 194, 0
0, 4, 176, 0
0, 5, 184, 0
0, 6, 189, 0
0, 7, 199, 0
0, 8, 190, 0
0, 9, 187, 0
0, 10, 189, 0
0, 11, 185, 0
0, 12, 185, 0
0, 13, 194, 0
0, 14, 191, 0
0, 15, 180, 0
0, 16, 202, 0
0, 17, 186, 0
0, 18, 198, 0
0, 19, 191, 0
0, 20, 194, 0
0, 21, 185, 0
0, 22, 199, 0
0, 23, 197, 0
0, 24, 180, 0
0, 25, 181, 0
0, 26, 186, 0
0, 27, 180, 0
0, 28, 381, 0
0, 29, 181, 0
0, 30, 179, 0
0, 0, 0, 196
3, 1, 260, 0
0, 2, 355, 0
0, 3, 233, 0
0, 4, 236, 0
0, 5, 234, 0
0, 6, 226, 0
0, 7, 245, 0
0, 8, 236, 0
0, 9, 240, 0
0, 10, 231, 0
0, 11, 225, 0
0, 12, 233, 0
0, 13, 242, 0
0, 14, 236, 0
0, 15, 238, 0
0, 16, 234, 0
0, 17, 236, 0
0, 18, 243, 0
0, 19, 251, 0
0, 20, 244, 0
0, 21, 264, 0
0, 22, 265, 0
0, 23, 241, 0
0, 24, 224, 0
0, 25, 246, 0
0, 26, 248, 0
0, 27, 288, 0
0, 28, 237, 0
0, 29, 238, 0
0, 30, 257, 0
0, 0, 0, 246
4, 1, 295, 0
0, 2, 273, 0
0, 3, 275, 0
0, 4, 274, 0
0, 5, 274, 0
0, 6, 298, 0
0, 7, 271, 0
0, 8, 269, 0
0, 9, 273, 0
0, 10, 286, 0
0, 11, 268, 0
0, 12, 271, 0
0, 13, 280, 0
0, 14, 265, 0
0, 15, 273, 0
0, 16, 269, 0
0, 17, 300, 0
0, 18, 273, 0
0, 19, 274, 0
0, 20, 288, 0
0, 21, 280, 0
0, 22, 282, 0
0, 23, 264, 0
0, 24, 385, 0
0, 25, 275, 0
0, 26, 276, 0
0, 27, 268, 0
0, 28, 259, 0
0, 29, 263, 0
0, 30, 263, 0
0, 0, 0, 278
5, 1, 338, 0
0, 2, 299, 0
0, 3, 293, 0
0, 4, 317, 0
0, 5, 311, 0
0, 6, 313, 0
0, 7, 302, 0
0, 8, 317, 0
0, 9, 311, 0
0, 10, 307, 0
0, 11, 309, 0
0, 12, 307, 0
0, 13, 305, 0
0, 14, 295, 0
0, 15, 297, 0
0, 16, 305, 0
0, 17, 445, 0
0, 18, 303, 0
0, 19, 308, 0
0, 20, 307, 0
0, 21, 321, 0
0, 22, 313, 0
0, 23, 305, 0
0, 24, 294, 0
0, 25, 317, 0
0, 26, 312, 0
0, 27, 313, 0
0, 28, 306, 0
0, 29, 301, 0
0, 30, 313, 0
0, 0, 0, 312
6, 1, 350, 0
0, 2, 344, 0
0, 3, 344, 0
0, 4, 345, 0
0, 5, 343, 0
0, 6, 340, 0
0, 7, 347, 0
0, 8, 335, 0
0, 9, 343, 0
0, 10, 332, 0
0, 11, 342, 0
0, 12, 323, 0
0, 13, 343, 0
0, 14, 338, 0
0, 15, 340, 0
0, 16, 345, 0
0, 17, 330, 0
0, 18, 331, 0
0, 19, 454, 0
0, 20, 333, 0
0, 21, 337, 0
0, 22, 356, 0
0, 23, 339, 0
0, 24, 345, 0
0, 25, 345, 0
0, 26, 333, 0
0, 27, 332, 0
0, 28, 344, 0
0, 29, 332, 0
0, 30, 336, 0
0, 0, 0, 343
7, 1, 408, 0
0, 2, 367, 0
0, 3, 375, 0
0, 4, 356, 0
0, 5, 373, 0
0, 6, 381, 0
0, 7, 363, 0
0, 8, 360, 0
0, 9, 371, 0
0, 10, 368, 0
0, 11, 389, 0
0, 12, 372, 0
0, 13, 363, 0
0, 14, 431, 0
0, 15, 375, 0
0, 16, 359, 0
0, 17, 865, 0
0, 18, 381, 0
0, 19, 364, 0
0, 20, 364, 0
0, 21, 370, 0
0, 22, 367, 0
0, 23, 383, 0
0, 24, 363, 0
0, 25, 375, 0
0, 26, 370, 0
0, 27, 365, 0
0, 28, 384, 0
0, 29, 383, 0
0, 30, 366, 0
0, 0, 0, 390
8, 1, 424, 0
0, 2, 420, 0
0, 3, 428, 0
0, 4, 406, 0
0, 5, 401, 0
0, 6, 416, 0
0, 7, 391, 0
0, 8, 399, 0
0, 9, 405, 0
0, 10, 409, 0
0, 11, 417, 0
0, 12, 417, 0
0, 13, 473, 0
0, 14, 405, 0
0, 15, 427, 0
0, 16, 461, 0
0, 17, 403, 0
0, 18, 408, 0
0, 19, 399, 0
0, 20, 414, 0
0, 21, 403, 0
0, 22, 414, 0
0, 23, 396, 0
0, 24, 395, 0
0, 25, 408, 0
0, 26, 414, 0
0, 27, 406, 0
0, 28, 393, 0
0, 29, 407, 0
0, 30, 423, 0
0, 0, 0, 412
9, 1, 456, 0
0, 2, 467, 0
0, 3, 433, 0
0, 4, 426, 0
0, 5, 426, 0
0, 6, 447, 0
0, 7, 440, 0
0, 8, 649, 0
0, 9, 435, 0
0, 10, 440, 0
0, 11, 442, 0
0, 12, 666, 0
0, 13, 445, 0
0, 14, 477, 0
0, 15, 449, 0
0, 16, 444, 0
0, 17, 442, 0
0, 18, 434, 0
0, 19, 447, 0
0, 20, 436, 0
0, 21, 460, 0
0, 22, 455, 0
0, 23, 440, 0
0, 24, 447, 0
0, 25, 437, 0
0, 26, 447, 0
0, 27, 434, 0
0, 28, 439, 0
0, 29, 439, 0
0, 30, 445, 0
0, 0, 0, 458
10, 1, 488, 0
0, 2, 473, 0
0, 3, 488, 0
0, 4, 480, 0
0, 5, 470, 0
0, 6, 469, 0
0, 7, 468, 0
0, 8, 486, 0
0, 9, 472, 0
0, 10, 496, 0
0, 11, 658, 0
0, 12, 469, 0
0, 13, 497, 0
0, 14, 492, 0
0, 15, 468, 0
0, 16, 475, 0
0, 17, 490, 0
0, 18, 466, 0
0, 19, 466, 0
0, 20, 485, 0
0, 21, 468, 0
0, 22, 494, 0
0, 23, 476, 0
0, 24, 475, 0
0, 25, 471, 0
0, 26, 493, 0
0, 27, 491, 0
0, 28, 483, 0
0, 29, 491, 0
0, 30, 478, 0
0, 0, 0, 485
11, 1, 511, 0
0, 2, 517, 0
0, 3, 578, 0
0, 4, 520, 0
0, 5, 495, 0
0, 6, 625, 0
0, 7, 529, 0
0, 8, 543, 0
0, 9, 540, 0
0, 10, 532, 0
0, 11, 559, 0
0, 12, 520, 0
0, 13, 510, 0
0, 14, 529, 0
0, 15, 520, 0
0, 16, 510, 0
0, 17, 538, 0
0, 18, 509, 0
0, 19, 534, 0
0, 20, 530, 0
0, 21, 514, 0
0, 22, 514, 0
0, 23, 511, 0
0, 24, 504, 0
0, 25, 496, 0
0, 26, 500, 0
0, 27, 519, 0
0, 28, 528, 0
0, 29, 495, 0
0, 30, 489, 0
0, 0, 0, 523
12, 1, 549, 0
0, 2, 535, 0
0, 3, 549, 0
0, 4, 543, 0
0, 5, 553, 0
0, 6, 548, 0
0, 7, 534, 0
0, 8, 530, 0
0, 9, 544, 0
0, 10, 648, 0
0, 11, 549, 0
0, 12, 610, 0
0, 13, 529, 0
0, 14, 530, 0
0, 15, 544, 0
0, 16, 540, 0
0, 17, 541, 0
0, 18, 533, 0
0, 19, 548, 0
0, 20, 541, 0
0, 21, 627, 0
0, 22, 576, 0
0, 23, 556, 0
0, 24, 545, 0
0, 25, 539, 0
0, 26, 544, 0
0, 27, 546, 0
0, 28, 535, 0
0, 29, 554, 0
0, 30, 531, 0
0, 0, 0, 551
13, 1, 608, 0
0, 2, 570, 0
0, 3, 578, 0
0, 4, 578, 0
0, 5, 580, 0
0, 6, 564, 0
0, 7, 582, 0
0, 8, 570, 0
0, 9, 736, 0
0, 10, 603, 0
0, 11, 651, 0
0, 12, 604, 0
0, 13, 579, 0
0, 14, 586, 0
0, 15, 580, 0
0, 16, 588, 0
0, 17, 568, 0
0, 18, 584, 0
0, 19, 613, 0
0, 20, 567, 0
0, 21, 568, 0
0, 22, 562, 0
0, 23, 567, 0
0, 24, 570, 0
0, 25, 573, 0
0, 26, 581, 0
0, 27, 573, 0
0, 28, 586, 0
0, 29, 562, 0
0, 30, 577, 0
0, 0, 0, 586
14, 1, 629, 0
0, 2, 590, 0
0, 3, 613, 0
0, 4, 604, 0
0, 5, 607, 0
0, 6, 619, 0
0, 7, 603, 0
0, 8, 598, 0
0, 9, 644, 0
0, 10, 595, 0
0, 11, 628, 0
0, 12, 618, 0
0, 13, 594, 0
0, 14, 599, 0
0, 15, 617, 0
0, 16, 610, 0
0, 17, 603, 0
0, 18, 602, 0
0, 19, 606, 0
0, 20, 592, 0
0, 21, 598, 0
0, 22, 596, 0
0, 23, 604, 0
0, 24, 623, 0
