Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
1, 1, 3944, 0, 14, 39896
0, 2, 3803, 0, 14, 39896
0, 3, 3486, 0, 14, 39896
0, 4, 3465, 0, 14, 39896
0, 5, 3444, 0, 14, 39896
0, 6, 11337, 0, 14, 39896
0, 7, 3396, 0, 14, 39896
0, 8, 3492, 0, 14, 39896
0, 9, 3444, 0, 14, 39896
0, 10, 3440, 0, 14, 39896
0, 11, 3439, 0, 14, 39896
0, 12, 3419, 0, 14, 39896
0, 13, 3439, 0, 14, 39896
0, 14, 3430, 0, 14, 39896
0, 15, 3447, 0, 14, 39896
0, 16, 3441, 0, 14, 39896
0, 17, 3440, 0, 14, 39896
0, 18, 3434, 0, 14, 39896
0, 19, 3441, 0, 14, 39896
0, 20, 3437, 0, 14, 39896
0, 21, 3426, 0, 14, 39896
0, 22, 3435, 0, 14, 39896
0, 23, 3431, 0, 14, 39896
0, 24, 3442, 0, 14, 39896
0, 25, 3431, 0, 14, 39896
0, 26, 3436, 0, 14, 39896
0, 27, 3441, 0, 14, 39896
0, 28, 3423, 0, 14, 39896
0, 29, 3442, 0, 14, 39896
0, 30, 3436, 0, 14, 39896
0, 31, 3448, 0, 14, 39896
0, 32, 3436, 0, 14, 39896
0, 33, 3436, 0, 14, 39896
0, 34, 3440, 0, 14, 39896
0, 35, 3442, 0, 14, 39896
0, 36, 3442, 0, 14, 39896
0, 37, 29502, 0, 14, 39896
0, 38, 27826, 0, 14, 39896
0, 39, 3706, 0, 14, 39896
0, 40, 3492, 0, 14, 39896
0, 41, 3448, 0, 14, 39896
0, 42, 3440, 0, 14, 39896
0, 43, 3440, 0, 14, 39896
0, 44, 3436, 0, 14, 39896
0, 45, 3448, 0, 14, 39896
0, 46, 3432, 0, 14, 39896
0, 47, 3446, 0, 14, 39896
0, 48, 3435, 0, 14, 39896
0, 49, 3442, 0, 14, 39896
0, 50, 3443, 0, 14, 39896
0, 51, 3429, 0, 14, 39896
0, 52, 3438, 0, 14, 39896
0, 53, 3432, 0, 14, 39896
0, 54, 3446, 0, 14, 39896
0, 55, 3437, 0, 14, 39896
