Filter, ID, Time_ms, Average_time
1, 1, 60096, 0
0, 2, 6653, 0
0, 3, 5190, 0
0, 4, 5066, 0
0, 5, 5130, 0
0, 6, 5059, 0
0, 7, 4751, 0
0, 8, 4963, 0
0, 9, 5014, 0
0, 10, 5001, 0
0, 11, 4802, 0
0, 12, 4811, 0
0, 13, 4606, 0
0, 14, 4854, 0
0, 15, 4621, 0
0, 16, 5242, 0
0, 17, 5421, 0
0, 18, 5253, 0
0, 19, 4968, 0
0, 20, 4745, 0
0, 21, 4627, 0
0, 22, 4451, 0
0, 23, 4387, 0
0, 24, 5309, 0
0, 25, 5118, 0
0, 26, 4948, 0
0, 27, 4844, 0
0, 28, 4437, 0
0, 29, 4833, 0
0, 30, 5095, 0
0, 0, 0, 6809
2, 1, 5100, 0
0, 2, 4903, 0
0, 3, 5099, 0
0, 4, 4863, 0
0, 5, 4881, 0
0, 6, 5079, 0
0, 7, 4782, 0
0, 8, 4832, 0
0, 9, 4588, 0
0, 10, 4506, 0
0, 11, 4659, 0
0, 12, 4767, 0
0, 13, 5899, 0
0, 14, 5151, 0
0, 15, 4801, 0
0, 16, 5053, 0
0, 17, 4614, 0
0, 18, 4436, 0
0, 19, 5545, 0
0, 20, 4762, 0
0, 21, 5111, 0
0, 22, 5142, 0
0, 23, 4903, 0
0, 24, 4505, 0
0, 25, 4759, 0
0, 26, 6956, 0
0, 27, 5184, 0
0, 28, 5133, 0
0, 29, 5031, 0
0, 30, 4865, 0
0, 0, 0, 4996
3, 1, 4374, 0
0, 2, 4436, 0
0, 3, 4740, 0
0, 4, 5937, 0
0, 5, 4992, 0
0, 6, 4899, 0
0, 7, 4429, 0
0, 8, 4430, 0
0, 9, 4734, 0
0, 10, 4631, 0
0, 11, 4802, 0
0, 12, 5120, 0
0, 13, 4520, 0
0, 14, 4572, 0
0, 15, 4481, 0
0, 16, 4317, 0
0, 17, 4613, 0
0, 18, 4865, 0
0, 19, 4641, 0
0, 20, 6120, 0
0, 21, 4968, 0
0, 22, 4597, 0
0, 23, 4895, 0
0, 24, 4943, 0
0, 25, 4593, 0
0, 26, 4582, 0
0, 27, 4217, 0
0, 28, 4422, 0
0, 29, 4796, 0
0, 30, 4426, 0
0, 0, 0, 4736
4, 1, 4961, 0
0, 2, 5191, 0
0, 3, 5109, 0
0, 4, 4752, 0
0, 5, 4601, 0
0, 6, 4386, 0
0, 7, 4553, 0
0, 8, 4473, 0
0, 9, 4982, 0
0, 10, 4804, 0
0, 11, 4974, 0
0, 12, 4838, 0
0, 13, 4875, 0
0, 14, 4797, 0
0, 15, 5014, 0
0, 16, 5036, 0
0, 17, 5107, 0
0, 18, 5033, 0
0, 19, 5062, 0
0, 20, 5027, 0
0, 21, 4718, 0
0, 22, 4746, 0
0, 23, 4928, 0
0, 24, 5052, 0
0, 25, 4903, 0
0, 26, 5282, 0
0, 27, 5272, 0
0, 28, 5031, 0
0, 29, 5086, 0
0, 30, 4925, 0
0, 0, 0, 4917
5, 1, 4928, 0
0, 2, 4742, 0
0, 3, 4907, 0
0, 4, 4970, 0
0, 5, 4599, 0
0, 6, 5054, 0
0, 7, 4791, 0
0, 8, 5703, 0
0, 9, 4858, 0
0, 10, 5013, 0
0, 11, 4571, 0
0, 12, 4768, 0
0, 13, 5296, 0
0, 14, 4778, 0
0, 15, 4757, 0
0, 16, 4974, 0
0, 17, 5059, 0
0, 18, 4478, 0
0, 19, 4839, 0
0, 20, 4494, 0
0, 21, 4576, 0
0, 22, 5128, 0
0, 23, 5074, 0
0, 24, 4942, 0
0, 25, 4468, 0
0, 26, 4938, 0
0, 27, 4311, 0
0, 28, 4493, 0
0, 29, 4934, 0
0, 30, 4960, 0
0, 0, 0, 4846
6, 1, 4841, 0
0, 2, 5352, 0
0, 3, 5237, 0
0, 4, 4834, 0
0, 5, 4884, 0
0, 6, 4837, 0
0, 7, 4705, 0
0, 8, 4390, 0
0, 9, 4441, 0
0, 10, 4828, 0
0, 11, 4924, 0
0, 12, 4692, 0
0, 13, 4416, 0
0, 14, 4466, 0
0, 15, 4165, 0
0, 16, 4660, 0
0, 17, 4743, 0
0, 18, 4836, 0
0, 19, 5036, 0
0, 20, 4840, 0
0, 21, 5114, 0
0, 22, 5140, 0
0, 23, 5098, 0
0, 24, 4419, 0
0, 25, 4721, 0
0, 26, 4632, 0
0, 27, 4938, 0
0, 28, 5031, 0
0, 29, 4880, 0
0, 30, 5274, 0
0, 0, 0, 4812
7, 1, 6278, 0
