Filter, ID, Time_us, Average_time
1, 1, 29372, 0
0, 2, 6537, 0
0, 3, 5637, 0
0, 4, 5025, 0
0, 5, 5168, 0
0, 6, 4997, 0
0, 7, 4925, 0
0, 8, 4885, 0
0, 9, 5071, 0
0, 10, 4788, 0
0, 11, 5137, 0
0, 12, 4851, 0
0, 13, 4757, 0
0, 14, 4913, 0
0, 15, 5012, 0
0, 16, 13225, 0
0, 17, 5033, 0
0, 18, 4901, 0
0, 19, 4760, 0
0, 20, 4651, 0
0, 21, 4815, 0
0, 22, 6107, 0
0, 23, 5304, 0
0, 24, 4827, 0
0, 25, 4978, 0
0, 26, 5025, 0
0, 27, 4850, 0
0, 28, 5124, 0
0, 29, 5140, 0
0, 30, 4572, 0
0, 31, 4698, 0
0, 32, 4829, 0
0, 33, 4814, 0
0, 34, 4930, 0
0, 35, 4722, 0
0, 36, 4846, 0
0, 37, 4902, 0
0, 38, 4709, 0
0, 39, 4834, 0
0, 40, 4985, 0
0, 41, 4718, 0
0, 42, 4889, 0
0, 43, 5964, 0
0, 44, 5094, 0
0, 45, 4810, 0
0, 46, 4756, 0
0, 47, 4604, 0
0, 48, 4692, 0
0, 49, 5833, 0
0, 50, 4920, 0
0, 51, 4733, 0
0, 52, 4927, 0
0, 53, 4777, 0
0, 54, 6315, 0
0, 55, 5028, 0
0, 56, 4988, 0
0, 57, 4815, 0
0, 58, 4994, 0
0, 59, 5094, 0
0, 60, 4893, 0
0, 0, 0, 5558
2, 1, 4870, 0
0, 2, 5089, 0
0, 3, 5827, 0
0, 4, 6987, 0
0, 5, 5930, 0
0, 6, 5047, 0
0, 7, 4753, 0
0, 8, 4736, 0
0, 9, 4645, 0
0, 10, 5042, 0
0, 11, 4575, 0
0, 12, 5135, 0
0, 13, 4688, 0
0, 14, 4678, 0
0, 15, 4953, 0
0, 16, 4900, 0
0, 17, 4596, 0
0, 18, 4771, 0
0, 19, 4453, 0
0, 20, 6486, 0
0, 21, 14219, 0
0, 22, 17129, 0
0, 23, 5274, 0
0, 24, 5225, 0
0, 25, 5330, 0
0, 26, 5187, 0
0, 27, 5159, 0
0, 28, 5128, 0
0, 29, 4832, 0
0, 30, 4963, 0
0, 31, 4872, 0
0, 32, 4781, 0
0, 33, 4851, 0
0, 34, 4964, 0
0, 35, 4829, 0
0, 36, 4671, 0
0, 37, 4882, 0
0, 38, 5029, 0
0, 39, 4988, 0
0, 40, 4754, 0
0, 41, 4779, 0
0, 42, 4865, 0
0, 43, 4967, 0
0, 44, 4977, 0
0, 45, 4880, 0
0, 46, 4816, 0
0, 47, 5271, 0
0, 48, 4637, 0
0, 49, 4825, 0
0, 50, 4837, 0
0, 51, 4723, 0
0, 52, 4942, 0
0, 53, 5037, 0
0, 54, 4534, 0
0, 55, 4866, 0
0, 56, 4917, 0
0, 57, 4969, 0
0, 58, 4804, 0
0, 59, 4897, 0
0, 60, 4934, 0
0, 0, 0, 5345
3, 1, 4960, 0
0, 2, 4835, 0
0, 3, 5021, 0
0, 4, 4836, 0
0, 5, 5018, 0
0, 6, 4956, 0
0, 7, 4826, 0
0, 8, 5060, 0
0, 9, 5045, 0
0, 10, 5032, 0
0, 11, 4952, 0
0, 12, 5052, 0
0, 13, 4942, 0
0, 14, 4628, 0
0, 15, 4925, 0
0, 16, 4883, 0
0, 17, 5109, 0
0, 18, 4981, 0
0, 19, 5638, 0
0, 20, 5880, 0
0, 21, 6153, 0
0, 22, 5427, 0
0, 23, 5139, 0
0, 24, 4973, 0
0, 25, 5224, 0
0, 26, 4762, 0
0, 27, 4748, 0
0, 28, 5034, 0
0, 29, 4763, 0
0, 30, 4718, 0
0, 31, 4661, 0
0, 32, 4776, 0
0, 33, 4738, 0
0, 34, 4910, 0
0, 35, 5011, 0
0, 36, 4747, 0
0, 37, 4681, 0
0, 38, 4930, 0
0, 39, 4904, 0
0, 40, 4974, 0
0, 41, 5174, 0
0, 42, 4954, 0
0, 43, 5272, 0
0, 44, 4703, 0
0, 45, 4916, 0
0, 46, 4799, 0
0, 47, 4849, 0
0, 48, 4903, 0
0, 49, 4982, 0
0, 50, 4756, 0
0, 51, 4862, 0
0, 52, 4753, 0
0, 53, 4984, 0
0, 54, 4735, 0
0, 55, 4900, 0
0, 56, 4959, 0
0, 57, 4769, 0
0, 58, 4616, 0
0, 59, 5078, 0
0, 60, 4687, 0
0, 0, 0, 4958
4, 1, 4898, 0
0, 2, 4870, 0
0, 3, 4932, 0
0, 4, 4790, 0
0, 5, 4998, 0
0, 6, 4639, 0
0, 7, 4771, 0
0, 8, 4939, 0
0, 9, 4675, 0
0, 10, 4923, 0
0, 11, 4823, 0
0, 12, 5264, 0
0, 13, 4617, 0
0, 14, 4819, 0
0, 15, 4604, 0
0, 16, 5532, 0
0, 17, 5074, 0
0, 18, 4779, 0
0, 19, 4951, 0
0, 20, 5040, 0
0, 21, 4919, 0
0, 22, 4686, 0
0, 23, 5092, 0
0, 24, 4738, 0
0, 25, 4957, 0
0, 26, 4732, 0
0, 27, 4556, 0
0, 28, 4709, 0
0, 29, 4677, 0
0, 30, 5006, 0
0, 31, 4868, 0
0, 32, 4873, 0
0, 33, 5082, 0
0, 34, 7926, 0
0, 35, 4639, 0
0, 36, 4965, 0
0, 37, 6451, 0
0, 38, 5477, 0
0, 39, 5427, 0
0, 40, 6109, 0
0, 41, 6424, 0
0, 42, 5774, 0
0, 43, 5739, 0
0, 44, 4910, 0
0, 45, 5168, 0
0, 46, 5165, 0
0, 47, 4797, 0
0, 48, 4762, 0
0, 49, 4977, 0
0, 50, 5082, 0
0, 51, 4831, 0
0, 52, 5027, 0
0, 53, 5128, 0
0, 54, 4883, 0
0, 55, 4668, 0
0, 56, 4532, 0
0, 57, 4819, 0
0, 58, 4907, 0
0, 59, 5087, 0
0, 60, 5052, 0
0, 0, 0, 5059
5, 1, 4978, 0
0, 2, 5065, 0
0, 3, 5123, 0
0, 4, 4807, 0
0, 5, 5249, 0
0, 6, 5266, 0
0, 7, 4614, 0
0, 8, 4655, 0
0, 9, 4959, 0
0, 10, 5149, 0
0, 11, 4882, 0
0, 12, 4933, 0
0, 13, 4925, 0
0, 14, 6001, 0
0, 15, 4965, 0
0, 16, 5298, 0
0, 17, 4819, 0
0, 18, 5873, 0
0, 19, 5007, 0
0, 20, 5090, 0
0, 21, 4776, 0
0, 22, 4709, 0
0, 23, 4786, 0
0, 24, 5007, 0
0, 25, 5112, 0
0, 26, 4855, 0
0, 27, 5150, 0
0, 28, 4917, 0
0, 29, 4884, 0
0, 30, 4768, 0
0, 31, 4706, 0
0, 32, 5146, 0
0, 33, 5123, 0
0, 34, 4916, 0
0, 35, 5220, 0
0, 36, 4730, 0
0, 37, 4624, 0
0, 38, 5090, 0
0, 39, 4793, 0
0, 40, 4718, 0
0, 41, 4852, 0
0, 42, 4779, 0
0, 43, 4723, 0
0, 44, 4978, 0
0, 45, 4966, 0
0, 46, 4601, 0
0, 47, 4992, 0
0, 48, 4718, 0
0, 49, 4787, 0
0, 50, 4484, 0
0, 51, 4530, 0
0, 52, 4817, 0
0, 53, 4667, 0
0, 54, 5023, 0
0, 55, 4793, 0
0, 56, 4512, 0
0, 57, 4719, 0
0, 58, 4865, 0
0, 59, 4917, 0
0, 60, 4954, 0
0, 0, 0, 4922
6, 1, 5975, 0
0, 2, 5842, 0
0, 3, 7440, 0
0, 4, 6016, 0
0, 5, 5261, 0
0, 6, 5222, 0
0, 7, 4839, 0
0, 8, 5009, 0
0, 9, 5200, 0
0, 10, 4987, 0
0, 11, 4945, 0
0, 12, 4704, 0
0, 13, 4699, 0
0, 14, 4628, 0
0, 15, 4959, 0
0, 16, 4738, 0
0, 17, 4630, 0
0, 18, 4780, 0
0, 19, 4766, 0
0, 20, 4938, 0
0, 21, 5195, 0
0, 22, 5036, 0
0, 23, 5248, 0
0, 24, 5223, 0
0, 25, 4901, 0
0, 26, 5044, 0
0, 27, 4886, 0
0, 28, 5005, 0
0, 29, 4816, 0
0, 30, 5042, 0
0, 31, 5237, 0
0, 32, 5033, 0
0, 33, 5059, 0
0, 34, 4945, 0
0, 35, 4795, 0
0, 36, 4959, 0
0, 37, 4765, 0
0, 38, 5007, 0
0, 39, 4793, 0
0, 40, 4895, 0
0, 41, 4971, 0
0, 42, 5042, 0
0, 43, 4719, 0
0, 44, 4717, 0
0, 45, 4923, 0
0, 46, 4566, 0
0, 47, 4973, 0
0, 48, 4840, 0
0, 49, 4782, 0
0, 50, 4896, 0
0, 51, 4782, 0
0, 52, 4874, 0
0, 53, 4836, 0
0, 54, 4753, 0
0, 55, 4913, 0
0, 56, 4806, 0
0, 57, 4748, 0
0, 58, 4810, 0
0, 59, 5058, 0
0, 60, 5250, 0
0, 0, 0, 5012
7, 1, 5075, 0
0, 2, 5077, 0
0, 3, 5062, 0
0, 4, 5015, 0
0, 5, 4775, 0
0, 6, 4985, 0
