Filter, ID, Time_us, Average_time
1, 1, 661, 0
0, 2, 167, 0
0, 3, 147, 0
0, 4, 142, 0
0, 5, 143, 0
0, 6, 150, 0
0, 7, 149, 0
0, 8, 142, 0
0, 9, 155, 0
0, 10, 149, 0
0, 11, 144, 0
0, 12, 143, 0
0, 13, 142, 0
0, 14, 148, 0
0, 15, 146, 0
0, 16, 152, 0
0, 17, 157, 0
0, 18, 152, 0
0, 19, 140, 0
0, 20, 145, 0
0, 21, 149, 0
0, 22, 161, 0
0, 23, 141, 0
0, 24, 145, 0
0, 25, 151, 0
0, 26, 139, 0
0, 27, 144, 0
0, 28, 160, 0
0, 29, 155, 0
0, 30, 150, 0
0, 31, 144, 0
0, 32, 144, 0
0, 33, 150, 0
0, 34, 147, 0
0, 35, 144, 0
0, 36, 164, 0
0, 37, 206, 0
0, 38, 147, 0
0, 39, 167, 0
0, 40, 148, 0
0, 41, 157, 0
0, 42, 145, 0
0, 43, 152, 0
0, 44, 145, 0
0, 45, 145, 0
0, 46, 150, 0
0, 47, 138, 0
0, 48, 152, 0
0, 49, 161, 0
0, 50, 142, 0
0, 51, 143, 0
0, 52, 148, 0
0, 53, 158, 0
0, 54, 145, 0
0, 55, 212, 0
0, 56, 146, 0
0, 57, 144, 0
0, 58, 146, 0
0, 59, 143, 0
0, 60, 142, 0
0, 0, 0, 159
2, 1, 220, 0
0, 2, 175, 0
0, 3, 188, 0
0, 4, 186, 0
0, 5, 182, 0
0, 6, 177, 0
0, 7, 181, 0
0, 8, 183, 0
0, 9, 182, 0
0, 10, 192, 0
0, 11, 193, 0
0, 12, 180, 0
0, 13, 194, 0
0, 14, 179, 0
0, 15, 232, 0
0, 16, 192, 0
0, 17, 196, 0
0, 18, 198, 0
0, 19, 187, 0
0, 20, 202, 0
0, 21, 194, 0
0, 22, 192, 0
0, 23, 183, 0
0, 24, 199, 0
0, 25, 189, 0
0, 26, 192, 0
0, 27, 303, 0
0, 28, 226, 0
0, 29, 191, 0
0, 30, 186, 0
0, 31, 184, 0
0, 32, 186, 0
0, 33, 207, 0
0, 34, 229, 0
0, 35, 190, 0
0, 36, 188, 0
0, 37, 186, 0
0, 38, 188, 0
0, 39, 190, 0
0, 40, 192, 0
0, 41, 193, 0
0, 42, 185, 0
0, 43, 197, 0
0, 44, 199, 0
0, 45, 191, 0
0, 46, 173, 0
0, 47, 183, 0
0, 48, 188, 0
0, 49, 193, 0
0, 50, 192, 0
0, 51, 191, 0
0, 52, 189, 0
0, 53, 190, 0
0, 54, 199, 0
0, 55, 201, 0
0, 56, 183, 0
0, 57, 181, 0
0, 58, 182, 0
0, 59, 195, 0
0, 60, 190, 0
0, 0, 0, 193
3, 1, 269, 0
0, 2, 251, 0
0, 3, 251, 0
0, 4, 238, 0
0, 5, 229, 0
0, 6, 238, 0
0, 7, 247, 0
0, 8, 258, 0
0, 9, 261, 0
0, 10, 242, 0
0, 11, 251, 0
0, 12, 251, 0
0, 13, 250, 0
0, 14, 243, 0
0, 15, 250, 0
0, 16, 237, 0
0, 17, 252, 0
0, 18, 241, 0
0, 19, 242, 0
0, 20, 255, 0
0, 21, 388, 0
0, 22, 284, 0
0, 23, 251, 0
0, 24, 240, 0
0, 25, 370, 0
0, 26, 231, 0
0, 27, 227, 0
0, 28, 226, 0
0, 29, 241, 0
0, 30, 234, 0
0, 31, 238, 0
0, 32, 241, 0
0, 33, 232, 0
0, 34, 239, 0
0, 35, 235, 0
0, 36, 239, 0
0, 37, 244, 0
0, 38, 251, 0
0, 39, 233, 0
0, 40, 249, 0
0, 41, 248, 0
0, 42, 245, 0
0, 43, 245, 0
0, 44, 237, 0
0, 45, 234, 0
0, 46, 242, 0
0, 47, 237, 0
0, 48, 238, 0
0, 49, 231, 0
0, 50, 236, 0
0, 51, 265, 0
0, 52, 243, 0
0, 53, 248, 0
0, 54, 247, 0
0, 55, 249, 0
0, 56, 242, 0
0, 57, 254, 0
0, 58, 240, 0
0, 59, 239, 0
0, 60, 237, 0
0, 0, 0, 248
4, 1, 293, 0
0, 2, 261, 0
0, 3, 263, 0
0, 4, 260, 0
0, 5, 260, 0
0, 6, 290, 0
0, 7, 275, 0
0, 8, 286, 0
0, 9, 275, 0
0, 10, 292, 0
0, 11, 274, 0
0, 12, 285, 0
0, 13, 280, 0
0, 14, 271, 0
0, 15, 276, 0
0, 16, 274, 0
0, 17, 273, 0
0, 18, 263, 0
0, 19, 373, 0
0, 20, 282, 0
0, 21, 290, 0
0, 22, 269, 0
0, 23, 382, 0
0, 24, 267, 0
0, 25, 276, 0
0, 26, 281, 0
0, 27, 279, 0
0, 28, 270, 0
0, 29, 264, 0
0, 30, 272, 0
0, 31, 280, 0
0, 32, 257, 0
0, 33, 285, 0
0, 34, 288, 0
0, 35, 274, 0
0, 36, 276, 0
0, 37, 271, 0
0, 38, 272, 0
0, 39, 272, 0
0, 40, 262, 0
0, 41, 274, 0
0, 42, 268, 0
0, 43, 272, 0
0, 44, 296, 0
0, 45, 262, 0
0, 46, 271, 0
0, 47, 265, 0
0, 48, 266, 0
0, 49, 283, 0
0, 50, 266, 0
0, 51, 276, 0
0, 52, 280, 0
0, 53, 263, 0
