Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
1, 1, 5192, 0, 2, 26971
0, 2, 3913, 0, 2, 26971
0, 3, 3925, 0, 2, 26971
0, 4, 3835, 0, 2, 26971
0, 5, 3810, 0, 2, 26971
0, 6, 3788, 0, 2, 26971
0, 7, 3802, 0, 2, 26971
0, 8, 3777, 0, 2, 26971
0, 9, 3778, 0, 2, 26971
0, 10, 4214, 0, 2, 26971
0, 11, 3693, 0, 2, 26971
0, 12, 3765, 0, 2, 26971
0, 13, 3783, 0, 2, 26971
0, 14, 3785, 0, 2, 26971
0, 15, 3774, 0, 2, 26971
0, 16, 6745, 0, 2, 26971
0, 17, 6604, 0, 2, 26971
0, 18, 3656, 0, 2, 26971
0, 19, 3477, 0, 2, 26971
0, 20, 3627, 0, 2, 26971
0, 21, 3749, 0, 2, 26971
0, 22, 3761, 0, 2, 26971
0, 23, 3765, 0, 2, 26971
0, 24, 3774, 0, 2, 26971
0, 25, 3786, 0, 2, 26971
0, 26, 4014, 0, 2, 26971
0, 27, 3791, 0, 2, 26971
0, 28, 3766, 0, 2, 26971
0, 29, 3773, 0, 2, 26971
0, 30, 3755, 0, 2, 26971
0, 0, 0, 4029
2, 1, 3508, 0, 2, 26971
0, 2, 3756, 0, 2, 26971
0, 3, 3804, 0, 2, 26971
0, 4, 3867, 0, 2, 26971
0, 5, 3773, 0, 2, 26971
0, 6, 3752, 0, 2, 26971
0, 7, 3758, 0, 2, 26971
0, 8, 3730, 0, 2, 26971
0, 9, 3481, 0, 2, 26971
0, 10, 3474, 0, 2, 26971
0, 11, 3742, 0, 2, 26971
0, 12, 3654, 0, 2, 26971
0, 13, 3630, 0, 2, 26971
0, 14, 3351, 0, 2, 26971
0, 15, 3742, 0, 2, 26971
0, 16, 3745, 0, 2, 26971
0, 17, 3766, 0, 2, 26971
0, 18, 3768, 0, 2, 26971
0, 19, 3756, 0, 2, 26971
0, 20, 3728, 0, 2, 26971
0, 21, 4104, 0, 2, 26971
0, 22, 3755, 0, 2, 26971
0, 23, 3768, 0, 2, 26971
0, 24, 3753, 0, 2, 26971
0, 25, 3736, 0, 2, 26971
0, 26, 3598, 0, 2, 26971
0, 27, 3370, 0, 2, 26971
0, 28, 3689, 0, 2, 26971
0, 29, 3637, 0, 2, 26971
0, 30, 3478, 0, 2, 26971
0, 0, 0, 3689
3, 1, 3795, 0, 2, 26971
0, 2, 3770, 0, 2, 26971
0, 3, 3770, 0, 2, 26971
0, 4, 3788, 0, 2, 26971
0, 5, 3872, 0, 2, 26971
0, 6, 3832, 0, 2, 26971
0, 7, 4134, 0, 2, 26971
0, 8, 3698, 0, 2, 26971
0, 9, 3761, 0, 2, 26971
0, 10, 3966, 0, 2, 26971
0, 11, 3699, 0, 2, 26971
0, 12, 3723, 0, 2, 26971
0, 13, 3741, 0, 2, 26971
0, 14, 3753, 0, 2, 26971
0, 15, 3760, 0, 2, 26971
0, 16, 3951, 0, 2, 26971
0, 17, 3766, 0, 2, 26971
0, 18, 3770, 0, 2, 26971
0, 19, 3728, 0, 2, 26971
0, 20, 3600, 0, 2, 26971
0, 21, 3342, 0, 2, 26971
0, 22, 3725, 0, 2, 26971
0, 23, 3745, 0, 2, 26971
0, 24, 3509, 0, 2, 26971
0, 25, 3351, 0, 2, 26971
0, 26, 3819, 0, 2, 26971
0, 27, 3769, 0, 2, 26971
0, 28, 3752, 0, 2, 26971
0, 29, 3829, 0, 2, 26971
0, 30, 3765, 0, 2, 26971
0, 0, 0, 3749
4, 1, 3407, 0, 2, 26971
0, 2, 3742, 0, 2, 26971
0, 3, 3892, 0, 2, 26971
0, 4, 3779, 0, 2, 26971
0, 5, 3785, 0, 2, 26971
0, 6, 3911, 0, 2, 26971
0, 7, 3904, 0, 2, 26971
0, 8, 3795, 0, 2, 26971
0, 9, 3762, 0, 2, 26971
0, 10, 3766, 0, 2, 26971
0, 11, 3440, 0, 2, 26971
0, 12, 3609, 0, 2, 26971
0, 13, 3764, 0, 2, 26971
0, 14, 3780, 0, 2, 26971
0, 15, 3787, 0, 2, 26971
0, 16, 3783, 0, 2, 26971
0, 17, 3771, 0, 2, 26971
0, 18, 3785, 0, 2, 26971
0, 19, 4188, 0, 2, 26971
0, 20, 3685, 0, 2, 26971
0, 21, 3755, 0, 2, 26971
0, 22, 3888, 0, 2, 26971
0, 23, 3751, 0, 2, 26971
0, 24, 3757, 0, 2, 26971
0, 25, 3767, 0, 2, 26971
