Filter, ID, Time_ms, Average_time
100, 1, 290, 0
0, 2, 287, 0
0, 3, 286, 0
0, 4, 280, 0
0, 5, 284, 0
0, 6, 286, 0
0, 7, 307, 0
0, 8, 289, 0
0, 9, 287, 0
0, 10, 283, 0
0, 11, 281, 0
0, 12, 278, 0
0, 13, 293, 0
0, 14, 285, 0
0, 15, 299, 0
0, 16, 283, 0
0, 17, 287, 0
0, 18, 281, 0
0, 19, 310, 0
0, 20, 287, 0
0, 21, 282, 0
0, 22, 280, 0
0, 23, 289, 0
0, 24, 280, 0
0, 25, 303, 0
0, 26, 287, 0
0, 27, 289, 0
0, 28, 281, 0
0, 29, 280, 0
0, 30, 272, 0
0, 0, 0, 287
110, 1, 325, 0
0, 2, 311, 0
0, 3, 317, 0
0, 4, 319, 0
0, 5, 317, 0
0, 6, 306, 0
0, 7, 332, 0
0, 8, 314, 0
0, 9, 313, 0
0, 10, 316, 0
0, 11, 317, 0
0, 12, 306, 0
0, 13, 331, 0
0, 14, 311, 0
0, 15, 315, 0
0, 16, 313, 0
0, 17, 309, 0
0, 18, 312, 0
0, 19, 333, 0
0, 20, 318, 0
0, 21, 311, 0
0, 22, 317, 0
0, 23, 316, 0
0, 24, 301, 0
0, 25, 325, 0
0, 26, 304, 0
0, 27, 315, 0
0, 28, 311, 0
0, 29, 317, 0
0, 30, 306, 0
0, 0, 0, 315
120, 1, 362, 0
0, 2, 344, 0
0, 3, 343, 0
0, 4, 347, 0
0, 5, 340, 0
0, 6, 334, 0
0, 7, 355, 0
0, 8, 344, 0
0, 9, 339, 0
0, 10, 342, 0
0, 11, 342, 0
0, 12, 343, 0
0, 13, 373, 0
0, 14, 348, 0
0, 15, 350, 0
0, 16, 361, 0
0, 17, 347, 0
0, 18, 344, 0
0, 19, 378, 0
0, 20, 362, 0
0, 21, 361, 0
0, 22, 354, 0
0, 23, 347, 0
0, 24, 326, 0
0, 25, 362, 0
0, 26, 347, 0
0, 27, 343, 0
0, 28, 344, 0
0, 29, 344, 0
0, 30, 335, 0
0, 0, 0, 349
130, 1, 388, 0
0, 2, 373, 0
0, 3, 377, 0
0, 4, 383, 0
0, 5, 367, 0
0, 6, 363, 0
0, 7, 397, 0
0, 8, 381, 0
0, 9, 365, 0
0, 10, 371, 0
0, 11, 367, 0
0, 12, 370, 0
0, 13, 393, 0
0, 14, 369, 0
0, 15, 379, 0
0, 16, 364, 0
0, 17, 374, 0
0, 18, 362, 0
0, 19, 408, 0
0, 20, 373, 0
0, 21, 370, 0
0, 22, 368, 0
0, 23, 363, 0
0, 24, 355, 0
0, 25, 376, 0
0, 26, 366, 0
0, 27, 381, 0
0, 28, 373, 0
0, 29, 373, 0
0, 30, 355, 0
0, 0, 0, 373
140, 1, 426, 0
0, 2, 393, 0
0, 3, 402, 0
0, 4, 405, 0
0, 5, 398, 0
0, 6, 407, 0
0, 7, 424, 0
0, 8, 387, 0
0, 9, 397, 0
0, 10, 413, 0
0, 11, 411, 0
0, 12, 389, 0
0, 13, 422, 0
0, 14, 405, 0
0, 15, 402, 0
0, 16, 404, 0
0, 17, 406, 0
0, 18, 398, 0
0, 19, 415, 0
0, 20, 401, 0
0, 21, 397, 0
0, 22, 394, 0
0, 23, 409, 0
0, 24, 398, 0
0, 25, 427, 0
0, 26, 402, 0
0, 27, 393, 0
0, 28, 410, 0
0, 29, 409, 0
0, 30, 398, 0
0, 0, 0, 405
150, 1, 459, 0
0, 2, 439, 0
0, 3, 444, 0
0, 4, 436, 0
0, 5, 436, 0
0, 6, 433, 0
0, 7, 455, 0
0, 8, 433, 0
0, 9, 440, 0
0, 10, 437, 0
0, 11, 444, 0
0, 12, 424, 0
0, 13, 457, 0
0, 14, 430, 0
0, 15, 454, 0
0, 16, 437, 0
0, 17, 440, 0
0, 18, 427, 0
0, 19, 450, 0
0, 20, 440, 0
0, 21, 441, 0
0, 22, 435, 0
0, 23, 439, 0
0, 24, 425, 0
0, 25, 474, 0
0, 26, 443, 0
0, 27, 448, 0
0, 28, 442, 0
0, 29, 436, 0
0, 30, 435, 0
0, 0, 0, 441
160, 1, 499, 0
0, 2, 478, 0
0, 3, 475, 0
0, 4, 475, 0
0, 5, 466, 0
0, 6, 445, 0
0, 7, 482, 0
0, 8, 458, 0
0, 9, 468, 0
0, 10, 477, 0
0, 11, 470, 0
0, 12, 452, 0
0, 13, 504, 0
0, 14, 476, 0
0, 15, 467, 0
0, 16, 479, 0
0, 17, 465, 0
0, 18, 457, 0
0, 19, 494, 0
0, 20, 472, 0
0, 21, 476, 0
0, 22, 465, 0
0, 23, 462, 0
0, 24, 461, 0
0, 25, 490, 0
0, 26, 462, 0
0, 27, 463, 0
0, 28, 453, 0
0, 29, 461, 0
0, 30, 462, 0
0, 0, 0, 470
170, 1, 504, 0
0, 2, 486, 0
0, 3, 478, 0
0, 4, 480, 0
0, 5, 491, 0
0, 6, 485, 0
0, 7, 513, 0
0, 8, 488, 0
0, 9, 476, 0
0, 10, 492, 0
0, 11, 493, 0
0, 12, 478, 0
0, 13, 523, 0
0, 14, 483, 0
0, 15, 493, 0
0, 16, 489, 0
0, 17, 495, 0
0, 18, 473, 0
0, 19, 506, 0
0, 20, 486, 0
0, 21, 493, 0
0, 22, 477, 0
0, 23, 490, 0
0, 24, 469, 0
0, 25, 521, 0
0, 26, 488, 0
0, 27, 493, 0
0, 28, 482, 0
0, 29, 477, 0
0, 30, 460, 0
0, 0, 0, 489
180, 1, 532, 0
0, 2, 530, 0
0, 3, 497, 0
0, 4, 497, 0
0, 5, 498, 0
0, 6, 524, 0
0, 7, 494, 0
0, 8, 507, 0
0, 9, 507, 0
0, 10, 498, 0
0, 11, 501, 0
0, 12, 527, 0
0, 13, 496, 0
0, 14, 518, 0
0, 15, 504, 0
0, 16, 498, 0
0, 17, 490, 0
0, 18, 536, 0
0, 19, 502, 0
0, 20, 517, 0
0, 21, 496, 0
0, 22, 487, 0
0, 23, 487, 0
0, 24, 533, 0
0, 25, 502, 0
0, 26, 509, 0
0, 27, 483, 0
0, 28, 482, 0
0, 29, 490, 0
0, 30, 525, 0
0, 0, 0, 506
190, 1, 535, 0
0, 2, 523, 0
0, 3, 540, 0
0, 4, 555, 0
0, 5, 549, 0
0, 6, 528, 0
0, 7, 531, 0
0, 8, 556, 0
0, 9, 532, 0
0, 10, 531, 0
0, 11, 532, 0
0, 12, 534, 0
0, 13, 601, 0
0, 14, 532, 0
0, 15, 561, 0
0, 16, 522, 0
0, 17, 531, 0
0, 18, 520, 0
0, 19, 550, 0
0, 20, 533, 0
0, 21, 537, 0
0, 22, 529, 0
0, 23, 540, 0
0, 24, 548, 0
0, 25, 529, 0
0, 26, 524, 0
0, 27, 544, 0
0, 28, 538, 0
0, 29, 546, 0
0, 30, 547, 0
0, 0, 0, 539
200, 1, 558, 0
0, 2, 565, 0
0, 3, 565, 0
0, 4, 568, 0
0, 5, 612, 0
0, 6, 562, 0
0, 7, 591, 0
0, 8, 557, 0
0, 9, 559, 0
0, 10, 551, 0
0, 11, 569, 0
0, 12, 572, 0
0, 13, 584, 0
0, 14, 560, 0
0, 15, 576, 0
0, 16, 572, 0
0, 17, 547, 0
0, 18, 557, 0
0, 19, 579, 0
0, 20, 586, 0
0, 21, 561, 0
0, 22, 559, 0
0, 23, 556, 0
0, 24, 580, 0
0, 25, 562, 0
0, 26, 566, 0
0, 27, 577, 0
0, 28, 560, 0
0, 29, 563, 0
0, 30, 585, 0
