Filter, ID, Time_us, Average_time
10, 1, 72188, 0
0, 2, 72541, 0
0, 3, 71255, 0
0, 4, 71690, 0
0, 5, 72185, 0
0, 6, 71640, 0
0, 7, 72499, 0
0, 8, 69345, 0
0, 9, 69875, 0
0, 10, 69793, 0
0, 11, 69872, 0
0, 12, 71018, 0
0, 13, 68320, 0
0, 14, 69241, 0
0, 15, 69012, 0
0, 16, 69632, 0
0, 17, 70243, 0
0, 18, 70367, 0
0, 19, 69367, 0
0, 20, 70755, 0
0, 21, 68273, 0
0, 22, 70798, 0
0, 23, 67539, 0
0, 24, 69175, 0
0, 25, 69535, 0
0, 26, 69111, 0
0, 27, 70606, 0
0, 28, 70268, 0
0, 29, 69837, 0
0, 30, 70555, 0
0, 31, 69573, 0
0, 32, 70898, 0
0, 33, 69454, 0
0, 34, 72558, 0
0, 35, 69208, 0
0, 36, 69586, 0
0, 37, 69585, 0
0, 38, 70806, 0
0, 39, 69767, 0
0, 40, 69536, 0
0, 41, 69532, 0
0, 42, 70769, 0
0, 43, 69409, 0
0, 44, 71103, 0
0, 45, 70320, 0
0, 46, 70260, 0
0, 47, 70197, 0
0, 48, 69187, 0
0, 49, 69614, 0
0, 50, 68440, 0
0, 51, 68148, 0
0, 52, 69277, 0
0, 53, 68266, 0
0, 54, 71815, 0
0, 55, 68309, 0
0, 56, 70091, 0
0, 57, 69870, 0
0, 58, 70551, 0
0, 59, 70929, 0
0, 60, 69932, 0
0, 0, 0, 70059
20, 1, 148132, 0
0, 2, 146181, 0
0, 3, 145226, 0
0, 4, 143582, 0
0, 5, 143864, 0
0, 6, 144679, 0
0, 7, 144861, 0
0, 8, 144773, 0
0, 9, 147168, 0
0, 10, 143641, 0
0, 11, 145415, 0
0, 12, 146912, 0
0, 13, 145051, 0
0, 14, 145185, 0
0, 15, 145429, 0
0, 16, 145276, 0
0, 17, 145689, 0
0, 18, 145756, 0
0, 19, 144404, 0
0, 20, 144705, 0
0, 21, 144470, 0
0, 22, 143516, 0
0, 23, 145154, 0
0, 24, 146527, 0
0, 25, 144891, 0
0, 26, 144319, 0
0, 27, 143911, 0
0, 28, 143765, 0
0, 29, 145229, 0
0, 30, 145746, 0
0, 31, 149346, 0
0, 32, 146163, 0
0, 33, 143788, 0
0, 34, 144575, 0
0, 35, 145739, 0
0, 36, 144251, 0
0, 37, 146447, 0
0, 38, 144008, 0
0, 39, 146417, 0
0, 40, 144475, 0
0, 41, 144123, 0
0, 42, 144501, 0
0, 43, 144128, 0
0, 44, 144081, 0
0, 45, 145316, 0
0, 46, 145856, 0
0, 47, 145180, 0
0, 48, 144738, 0
0, 49, 144384, 0
0, 50, 147382, 0
0, 51, 144637, 0
0, 52, 144278, 0
0, 53, 147073, 0
0, 54, 145205, 0
0, 55, 144340, 0
0, 56, 143636, 0
0, 57, 146446, 0
0, 58, 143612, 0
0, 59, 145717, 0
0, 60, 145685, 0
0, 0, 0, 145150
30, 1, 220040, 0
0, 2, 222103, 0
0, 3, 219609, 0
0, 4, 220264, 0
0, 5, 223191, 0
0, 6, 226202, 0
0, 7, 233588, 0
0, 8, 234308, 0
0, 9, 221159, 0
0, 10, 222541, 0
0, 11, 221060, 0
0, 12, 219987, 0
0, 13, 219748, 0
0, 14, 221978, 0
0, 15, 225039, 0
0, 16, 220681, 0
0, 17, 220649, 0
0, 18, 222965, 0
0, 19, 221462, 0
0, 20, 222173, 0
0, 21, 222448, 0
0, 22, 222784, 0
0, 23, 219675, 0
0, 24, 223419, 0
0, 25, 221150, 0
0, 26, 221931, 0
0, 27, 221113, 0
0, 28, 222414, 0
0, 29, 221442, 0
0, 30, 220162, 0
0, 31, 223720, 0
0, 32, 225445, 0
0, 33, 225971, 0
0, 34, 224720, 0
0, 35, 223691, 0
0, 36, 224547, 0
0, 37, 223748, 0
0, 38, 223998, 0
0, 39, 219091, 0
0, 40, 221406, 0
0, 41, 219559, 0
0, 42, 218519, 0
0, 43, 219954, 0
0, 44, 218895, 0
0, 45, 219392, 0
0, 46, 222621, 0
0, 47, 218641, 0
0, 48, 220699, 0
0, 49, 219720, 0
0, 50, 218707, 0
0, 51, 217459, 0
0, 52, 222073, 0
0, 53, 219526, 0
0, 54, 218551, 0
0, 55, 217799, 0
0, 56, 219934, 0
0, 57, 218783, 0
0, 58, 221393, 0
0, 59, 220845, 0
0, 60, 218178, 0
0, 0, 0, 221714
40, 1, 298150, 0
0, 2, 295440, 0
0, 3, 295629, 0
0, 4, 296247, 0
0, 5, 295171, 0
0, 6, 294933, 0
0, 7, 295502, 0
0, 8, 294870, 0
0, 9, 300116, 0
0, 10, 293186, 0
0, 11, 295526, 0
0, 12, 294964, 0
0, 13, 294267, 0
0, 14, 293188, 0
0, 15, 297821, 0
0, 16, 297490, 0
0, 17, 294106, 0
0, 18, 299490, 0
0, 19, 296162, 0
0, 20, 294689, 0
0, 21, 295883, 0
0, 22, 294106, 0
0, 23, 295724, 0
0, 24, 294341, 0
0, 25, 293544, 0
0, 26, 295080, 0
0, 27, 294636, 0
0, 28, 295529, 0
0, 29, 296561, 0
0, 30, 294075, 0
0, 31, 293175, 0
0, 32, 295367, 0
0, 33, 295493, 0
0, 34, 292705, 0
0, 35, 296165, 0
0, 36, 293953, 0
0, 37, 297348, 0
0, 38, 293997, 0
0, 39, 293678, 0
0, 40, 295121, 0
0, 41, 294416, 0
0, 42, 292358, 0
0, 43, 297441, 0
0, 44, 293636, 0
0, 45, 293591, 0
0, 46, 295062, 0
0, 47, 299751, 0
0, 48, 293418, 0
0, 49, 296650, 0
0, 50, 294390, 0
0, 51, 295522, 0
0, 52, 297977, 0
0, 53, 298075, 0
0, 54, 293743, 0
0, 55, 296507, 0
0, 56, 297525, 0
0, 57, 295105, 0
0, 58, 295052, 0
0, 59, 296603, 0
0, 60, 294785, 0
0, 0, 0, 295417
50, 1, 371776, 0
0, 2, 375032, 0
0, 3, 372645, 0
0, 4, 371526, 0
0, 5, 374362, 0
0, 6, 377162, 0
0, 7, 373514, 0
0, 8, 372048, 0
0, 9, 376602, 0
0, 10, 374720, 0
0, 11, 372024, 0
0, 12, 384155, 0
0, 13, 373090, 0
0, 14, 371707, 0
0, 15, 377093, 0
0, 16, 371389, 0
0, 17, 370094, 0
0, 18, 380850, 0
0, 19, 371137, 0
0, 20, 376929, 0
0, 21, 377878, 0
0, 22, 373514, 0
0, 23, 371804, 0
0, 24, 376917, 0
0, 25, 371300, 0
0, 26, 372828, 0
0, 27, 379135, 0
0, 28, 375277, 0
0, 29, 372147, 0
0, 30, 377916, 0
0, 31, 372529, 0
0, 32, 373596, 0
0, 33, 377280, 0
0, 34, 373032, 0
0, 35, 375192, 0
0, 36, 376861, 0
0, 37, 371251, 0
0, 38, 371617, 0
0, 39, 376406, 0
0, 40, 375912, 0
0, 41, 372031, 0
0, 42, 380594, 0
0, 43, 373310, 0
0, 44, 375541, 0
0, 45, 378803, 0
0, 46, 372130, 0
0, 47, 370969, 0
0, 48, 377841, 0
0, 49, 372798, 0
0, 50, 375591, 0
0, 51, 375765, 0
0, 52, 374121, 0
0, 53, 372386, 0
0, 54, 379725, 0
0, 55, 372940, 0
0, 56, 373100, 0
0, 57, 378886, 0
0, 58, 373548, 0
0, 59, 370640, 0
0, 60, 377809, 0
0, 0, 0, 374646
60, 1, 455716, 0
0, 2, 455236, 0
0, 3, 454773, 0
0, 4, 456676, 0
0, 5, 455562, 0
0, 6, 454224, 0
0, 7, 454509, 0
0, 8, 454821, 0
0, 9, 454928, 0
0, 10, 455071, 0
0, 11, 456533, 0
0, 12, 454705, 0
0, 13, 452907, 0
0, 14, 455388, 0
0, 15, 453312, 0
0, 16, 453313, 0
0, 17, 456953, 0
0, 18, 453549, 0
0, 19, 454246, 0
0, 20, 454179, 0
0, 21, 453175, 0
0, 22, 457000, 0
0, 23, 457066, 0
0, 24, 457552, 0
0, 25, 453279, 0
0, 26, 454019, 0
0, 27, 458653, 0
0, 28, 457666, 0
0, 29, 458400, 0
0, 30, 453152, 0
0, 31, 456825, 0
0, 32, 454676, 0
0, 33, 455627, 0
0, 34, 451973, 0
0, 35, 456040, 0
0, 36, 452634, 0
0, 37, 456972, 0
0, 38, 453872, 0
0, 39, 453790, 0
0, 40, 453681, 0
0, 41, 453520, 0
0, 42, 453246, 0
0, 43, 458838, 0
0, 44, 458673, 0
0, 45, 455611, 0
0, 46, 452272, 0
0, 47, 454968, 0
0, 48, 455894, 0
0, 49, 457646, 0
0, 50, 458609, 0
0, 51, 453948, 0
0, 52, 454319, 0
0, 53, 454655, 0
0, 54, 453635, 0
0, 55, 452955, 0
0, 56, 456634, 0
0, 57, 456886, 0
0, 58, 454096, 0
0, 59, 455257, 0
0, 60, 453456, 0
0, 0, 0, 455130
70, 1, 534368, 0
0, 2, 536193, 0
0, 3, 533332, 0
0, 4, 535001, 0
0, 5, 533248, 0
0, 6, 533627, 0
0, 7, 537341, 0
0, 8, 533844, 0
0, 9, 532044, 0
0, 10, 535018, 0
0, 11, 532064, 0
0, 12, 535743, 0
0, 13, 532163, 0
0, 14, 532006, 0
0, 15, 530207, 0
0, 16, 532303, 0
0, 17, 531326, 0
0, 18, 535025, 0
0, 19, 532294, 0
0, 20, 532719, 0
0, 21, 532243, 0
0, 22, 531662, 0
0, 23, 539757, 0
0, 24, 530626, 0
0, 25, 539192, 0
0, 26, 534710, 0
0, 27, 532173, 0
0, 28, 536341, 0
0, 29, 533646, 0
0, 30, 530497, 0
0, 31, 531935, 0
0, 32, 532214, 0
0, 33, 532440, 0
0, 34, 535900, 0
0, 35, 532001, 0
0, 36, 532333, 0
0, 37, 532403, 0
0, 38, 532497, 0
0, 39, 535590, 0
0, 40, 534339, 0
0, 41, 532774, 0
0, 42, 533122, 0
0, 43, 532537, 0
0, 44, 539836, 0
0, 45, 531412, 0
0, 46, 533060, 0
0, 47, 531588, 0
0, 48, 532355, 0
0, 49, 534022, 0
0, 50, 535991, 0
0, 51, 531865, 0
0, 52, 534073, 0
0, 53, 533097, 0
0, 54, 533011, 0
0, 55, 537476, 0
0, 56, 535696, 0
0, 57, 563300, 0
0, 58, 540887, 0
0, 59, 536235, 0
0, 60, 537333, 0
0, 0, 0, 534367
80, 1, 613344, 0
0, 2, 618490, 0
0, 3, 611205, 0
0, 4, 612916, 0
0, 5, 615099, 0
0, 6, 614126, 0
0, 7, 616003, 0
0, 8, 613903, 0
0, 9, 613707, 0
0, 10, 612027, 0
0, 11, 611792, 0
0, 12, 610765, 0
0, 13, 611263, 0
0, 14, 617828, 0
0, 15, 611486, 0
0, 16, 612357, 0
0, 17, 612577, 0
0, 18, 612177, 0
0, 19, 612820, 0
0, 20, 611962, 0
0, 21, 612263, 0
0, 22, 613408, 0
0, 23, 611760, 0
0, 24, 614524, 0
0, 25, 611241, 0
0, 26, 613495, 0
0, 27, 611082, 0
0, 28, 611326, 0
0, 29, 616255, 0
0, 30, 609976, 0
0, 31, 611760, 0
0, 32, 611237, 0
0, 33, 609886, 0
0, 34, 615947, 0
0, 35, 610899, 0
0, 36, 612034, 0
