Filter, ID, Time_us, Average_time
10, 1, 1449, 0
0, 2, 820, 0
0, 3, 860, 0
0, 4, 859, 0
0, 5, 904, 0
0, 6, 917, 0
0, 7, 912, 0
0, 8, 858, 0
0, 9, 822, 0
0, 10, 819, 0
0, 11, 844, 0
0, 12, 833, 0
0, 13, 823, 0
0, 14, 844, 0
0, 15, 842, 0
0, 16, 819, 0
0, 17, 853, 0
0, 18, 860, 0
0, 19, 829, 0
0, 20, 820, 0
0, 21, 835, 0
0, 22, 832, 0
0, 23, 820, 0
0, 24, 831, 0
0, 25, 822, 0
0, 26, 821, 0
0, 27, 820, 0
0, 28, 825, 0
0, 29, 836, 0
0, 30, 827, 0
0, 31, 819, 0
0, 32, 817, 0
0, 33, 826, 0
0, 34, 844, 0
0, 35, 825, 0
0, 36, 824, 0
0, 37, 834, 0
0, 38, 822, 0
0, 39, 831, 0
0, 40, 866, 0
0, 41, 828, 0
0, 42, 829, 0
0, 43, 859, 0
0, 44, 836, 0
0, 45, 819, 0
0, 46, 822, 0
0, 47, 837, 0
0, 48, 828, 0
0, 49, 840, 0
0, 50, 833, 0
0, 51, 882, 0
0, 52, 818, 0
0, 53, 836, 0
0, 54, 828, 0
0, 55, 835, 0
0, 56, 828, 0
0, 57, 862, 0
0, 58, 834, 0
0, 59, 831, 0
0, 60, 834, 0
0, 0, 0, 848
20, 1, 1544, 0
0, 2, 1533, 0
0, 3, 1493, 0
0, 4, 1527, 0
0, 5, 1503, 0
0, 6, 1497, 0
0, 7, 2253, 0
0, 8, 1504, 0
0, 9, 1462, 0
0, 10, 1509, 0
0, 11, 1535, 0
0, 12, 1543, 0
0, 13, 1484, 0
0, 14, 1482, 0
0, 15, 1483, 0
0, 16, 1518, 0
0, 17, 1502, 0
0, 18, 1547, 0
0, 19, 1498, 0
0, 20, 1490, 0
0, 21, 1514, 0
0, 22, 1511, 0
0, 23, 1553, 0
0, 24, 1659, 0
0, 25, 1518, 0
0, 26, 1553, 0
0, 27, 1492, 0
0, 28, 1495, 0
0, 29, 1496, 0
0, 30, 1500, 0
0, 31, 1484, 0
0, 32, 1513, 0
0, 33, 1501, 0
0, 34, 1488, 0
0, 35, 1497, 0
0, 36, 1480, 0
0, 37, 1536, 0
0, 38, 1548, 0
0, 39, 1500, 0
0, 40, 1497, 0
0, 41, 1486, 0
0, 42, 1485, 0
0, 43, 1478, 0
