Filter, ID, Time_us, Average_time
10, 1, 10300, 0
0, 2, 9606, 0
0, 3, 9576, 0
0, 4, 9582, 0
0, 5, 9599, 0
0, 6, 9592, 0
0, 7, 9569, 0
0, 8, 9575, 0
0, 9, 9568, 0
0, 10, 9565, 0
0, 11, 9574, 0
0, 12, 9566, 0
0, 13, 9555, 0
0, 14, 9556, 0
0, 15, 9565, 0
0, 16, 9557, 0
0, 17, 9564, 0
0, 18, 9556, 0
0, 19, 9568, 0
0, 20, 9560, 0
0, 21, 9563, 0
0, 22, 9559, 0
0, 23, 9566, 0
0, 24, 9556, 0
0, 25, 9551, 0
0, 26, 9551, 0
0, 27, 9549, 0
0, 28, 9550, 0
0, 29, 9539, 0
0, 30, 9549, 0
0, 31, 9543, 0
0, 32, 9552, 0
0, 33, 9575, 0
0, 34, 9568, 0
0, 35, 9554, 0
0, 36, 9543, 0
0, 37, 9548, 0
0, 38, 9555, 0
0, 39, 9546, 0
0, 40, 9544, 0
0, 41, 9546, 0
0, 42, 9536, 0
0, 43, 9545, 0
0, 44, 9537, 0
0, 45, 9539, 0
0, 46, 9541, 0
0, 47, 9566, 0
0, 48, 9550, 0
0, 49, 9536, 0
0, 50, 9545, 0
0, 51, 9539, 0
0, 52, 9537, 0
0, 53, 9536, 0
0, 54, 9535, 0
0, 55, 9545, 0
0, 56, 9544, 0
0, 57, 9527, 0
0, 58, 9542, 0
0, 59, 9536, 0
0, 60, 9539, 0
0, 0, 0, 9567
20, 1, 19012, 0
0, 2, 18952, 0
0, 3, 18948, 0
0, 4, 18954, 0
0, 5, 18945, 0
0, 6, 18946, 0
0, 7, 18954, 0
0, 8, 19000, 0
0, 9, 18967, 0
0, 10, 18961, 0
0, 11, 18953, 0
0, 12, 18962, 0
0, 13, 18962, 0
0, 14, 18960, 0
0, 15, 18993, 0
0, 16, 18967, 0
0, 17, 18961, 0
0, 18, 18976, 0
0, 19, 18945, 0
0, 20, 18947, 0
0, 21, 18971, 0
0, 22, 19000, 0
0, 23, 18974, 0
0, 24, 18985, 0
0, 25, 18966, 0
0, 26, 18958, 0
0, 27, 18961, 0
0, 28, 18955, 0
0, 29, 18995, 0
0, 30, 18979, 0
0, 31, 18972, 0
0, 32, 18959, 0
0, 33, 18963, 0
0, 34, 18963, 0
0, 35, 18962, 0
0, 36, 18990, 0
0, 37, 18967, 0
0, 38, 18969, 0
0, 39, 18957, 0
0, 40, 18961, 0
0, 41, 18964, 0
0, 42, 18959, 0
0, 43, 19006, 0
0, 44, 18992, 0
0, 45, 18958, 0
0, 46, 18958, 0
0, 47, 18966, 0
0, 48, 18964, 0
0, 49, 18975, 0
0, 50, 18983, 0
0, 51, 18980, 0
0, 52, 18965, 0
0, 53, 18968, 0
0, 54, 18962, 0
0, 55, 18970, 0
0, 56, 18965, 0
0, 57, 18985, 0
0, 58, 18974, 0
0, 59, 18989, 0
0, 60, 18997, 0
0, 0, 0, 18969
30, 1, 28412, 0
0, 2, 28366, 0
0, 3, 28395, 0
0, 4, 28370, 0
0, 5, 28368, 0
0, 6, 28369, 0
0, 7, 28365, 0
0, 8, 28421, 0
0, 9, 28377, 0
0, 10, 28371, 0
0, 11, 28370, 0
0, 12, 28375, 0
0, 13, 28391, 0
0, 14, 28376, 0
0, 15, 28382, 0
0, 16, 28382, 0
0, 17, 28391, 0
0, 18, 28394, 0
0, 19, 28363, 0
0, 20, 28371, 0
0, 21, 28379, 0
0, 22, 28385, 0
0, 23, 28386, 0
0, 24, 28368, 0
0, 25, 28358, 0
0, 26, 28380, 0
0, 27, 28389, 0
0, 28, 28375, 0
0, 29, 28411, 0
0, 30, 28378, 0
0, 31, 28380, 0
0, 32, 28383, 0
0, 33, 28369, 0
0, 34, 28364, 0
0, 35, 28373, 0
0, 36, 28375, 0
0, 37, 28400, 0
0, 38, 28377, 0
0, 39, 28395, 0
0, 40, 28374, 0
0, 41, 28395, 0
0, 42, 28395, 0
0, 43, 28377, 0
0, 44, 28379, 0
0, 45, 28372, 0
0, 46, 28385, 0
0, 47, 28398, 0
0, 48, 28362, 0
0, 49, 28370, 0
0, 50, 28383, 0
0, 51, 28381, 0
0, 52, 28375, 0
0, 53, 28361, 0
0, 54, 28366, 0
0, 55, 28394, 0
0, 56, 28383, 0
0, 57, 28377, 0
0, 58, 28381, 0
0, 59, 28358, 0
0, 60, 28395, 0
0, 0, 0, 28379
40, 1, 37881, 0
0, 2, 37788, 0
0, 3, 37788, 0
0, 4, 37832, 0
0, 5, 37812, 0
0, 6, 37795, 0
0, 7, 37794, 0
0, 8, 37825, 0
0, 9, 37797, 0
0, 10, 37793, 0
0, 11, 37815, 0
0, 12, 37810, 0
0, 13, 37797, 0
0, 14, 37805, 0
0, 15, 38692, 0
0, 16, 38019, 0
0, 17, 37779, 0
0, 18, 37811, 0
0, 19, 37772, 0
0, 20, 37783, 0
0, 21, 37807, 0
0, 22, 37791, 0
0, 23, 37787, 0
0, 24, 37783, 0
