Filter, ID, Time_us, Average_time
10, 1, 31084, 0
0, 2, 29767, 0
0, 3, 28104, 0
0, 4, 28702, 0
0, 5, 28522, 0
0, 6, 28282, 0
0, 7, 29367, 0
0, 8, 31424, 0
0, 9, 28673, 0
0, 10, 28920, 0
0, 11, 28581, 0
0, 12, 28269, 0
0, 13, 28715, 0
0, 14, 28186, 0
0, 15, 28069, 0
0, 16, 28809, 0
0, 17, 28188, 0
0, 18, 28003, 0
0, 19, 28666, 0
0, 20, 28740, 0
0, 21, 28106, 0
0, 22, 28750, 0
0, 23, 28264, 0
0, 24, 28039, 0
0, 25, 28704, 0
0, 26, 28160, 0
0, 27, 28003, 0
0, 28, 28651, 0
0, 29, 28921, 0
0, 30, 27877, 0
0, 31, 28586, 0
0, 32, 28193, 0
0, 33, 27865, 0
0, 34, 28790, 0
0, 35, 28354, 0
0, 36, 28011, 0
0, 37, 29315, 0
0, 38, 29007, 0
0, 39, 28271, 0
0, 40, 29097, 0
0, 41, 28270, 0
0, 42, 28774, 0
0, 43, 28705, 0
0, 44, 28207, 0
0, 45, 27946, 0
0, 46, 29025, 0
0, 47, 28632, 0
0, 48, 27922, 0
0, 49, 28702, 0
0, 50, 28239, 0
0, 51, 28052, 0
0, 52, 28634, 0
0, 53, 28231, 0
0, 54, 27863, 0
0, 55, 28860, 0
0, 56, 28406, 0
0, 57, 28069, 0
0, 58, 28752, 0
0, 59, 28258, 0
0, 60, 28064, 0
0, 0, 0, 28561
20, 1, 53726, 0
0, 2, 53322, 0
0, 3, 53868, 0
0, 4, 53757, 0
0, 5, 53505, 0
0, 6, 53285, 0
0, 7, 54243, 0
0, 8, 56993, 0
0, 9, 53355, 0
0, 10, 54052, 0
0, 11, 53362, 0
0, 12, 53339, 0
0, 13, 54070, 0
0, 14, 53231, 0
0, 15, 53352, 0
0, 16, 53720, 0
0, 17, 53478, 0
0, 18, 53810, 0
0, 19, 53720, 0
0, 20, 54033, 0
0, 21, 53731, 0
0, 22, 54016, 0
0, 23, 54574, 0
0, 24, 54094, 0
0, 25, 57605, 0
0, 26, 53521, 0
0, 27, 53610, 0
0, 28, 54331, 0
0, 29, 53412, 0
0, 30, 53333, 0
0, 31, 53674, 0
0, 32, 53844, 0
0, 33, 53945, 0
0, 34, 54825, 0
0, 35, 54379, 0
0, 36, 54130, 0
0, 37, 56335, 0
0, 38, 54780, 0
0, 39, 54379, 0
0, 40, 55324, 0
0, 41, 54173, 0
0, 42, 54696, 0
0, 43, 56367, 0
0, 44, 59433, 0
0, 45, 58733, 0
0, 46, 59620, 0
0, 47, 58964, 0
0, 48, 59065, 0
0, 49, 59743, 0
0, 50, 58746, 0
0, 51, 59454, 0
0, 52, 60738, 0
0, 53, 58985, 0
0, 54, 59241, 0
0, 55, 56486, 0
0, 56, 55400, 0
0, 57, 55489, 0
0, 58, 57020, 0
0, 59, 54839, 0
0, 60, 55345, 0
0, 0, 0, 55277
30, 1, 86761, 0
0, 2, 80255, 0
0, 3, 81094, 0
0, 4, 82165, 0
0, 5, 81375, 0
0, 6, 80956, 0
0, 7, 80995, 0
0, 8, 79921, 0
0, 9, 81137, 0
0, 10, 82180, 0
0, 11, 80359, 0
0, 12, 83658, 0
0, 13, 88501, 0
0, 14, 91897, 0
0, 15, 89139, 0
0, 16, 88346, 0
0, 17, 87389, 0
0, 18, 90207, 0
0, 19, 88562, 0
0, 20, 87904, 0
0, 21, 87650, 0
0, 22, 78756, 0
0, 23, 78168, 0
0, 24, 79044, 0
0, 25, 78773, 0
0, 26, 78536, 0
0, 27, 79699, 0
0, 28, 79304, 0
0, 29, 78222, 0
0, 30, 79668, 0
0, 31, 78918, 0
0, 32, 78381, 0
0, 33, 78549, 0
0, 34, 78725, 0
0, 35, 78840, 0
0, 36, 78567, 0
0, 37, 78764, 0
0, 38, 78402, 0
0, 39, 79756, 0
0, 40, 82502, 0
0, 41, 78508, 0
0, 42, 80004, 0
0, 43, 78677, 0
0, 44, 78460, 0
0, 45, 79023, 0
0, 46, 78845, 0
0, 47, 78304, 0
0, 48, 78403, 0
0, 49, 79245, 0
0, 50, 78083, 0
0, 51, 79223, 0
0, 52, 83717, 0
0, 53, 78401, 0
0, 54, 79206, 0
0, 55, 78693, 0
0, 56, 78792, 0
0, 57, 79448, 0
0, 58, 78979, 0
0, 59, 78523, 0
0, 60, 78884, 0
0, 0, 0, 81057
40, 1, 104037, 0
0, 2, 103786, 0
0, 3, 103872, 0
0, 4, 108303, 0
0, 5, 103947, 0
0, 6, 105133, 0
0, 7, 106330, 0
0, 8, 105345, 0
0, 9, 106017, 0
0, 10, 105256, 0
0, 11, 103622, 0
0, 12, 103876, 0
0, 13, 104117, 0
0, 14, 103135, 0
0, 15, 103823, 0
0, 16, 104498, 0
0, 17, 103209, 0
0, 18, 104259, 0
0, 19, 104487, 0
0, 20, 106601, 0
0, 21, 104362, 0
0, 22, 104087, 0
0, 23, 104085, 0
0, 24, 104667, 0
0, 25, 104228, 0
0, 26, 103397, 0
0, 27, 104029, 0
0, 28, 104030, 0
0, 29, 107726, 0
0, 30, 104328, 0
0, 31, 103924, 0
0, 32, 104421, 0
0, 33, 103862, 0
0, 34, 104465, 0
0, 35, 103480, 0
0, 36, 104076, 0
0, 37, 104598, 0
0, 38, 103293, 0
0, 39, 107991, 0
0, 40, 104971, 0
0, 41, 103466, 0
0, 42, 104043, 0
0, 43, 103918, 0
0, 44, 104078, 0
0, 45, 103678, 0
0, 46, 104203, 0
