Filter, ID, Time_ms, Average_time
10, 1, 9, 0
0, 2, 9, 0
0, 3, 9, 0
0, 4, 9, 0
0, 5, 9, 0
0, 6, 9, 0
0, 7, 9, 0
0, 8, 9, 0
0, 9, 9, 0
0, 10, 9, 0
0, 11, 9, 0
0, 12, 9, 0
0, 13, 9, 0
0, 14, 9, 0
0, 15, 9, 0
0, 16, 9, 0
0, 17, 9, 0
0, 18, 9, 0
0, 19, 9, 0
0, 20, 9, 0
0, 21, 9, 0
0, 22, 9, 0
0, 23, 9, 0
0, 24, 9, 0
0, 25, 9, 0
0, 26, 9, 0
0, 27, 9, 0
0, 28, 9, 0
0, 29, 9, 0
0, 30, 9, 0
0, 0, 0, 9
20, 1, 18, 0
0, 2, 18, 0
0, 3, 18, 0
0, 4, 18, 0
0, 5, 18, 0
0, 6, 18, 0
0, 7, 18, 0
0, 8, 18, 0
0, 9, 18, 0
0, 10, 18, 0
0, 11, 18, 0
0, 12, 18, 0
0, 13, 18, 0
0, 14, 18, 0
0, 15, 18, 0
0, 16, 18, 0
0, 17, 18, 0
0, 18, 18, 0
0, 19, 18, 0
0, 20, 18, 0
0, 21, 18, 0
0, 22, 18, 0
0, 23, 18, 0
0, 24, 18, 0
0, 25, 18, 0
0, 26, 18, 0
0, 27, 18, 0
0, 28, 18, 0
0, 29, 18, 0
0, 30, 18, 0
0, 0, 0, 18
30, 1, 28, 0
0, 2, 28, 0
0, 3, 28, 0
0, 4, 28, 0
0, 5, 28, 0
0, 6, 28, 0
0, 7, 28, 0
0, 8, 28, 0
0, 9, 28, 0
0, 10, 28, 0
0, 11, 29, 0
0, 12, 28, 0
0, 13, 28, 0
0, 14, 28, 0
0, 15, 28, 0
0, 16, 28, 0
0, 17, 28, 0
0, 18, 28, 0
0, 19, 28, 0
0, 20, 28, 0
0, 21, 28, 0
0, 22, 28, 0
0, 23, 28, 0
0, 24, 28, 0
0, 25, 28, 0
0, 26, 28, 0
0, 27, 28, 0
0, 28, 28, 0
0, 29, 28, 0
0, 30, 28, 0
0, 0, 0, 28
40, 1, 37, 0
0, 2, 37, 0
0, 3, 37, 0
0, 4, 37, 0
0, 5, 37, 0
0, 6, 37, 0
0, 7, 37, 0
0, 8, 37, 0
0, 9, 37, 0
0, 10, 37, 0
0, 11, 37, 0
0, 12, 37, 0
0, 13, 37, 0
0, 14, 37, 0
0, 15, 37, 0
0, 16, 37, 0
0, 17, 37, 0
0, 18, 37, 0
0, 19, 37, 0
0, 20, 37, 0
0, 21, 37, 0
0, 22, 37, 0
0, 23, 37, 0
0, 24, 37, 0
0, 25, 37, 0
0, 26, 37, 0
0, 27, 37, 0
0, 28, 37, 0
0, 29, 37, 0
0, 30, 37, 0
0, 0, 0, 37
50, 1, 47, 0
0, 2, 47, 0
0, 3, 47, 0
0, 4, 47, 0
0, 5, 47, 0
0, 6, 47, 0
0, 7, 47, 0
0, 8, 47, 0
0, 9, 47, 0
0, 10, 47, 0
0, 11, 47, 0
0, 12, 47, 0
0, 13, 47, 0
0, 14, 47, 0
0, 15, 47, 0
0, 16, 47, 0
0, 17, 47, 0
0, 18, 47, 0
0, 19, 47, 0
0, 20, 47, 0
0, 21, 47, 0
0, 22, 47, 0
0, 23, 47, 0
0, 24, 47, 0
0, 25, 47, 0
0, 26, 47, 0
0, 27, 47, 0
0, 28, 47, 0
0, 29, 47, 0
0, 30, 47, 0
0, 0, 0, 47
60, 1, 56, 0
0, 2, 56, 0
0, 3, 56, 0
0, 4, 56, 0
0, 5, 56, 0
0, 6, 56, 0
0, 7, 56, 0
0, 8, 56, 0
0, 9, 56, 0
0, 10, 56, 0
0, 11, 56, 0
0, 12, 56, 0
0, 13, 56, 0
0, 14, 56, 0
0, 15, 56, 0
0, 16, 56, 0
0, 17, 57, 0
0, 18, 56, 0
0, 19, 56, 0
0, 20, 56, 0
0, 21, 56, 0
0, 22, 56, 0
0, 23, 56, 0
0, 24, 56, 0
0, 25, 56, 0
0, 26, 56, 0
0, 27, 56, 0
0, 28, 56, 0
0, 29, 56, 0
0, 30, 56, 0
0, 0, 0, 56
70, 1, 65, 0
0, 2, 65, 0
0, 3, 65, 0
0, 4, 65, 0
0, 5, 65, 0
0, 6, 65, 0
0, 7, 65, 0
0, 8, 65, 0
0, 9, 65, 0
0, 10, 65, 0
0, 11, 65, 0
0, 12, 65, 0
0, 13, 65, 0
0, 14, 65, 0
0, 15, 65, 0
0, 16, 65, 0
0, 17, 65, 0
0, 18, 65, 0
0, 19, 65, 0
0, 20, 65, 0
0, 21, 65, 0
0, 22, 65, 0
0, 23, 65, 0
0, 24, 65, 0
0, 25, 65, 0
0, 26, 65, 0
0, 27, 65, 0
0, 28, 66, 0
0, 29, 66, 0
0, 30, 65, 0
0, 0, 0, 65
80, 1, 75, 0
0, 2, 75, 0
0, 3, 75, 0
0, 4, 75, 0
0, 5, 75, 0
0, 6, 75, 0
0, 7, 75, 0
0, 8, 75, 0
0, 9, 75, 0
0, 10, 75, 0
0, 11, 75, 0
0, 12, 75, 0
0, 13, 75, 0
0, 14, 75, 0
0, 15, 75, 0
0, 16, 75, 0
0, 17, 75, 0
0, 18, 75, 0
0, 19, 75, 0
0, 20, 75, 0
0, 21, 75, 0
0, 22, 75, 0
0, 23, 75, 0
0, 24, 75, 0
0, 25, 75, 0
0, 26, 75, 0
0, 27, 75, 0
0, 28, 75, 0
0, 29, 75, 0
0, 30, 75, 0
0, 0, 0, 75
90, 1, 84, 0
0, 2, 84, 0
0, 3, 84, 0
0, 4, 84, 0
0, 5, 84, 0
0, 6, 84, 0
0, 7, 84, 0
0, 8, 84, 0
0, 9, 84, 0
0, 10, 84, 0
0, 11, 84, 0
0, 12, 85, 0
0, 13, 85, 0
0, 14, 84, 0
0, 15, 84, 0
0, 16, 84, 0
0, 17, 84, 0
0, 18, 84, 0
0, 19, 84, 0
0, 20, 84, 0
0, 21, 84, 0
0, 22, 84, 0
0, 23, 84, 0
0, 24, 84, 0
0, 25, 84, 0
0, 26, 84, 0
0, 27, 84, 0
0, 28, 84, 0
