Filter, ID, Time_ms, Average_time
500, 1, 73, 0
0, 2, 32, 0
0, 3, 31, 0
0, 4, 31, 0
0, 5, 32, 0
0, 6, 31, 0
0, 7, 28, 0
0, 8, 29, 0
0, 9, 27, 0
0, 10, 29, 0
0, 11, 27, 0
0, 12, 27, 0
0, 13, 29, 0
0, 14, 27, 0
0, 15, 27, 0
0, 16, 29, 0
0, 17, 28, 0
0, 18, 27, 0
0, 19, 29, 0
0, 20, 27, 0
0, 21, 27, 0
0, 22, 29, 0
0, 23, 27, 0
0, 24, 27, 0
0, 25, 29, 0
0, 26, 27, 0
0, 27, 27, 0
0, 28, 28, 0
0, 29, 27, 0
0, 30, 27, 0
0, 0, 0, 29
1000, 1, 41, 0
0, 2, 41, 0
0, 3, 41, 0
0, 4, 41, 0
0, 5, 44, 0
0, 6, 41, 0
0, 7, 41, 0
0, 8, 41, 0
0, 9, 41, 0
0, 10, 41, 0
0, 11, 41, 0
0, 12, 41, 0
0, 13, 41, 0
0, 14, 41, 0
0, 15, 41, 0
0, 16, 41, 0
0, 17, 41, 0
0, 18, 41, 0
0, 19, 41, 0
0, 20, 41, 0
0, 21, 41, 0
0, 22, 41, 0
0, 23, 43, 0
0, 24, 41, 0
0, 25, 41, 0
0, 26, 41, 0
0, 27, 41, 0
0, 28, 41, 0
0, 29, 41, 0
0, 30, 41, 0
0, 0, 0, 41
1500, 1, 54, 0
0, 2, 54, 0
0, 3, 54, 0
0, 4, 54, 0
0, 5, 54, 0
0, 6, 54, 0
0, 7, 54, 0
0, 8, 54, 0
0, 9, 54, 0
0, 10, 55, 0
0, 11, 54, 0
0, 12, 54, 0
0, 13, 54, 0
0, 14, 54, 0
0, 15, 54, 0
0, 16, 54, 0
0, 17, 54, 0
0, 18, 54, 0
0, 19, 54, 0
0, 20, 54, 0
0, 21, 54, 0
0, 22, 54, 0
0, 23, 54, 0
0, 24, 54, 0
0, 25, 54, 0
0, 26, 54, 0
0, 27, 54, 0
0, 28, 54, 0
0, 29, 54, 0
0, 30, 54, 0
0, 0, 0, 54
2000, 1, 67, 0
0, 2, 67, 0
0, 3, 67, 0
0, 4, 67, 0
0, 5, 67, 0
0, 6, 67, 0
0, 7, 67, 0
0, 8, 67, 0
0, 9, 67, 0
0, 10, 67, 0
0, 11, 67, 0
0, 12, 67, 0
0, 13, 67, 0
0, 14, 67, 0
0, 15, 67, 0
0, 16, 67, 0
0, 17, 67, 0
0, 18, 67, 0
0, 19, 67, 0
0, 20, 67, 0
0, 21, 67, 0
0, 22, 67, 0
0, 23, 67, 0
0, 24, 67, 0
0, 25, 67, 0
0, 26, 67, 0
0, 27, 67, 0
0, 28, 67, 0
0, 29, 67, 0
0, 30, 67, 0
0, 0, 0, 67
2500, 1, 80, 0
0, 2, 80, 0
0, 3, 80, 0
0, 4, 80, 0
0, 5, 80, 0
0, 6, 80, 0
0, 7, 80, 0
0, 8, 80, 0
0, 9, 80, 0
0, 10, 80, 0
0, 11, 80, 0
0, 12, 80, 0
0, 13, 80, 0
0, 14, 80, 0
0, 15, 83, 0
0, 16, 80, 0
0, 17, 80, 0
0, 18, 80, 0
0, 19, 80, 0
0, 20, 80, 0
0, 21, 80, 0
0, 22, 80, 0
0, 23, 80, 0
0, 24, 80, 0
0, 25, 81, 0
0, 26, 80, 0
0, 27, 80, 0
0, 28, 80, 0
0, 29, 80, 0
0, 30, 80, 0
0, 0, 0, 80
3000, 1, 94, 0
0, 2, 93, 0
0, 3, 93, 0
0, 4, 93, 0
0, 5, 93, 0
0, 6, 93, 0
0, 7, 93, 0
0, 8, 93, 0
0, 9, 93, 0
0, 10, 93, 0
0, 11, 93, 0
0, 12, 93, 0
0, 13, 93, 0
0, 14, 93, 0
0, 15, 93, 0
0, 16, 93, 0
0, 17, 93, 0
0, 18, 93, 0
0, 19, 93, 0
0, 20, 93, 0
0, 21, 93, 0
0, 22, 93, 0
0, 23, 93, 0
0, 24, 93, 0
0, 25, 93, 0
0, 26, 93, 0
0, 27, 93, 0
0, 28, 93, 0
0, 29, 93, 0
0, 30, 94, 0
0, 0, 0, 93
3500, 1, 107, 0
0, 2, 106, 0
0, 3, 106, 0
0, 4, 106, 0
0, 5, 106, 0
0, 6, 106, 0
0, 7, 106, 0
0, 8, 106, 0
0, 9, 106, 0
0, 10, 106, 0
0, 11, 106, 0
0, 12, 106, 0
0, 13, 106, 0
0, 14, 106, 0
0, 15, 106, 0
0, 16, 106, 0
0, 17, 106, 0
0, 18, 106, 0
0, 19, 106, 0
0, 20, 106, 0
0, 21, 109, 0
0, 22, 108, 0
0, 23, 106, 0
0, 24, 106, 0
0, 25, 106, 0
0, 26, 106, 0
0, 27, 106, 0
0, 28, 106, 0
0, 29, 106, 0
0, 30, 106, 0
0, 0, 0, 106
4000, 1, 119, 0
0, 2, 120, 0
0, 3, 119, 0
0, 4, 122, 0
0, 5, 119, 0
0, 6, 120, 0
0, 7, 119, 0
0, 8, 120, 0
0, 9, 119, 0
0, 10, 120, 0
0, 11, 119, 0
0, 12, 120, 0
0, 13, 119, 0
0, 14, 119, 0
0, 15, 119, 0
0, 16, 120, 0
0, 17, 119, 0
0, 18, 119, 0
0, 19, 119, 0
0, 20, 119, 0
0, 21, 119, 0
0, 22, 119, 0
0, 23, 119, 0
0, 24, 119, 0
0, 25, 120, 0
0, 26, 119, 0
0, 27, 119, 0
0, 28, 119, 0
0, 29, 119, 0
0, 30, 119, 0
0, 0, 0, 119
4500, 1, 133, 0
0, 2, 132, 0
0, 3, 133, 0
0, 4, 132, 0
0, 5, 133, 0
0, 6, 132, 0
0, 7, 133, 0
0, 8, 132, 0
0, 9, 132, 0
0, 10, 133, 0
0, 11, 133, 0
0, 12, 132, 0
0, 13, 132, 0
0, 14, 132, 0
0, 15, 132, 0
0, 16, 133, 0
0, 17, 133, 0
0, 18, 133, 0
0, 19, 132, 0
0, 20, 133, 0
0, 21, 132, 0
0, 22, 133, 0
0, 23, 132, 0
0, 24, 133, 0
0, 25, 133, 0
0, 26, 133, 0
0, 27, 132, 0
0, 28, 133, 0
0, 29, 132, 0
0, 30, 132, 0
0, 0, 0, 132
5000, 1, 243, 0
0, 2, 151, 0
0, 3, 149, 0
0, 4, 151, 0
0, 5, 147, 0
0, 6, 147, 0
0, 7, 147, 0
0, 8, 147, 0
