Filter, ID, Time_ms, Average_time
500, 1, 123, 0
0, 2, 38, 0
0, 3, 36, 0
0, 4, 36, 0
0, 5, 46, 0
0, 6, 36, 0
0, 7, 36, 0
0, 8, 49, 0
0, 9, 36, 0
0, 10, 36, 0
0, 11, 47, 0
0, 12, 36, 0
0, 13, 36, 0
0, 14, 46, 0
0, 15, 36, 0
0, 16, 42, 0
0, 17, 49, 0
0, 18, 37, 0
0, 19, 37, 0
0, 20, 48, 0
0, 21, 34, 0
0, 22, 34, 0
0, 23, 45, 0
0, 24, 34, 0
0, 25, 34, 0
0, 26, 43, 0
0, 27, 33, 0
0, 28, 33, 0
0, 29, 43, 0
0, 30, 33, 0
0, 0, 0, 41
1000, 1, 47, 0
0, 2, 47, 0
0, 3, 46, 0
0, 4, 47, 0
0, 5, 47, 0
0, 6, 46, 0
0, 7, 46, 0
0, 8, 46, 0
0, 9, 46, 0
0, 10, 50, 0
0, 11, 78, 0
0, 12, 59, 0
0, 13, 50, 0
0, 14, 67, 0
0, 15, 66, 0
0, 16, 45, 0
0, 17, 45, 0
0, 18, 44, 0
0, 19, 44, 0
0, 20, 44, 0
0, 21, 44, 0
0, 22, 45, 0
0, 23, 44, 0
0, 24, 44, 0
0, 25, 44, 0
0, 26, 45, 0
0, 27, 49, 0
0, 28, 47, 0
0, 29, 47, 0
0, 30, 47, 0
0, 0, 0, 48
1500, 1, 60, 0
0, 2, 59, 0
0, 3, 60, 0
0, 4, 60, 0
0, 5, 60, 0
0, 6, 60, 0
0, 7, 60, 0
0, 8, 60, 0
0, 9, 59, 0
0, 10, 58, 0
0, 11, 58, 0
0, 12, 58, 0
0, 13, 58, 0
0, 14, 58, 0
0, 15, 57, 0
0, 16, 61, 0
0, 17, 57, 0
0, 18, 57, 0
0, 19, 58, 0
0, 20, 58, 0
0, 21, 57, 0
0, 22, 57, 0
0, 23, 58, 0
0, 24, 58, 0
0, 25, 58, 0
0, 26, 59, 0
0, 27, 62, 0
0, 28, 58, 0
0, 29, 62, 0
0, 30, 58, 0
0, 0, 0, 58
2000, 1, 67, 0
0, 2, 68, 0
0, 3, 67, 0
0, 4, 67, 0
0, 5, 67, 0
0, 6, 67, 0
0, 7, 67, 0
0, 8, 67, 0
0, 9, 67, 0
0, 10, 68, 0
0, 11, 67, 0
0, 12, 67, 0
0, 13, 67, 0
0, 14, 67, 0
0, 15, 67, 0
0, 16, 68, 0
0, 17, 67, 0
0, 18, 66, 0
0, 19, 69, 0
0, 20, 67, 0
0, 21, 68, 0
0, 22, 66, 0
0, 23, 66, 0
0, 24, 66, 0
0, 25, 67, 0
0, 26, 67, 0
0, 27, 67, 0
0, 28, 67, 0
0, 29, 67, 0
0, 30, 67, 0
0, 0, 0, 67
2500, 1, 80, 0
0, 2, 80, 0
0, 3, 81, 0
0, 4, 81, 0
0, 5, 80, 0
0, 6, 81, 0
0, 7, 80, 0
0, 8, 80, 0
0, 9, 79, 0
0, 10, 82, 0
0, 11, 82, 0
0, 12, 82, 0
0, 13, 81, 0
0, 14, 81, 0
0, 15, 86, 0
0, 16, 82, 0
0, 17, 82, 0
0, 18, 80, 0
0, 19, 79, 0
0, 20, 84, 0
0, 21, 80, 0
0, 22, 80, 0
0, 23, 80, 0
0, 24, 80, 0
0, 25, 80, 0
0, 26, 80, 0
0, 27, 80, 0
0, 28, 80, 0
0, 29, 80, 0
0, 30, 80, 0
0, 0, 0, 80
3000, 1, 89, 0
0, 2, 89, 0
0, 3, 89, 0
0, 4, 90, 0
0, 5, 90, 0
0, 6, 90, 0
0, 7, 91, 0
0, 8, 91, 0
0, 9, 89, 0
0, 10, 89, 0
0, 11, 89, 0
0, 12, 89, 0
0, 13, 89, 0
0, 14, 89, 0
0, 15, 89, 0
0, 16, 89, 0
0, 17, 89, 0
0, 18, 90, 0
0, 19, 102, 0
0, 20, 90, 0
0, 21, 90, 0
0, 22, 89, 0
0, 23, 89, 0
0, 24, 89, 0
0, 25, 88, 0
0, 26, 89, 0
0, 27, 88, 0
0, 28, 89, 0
0, 29, 88, 0
0, 30, 88, 0
0, 0, 0, 89
3500, 1, 102, 0
0, 2, 102, 0
0, 3, 101, 0
0, 4, 104, 0
0, 5, 105, 0
0, 6, 105, 0
0, 7, 108, 0
0, 8, 104, 0
0, 9, 104, 0
0, 10, 103, 0
0, 11, 104, 0
0, 12, 102, 0
0, 13, 102, 0
0, 14, 102, 0
0, 15, 101, 0
0, 16, 102, 0
0, 17, 102, 0
0, 18, 100, 0
0, 19, 100, 0
0, 20, 101, 0
0, 21, 101, 0
0, 22, 101, 0
0, 23, 102, 0
0, 24, 102, 0
0, 25, 102, 0
0, 26, 103, 0
0, 27, 102, 0
0, 28, 103, 0
0, 29, 103, 0
0, 30, 103, 0
0, 0, 0, 102
4000, 1, 116, 0
0, 2, 117, 0
0, 3, 120, 0
0, 4, 117, 0
0, 5, 115, 0
0, 6, 115, 0
0, 7, 115, 0
0, 8, 117, 0
0, 9, 117, 0
0, 10, 115, 0
0, 11, 116, 0
0, 12, 118, 0
0, 13, 115, 0
0, 14, 115, 0
0, 15, 115, 0
0, 16, 115, 0
0, 17, 115, 0
0, 18, 115, 0
0, 19, 116, 0
0, 20, 115, 0
0, 21, 118, 0
0, 22, 118, 0
0, 23, 117, 0
0, 24, 117, 0
0, 25, 115, 0
0, 26, 115, 0
0, 27, 113, 0
0, 28, 114, 0
0, 29, 114, 0
0, 30, 114, 0
0, 0, 0, 115
4500, 1, 124, 0
0, 2, 124, 0
0, 3, 130, 0
0, 4, 124, 0
0, 5, 202, 0
0, 6, 125, 0
0, 7, 125, 0
0, 8, 125, 0
0, 9, 124, 0
0, 10, 124, 0
0, 11, 124, 0
0, 12, 124, 0
0, 13, 124, 0
0, 14, 127, 0
0, 15, 124, 0
0, 16, 126, 0
0, 17, 129, 0
0, 18, 125, 0
0, 19, 124, 0
0, 20, 124, 0
0, 21, 123, 0
0, 22, 123, 0
0, 23, 123, 0
0, 24, 124, 0
0, 25, 123, 0
0, 26, 124, 0
0, 27, 124, 0
0, 28, 124, 0
0, 29, 127, 0
0, 30, 127, 0
0, 0, 0, 127
5000, 1, 258, 0
0, 2, 148, 0
0, 3, 145, 0
0, 4, 142, 0
0, 5, 142, 0
0, 6, 142, 0
0, 7, 142, 0
0, 8, 143, 0
0, 9, 144, 0
0, 10, 142, 0
0, 11, 145, 0
0, 12, 142, 0
0, 13, 142, 0
0, 14, 142, 0
0, 15, 142, 0
0, 16, 147, 0
0, 17, 144, 0
0, 18, 143, 0
0, 19, 143, 0
0, 20, 143, 0
0, 21, 143, 0
0, 22, 142, 0
0, 23, 142, 0
0, 24, 142, 0
0, 25, 143, 0
0, 26, 140, 0
0, 27, 140, 0
0, 28, 141, 0
0, 29, 141, 0
0, 30, 141, 0
0, 0, 0, 146
5500, 1, 151, 0
0, 2, 154, 0
0, 3, 162, 0
0, 4, 216, 0
0, 5, 154, 0
0, 6, 198, 0
0, 7, 152, 0
0, 8, 150, 0
0, 9, 151, 0
0, 10, 150, 0
0, 11, 151, 0
0, 12, 161, 0
0, 13, 152, 0
0, 14, 157, 0
0, 15, 152, 0
0, 16, 154, 0
0, 17, 152, 0
0, 18, 152, 0
0, 19, 152, 0
0, 20, 153, 0
0, 21, 152, 0
0, 22, 153, 0
0, 23, 152, 0
0, 24, 150, 0
0, 25, 150, 0
0, 26, 150, 0
0, 27, 151, 0
0, 28, 152, 0
0, 29, 151, 0
0, 30, 151, 0
0, 0, 0, 156
6000, 1, 166, 0
0, 2, 165, 0
0, 3, 173, 0
0, 4, 214, 0
0, 5, 175, 0
0, 6, 167, 0
0, 7, 166, 0
0, 8, 164, 0
0, 9, 165, 0
0, 10, 164, 0
0, 11, 167, 0
0, 12, 164, 0
0, 13, 166, 0
0, 14, 165, 0
0, 15, 166, 0
0, 16, 165, 0
0, 17, 166, 0
0, 18, 165, 0
0, 19, 166, 0
0, 20, 163, 0
0, 21, 164, 0
0, 22, 164, 0
0, 23, 169, 0
0, 24, 164, 0
0, 25, 164, 0
0, 26, 165, 0
0, 27, 168, 0
0, 28, 165, 0
0, 29, 165, 0
0, 30, 166, 0
0, 0, 0, 167
6500, 1, 184, 0
0, 2, 181, 0
0, 3, 180, 0
0, 4, 181, 0
0, 5, 178, 0
0, 6, 328, 0
0, 7, 178, 0
0, 8, 178, 0
0, 9, 181, 0
0, 10, 177, 0
0, 11, 186, 0
0, 12, 178, 0
0, 13, 180, 0
0, 14, 176, 0
0, 15, 176, 0
0, 16, 176, 0
0, 17, 177, 0
0, 18, 177, 0
0, 19, 178, 0
0, 20, 177, 0
0, 21, 178, 0
0, 22, 177, 0
0, 23, 178, 0
0, 24, 185, 0
0, 25, 178, 0
0, 26, 178, 0
0, 27, 177, 0
0, 28, 181, 0
0, 29, 181, 0
0, 30, 180, 0
0, 0, 0, 184
7000, 1, 191, 0
0, 2, 187, 0
0, 3, 187, 0
0, 4, 186, 0
0, 5, 186, 0
0, 6, 186, 0
0, 7, 188, 0
0, 8, 187, 0
0, 9, 185, 0
0, 10, 184, 0
0, 11, 184, 0
0, 12, 185, 0
0, 13, 186, 0
0, 14, 186, 0
0, 15, 187, 0
0, 16, 187, 0
0, 17, 188, 0
0, 18, 187, 0
0, 19, 187, 0
0, 20, 186, 0
0, 21, 186, 0
0, 22, 187, 0
0, 23, 194, 0
0, 24, 189, 0
0, 25, 191, 0
0, 26, 189, 0
0, 27, 187, 0
0, 28, 187, 0
0, 29, 187, 0
0, 30, 186, 0
0, 0, 0, 187
7500, 1, 203, 0
0, 2, 311, 0
0, 3, 199, 0
0, 4, 198, 0
0, 5, 199, 0
0, 6, 199, 0
0, 7, 199, 0
0, 8, 201, 0
0, 9, 201, 0
0, 10, 201, 0
0, 11, 200, 0
0, 12, 199, 0
0, 13, 200, 0
0, 14, 199, 0
0, 15, 201, 0
0, 16, 201, 0
0, 17, 206, 0
0, 18, 206, 0
0, 19, 202, 0
0, 20, 202, 0
0, 21, 200, 0
0, 22, 200, 0
0, 23, 202, 0
0, 24, 197, 0
0, 25, 200, 0
0, 26, 199, 0
0, 27, 200, 0
0, 28, 200, 0
0, 29, 200, 0
0, 30, 201, 0
0, 0, 0, 204
8000, 1, 210, 0
0, 2, 210, 0
0, 3, 210, 0
0, 4, 208, 0
0, 5, 208, 0
0, 6, 214, 0
0, 7, 210, 0
0, 8, 210, 0
0, 9, 209, 0
0, 10, 214, 0
0, 11, 211, 0
0, 12, 211, 0
0, 13, 212, 0
0, 14, 206, 0
0, 15, 208, 0
0, 16, 206, 0
0, 17, 208, 0
0, 18, 208, 0
0, 19, 208, 0
0, 20, 209, 0
0, 21, 210, 0
0, 22, 214, 0
0, 23, 225, 0
0, 24, 209, 0
0, 25, 209, 0
0, 26, 208, 0
0, 27, 209, 0
0, 28, 208, 0
0, 29, 209, 0
0, 30, 210, 0
0, 0, 0, 210
8500, 1, 223, 0
0, 2, 230, 0
0, 3, 225, 0
0, 4, 226, 0
0, 5, 218, 0
0, 6, 222, 0
0, 7, 219, 0
0, 8, 220, 0
0, 9, 246, 0
0, 10, 222, 0
0, 11, 223, 0
0, 12, 224, 0
0, 13, 224, 0
0, 14, 223, 0
0, 15, 224, 0
0, 16, 222, 0
0, 17, 222, 0
0, 18, 254, 0
0, 19, 224, 0
0, 20, 230, 0
0, 21, 223, 0
0, 22, 222, 0
0, 23, 227, 0
0, 24, 228, 0
0, 25, 226, 0
0, 26, 226, 0
0, 27, 220, 0
0, 28, 220, 0
0, 29, 221, 0
0, 30, 221, 0
0, 0, 0, 225
9000, 1, 235, 0
0, 2, 237, 0
0, 3, 238, 0
0, 4, 237, 0
0, 5, 236, 0
0, 6, 236, 0
0, 7, 239, 0
0, 8, 241, 0
0, 9, 236, 0
0, 10, 236, 0
0, 11, 237, 0
0, 12, 235, 0
0, 13, 235, 0
0, 14, 230, 0
0, 15, 237, 0
0, 16, 235, 0
0, 17, 254, 0
0, 18, 234, 0
0, 19, 234, 0
0, 20, 235, 0
0, 21, 235, 0
0, 22, 237, 0
0, 23, 254, 0
0, 24, 237, 0
0, 25, 238, 0
0, 26, 240, 0
0, 27, 238, 0
0, 28, 239, 0
0, 29, 237, 0
0, 30, 237, 0
0, 0, 0, 237
9500, 1, 246, 0
0, 2, 251, 0
0, 3, 245, 0
0, 4, 241, 0
0, 5, 245, 0
0, 6, 245, 0
0, 7, 246, 0
0, 8, 243, 0
0, 9, 244, 0
0, 10, 244, 0
0, 11, 245, 0
0, 12, 245, 0
0, 13, 245, 0
0, 14, 245, 0
0, 15, 245, 0
0, 16, 248, 0
0, 17, 259, 0
0, 18, 247, 0
0, 19, 247, 0
0, 20, 245, 0
0, 21, 246, 0
0, 22, 245, 0
0, 23, 241, 0
0, 24, 242, 0
0, 25, 248, 0
0, 26, 248, 0
0, 27, 247, 0
0, 28, 244, 0
0, 29, 244, 0
0, 30, 245, 0
0, 0, 0, 245
10000, 1, 266, 0
0, 2, 265, 0
0, 3, 264, 0
0, 4, 266, 0
0, 5, 267, 0
0, 6, 266, 0
0, 7, 264, 0
0, 8, 265, 0
0, 9, 265, 0
0, 10, 265, 0
0, 11, 258, 0
0, 12, 260, 0
0, 13, 261, 0
0, 14, 264, 0
0, 15, 264, 0
0, 16, 263, 0
0, 17, 264, 0
0, 18, 264, 0
0, 19, 395, 0
0, 20, 264, 0
0, 21, 263, 0
0, 22, 266, 0
0, 23, 265, 0
0, 24, 264, 0
0, 25, 327, 0
0, 26, 299, 0
0, 27, 265, 0
0, 28, 264, 0
0, 29, 256, 0
0, 30, 267, 0
0, 0, 0, 271
10500, 1, 274, 0
0, 2, 273, 0
0, 3, 272, 0
0, 4, 274, 0
0, 5, 275, 0
0, 6, 274, 0
0, 7, 273, 0
0, 8, 322, 0
0, 9, 293, 0
0, 10, 276, 0
0, 11, 314, 0
0, 12, 274, 0
0, 13, 273, 0
0, 14, 276, 0
0, 15, 275, 0
0, 16, 268, 0
0, 17, 270, 0
0, 18, 273, 0
0, 19, 268, 0
0, 20, 269, 0
0, 21, 271, 0
0, 22, 271, 0
0, 23, 276, 0
0, 24, 275, 0
0, 25, 275, 0
0, 26, 276, 0
0, 27, 275, 0
0, 28, 274, 0
0, 29, 276, 0
0, 30, 281, 0
0, 0, 0, 277
11000, 1, 289, 0
0, 2, 291, 0
0, 3, 287, 0
0, 4, 288, 0
0, 5, 287, 0
0, 6, 281, 0
0, 7, 283, 0
0, 8, 283, 0
0, 9, 289, 0
0, 10, 290, 0
0, 11, 286, 0
0, 12, 291, 0
0, 13, 286, 0
0, 14, 293, 0
0, 15, 288, 0
0, 16, 287, 0
0, 17, 297, 0
0, 18, 289, 0
0, 19, 292, 0
0, 20, 287, 0
0, 21, 289, 0
0, 22, 290, 0
0, 23, 288, 0
0, 24, 295, 0
0, 25, 282, 0
0, 26, 282, 0
0, 27, 282, 0
0, 28, 287, 0
0, 29, 284, 0
0, 30, 284, 0
0, 0, 0, 287
11500, 1, 298, 0
0, 2, 300, 0
0, 3, 300, 0
0, 4, 306, 0
0, 5, 306, 0
0, 6, 305, 0
0, 7, 310, 0
0, 8, 317, 0
0, 9, 309, 0
0, 10, 310, 0
