Filter, ID, Time_ms, Average_time
500, 1, 217, 0
0, 2, 85, 0
0, 3, 64, 0
0, 4, 64, 0
0, 5, 55, 0
0, 6, 53, 0
0, 7, 53, 0
0, 8, 55, 0
0, 9, 53, 0
0, 10, 55, 0
0, 11, 53, 0
0, 12, 53, 0
0, 13, 55, 0
0, 14, 53, 0
0, 15, 53, 0
0, 16, 55, 0
0, 17, 54, 0
0, 18, 53, 0
0, 19, 55, 0
0, 20, 53, 0
0, 21, 53, 0
0, 22, 55, 0
0, 23, 53, 0
0, 24, 54, 0
0, 25, 55, 0
0, 26, 53, 0
0, 27, 53, 0
0, 28, 55, 0
0, 29, 53, 0
0, 30, 53, 0
0, 0, 0, 60
1000, 1, 94, 0
0, 2, 94, 0
0, 3, 94, 0
0, 4, 93, 0
0, 5, 92, 0
0, 6, 93, 0
0, 7, 93, 0
0, 8, 92, 0
0, 9, 93, 0
0, 10, 93, 0
0, 11, 93, 0
0, 12, 93, 0
0, 13, 93, 0
0, 14, 95, 0
0, 15, 92, 0
0, 16, 92, 0
0, 17, 93, 0
0, 18, 93, 0
0, 19, 93, 0
0, 20, 93, 0
0, 21, 92, 0
0, 22, 92, 0
0, 23, 92, 0
0, 24, 93, 0
0, 25, 92, 0
0, 26, 93, 0
0, 27, 92, 0
0, 28, 93, 0
0, 29, 92, 0
0, 30, 92, 0
0, 0, 0, 92
1500, 1, 133, 0
0, 2, 132, 0
0, 3, 132, 0
0, 4, 133, 0
0, 5, 132, 0
0, 6, 132, 0
0, 7, 132, 0
0, 8, 132, 0
0, 9, 132, 0
0, 10, 132, 0
0, 11, 131, 0
0, 12, 132, 0
0, 13, 132, 0
0, 14, 132, 0
0, 15, 132, 0
0, 16, 132, 0
0, 17, 132, 0
0, 18, 132, 0
0, 19, 132, 0
0, 20, 132, 0
0, 21, 132, 0
0, 22, 132, 0
0, 23, 132, 0
0, 24, 132, 0
0, 25, 132, 0
0, 26, 132, 0
0, 27, 132, 0
0, 28, 132, 0
0, 29, 132, 0
0, 30, 132, 0
0, 0, 0, 132
2000, 1, 172, 0
0, 2, 173, 0
0, 3, 172, 0
0, 4, 172, 0
0, 5, 172, 0
0, 6, 172, 0
0, 7, 172, 0
0, 8, 172, 0
0, 9, 173, 0
0, 10, 172, 0
0, 11, 173, 0
0, 12, 172, 0
0, 13, 173, 0
0, 14, 172, 0
0, 15, 173, 0
0, 16, 172, 0
0, 17, 173, 0
0, 18, 172, 0
0, 19, 172, 0
0, 20, 173, 0
0, 21, 172, 0
0, 22, 176, 0
0, 23, 172, 0
0, 24, 173, 0
0, 25, 172, 0
0, 26, 173, 0
0, 27, 172, 0
0, 28, 172, 0
0, 29, 172, 0
0, 30, 172, 0
0, 0, 0, 172
2500, 1, 213, 0
0, 2, 212, 0
0, 3, 212, 0
0, 4, 213, 0
0, 5, 212, 0
0, 6, 213, 0
0, 7, 213, 0
0, 8, 213, 0
0, 9, 212, 0
0, 10, 213, 0
0, 11, 212, 0
0, 12, 214, 0
0, 13, 212, 0
0, 14, 214, 0
0, 15, 212, 0
0, 16, 213, 0
0, 17, 212, 0
0, 18, 213, 0
0, 19, 213, 0
0, 20, 213, 0
0, 21, 213, 0
0, 22, 213, 0
0, 23, 213, 0
0, 24, 213, 0
0, 25, 214, 0
0, 26, 213, 0
0, 27, 213, 0
0, 28, 213, 0
0, 29, 212, 0
0, 30, 213, 0
0, 0, 0, 212
3000, 1, 252, 0
0, 2, 253, 0
0, 3, 253, 0
0, 4, 253, 0
0, 5, 253, 0
0, 6, 252, 0
0, 7, 253, 0
0, 8, 252, 0
0, 9, 252, 0
0, 10, 252, 0
0, 11, 253, 0
0, 12, 254, 0
0, 13, 252, 0
0, 14, 254, 0
0, 15, 252, 0
0, 16, 253, 0
0, 17, 252, 0
0, 18, 253, 0
0, 19, 252, 0
0, 20, 253, 0
0, 21, 252, 0
0, 22, 253, 0
0, 23, 252, 0
0, 24, 254, 0
0, 25, 252, 0
0, 26, 253, 0
0, 27, 252, 0
0, 28, 253, 0
0, 29, 252, 0
0, 30, 252, 0
0, 0, 0, 252
3500, 1, 292, 0
0, 2, 294, 0
0, 3, 292, 0
0, 4, 292, 0
0, 5, 292, 0
0, 6, 294, 0
0, 7, 292, 0
0, 8, 293, 0
0, 9, 293, 0
0, 10, 293, 0
0, 11, 292, 0
0, 12, 293, 0
0, 13, 292, 0
0, 14, 293, 0
0, 15, 293, 0
0, 16, 293, 0
0, 17, 293, 0
0, 18, 292, 0
0, 19, 294, 0
0, 20, 293, 0
0, 21, 292, 0
0, 22, 293, 0
0, 23, 292, 0
0, 24, 293, 0
0, 25, 293, 0
0, 26, 293, 0
0, 27, 293, 0
0, 28, 293, 0
0, 29, 293, 0
0, 30, 294, 0
0, 0, 0, 292
4000, 1, 332, 0
0, 2, 334, 0
0, 3, 333, 0
0, 4, 334, 0
0, 5, 334, 0
0, 6, 334, 0
0, 7, 333, 0
0, 8, 333, 0
0, 9, 333, 0
0, 10, 333, 0
0, 11, 333, 0
0, 12, 333, 0
0, 13, 333, 0
0, 14, 333, 0
0, 15, 333, 0
0, 16, 334, 0
0, 17, 333, 0
0, 18, 334, 0
0, 19, 332, 0
0, 20, 333, 0
0, 21, 333, 0
0, 22, 334, 0
0, 23, 333, 0
0, 24, 335, 0
0, 25, 333, 0
0, 26, 334, 0
0, 27, 334, 0
0, 28, 334, 0
0, 29, 334, 0
0, 30, 334, 0
0, 0, 0, 333
4500, 1, 374, 0
0, 2, 374, 0
0, 3, 374, 0
0, 4, 375, 0
0, 5, 374, 0
0, 6, 374, 0
0, 7, 374, 0
0, 8, 375, 0
0, 9, 374, 0
0, 10, 374, 0
0, 11, 374, 0
0, 12, 375, 0
0, 13, 374, 0
0, 14, 376, 0
0, 15, 374, 0
0, 16, 375, 0
0, 17, 379, 0
0, 18, 375, 0
0, 19, 374, 0
0, 20, 375, 0
0, 21, 374, 0
0, 22, 376, 0
0, 23, 374, 0
0, 24, 375, 0
0, 25, 374, 0
0, 26, 375, 0
0, 27, 374, 0
0, 28, 375, 0
0, 29, 375, 0
0, 30, 375, 0
0, 0, 0, 374
5000, 1, 514, 0
0, 2, 420, 0
0, 3, 416, 0
0, 4, 417, 0
0, 5, 416, 0
0, 6, 417, 0
0, 7, 416, 0
0, 8, 418, 0
0, 9, 416, 0
0, 10, 417, 0
0, 11, 416, 0
0, 12, 418, 0
0, 13, 416, 0
0, 14, 416, 0
0, 15, 417, 0
0, 16, 417, 0
0, 17, 416, 0
0, 18, 418, 0
0, 19, 417, 0
0, 20, 418, 0
0, 21, 417, 0
0, 22, 418, 0
0, 23, 417, 0
0, 24, 418, 0
0, 25, 417, 0
0, 26, 417, 0
0, 27, 417, 0
0, 28, 418, 0
0, 29, 417, 0
0, 30, 417, 0
0, 0, 0, 420
5500, 1, 457, 0
0, 2, 458, 0
0, 3, 456, 0
0, 4, 458, 0
0, 5, 458, 0
0, 6, 458, 0
0, 7, 457, 0
0, 8, 458, 0
0, 9, 458, 0
0, 10, 459, 0
0, 11, 456, 0
0, 12, 458, 0
0, 13, 458, 0
0, 14, 458, 0
0, 15, 458, 0
0, 16, 458, 0
0, 17, 458, 0
0, 18, 459, 0
0, 19, 457, 0
0, 20, 458, 0
0, 21, 458, 0
0, 22, 458, 0
0, 23, 457, 0
0, 24, 458, 0
0, 25, 458, 0
0, 26, 458, 0
0, 27, 458, 0
0, 28, 459, 0
0, 29, 457, 0
0, 30, 459, 0
0, 0, 0, 457
6000, 1, 499, 0
0, 2, 500, 0
0, 3, 500, 0
0, 4, 501, 0
0, 5, 552, 0
0, 6, 500, 0
0, 7, 499, 0
0, 8, 501, 0
0, 9, 503, 0
0, 10, 504, 0
0, 11, 498, 0
0, 12, 500, 0
0, 13, 499, 0
0, 14, 501, 0
0, 15, 499, 0
0, 16, 501, 0
0, 17, 500, 0
0, 18, 502, 0
0, 19, 500, 0
0, 20, 502, 0
0, 21, 501, 0
0, 22, 501, 0
0, 23, 500, 0
0, 24, 502, 0
0, 25, 500, 0
0, 26, 501, 0
0, 27, 501, 0
0, 28, 502, 0
0, 29, 500, 0
0, 30, 502, 0
0, 0, 0, 502
6500, 1, 542, 0
0, 2, 542, 0
0, 3, 541, 0
0, 4, 542, 0
0, 5, 541, 0
0, 6, 542, 0
0, 7, 541, 0
0, 8, 542, 0
0, 9, 541, 0
0, 10, 542, 0
0, 11, 541, 0
0, 12, 542, 0
0, 13, 542, 0
0, 14, 543, 0
0, 15, 541, 0
0, 16, 541, 0
0, 17, 542, 0
0, 18, 542, 0
0, 19, 541, 0
0, 20, 541, 0
0, 21, 542, 0
0, 22, 543, 0
0, 23, 541, 0
0, 24, 542, 0
0, 25, 541, 0
0, 26, 542, 0
0, 27, 541, 0
0, 28, 542, 0
0, 29, 541, 0
0, 30, 542, 0
0, 0, 0, 541
7000, 1, 582, 0
0, 2, 582, 0
0, 3, 582, 0
0, 4, 583, 0
0, 5, 582, 0
0, 6, 582, 0
0, 7, 582, 0
0, 8, 583, 0
0, 9, 582, 0
0, 10, 582, 0
0, 11, 581, 0
0, 12, 582, 0
0, 13, 583, 0
0, 14, 582, 0
0, 15, 582, 0
0, 16, 582, 0
0, 17, 581, 0
0, 18, 583, 0
0, 19, 582, 0
0, 20, 583, 0
0, 21, 582, 0
0, 22, 582, 0
0, 23, 582, 0
0, 24, 582, 0
0, 25, 582, 0
0, 26, 583, 0
0, 27, 583, 0
0, 28, 583, 0
0, 29, 582, 0
0, 30, 583, 0
0, 0, 0, 582
7500, 1, 622, 0
0, 2, 624, 0
0, 3, 622, 0
0, 4, 623, 0
0, 5, 624, 0
0, 6, 623, 0
0, 7, 623, 0
0, 8, 624, 0
0, 9, 623, 0
0, 10, 623, 0
0, 11, 623, 0
0, 12, 624, 0
0, 13, 623, 0
0, 14, 624, 0
0, 15, 629, 0
0, 16, 623, 0
0, 17, 622, 0
0, 18, 623, 0
0, 19, 624, 0
0, 20, 623, 0
0, 21, 623, 0
0, 22, 623, 0
0, 23, 623, 0
0, 24, 624, 0
0, 25, 624, 0
0, 26, 623, 0
0, 27, 623, 0
0, 28, 623, 0
0, 29, 623, 0
0, 30, 624, 0
0, 0, 0, 623
8000, 1, 663, 0
0, 2, 664, 0
0, 3, 663, 0
0, 4, 664, 0
0, 5, 663, 0
0, 6, 664, 0
0, 7, 664, 0
0, 8, 667, 0
0, 9, 665, 0
