Filter, ID, Time_ms, Average_time
500, 1, 116, 0
0, 2, 39, 0
0, 3, 37, 0
0, 4, 38, 0
0, 5, 39, 0
0, 6, 37, 0
0, 7, 37, 0
0, 8, 36, 0
0, 9, 34, 0
0, 10, 36, 0
0, 11, 35, 0
0, 12, 34, 0
0, 13, 36, 0
0, 14, 34, 0
0, 15, 35, 0
0, 16, 36, 0
0, 17, 35, 0
0, 18, 34, 0
0, 19, 36, 0
0, 20, 34, 0
0, 21, 35, 0
0, 22, 36, 0
0, 23, 35, 0
0, 24, 34, 0
0, 25, 40, 0
0, 26, 34, 0
0, 27, 34, 0
0, 28, 36, 0
0, 29, 35, 0
0, 30, 35, 0
0, 0, 0, 38
1000, 1, 55, 0
0, 2, 54, 0
0, 3, 54, 0
0, 4, 54, 0
0, 5, 54, 0
0, 6, 55, 0
0, 7, 55, 0
0, 8, 54, 0
0, 9, 54, 0
0, 10, 54, 0
0, 11, 54, 0
0, 12, 55, 0
0, 13, 54, 0
0, 14, 54, 0
0, 15, 54, 0
0, 16, 55, 0
0, 17, 54, 0
0, 18, 54, 0
0, 19, 54, 0
0, 20, 55, 0
0, 21, 54, 0
0, 22, 54, 0
0, 23, 54, 0
0, 24, 54, 0
0, 25, 54, 0
0, 26, 54, 0
0, 27, 54, 0
0, 28, 54, 0
0, 29, 54, 0
0, 30, 54, 0
0, 0, 0, 54
1500, 1, 72, 0
0, 2, 72, 0
0, 3, 72, 0
0, 4, 72, 0
0, 5, 72, 0
0, 6, 72, 0
0, 7, 72, 0
0, 8, 72, 0
0, 9, 72, 0
0, 10, 72, 0
0, 11, 72, 0
0, 12, 72, 0
0, 13, 72, 0
0, 14, 72, 0
0, 15, 72, 0
0, 16, 72, 0
0, 17, 72, 0
0, 18, 72, 0
0, 19, 73, 0
0, 20, 73, 0
0, 21, 72, 0
0, 22, 72, 0
0, 23, 72, 0
0, 24, 93, 0
0, 25, 72, 0
0, 26, 71, 0
0, 27, 72, 0
0, 28, 72, 0
0, 29, 72, 0
0, 30, 72, 0
0, 0, 0, 72
2000, 1, 91, 0
0, 2, 91, 0
0, 3, 91, 0
0, 4, 91, 0
0, 5, 91, 0
0, 6, 91, 0
0, 7, 91, 0
0, 8, 91, 0
0, 9, 91, 0
0, 10, 91, 0
0, 11, 91, 0
0, 12, 91, 0
