Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
500, 1, 36607, 0, 64, 32386
0, 2, 26265, 0, 64, 32386
0, 3, 32235, 0, 64, 32386
0, 4, 34470, 0, 64, 32386
0, 5, 34390, 0, 64, 32386
0, 6, 34432, 0, 64, 32386
0, 7, 24158, 0, 64, 32386
0, 8, 30367, 0, 64, 32386
0, 9, 34215, 0, 64, 32386
0, 10, 34591, 0, 64, 32386
0, 11, 34834, 0, 64, 32386
0, 12, 26577, 0, 64, 32386
0, 13, 34226, 0, 64, 32386
0, 14, 34670, 0, 64, 32386
0, 15, 34208, 0, 64, 32386
0, 16, 34360, 0, 64, 32386
0, 17, 22084, 0, 64, 32386
0, 18, 33769, 0, 64, 32386
0, 19, 34333, 0, 64, 32386
0, 20, 34487, 0, 64, 32386
0, 21, 34563, 0, 64, 32386
0, 22, 22077, 0, 64, 32386
0, 23, 30246, 0, 64, 32386
0, 24, 34617, 0, 64, 32386
0, 25, 34416, 0, 64, 32386
0, 26, 34549, 0, 64, 32386
0, 27, 26273, 0, 64, 32386
0, 28, 34150, 0, 64, 32386
0, 29, 34757, 0, 64, 32386
0, 30, 34478, 0, 64, 32386
0, 31, 34244, 0, 64, 32386
0, 32, 24046, 0, 64, 32386
0, 33, 31995, 0, 64, 32386
0, 34, 34315, 0, 64, 32386
0, 35, 34494, 0, 64, 32386
0, 36, 34338, 0, 64, 32386
0, 37, 22155, 0, 64, 32386
0, 38, 33780, 0, 64, 32386
0, 39, 34459, 0, 64, 32386
0, 40, 34419, 0, 64, 32386
0, 41, 34598, 0, 64, 32386
0, 42, 22082, 0, 64, 32386
0, 43, 33811, 0, 64, 32386
0, 44, 34349, 0, 64, 32386
0, 45, 34454, 0, 64, 32386
0, 46, 34439, 0, 64, 32386
0, 47, 22146, 0, 64, 32386
0, 48, 24618, 0, 64, 32386
0, 49, 33223, 0, 64, 32386
0, 50, 34350, 0, 64, 32386
0, 51, 34596, 0, 64, 32386
0, 52, 34165, 0, 64, 32386
0, 53, 30011, 0, 64, 32386
0, 54, 34696, 0, 64, 32386
0, 55, 34306, 0, 64, 32386
0, 56, 34572, 0, 64, 32386
0, 57, 26855, 0, 64, 32386
0, 58, 27636, 0, 64, 32386
0, 59, 34644, 0, 64, 32386
0, 60, 34523, 0, 64, 32386
0, 0, 0, 31962
1000, 1, 45571, 0, 88, 32362
0, 2, 53753, 0, 88, 32362
0, 3, 52652, 0, 88, 32362
0, 4, 55300, 0, 88, 32362
0, 5, 33633, 0, 88, 32362
0, 6, 53036, 0, 88, 32362
0, 7, 55412, 0, 88, 32362
0, 8, 55146, 0, 88, 32362
0, 9, 50311, 0, 88, 32362
0, 10, 52707, 0, 88, 32362
0, 11, 53065, 0, 88, 32362
0, 12, 34625, 0, 88, 32362
0, 13, 51958, 0, 88, 32362
0, 14, 52653, 0, 88, 32362
0, 15, 55020, 0, 88, 32362
0, 16, 33571, 0, 88, 32362
0, 17, 53211, 0, 88, 32362
0, 18, 56013, 0, 88, 32362
0, 19, 54462, 0, 88, 32362
0, 20, 50477, 0, 88, 32362
0, 21, 52773, 0, 88, 32362
0, 22, 55323, 0, 88, 32362
0, 23, 33514, 0, 88, 32362
0, 24, 51897, 0, 88, 32362
0, 25, 52596, 0, 88, 32362
0, 26, 54976, 0, 88, 32362
0, 27, 33109, 0, 88, 32362
0, 28, 53310, 0, 88, 32362
0, 29, 52697, 0, 88, 32362
0, 30, 55452, 0, 88, 32362
0, 31, 33571, 0, 88, 32362
0, 32, 55434, 0, 88, 32362
0, 33, 52579, 0, 88, 32362
0, 34, 71161, 0, 88, 32362
0, 35, 59699, 0, 88, 32362
0, 36, 55241, 0, 88, 32362
0, 37, 41419, 0, 88, 32362
0, 38, 58006, 0, 88, 32362
0, 39, 54192, 0, 88, 32362
0, 40, 54927, 0, 88, 32362
0, 41, 60761, 0, 88, 32362
0, 42, 67966, 0, 88, 32362
0, 43, 39656, 0, 88, 32362
0, 44, 53010, 0, 88, 32362
0, 45, 55315, 0, 88, 32362
0, 46, 52623, 0, 88, 32362
0, 47, 33601, 0, 88, 32362
0, 48, 53463, 0, 88, 32362
0, 49, 55085, 0, 88, 32362
0, 50, 54947, 0, 88, 32362
0, 51, 47617, 0, 88, 32362
0, 52, 55485, 0, 88, 32362
0, 53, 55080, 0, 88, 32362
0, 54, 33551, 0, 88, 32362
0, 55, 51814, 0, 88, 32362
0, 56, 55120, 0, 88, 32362
0, 57, 55171, 0, 88, 32362
