Filter, ID, Time_ms, Average_time
500, 1, 259, 0
0, 2, 33, 0
0, 3, 34, 0
0, 4, 34, 0
0, 5, 32, 0
0, 6, 31, 0
0, 7, 31, 0
0, 8, 31, 0
0, 9, 31, 0
0, 10, 29, 0
0, 11, 29, 0
0, 12, 29, 0
0, 13, 29, 0
0, 14, 29, 0
0, 15, 28, 0
0, 16, 29, 0
0, 17, 29, 0
0, 18, 29, 0
0, 19, 29, 0
0, 20, 28, 0
0, 21, 28, 0
0, 22, 28, 0
0, 23, 29, 0
0, 24, 29, 0
0, 25, 29, 0
0, 26, 28, 0
0, 27, 28, 0
0, 28, 28, 0
0, 29, 28, 0
0, 30, 28, 0
0, 0, 0, 37
1000, 1, 46, 0
0, 2, 45, 0
0, 3, 46, 0
0, 4, 47, 0
0, 5, 46, 0
0, 6, 46, 0
0, 7, 47, 0
0, 8, 46, 0
0, 9, 46, 0
0, 10, 46, 0
0, 11, 47, 0
0, 12, 46, 0
0, 13, 46, 0
0, 14, 46, 0
0, 15, 46, 0
0, 16, 46, 0
0, 17, 46, 0
0, 18, 47, 0
0, 19, 46, 0
0, 20, 46, 0
0, 21, 46, 0
0, 22, 47, 0
0, 23, 46, 0
0, 24, 46, 0
0, 25, 46, 0
0, 26, 46, 0
0, 27, 46, 0
0, 28, 46, 0
0, 29, 46, 0
0, 30, 46, 0
0, 0, 0, 46
1500, 1, 64, 0
0, 2, 65, 0
0, 3, 64, 0
0, 4, 65, 0
0, 5, 64, 0
0, 6, 64, 0
0, 7, 66, 0
0, 8, 64, 0
0, 9, 64, 0
0, 10, 64, 0
0, 11, 64, 0
0, 12, 65, 0
0, 13, 64, 0
0, 14, 65, 0
0, 15, 64, 0
0, 16, 64, 0
0, 17, 64, 0
0, 18, 64, 0
0, 19, 65, 0
0, 20, 64, 0
0, 21, 65, 0
0, 22, 64, 0
0, 23, 64, 0
0, 24, 64, 0
0, 25, 64, 0
0, 26, 64, 0
0, 27, 64, 0
0, 28, 65, 0
0, 29, 64, 0
0, 30, 65, 0
0, 0, 0, 64
2000, 1, 83, 0
0, 2, 83, 0
0, 3, 82, 0
0, 4, 83, 0
0, 5, 82, 0
0, 6, 83, 0
0, 7, 82, 0
0, 8, 83, 0
0, 9, 82, 0
0, 10, 83, 0
0, 11, 82, 0
0, 12, 83, 0
0, 13, 82, 0
0, 14, 83, 0
0, 15, 82, 0
0, 16, 83, 0
0, 17, 82, 0
0, 18, 83, 0
0, 19, 82, 0
0, 20, 82, 0
0, 21, 82, 0
0, 22, 82, 0
0, 23, 82, 0
0, 24, 82, 0
0, 25, 82, 0
0, 26, 83, 0
0, 27, 83, 0
0, 28, 82, 0
0, 29, 82, 0
0, 30, 82, 0
0, 0, 0, 82
2500, 1, 100, 0
0, 2, 100, 0
0, 3, 100, 0
0, 4, 101, 0
0, 5, 101, 0
0, 6, 100, 0
0, 7, 101, 0
0, 8, 100, 0
0, 9, 100, 0
0, 10, 101, 0
0, 11, 100, 0
0, 12, 101, 0
0, 13, 101, 0
0, 14, 100, 0
0, 15, 101, 0
0, 16, 100, 0
0, 17, 100, 0
0, 18, 101, 0
0, 19, 100, 0
0, 20, 100, 0
0, 21, 100, 0
0, 22, 100, 0
0, 23, 100, 0
0, 24, 101, 0
0, 25, 100, 0
0, 26, 101, 0
0, 27, 100, 0
0, 28, 100, 0
0, 29, 100, 0
0, 30, 100, 0
0, 0, 0, 100
3000, 1, 117, 0
0, 2, 117, 0
0, 3, 118, 0
0, 4, 118, 0
0, 5, 118, 0
0, 6, 118, 0
0, 7, 118, 0
0, 8, 118, 0
0, 9, 118, 0
0, 10, 118, 0
0, 11, 118, 0
0, 12, 118, 0
0, 13, 118, 0
0, 14, 118, 0
0, 15, 118, 0
