Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
500, 1, 25353, 0, 64, 39846
0, 2, 27374, 0, 64, 39846
0, 3, 27427, 0, 64, 39846
0, 4, 27367, 0, 64, 39846
0, 5, 27428, 0, 64, 39846
0, 6, 27260, 0, 64, 39846
0, 7, 27898, 0, 64, 39846
0, 8, 26968, 0, 64, 39846
0, 9, 26935, 0, 64, 39846
0, 10, 20169, 0, 64, 39846
0, 11, 18814, 0, 64, 39846
0, 12, 18723, 0, 64, 39846
0, 13, 18742, 0, 64, 39846
0, 14, 18719, 0, 64, 39846
0, 15, 18677, 0, 64, 39846
0, 16, 18627, 0, 64, 39846
0, 17, 18676, 0, 64, 39846
0, 18, 18648, 0, 64, 39846
0, 19, 18696, 0, 64, 39846
0, 20, 18678, 0, 64, 39846
0, 21, 18682, 0, 64, 39846
0, 22, 18689, 0, 64, 39846
0, 23, 18804, 0, 64, 39846
0, 24, 18958, 0, 64, 39846
0, 25, 18953, 0, 64, 39846
0, 26, 26803, 0, 64, 39846
0, 27, 23745, 0, 64, 39846
0, 28, 18757, 0, 64, 39846
0, 29, 18708, 0, 64, 39846
0, 30, 18686, 0, 64, 39846
0, 31, 18689, 0, 64, 39846
0, 32, 18634, 0, 64, 39846
0, 33, 18647, 0, 64, 39846
0, 34, 18653, 0, 64, 39846
0, 35, 18651, 0, 64, 39846
0, 36, 18665, 0, 64, 39846
0, 37, 18620, 0, 64, 39846
0, 38, 18642, 0, 64, 39846
0, 39, 18600, 0, 64, 39846
0, 40, 18621, 0, 64, 39846
0, 41, 18641, 0, 64, 39846
0, 42, 18611, 0, 64, 39846
0, 43, 18620, 0, 64, 39846
0, 44, 18615, 0, 64, 39846
0, 45, 18620, 0, 64, 39846
0, 46, 18623, 0, 64, 39846
0, 47, 18631, 0, 64, 39846
0, 48, 18605, 0, 64, 39846
0, 49, 18620, 0, 64, 39846
0, 50, 18607, 0, 64, 39846
0, 51, 18788, 0, 64, 39846
0, 52, 18761, 0, 64, 39846
0, 53, 18781, 0, 64, 39846
0, 54, 18951, 0, 64, 39846
0, 55, 18952, 0, 64, 39846
0, 56, 18941, 0, 64, 39846
0, 57, 18984, 0, 64, 39846
0, 58, 18768, 0, 64, 39846
0, 59, 18718, 0, 64, 39846
0, 60, 18698, 0, 64, 39846
0, 0, 0, 20215
1000, 1, 26514, 0, 88, 39822
0, 2, 27949, 0, 88, 39822
0, 3, 27951, 0, 88, 39822
0, 4, 27887, 0, 88, 39822
0, 5, 27864, 0, 88, 39822
0, 6, 27841, 0, 88, 39822
0, 7, 27824, 0, 88, 39822
0, 8, 27795, 0, 88, 39822
0, 9, 27773, 0, 88, 39822
0, 10, 27725, 0, 88, 39822
0, 11, 27790, 0, 88, 39822
0, 12, 27860, 0, 88, 39822
0, 13, 27823, 0, 88, 39822
0, 14, 27743, 0, 88, 39822
0, 15, 27735, 0, 88, 39822
0, 16, 32816, 0, 88, 39822
0, 17, 28027, 0, 88, 39822
0, 18, 28003, 0, 88, 39822
0, 19, 27918, 0, 88, 39822
0, 20, 27861, 0, 88, 39822
0, 21, 27807, 0, 88, 39822
0, 22, 27822, 0, 88, 39822
0, 23, 27814, 0, 88, 39822
0, 24, 27870, 0, 88, 39822
0, 25, 27802, 0, 88, 39822
0, 26, 27781, 0, 88, 39822
0, 27, 27733, 0, 88, 39822
0, 28, 27742, 0, 88, 39822
0, 29, 27774, 0, 88, 39822
0, 30, 27887, 0, 88, 39822
0, 31, 27934, 0, 88, 39822
0, 32, 27910, 0, 88, 39822
0, 33, 28054, 0, 88, 39822
0, 34, 28199, 0, 88, 39822
0, 35, 27935, 0, 88, 39822
0, 36, 27894, 0, 88, 39822
0, 37, 27862, 0, 88, 39822
0, 38, 27814, 0, 88, 39822
0, 39, 27900, 0, 88, 39822
0, 40, 28322, 0, 88, 39822
0, 41, 28232, 0, 88, 39822
0, 42, 28217, 0, 88, 39822
0, 43, 28108, 0, 88, 39822
0, 44, 28146, 0, 88, 39822
0, 45, 28060, 0, 88, 39822
0, 46, 28044, 0, 88, 39822
0, 47, 27937, 0, 88, 39822
0, 48, 27887, 0, 88, 39822
0, 49, 27852, 0, 88, 39822
0, 50, 27873, 0, 88, 39822
0, 51, 27866, 0, 88, 39822
0, 52, 27871, 0, 88, 39822
0, 53, 27853, 0, 88, 39822
0, 54, 27816, 0, 88, 39822
0, 55, 27808, 0, 88, 39822
0, 56, 27767, 0, 88, 39822
0, 57, 27790, 0, 88, 39822
0, 58, 27785, 0, 88, 39822
0, 59, 27774, 0, 88, 39822
0, 60, 27778, 0, 88, 39822
0, 0, 0, 27950
1500, 1, 34652, 0, 110, 39800
0, 2, 36766, 0, 110, 39800
0, 3, 36857, 0, 110, 39800
0, 4, 37032, 0, 110, 39800
0, 5, 37440, 0, 110, 39800
0, 6, 37433, 0, 110, 39800
0, 7, 37124, 0, 110, 39800
0, 8, 36986, 0, 110, 39800
0, 9, 36997, 0, 110, 39800
0, 10, 36989, 0, 110, 39800
0, 11, 36951, 0, 110, 39800
0, 12, 36926, 0, 110, 39800
0, 13, 36860, 0, 110, 39800
0, 14, 36814, 0, 110, 39800
0, 15, 36899, 0, 110, 39800
0, 16, 36907, 0, 110, 39800
