Filter, ID, Time_us, Average_time
500, 1, 88640, 0
0, 2, 50867, 0
0, 3, 44923, 0
0, 4, 45367, 0
0, 5, 63810, 0
0, 6, 45910, 0
0, 7, 44741, 0
0, 8, 60757, 0
0, 9, 44671, 0
0, 10, 63545, 0
0, 11, 47911, 0
0, 12, 49510, 0
0, 13, 63821, 0
0, 14, 46287, 0
0, 15, 44085, 0
0, 16, 60678, 0
0, 17, 48480, 0
0, 18, 45704, 0
0, 19, 63670, 0
0, 20, 47786, 0
0, 21, 45988, 0
0, 22, 62367, 0
0, 23, 44090, 0
0, 24, 44669, 0
0, 25, 64003, 0
0, 26, 46042, 0
0, 27, 45589, 0
0, 28, 64155, 0
0, 29, 47473, 0
0, 30, 46827, 0
0, 31, 77763, 0
0, 32, 51492, 0
0, 33, 47176, 0
0, 34, 62820, 0
0, 35, 46981, 0
0, 36, 46854, 0
0, 37, 70277, 0
0, 38, 44984, 0
0, 39, 44299, 0
0, 40, 62537, 0
0, 41, 45966, 0
0, 42, 45861, 0
0, 43, 63819, 0
0, 44, 46973, 0
0, 45, 45971, 0
0, 46, 60898, 0
0, 47, 44661, 0
0, 48, 45489, 0
0, 49, 63714, 0
0, 50, 47390, 0
0, 51, 44971, 0
0, 52, 63504, 0
0, 53, 46907, 0
0, 54, 44699, 0
0, 55, 60515, 0
0, 56, 54417, 0
0, 57, 45310, 0
0, 58, 64402, 0
0, 59, 46888, 0
0, 60, 46677, 0
0, 0, 0, 52776
1000, 1, 66473, 0
0, 2, 65644, 0
0, 3, 66986, 0
0, 4, 67787, 0
0, 5, 67295, 0
0, 6, 68414, 0
0, 7, 67441, 0
0, 8, 66480, 0
0, 9, 71589, 0
0, 10, 68015, 0
0, 11, 67909, 0
0, 12, 68206, 0
0, 13, 65508, 0
0, 14, 65386, 0
0, 15, 68949, 0
0, 16, 68659, 0
0, 17, 68388, 0
0, 18, 68402, 0
0, 19, 65768, 0
0, 20, 65932, 0
0, 21, 68669, 0
0, 22, 84731, 0
0, 23, 75276, 0
0, 24, 68488, 0
0, 25, 65460, 0
0, 26, 65596, 0
0, 27, 68762, 0
0, 28, 68868, 0
0, 29, 68217, 0
0, 30, 77915, 0
0, 31, 66019, 0
0, 32, 65194, 0
0, 33, 67682, 0
0, 34, 67741, 0
0, 35, 74648, 0
0, 36, 66289, 0
0, 37, 65869, 0
0, 38, 65552, 0
0, 39, 67588, 0
0, 40, 67753, 0
0, 41, 68367, 0
0, 42, 67797, 0
0, 43, 65876, 0
0, 44, 65418, 0
0, 45, 67832, 0
0, 46, 67703, 0
0, 47, 68691, 0
0, 48, 67812, 0
0, 49, 66374, 0
0, 50, 65503, 0
0, 51, 67245, 0
0, 52, 67361, 0
0, 53, 68751, 0
0, 54, 68963, 0
0, 55, 65526, 0
0, 56, 65456, 0
0, 57, 67331, 0
0, 58, 67933, 0
0, 59, 68802, 0
0, 60, 67788, 0
0, 0, 0, 68034
1500, 1, 88286, 0
0, 2, 85843, 0
0, 3, 89266, 0
0, 4, 89099, 0
0, 5, 91084, 0
0, 6, 86896, 0
0, 7, 89278, 0
0, 8, 89556, 0
0, 9, 90072, 0
0, 10, 86515, 0
0, 11, 85868, 0
0, 12, 89335, 0
0, 13, 89915, 0
0, 14, 89086, 0
0, 15, 86598, 0
0, 16, 88883, 0
0, 17, 88807, 0
0, 18, 89458, 0
0, 19, 86160, 0
0, 20, 87032, 0
0, 21, 87459, 0
0, 22, 87753, 0
0, 23, 87719, 0
0, 24, 85950, 0
0, 25, 86630, 0
0, 26, 88558, 0
0, 27, 88280, 0
0, 28, 88202, 0
0, 29, 86528, 0
0, 30, 88681, 0
0, 31, 87795, 0
0, 32, 87203, 0
0, 33, 87401, 0
0, 34, 86804, 0
0, 35, 88727, 0
0, 36, 89557, 0
0, 37, 89554, 0
0, 38, 86369, 0
0, 39, 90613, 0
0, 40, 90034, 0
0, 41, 89386, 0
0, 42, 86882, 0
0, 43, 85840, 0
0, 44, 90600, 0
0, 45, 89334, 0
0, 46, 91315, 0
0, 47, 85671, 0
0, 48, 88911, 0
0, 49, 87518, 0
0, 50, 87594, 0
0, 51, 89272, 0
0, 52, 86616, 0
0, 53, 89852, 0
0, 54, 89207, 0
0, 55, 89670, 0
0, 56, 86617, 0
0, 57, 85924, 0
0, 58, 89487, 0
0, 59, 90767, 0
0, 60, 88934, 0
0, 0, 0, 88270
2000, 1, 99334, 0
0, 2, 102009, 0
0, 3, 101544, 0
0, 4, 102619, 0
0, 5, 98978, 0
0, 6, 102473, 0
0, 7, 101852, 0
0, 8, 102544, 0
0, 9, 99123, 0
0, 10, 102614, 0
0, 11, 102304, 0
0, 12, 101872, 0
0, 13, 99825, 0
0, 14, 101520, 0
0, 15, 102961, 0
0, 16, 102406, 0
0, 17, 99094, 0
0, 18, 101497, 0
0, 19, 102529, 0
0, 20, 102188, 0
0, 21, 99810, 0
0, 22, 102270, 0
0, 23, 102579, 0
0, 24, 101936, 0
0, 25, 99059, 0
0, 26, 102488, 0
0, 27, 103802, 0
0, 28, 101923, 0
0, 29, 98850, 0
0, 30, 102257, 0
0, 31, 100738, 0
0, 32, 102298, 0
0, 33, 99780, 0
0, 34, 104877, 0
0, 35, 117834, 0
0, 36, 99850, 0
0, 37, 98946, 0
0, 38, 102461, 0
0, 39, 101867, 0
0, 40, 99032, 0
0, 41, 99974, 0
0, 42, 104110, 0
0, 43, 103751, 0
0, 44, 100974, 0
