Filter, ID, Time_us, Average_time
500, 1, 115882, 0
0, 2, 74331, 0
0, 3, 70503, 0
0, 4, 70687, 0
0, 5, 87199, 0
0, 6, 70752, 0
0, 7, 70481, 0
0, 8, 88225, 0
0, 9, 71114, 0
0, 10, 90625, 0
0, 11, 73061, 0
0, 12, 72098, 0
0, 13, 87378, 0
0, 14, 72231, 0
0, 15, 72531, 0
0, 16, 87534, 0
0, 17, 71803, 0
0, 18, 70497, 0
0, 19, 87782, 0
0, 20, 73214, 0
0, 21, 71216, 0
0, 22, 86772, 0
0, 23, 72912, 0
0, 24, 72794, 0
0, 25, 87521, 0
0, 26, 70966, 0
0, 27, 73290, 0
0, 28, 86880, 0
0, 29, 70015, 0
0, 30, 73517, 0
0, 31, 89924, 0
0, 32, 70139, 0
0, 33, 72182, 0
0, 34, 102284, 0
0, 35, 74248, 0
0, 36, 72882, 0
0, 37, 93390, 0
0, 38, 69930, 0
0, 39, 70375, 0
0, 40, 87409, 0
0, 41, 69993, 0
0, 42, 70371, 0
0, 43, 87505, 0
0, 44, 70453, 0
0, 45, 70309, 0
0, 46, 87975, 0
0, 47, 71680, 0
0, 48, 71053, 0
0, 49, 87552, 0
0, 50, 70328, 0
0, 51, 71167, 0
0, 52, 86883, 0
0, 53, 72811, 0
0, 54, 73580, 0
0, 55, 86297, 0
0, 56, 72693, 0
0, 57, 70444, 0
0, 58, 87866, 0
0, 59, 71678, 0
0, 60, 87499, 0
0, 0, 0, 78078
1000, 1, 118826, 0
0, 2, 121956, 0
0, 3, 117715, 0
0, 4, 121562, 0
0, 5, 118235, 0
0, 6, 119608, 0
0, 7, 117860, 0
0, 8, 121276, 0
0, 9, 117758, 0
0, 10, 117796, 0
0, 11, 118191, 0
0, 12, 121521, 0
0, 13, 118599, 0
0, 14, 118040, 0
0, 15, 119324, 0
0, 16, 121792, 0
0, 17, 118016, 0
0, 18, 117702, 0
0, 19, 118505, 0
0, 20, 118180, 0
0, 21, 120775, 0
0, 22, 117948, 0
0, 23, 121102, 0
0, 24, 118696, 0
0, 25, 119570, 0
0, 26, 130805, 0
0, 27, 120869, 0
0, 28, 119066, 0
0, 29, 119444, 0
0, 30, 118708, 0
0, 31, 130288, 0
0, 32, 120361, 0
0, 33, 118115, 0
0, 34, 119672, 0
0, 35, 117823, 0
0, 36, 118420, 0
0, 37, 117850, 0
0, 38, 119752, 0
0, 39, 119021, 0
0, 40, 119065, 0
0, 41, 117983, 0
0, 42, 121241, 0
0, 43, 124173, 0
0, 44, 121486, 0
0, 45, 118356, 0
0, 46, 120383, 0
0, 47, 120654, 0
0, 48, 117955, 0
0, 49, 117830, 0
0, 50, 118652, 0
0, 51, 119315, 0
0, 52, 119722, 0
0, 53, 120110, 0
0, 54, 119241, 0
0, 55, 121501, 0
0, 56, 118376, 0
0, 57, 121063, 0
0, 58, 118455, 0
0, 59, 119350, 0
0, 60, 119227, 0
0, 0, 0, 119748
1500, 1, 169000, 0
0, 2, 171863, 0
0, 3, 165556, 0
0, 4, 169207, 0
0, 5, 166423, 0
0, 6, 165783, 0
0, 7, 166109, 0
0, 8, 165951, 0
0, 9, 165769, 0
0, 10, 166864, 0
0, 11, 165301, 0
0, 12, 165488, 0
0, 13, 165574, 0
0, 14, 165728, 0
0, 15, 168774, 0
0, 16, 168042, 0
0, 17, 165127, 0
0, 18, 165744, 0
0, 19, 165541, 0
0, 20, 166217, 0
0, 21, 166181, 0
0, 22, 166282, 0
0, 23, 166269, 0
0, 24, 165861, 0
0, 25, 167764, 0
0, 26, 166519, 0
0, 27, 165581, 0
0, 28, 166985, 0
0, 29, 169972, 0
0, 30, 166164, 0
