Filter, ID, Time_us, Average_time
500, 1, 135205, 0
0, 2, 39721, 0
0, 3, 38093, 0
0, 4, 37782, 0
0, 5, 46304, 0
0, 6, 37892, 0
0, 7, 35855, 0
0, 8, 46817, 0
0, 9, 37905, 0
0, 10, 38093, 0
0, 11, 46294, 0
0, 12, 36825, 0
0, 13, 37254, 0
0, 14, 46294, 0
0, 15, 42006, 0
0, 16, 37957, 0
0, 17, 45662, 0
0, 18, 37876, 0
0, 19, 38017, 0
0, 20, 46512, 0
0, 21, 37985, 0
0, 22, 32575, 0
0, 23, 46777, 0
0, 24, 38038, 0
0, 25, 38094, 0
0, 26, 46333, 0
0, 27, 32429, 0
0, 28, 37251, 0
0, 29, 46341, 0
0, 30, 37974, 0
0, 31, 37877, 0
0, 32, 46325, 0
0, 33, 38905, 0
0, 34, 37832, 0
0, 35, 46362, 0
0, 36, 40114, 0
0, 37, 37759, 0
0, 38, 44894, 0
0, 39, 38106, 0
0, 40, 37910, 0
0, 41, 46565, 0
0, 42, 38025, 0
0, 43, 36837, 0
0, 44, 46428, 0
0, 45, 37941, 0
0, 46, 38080, 0
0, 47, 46477, 0
0, 48, 39782, 0
0, 49, 38341, 0
0, 50, 46316, 0
0, 51, 38057, 0
0, 52, 37935, 0
0, 53, 44716, 0
0, 54, 37913, 0
0, 55, 38024, 0
0, 56, 46491, 0
0, 57, 38112, 0
0, 58, 32360, 0
0, 59, 45650, 0
0, 60, 37749, 0
0, 0, 0, 42000
1000, 1, 50878, 0
0, 2, 51850, 0
0, 3, 45642, 0
0, 4, 50957, 0
0, 5, 52106, 0
0, 6, 51752, 0
0, 7, 52251, 0
0, 8, 45171, 0
0, 9, 51870, 0
0, 10, 51944, 0
0, 11, 52385, 0
0, 12, 51844, 0
0, 13, 49959, 0
0, 14, 52089, 0
0, 15, 52097, 0
0, 16, 52115, 0
0, 17, 46319, 0
0, 18, 51365, 0
0, 19, 52242, 0
0, 20, 51970, 0
0, 21, 52296, 0
0, 22, 45668, 0
0, 23, 50754, 0
0, 24, 52113, 0
0, 25, 52181, 0
0, 26, 51774, 0
0, 27, 50317, 0
0, 28, 51923, 0
0, 29, 52167, 0
0, 30, 54055, 0
0, 31, 46704, 0
0, 32, 51635, 0
0, 33, 66593, 0
0, 34, 51996, 0
0, 35, 52221, 0
0, 36, 51630, 0
0, 37, 51953, 0
0, 38, 52048, 0
0, 39, 52011, 0
0, 40, 45877, 0
0, 41, 50663, 0
0, 42, 52111, 0
0, 43, 52239, 0
0, 44, 52151, 0
0, 45, 47845, 0
0, 46, 51775, 0
0, 47, 52375, 0
0, 48, 52177, 0
0, 49, 51949, 0
0, 50, 51956, 0
0, 51, 52053, 0
0, 52, 52403, 0
0, 53, 52033, 0
0, 54, 45741, 0
0, 55, 50522, 0
0, 56, 52517, 0
0, 57, 52015, 0
0, 58, 51907, 0
0, 59, 54462, 0
0, 60, 54429, 0
0, 0, 0, 51434
1500, 1, 65803, 0
0, 2, 64573, 0
0, 3, 62469, 0
0, 4, 64620, 0
0, 5, 64854, 0
0, 6, 64798, 0
0, 7, 64573, 0
0, 8, 68843, 0
0, 9, 64398, 0
0, 10, 67079, 0
0, 11, 63396, 0
0, 12, 65051, 0
0, 13, 64638, 0
0, 14, 64182, 0
0, 15, 63750, 0
0, 16, 64685, 0
0, 17, 65034, 0
0, 18, 64809, 0
0, 19, 62231, 0
0, 20, 64477, 0
0, 21, 64832, 0
0, 22, 65001, 0
0, 23, 62694, 0
0, 24, 64984, 0
0, 25, 64914, 0
0, 26, 64298, 0
0, 27, 60853, 0
0, 28, 64368, 0
0, 29, 64808, 0
0, 30, 64897, 0
0, 31, 59151, 0
0, 32, 65383, 0
0, 33, 64734, 0
0, 34, 66393, 0
0, 35, 125831, 0
0, 36, 65002, 0
0, 37, 64924, 0
0, 38, 66044, 0
0, 39, 116873, 0
0, 40, 59566, 0
0, 41, 65306, 0
0, 42, 64319, 0
0, 43, 64665, 0
0, 44, 61138, 0
0, 45, 64513, 0
0, 46, 64926, 0
0, 47, 64796, 0
0, 48, 64655, 0
0, 49, 65587, 0
0, 50, 64488, 0
0, 51, 65062, 0
0, 52, 67221, 0
0, 53, 64414, 0
0, 54, 64627, 0
0, 55, 81342, 0
0, 56, 59244, 0
0, 57, 64188, 0
0, 58, 64696, 0
0, 59, 64733, 0
0, 60, 61334, 0
0, 0, 0, 66517
2000, 1, 74979, 0
0, 2, 75591, 0
0, 3, 75946, 0
0, 4, 68706, 0
0, 5, 75389, 0
0, 6, 75879, 0
0, 7, 75677, 0
0, 8, 78338, 0
0, 9, 76247, 0
0, 10, 75878, 0
0, 11, 75618, 0
0, 12, 74001, 0
0, 13, 75624, 0
0, 14, 75743, 0
0, 15, 75761, 0
0, 16, 74218, 0
0, 17, 76091, 0
0, 18, 75598, 0
0, 19, 75539, 0
0, 20, 76071, 0
0, 21, 75953, 0
0, 22, 75287, 0
0, 23, 73133, 0
0, 24, 75349, 0
0, 25, 75419, 0
0, 26, 75529, 0
0, 27, 69549, 0
0, 28, 74266, 0
0, 29, 75979, 0
0, 30, 75745, 0
0, 31, 68974, 0
0, 32, 74898, 0
0, 33, 75637, 0
0, 34, 75405, 0
0, 35, 73207, 0
0, 36, 74730, 0
0, 37, 75401, 0
0, 38, 75907, 0
0, 39, 69825, 0
0, 40, 75091, 0
0, 41, 75890, 0
0, 42, 75390, 0
0, 43, 69392, 0
0, 44, 75759, 0
0, 45, 77692, 0
0, 46, 75466, 0
0, 47, 74372, 0
0, 48, 75553, 0
0, 49, 75565, 0
0, 50, 75856, 0
0, 51, 71947, 0
0, 52, 75325, 0
0, 53, 75955, 0
0, 54, 77878, 0
0, 55, 95669, 0
0, 56, 77163, 0
0, 57, 75635, 0
0, 58, 69620, 0
0, 59, 74954, 0
0, 60, 76085, 0
0, 0, 0, 75222
2500, 1, 88301, 0
0, 2, 89067, 0
0, 3, 88648, 0
0, 4, 88190, 0
0, 5, 93729, 0
0, 6, 89434, 0
0, 7, 88521, 0
0, 8, 88353, 0
0, 9, 87678, 0
0, 10, 88518, 0
0, 11, 88220, 0
0, 12, 86718, 0
0, 13, 88343, 0
0, 14, 90628, 0
0, 15, 82869, 0
0, 16, 96042, 0
0, 17, 88123, 0
0, 18, 88251, 0
0, 19, 88393, 0
0, 20, 88354, 0
0, 21, 88275, 0
0, 22, 82802, 0
0, 23, 89527, 0
0, 24, 88168, 0
0, 25, 88277, 0
0, 26, 88649, 0
0, 27, 87995, 0
0, 28, 88252, 0
0, 29, 83008, 0
0, 30, 89195, 0
0, 31, 88314, 0
0, 32, 88148, 0
0, 33, 88694, 0
0, 34, 90310, 0
0, 35, 88168, 0
0, 36, 95942, 0
0, 37, 88450, 0
0, 38, 88027, 0
0, 39, 83160, 0
0, 40, 88086, 0
0, 41, 88488, 0
0, 42, 88406, 0
0, 43, 87300, 0
0, 44, 88244, 0
0, 45, 88401, 0
0, 46, 84613, 0
0, 47, 87538, 0
0, 48, 88449, 0
0, 49, 88185, 0
0, 50, 86687, 0
0, 51, 88345, 0
0, 52, 88372, 0
0, 53, 83526, 0
0, 54, 87963, 0
0, 55, 88470, 0
0, 56, 88517, 0
0, 57, 86850, 0
0, 58, 88430, 0
0, 59, 88377, 0
0, 60, 89689, 0
0, 0, 0, 88211
3000, 1, 99666, 0
0, 2, 99190, 0
0, 3, 100166, 0
0, 4, 98274, 0
0, 5, 99530, 0
0, 6, 99422, 0
0, 7, 104413, 0
0, 8, 99514, 0
0, 9, 99598, 0
0, 10, 93156, 0
0, 11, 99891, 0
0, 12, 99543, 0
0, 13, 100041, 0
0, 14, 98865, 0
0, 15, 99853, 0
0, 16, 99625, 0
0, 17, 97943, 0
0, 18, 99341, 0
0, 19, 99241, 0
0, 20, 93268, 0
0, 21, 102428, 0
0, 22, 99330, 0
0, 23, 99040, 0
0, 24, 97921, 0
0, 25, 98676, 0
0, 26, 98746, 0
0, 27, 96270, 0
0, 28, 99805, 0
0, 29, 99493, 0
0, 30, 97798, 0
0, 31, 99889, 0
0, 32, 99806, 0
0, 33, 99304, 0
0, 34, 97640, 0
0, 35, 99513, 0
0, 36, 99340, 0
0, 37, 98281, 0
0, 38, 100053, 0
0, 39, 100164, 0
0, 40, 93502, 0
0, 41, 98100, 0
0, 42, 99297, 0
0, 43, 99658, 0
0, 44, 98733, 0
0, 45, 99577, 0
0, 46, 99481, 0
0, 47, 96910, 0
0, 48, 101907, 0
0, 49, 99489, 0
0, 50, 94796, 0
0, 51, 99647, 0
0, 52, 100473, 0
0, 53, 99829, 0
0, 54, 99459, 0
0, 55, 99361, 0
0, 56, 99624, 0
0, 57, 97356, 0
0, 58, 99672, 0
0, 59, 99079, 0
0, 60, 97462, 0
0, 0, 0, 98957
3500, 1, 112343, 0
0, 2, 113996, 0
0, 3, 108801, 0
0, 4, 114886, 0
0, 5, 113446, 0
0, 6, 112403, 0
0, 7, 106849, 0
0, 8, 109686, 0
0, 9, 112651, 0
0, 10, 111450, 0
0, 11, 108090, 0
0, 12, 107849, 0
0, 13, 108649, 0
0, 14, 108937, 0
0, 15, 107778, 0
0, 16, 108520, 0
0, 17, 108117, 0
0, 18, 112155, 0
0, 19, 113562, 0
0, 20, 108342, 0
0, 21, 107505, 0
0, 22, 107407, 0
0, 23, 106788, 0
0, 24, 107289, 0
0, 25, 107001, 0
0, 26, 107910, 0
0, 27, 110199, 0
0, 28, 113489, 0
0, 29, 111334, 0
0, 30, 108133, 0
0, 31, 108027, 0
0, 32, 108799, 0
0, 33, 107876, 0
0, 34, 107808, 0
0, 35, 114478, 0
0, 36, 107015, 0
0, 37, 112965, 0
0, 38, 112984, 0
0, 39, 107795, 0
0, 40, 113701, 0
0, 41, 113833, 0
0, 42, 114117, 0
0, 43, 114901, 0
0, 44, 115465, 0
0, 45, 113525, 0
0, 46, 114998, 0
0, 47, 117446, 0
0, 48, 113364, 0
0, 49, 113071, 0
0, 50, 113788, 0
0, 51, 114188, 0
0, 52, 113138, 0
0, 53, 113671, 0
0, 54, 113160, 0
0, 55, 113676, 0
0, 56, 113675, 0
0, 57, 113731, 0
0, 58, 113097, 0
0, 59, 113385, 0
0, 60, 114080, 0
0, 0, 0, 111288
4000, 1, 132763, 0
0, 2, 139250, 0
0, 3, 131851, 0
0, 4, 137884, 0
0, 5, 135023, 0
0, 6, 137498, 0
0, 7, 133205, 0
0, 8, 138977, 0
0, 9, 133060, 0
0, 10, 137877, 0
0, 11, 129867, 0
0, 12, 137300, 0
0, 13, 133659, 0
0, 14, 137734, 0
0, 15, 134382, 0
0, 16, 137522, 0
0, 17, 132948, 0
0, 18, 136016, 0
0, 19, 131215, 0
0, 20, 138740, 0
0, 21, 132452, 0
0, 22, 138329, 0
0, 23, 134312, 0
0, 24, 138219, 0
0, 25, 126974, 0
0, 26, 136866, 0
0, 27, 134152, 0
0, 28, 135144, 0
0, 29, 135114, 0
0, 30, 136246, 0
0, 31, 132765, 0
0, 32, 136538, 0
0, 33, 134447, 0
0, 34, 140528, 0
0, 35, 134872, 0
0, 36, 135627, 0
0, 37, 133946, 0
0, 38, 139016, 0
0, 39, 129694, 0
0, 40, 138403, 0
0, 41, 132732, 0
0, 42, 137678, 0
0, 43, 134745, 0
0, 44, 138786, 0
0, 45, 132844, 0
0, 46, 140134, 0
0, 47, 127966, 0
0, 48, 137078, 0
0, 49, 140725, 0
0, 50, 136444, 0
0, 51, 134805, 0
0, 52, 138395, 0
0, 53, 133784, 0
0, 54, 138641, 0
0, 55, 132780, 0
0, 56, 139123, 0
0, 57, 133928, 0
0, 58, 131457, 0
0, 59, 133042, 0
0, 60, 138883, 0
0, 0, 0, 135406
4500, 1, 185124, 0
0, 2, 182188, 0
0, 3, 190589, 0
0, 4, 181955, 0
0, 5, 184265, 0
0, 6, 180962, 0
0, 7, 186622, 0
0, 8, 182063, 0
0, 9, 185751, 0
0, 10, 181983, 0
0, 11, 184337, 0
0, 12, 181825, 0
0, 13, 184351, 0
0, 14, 184545, 0
0, 15, 184391, 0
0, 16, 181984, 0
0, 17, 185860, 0
0, 18, 182225, 0
0, 19, 183500, 0
0, 20, 182071, 0
0, 21, 184321, 0
0, 22, 180560, 0
0, 23, 184317, 0
0, 24, 182060, 0
0, 25, 185610, 0
0, 26, 181775, 0
0, 27, 184380, 0
0, 28, 181714, 0
0, 29, 184535, 0
0, 30, 178503, 0
0, 31, 185435, 0
0, 32, 182257, 0
0, 33, 185357, 0
0, 34, 182034, 0
0, 35, 184237, 0
0, 36, 182400, 0
0, 37, 186438, 0
0, 38, 181991, 0
0, 39, 183837, 0
0, 40, 182161, 0
0, 41, 185332, 0
0, 42, 182249, 0
0, 43, 184521, 0
0, 44, 181949, 0
0, 45, 184510, 0
0, 46, 177025, 0
0, 47, 184032, 0
0, 48, 184349, 0
0, 49, 183098, 0
0, 50, 181933, 0
0, 51, 184251, 0
0, 52, 182919, 0
0, 53, 188586, 0
0, 54, 177660, 0
0, 55, 184222, 0
0, 56, 182027, 0
0, 57, 182466, 0
0, 58, 182282, 0
0, 59, 184428, 0
0, 60, 181509, 0
0, 0, 0, 183331
5000, 1, 378110, 0
0, 2, 270380, 0
0, 3, 261726, 0
0, 4, 267436, 0
0, 5, 261688, 0
0, 6, 267112, 0
0, 7, 255779, 0
0, 8, 266750, 0
0, 9, 262389, 0
0, 10, 266623, 0
0, 11, 262376, 0
0, 12, 264535, 0
0, 13, 262209, 0
0, 14, 271758, 0
0, 15, 261128, 0
0, 16, 269331, 0
0, 17, 261236, 0
0, 18, 267287, 0
0, 19, 255839, 0
0, 20, 268530, 0
0, 21, 262352, 0
0, 22, 266782, 0
0, 23, 262316, 0
0, 24, 265036, 0
0, 25, 262367, 0
0, 26, 267150, 0
0, 27, 260222, 0
0, 28, 267185, 0
0, 29, 261944, 0
0, 30, 267343, 0
0, 31, 257008, 0
0, 32, 266859, 0
0, 33, 262196, 0
0, 34, 267712, 0
0, 35, 262425, 0
0, 36, 261043, 0
0, 37, 261883, 0
0, 38, 267363, 0
0, 39, 264271, 0
0, 40, 267172, 0
0, 41, 261622, 0
0, 42, 267182, 0
0, 43, 257001, 0
0, 44, 267097, 0
0, 45, 262301, 0
0, 46, 267101, 0
0, 47, 262287, 0
0, 48, 263538, 0
0, 49, 262080, 0
0, 50, 267246, 0
0, 51, 261991, 0
0, 52, 267038, 0
0, 53, 260740, 0
0, 54, 267332, 0
