Filter, ID, Time_ms, Average_time
500, 1, 83, 0
0, 2, 36, 0
0, 3, 34, 0
0, 4, 34, 0
0, 5, 44, 0
0, 6, 34, 0
0, 7, 34, 0
0, 8, 44, 0
0, 9, 34, 0
0, 10, 44, 0
0, 11, 34, 0
0, 12, 34, 0
0, 13, 44, 0
0, 14, 40, 0
0, 15, 38, 0
0, 16, 49, 0
0, 17, 35, 0
0, 18, 34, 0
0, 19, 46, 0
0, 20, 37, 0
0, 21, 40, 0
0, 22, 45, 0
0, 23, 34, 0
0, 24, 36, 0
0, 25, 44, 0
0, 26, 35, 0
0, 27, 35, 0
0, 28, 45, 0
0, 29, 34, 0
0, 30, 35, 0
0, 0, 0, 39
1000, 1, 49, 0
0, 2, 50, 0
0, 3, 48, 0
0, 4, 48, 0
0, 5, 47, 0
0, 6, 48, 0
0, 7, 48, 0
0, 8, 49, 0
0, 9, 49, 0
0, 10, 51, 0
0, 11, 47, 0
0, 12, 47, 0
0, 13, 47, 0
0, 14, 47, 0
0, 15, 47, 0
0, 16, 47, 0
0, 17, 51, 0
0, 18, 47, 0
0, 19, 47, 0
0, 20, 47, 0
0, 21, 47, 0
0, 22, 47, 0
0, 23, 47, 0
0, 24, 47, 0
0, 25, 47, 0
0, 26, 47, 0
0, 27, 47, 0
0, 28, 48, 0
0, 29, 46, 0
0, 30, 46, 0
0, 0, 0, 47
1500, 1, 60, 0
0, 2, 60, 0
0, 3, 61, 0
0, 4, 62, 0
0, 5, 60, 0
0, 6, 60, 0
0, 7, 61, 0
0, 8, 63, 0
0, 9, 61, 0
0, 10, 61, 0
0, 11, 61, 0
0, 12, 61, 0
0, 13, 61, 0
0, 14, 61, 0
0, 15, 61, 0
0, 16, 61, 0
0, 17, 61, 0
0, 18, 64, 0
0, 19, 61, 0
0, 20, 61, 0
0, 21, 61, 0
0, 22, 62, 0
0, 23, 61, 0
0, 24, 60, 0
0, 25, 60, 0
0, 26, 60, 0
0, 27, 60, 0
0, 28, 60, 0
0, 29, 61, 0
0, 30, 60, 0
0, 0, 0, 60
2000, 1, 70, 0
0, 2, 70, 0
0, 3, 71, 0
0, 4, 70, 0
0, 5, 72, 0
0, 6, 70, 0
0, 7, 74, 0
0, 8, 72, 0
0, 9, 70, 0
0, 10, 70, 0
0, 11, 70, 0
0, 12, 70, 0
0, 13, 70, 0
0, 14, 70, 0
0, 15, 70, 0
0, 16, 70, 0
0, 17, 70, 0
0, 18, 71, 0
0, 19, 72, 0
0, 20, 75, 0
0, 21, 73, 0
0, 22, 72, 0
0, 23, 72, 0
0, 24, 71, 0
0, 25, 71, 0
0, 26, 71, 0
0, 27, 70, 0
0, 28, 70, 0
0, 29, 70, 0
0, 30, 70, 0
0, 0, 0, 70
2500, 1, 85, 0
0, 2, 83, 0
0, 3, 88, 0
0, 4, 91, 0
0, 5, 84, 0
0, 6, 84, 0
0, 7, 84, 0
0, 8, 84, 0
0, 9, 84, 0
0, 10, 84, 0
0, 11, 84, 0
0, 12, 85, 0
0, 13, 85, 0
0, 14, 85, 0
0, 15, 85, 0
0, 16, 86, 0
0, 17, 85, 0
0, 18, 85, 0
0, 19, 89, 0
0, 20, 85, 0
0, 21, 85, 0
0, 22, 84, 0
0, 23, 84, 0
0, 24, 84, 0
0, 25, 84, 0
0, 26, 84, 0
0, 27, 85, 0
0, 28, 84, 0
0, 29, 84, 0
0, 30, 84, 0
0, 0, 0, 84
3000, 1, 94, 0
0, 2, 96, 0
0, 3, 95, 0
0, 4, 94, 0
0, 5, 94, 0
0, 6, 94, 0
0, 7, 94, 0
0, 8, 94, 0
0, 9, 95, 0
0, 10, 94, 0
0, 11, 95, 0
0, 12, 94, 0
0, 13, 94, 0
0, 14, 94, 0
0, 15, 98, 0
0, 16, 97, 0
0, 17, 95, 0
0, 18, 96, 0
0, 19, 96, 0
0, 20, 96, 0
0, 21, 95, 0
0, 22, 93, 0
0, 23, 92, 0
0, 24, 93, 0
0, 25, 93, 0
0, 26, 93, 0
0, 27, 94, 0
0, 28, 94, 0
0, 29, 94, 0
0, 30, 94, 0
0, 0, 0, 94
3500, 1, 109, 0
0, 2, 108, 0
0, 3, 109, 0
0, 4, 108, 0
0, 5, 109, 0
0, 6, 109, 0
0, 7, 108, 0
0, 8, 108, 0
0, 9, 113, 0
0, 10, 108, 0
0, 11, 108, 0
0, 12, 109, 0
0, 13, 110, 0
0, 14, 108, 0
0, 15, 110, 0
0, 16, 108, 0
0, 17, 113, 0
0, 18, 108, 0
0, 19, 108, 0
0, 20, 114, 0
0, 21, 108, 0
0, 22, 108, 0
0, 23, 108, 0
0, 24, 108, 0
0, 25, 108, 0
0, 26, 107, 0
0, 27, 107, 0
0, 28, 107, 0
0, 29, 108, 0
0, 30, 108, 0
