Filter, ID, Time_ms, Average_time
500, 1, 121, 0
0, 2, 41, 0
0, 3, 38, 0
0, 4, 37, 0
0, 5, 46, 0
0, 6, 37, 0
0, 7, 37, 0
0, 8, 47, 0
0, 9, 37, 0
0, 10, 37, 0
0, 11, 47, 0
0, 12, 40, 0
0, 13, 37, 0
0, 14, 46, 0
0, 15, 37, 0
0, 16, 37, 0
0, 17, 48, 0
0, 18, 38, 0
0, 19, 37, 0
0, 20, 46, 0
0, 21, 39, 0
0, 22, 37, 0
0, 23, 47, 0
0, 24, 37, 0
0, 25, 37, 0
0, 26, 45, 0
0, 27, 37, 0
0, 28, 37, 0
0, 29, 45, 0
0, 30, 37, 0
0, 0, 0, 42
1000, 1, 50, 0
0, 2, 52, 0
0, 3, 52, 0
0, 4, 51, 0
0, 5, 52, 0
0, 6, 59, 0
0, 7, 51, 0
0, 8, 104, 0
0, 9, 54, 0
0, 10, 56, 0
0, 11, 50, 0
0, 12, 52, 0
0, 13, 52, 0
0, 14, 52, 0
0, 15, 50, 0
0, 16, 50, 0
0, 17, 50, 0
0, 18, 50, 0
0, 19, 50, 0
0, 20, 50, 0
0, 21, 49, 0
0, 22, 50, 0
0, 23, 95, 0
0, 24, 52, 0
0, 25, 51, 0
0, 26, 51, 0
0, 27, 51, 0
0, 28, 51, 0
0, 29, 50, 0
0, 30, 52, 0
0, 0, 0, 54
1500, 1, 67, 0
0, 2, 65, 0
0, 3, 66, 0
0, 4, 71, 0
0, 5, 65, 0
0, 6, 65, 0
0, 7, 65, 0
0, 8, 65, 0
0, 9, 65, 0
0, 10, 65, 0
0, 11, 66, 0
0, 12, 66, 0
0, 13, 66, 0
0, 14, 70, 0
0, 15, 66, 0
0, 16, 66, 0
0, 17, 65, 0
0, 18, 66, 0
0, 19, 69, 0
0, 20, 66, 0
0, 21, 68, 0
0, 22, 66, 0
0, 23, 65, 0
0, 24, 65, 0
0, 25, 66, 0
0, 26, 66, 0
0, 27, 65, 0
0, 28, 65, 0
0, 29, 66, 0
0, 30, 67, 0
0, 0, 0, 66
2000, 1, 77, 0
0, 2, 77, 0
0, 3, 76, 0
0, 4, 76, 0
0, 5, 76, 0
0, 6, 76, 0
0, 7, 76, 0
0, 8, 75, 0
0, 9, 76, 0
0, 10, 76, 0
0, 11, 76, 0
0, 12, 77, 0
0, 13, 76, 0
0, 14, 76, 0
0, 15, 76, 0
0, 16, 76, 0
0, 17, 76, 0
0, 18, 76, 0
0, 19, 76, 0
0, 20, 76, 0
0, 21, 77, 0
0, 22, 75, 0
0, 23, 77, 0
0, 24, 76, 0
0, 25, 76, 0
0, 26, 75, 0
0, 27, 76, 0
0, 28, 76, 0
0, 29, 76, 0
0, 30, 76, 0
0, 0, 0, 76
2500, 1, 90, 0
0, 2, 90, 0
0, 3, 89, 0
0, 4, 89, 0
0, 5, 90, 0
0, 6, 90, 0
0, 7, 90, 0
0, 8, 90, 0
0, 9, 90, 0
0, 10, 90, 0
0, 11, 90, 0
0, 12, 90, 0
0, 13, 90, 0
0, 14, 90, 0
0, 15, 90, 0
0, 16, 93, 0
0, 17, 89, 0
0, 18, 92, 0
0, 19, 90, 0
0, 20, 91, 0
0, 21, 96, 0
0, 22, 89, 0
0, 23, 89, 0
0, 24, 90, 0
0, 25, 90, 0
0, 26, 90, 0
0, 27, 89, 0
0, 28, 90, 0
0, 29, 90, 0
0, 30, 90, 0
0, 0, 0, 90
3000, 1, 101, 0
0, 2, 99, 0
0, 3, 99, 0
0, 4, 100, 0
0, 5, 106, 0
0, 6, 100, 0
0, 7, 99, 0
0, 8, 101, 0
0, 9, 99, 0
0, 10, 100, 0
0, 11, 101, 0
0, 12, 100, 0
0, 13, 100, 0
0, 14, 99, 0
0, 15, 101, 0
0, 16, 101, 0
0, 17, 101, 0
0, 18, 100, 0
0, 19, 99, 0
0, 20, 101, 0
0, 21, 101, 0
0, 22, 101, 0
0, 23, 100, 0
0, 24, 99, 0
0, 25, 101, 0
0, 26, 100, 0
0, 27, 101, 0
0, 28, 99, 0
0, 29, 99, 0
0, 30, 102, 0
0, 0, 0, 100
3500, 1, 117, 0
0, 2, 116, 0
0, 3, 116, 0
0, 4, 116, 0
0, 5, 117, 0
0, 6, 137, 0
0, 7, 116, 0
0, 8, 120, 0
0, 9, 116, 0
0, 10, 117, 0
0, 11, 116, 0
0, 12, 116, 0
0, 13, 116, 0
0, 14, 119, 0
0, 15, 116, 0
0, 16, 116, 0
0, 17, 116, 0
0, 18, 119, 0
0, 19, 119, 0
0, 20, 116, 0
0, 21, 117, 0
0, 22, 116, 0
0, 23, 119, 0
0, 24, 118, 0
0, 25, 119, 0
0, 26, 116, 0
0, 27, 120, 0
0, 28, 116, 0
0, 29, 119, 0
0, 30, 116, 0
0, 0, 0, 117
4000, 1, 139, 0
0, 2, 139, 0
0, 3, 138, 0
0, 4, 137, 0
0, 5, 137, 0
0, 6, 138, 0
0, 7, 137, 0
0, 8, 141, 0
0, 9, 137, 0
0, 10, 137, 0
0, 11, 140, 0
0, 12, 139, 0
0, 13, 138, 0
0, 14, 139, 0
0, 15, 139, 0
0, 16, 138, 0
0, 17, 138, 0
0, 18, 140, 0
0, 19, 137, 0
0, 20, 136, 0
0, 21, 137, 0
0, 22, 138, 0
0, 23, 137, 0
0, 24, 139, 0
0, 25, 137, 0
0, 26, 137, 0
0, 27, 138, 0
0, 28, 138, 0
0, 29, 138, 0
0, 30, 136, 0
0, 0, 0, 137
4500, 1, 186, 0
0, 2, 188, 0
0, 3, 185, 0
0, 4, 181, 0
0, 5, 184, 0
0, 6, 181, 0
0, 7, 184, 0
0, 8, 182, 0
0, 9, 185, 0
0, 10, 184, 0
0, 11, 184, 0
0, 12, 181, 0
0, 13, 184, 0
0, 14, 182, 0
0, 15, 184, 0
0, 16, 182, 0
0, 17, 186, 0
0, 18, 181, 0
0, 19, 183, 0
0, 20, 181, 0
0, 21, 184, 0
0, 22, 181, 0
0, 23, 183, 0
0, 24, 181, 0
0, 25, 183, 0
0, 26, 181, 0
0, 27, 183, 0
0, 28, 182, 0
0, 29, 183, 0
0, 30, 180, 0
0, 0, 0, 182
5000, 1, 389, 0
0, 2, 277, 0
0, 3, 261, 0
0, 4, 273, 0
0, 5, 264, 0
0, 6, 272, 0
0, 7, 266, 0
0, 8, 274, 0
0, 9, 262, 0
0, 10, 272, 0
0, 11, 264, 0
0, 12, 271, 0
0, 13, 262, 0
0, 14, 273, 0
0, 15, 265, 0
0, 16, 272, 0
0, 17, 266, 0
0, 18, 274, 0
0, 19, 263, 0
0, 20, 274, 0
0, 21, 264, 0
0, 22, 272, 0
0, 23, 264, 0
0, 24, 274, 0
0, 25, 262, 0
0, 26, 273, 0
0, 27, 265, 0
0, 28, 275, 0
0, 29, 262, 0
0, 30, 277, 0
0, 0, 0, 272
5500, 1, 322, 0
0, 2, 320, 0
0, 3, 322, 0
0, 4, 321, 0
0, 5, 321, 0
0, 6, 319, 0
0, 7, 322, 0
0, 8, 317, 0
0, 9, 323, 0
0, 10, 320, 0
0, 11, 319, 0
0, 12, 324, 0
0, 13, 323, 0
0, 14, 320, 0
0, 15, 322, 0
0, 16, 317, 0
0, 17, 322, 0
0, 18, 322, 0
0, 19, 326, 0
0, 20, 320, 0
0, 21, 322, 0
0, 22, 320, 0
0, 23, 320, 0
0, 24, 319, 0
0, 25, 316, 0
0, 26, 320, 0
0, 27, 322, 0
0, 28, 320, 0
0, 29, 322, 0
0, 30, 317, 0
0, 0, 0, 320
6000, 1, 358, 0
0, 2, 360, 0
0, 3, 357, 0
0, 4, 360, 0
