Filter, ID, Time_us, Average_time
500, 1, 141867, 0
0, 2, 27354, 0
0, 3, 29370, 0
0, 4, 30391, 0
0, 5, 31656, 0
0, 6, 30372, 0
0, 7, 29606, 0
0, 8, 32404, 0
0, 9, 96046, 0
0, 10, 31533, 0
0, 11, 30249, 0
0, 12, 29677, 0
0, 13, 32337, 0
0, 14, 29973, 0
0, 15, 30226, 0
0, 16, 31753, 0
0, 17, 30289, 0
0, 18, 29271, 0
0, 19, 32350, 0
0, 20, 29323, 0
0, 21, 30389, 0
0, 22, 31559, 0
0, 23, 29618, 0
0, 24, 24081, 0
0, 25, 26069, 0
0, 26, 23909, 0
0, 27, 24228, 0
0, 28, 26623, 0
0, 29, 25024, 0
0, 30, 29417, 0
0, 31, 31281, 0
0, 32, 29303, 0
0, 33, 29210, 0
0, 34, 31208, 0
0, 35, 29058, 0
0, 36, 29375, 0
0, 37, 31204, 0
0, 38, 29263, 0
0, 39, 29181, 0
0, 40, 31359, 0
0, 41, 29270, 0
0, 42, 29119, 0
0, 43, 31576, 0
0, 44, 29291, 0
0, 45, 31653, 0
0, 46, 30588, 0
0, 47, 29103, 0
0, 48, 29245, 0
0, 49, 31488, 0
0, 50, 30311, 0
0, 51, 29246, 0
0, 52, 31146, 0
0, 53, 29159, 0
0, 54, 29244, 0
0, 55, 26330, 0
0, 56, 24131, 0
0, 57, 24183, 0
0, 58, 26345, 0
0, 59, 29147, 0
0, 60, 30316, 0
0, 0, 0, 32304
1000, 1, 40270, 0
0, 2, 39837, 0
0, 3, 38818, 0
0, 4, 55355, 0
0, 5, 55073, 0
0, 6, 39799, 0
0, 7, 39208, 0
0, 8, 39867, 0
0, 9, 40976, 0
0, 10, 39614, 0
0, 11, 38764, 0
0, 12, 39607, 0
0, 13, 38771, 0
0, 14, 39571, 0
0, 15, 38752, 0
0, 16, 39683, 0
0, 17, 39099, 0
0, 18, 39524, 0
0, 19, 39038, 0
0, 20, 39647, 0
0, 21, 39580, 0
0, 22, 41286, 0
0, 23, 39428, 0
0, 24, 39144, 0
0, 25, 38790, 0
0, 26, 39605, 0
0, 27, 38993, 0
0, 28, 39675, 0
0, 29, 38917, 0
0, 30, 41442, 0
0, 31, 38968, 0
0, 32, 39549, 0
0, 33, 38935, 0
0, 34, 39640, 0
0, 35, 39090, 0
0, 36, 39745, 0
0, 37, 39140, 0
0, 38, 39641, 0
0, 39, 38648, 0
0, 40, 39781, 0
0, 41, 39065, 0
0, 42, 39577, 0
0, 43, 38793, 0
0, 44, 41437, 0
0, 45, 39582, 0
0, 46, 39224, 0
0, 47, 38905, 0
0, 48, 39746, 0
0, 49, 53533, 0
0, 50, 47022, 0
0, 51, 39702, 0
0, 52, 39190, 0
0, 53, 39776, 0
0, 54, 39546, 0
0, 55, 39612, 0
0, 56, 39268, 0
0, 57, 39645, 0
0, 58, 38997, 0
0, 59, 39665, 0
0, 60, 39109, 0
0, 0, 0, 40377
1500, 1, 44306, 0
0, 2, 50199, 0
0, 3, 48581, 0
0, 4, 49036, 0
0, 5, 48563, 0
0, 6, 49033, 0
0, 7, 50493, 0
0, 8, 47687, 0
0, 9, 51052, 0
0, 10, 48738, 0
0, 11, 49231, 0
0, 12, 48829, 0
0, 13, 46420, 0
0, 14, 51862, 0
0, 15, 52936, 0
0, 16, 44789, 0
0, 17, 48217, 0
0, 18, 48628, 0
0, 19, 49266, 0
0, 20, 47755, 0
0, 21, 52162, 0
0, 22, 47596, 0
0, 23, 45226, 0
0, 24, 45366, 0
0, 25, 46067, 0
0, 26, 45696, 0
0, 27, 45215, 0
0, 28, 45418, 0
0, 29, 89098, 0
0, 30, 46376, 0
0, 31, 45284, 0
0, 32, 45222, 0
0, 33, 45372, 0
0, 34, 46192, 0
0, 35, 45209, 0
0, 36, 46073, 0
0, 37, 46054, 0
0, 38, 45430, 0
0, 39, 45552, 0
0, 40, 45994, 0
0, 41, 44145, 0
0, 42, 46082, 0
0, 43, 45107, 0
0, 44, 45623, 0
0, 45, 45207, 0
0, 46, 45312, 0
0, 47, 85085, 0
0, 48, 53736, 0
0, 49, 46471, 0
0, 50, 45304, 0
0, 51, 45239, 0
0, 52, 45191, 0
0, 53, 45223, 0
0, 54, 45397, 0
0, 55, 44853, 0
0, 56, 45216, 0
0, 57, 45180, 0
0, 58, 45193, 0
0, 59, 45148, 0
0, 60, 45343, 0
0, 0, 0, 48237
2000, 1, 57489, 0
0, 2, 53734, 0
0, 3, 53716, 0
0, 4, 53117, 0
0, 5, 58357, 0
0, 6, 58376, 0
0, 7, 58046, 0
0, 8, 53982, 0
0, 9, 58316, 0
0, 10, 58180, 0
0, 11, 58665, 0
0, 12, 58577, 0
0, 13, 54841, 0
0, 14, 58257, 0
0, 15, 58360, 0
0, 16, 58398, 0
0, 17, 62385, 0
0, 18, 54074, 0
0, 19, 57916, 0
0, 20, 57962, 0
0, 21, 58363, 0
0, 22, 58047, 0
0, 23, 54823, 0
0, 24, 58702, 0
0, 25, 58002, 0
0, 26, 58393, 0
0, 27, 57841, 0
0, 28, 54994, 0
0, 29, 58364, 0
0, 30, 58099, 0
0, 31, 58395, 0
0, 32, 58576, 0
0, 33, 53862, 0
0, 34, 62029, 0
0, 35, 58227, 0
0, 36, 58556, 0
0, 37, 59237, 0
0, 38, 58187, 0
0, 39, 58720, 0
0, 40, 58225, 0
0, 41, 55661, 0
0, 42, 58309, 0
0, 43, 58032, 0
0, 44, 58647, 0
0, 45, 59998, 0
0, 46, 53744, 0
0, 47, 57816, 0
0, 48, 58182, 0
0, 49, 58584, 0
0, 50, 58020, 0
0, 51, 54878, 0
0, 52, 58343, 0
0, 53, 58253, 0
0, 54, 58582, 0
0, 55, 58148, 0
0, 56, 54792, 0
0, 57, 58702, 0
0, 58, 57890, 0
0, 59, 58488, 0
0, 60, 58104, 0
0, 0, 0, 57592
2500, 1, 68626, 0
0, 2, 67682, 0
0, 3, 73325, 0
0, 4, 68020, 0
0, 5, 72560, 0
0, 6, 69838, 0
0, 7, 67754, 0
0, 8, 68995, 0
0, 9, 66385, 0
0, 10, 67965, 0
0, 11, 62860, 0
0, 12, 62876, 0
0, 13, 66109, 0
0, 14, 63398, 0
0, 15, 67605, 0
0, 16, 64017, 0
0, 17, 68739, 0
0, 18, 63546, 0
0, 19, 67668, 0
0, 20, 63847, 0
0, 21, 67446, 0
0, 22, 63668, 0
0, 23, 67884, 0
0, 24, 63842, 0
0, 25, 67671, 0
0, 26, 63504, 0
0, 27, 63356, 0
0, 28, 67465, 0
0, 29, 63690, 0
0, 30, 67375, 0
0, 31, 64061, 0
0, 32, 68282, 0
0, 33, 63197, 0
0, 34, 62587, 0
0, 35, 67843, 0
0, 36, 67789, 0
0, 37, 69558, 0
0, 38, 68354, 0
0, 39, 66514, 0
0, 40, 67689, 0
0, 41, 68490, 0
0, 42, 66312, 0
0, 43, 67951, 0
0, 44, 68371, 0
0, 45, 68097, 0
0, 46, 69927, 0
0, 47, 69635, 0
0, 48, 64750, 0
0, 49, 68027, 0
0, 50, 67879, 0
0, 51, 66365, 0
0, 52, 69538, 0
0, 53, 68068, 0
0, 54, 65761, 0
0, 55, 67720, 0
0, 56, 68087, 0
0, 57, 65851, 0
0, 58, 69999, 0
0, 59, 67653, 0
0, 60, 65243, 0
0, 0, 0, 66955
3000, 1, 78316, 0
0, 2, 77601, 0
0, 3, 77399, 0
0, 4, 74363, 0
0, 5, 77852, 0
0, 6, 76806, 0
0, 7, 72436, 0
0, 8, 78078, 0
0, 9, 77188, 0
0, 10, 76713, 0
0, 11, 77413, 0
0, 12, 78805, 0
0, 13, 77278, 0
0, 14, 73012, 0
0, 15, 78370, 0
0, 16, 77122, 0
0, 17, 76650, 0
0, 18, 77497, 0
0, 19, 79045, 0
0, 20, 77716, 0
0, 21, 72868, 0
0, 22, 78008, 0
0, 23, 76735, 0
0, 24, 76913, 0
0, 25, 77872, 0
0, 26, 77396, 0
0, 27, 80721, 0
0, 28, 76812, 0
0, 29, 77296, 0
0, 30, 89703, 0
0, 31, 78779, 0
0, 32, 77008, 0
0, 33, 71642, 0
0, 34, 71962, 0
0, 35, 72818, 0
0, 36, 76765, 0
0, 37, 77286, 0
0, 38, 73535, 0
0, 39, 76796, 0
0, 40, 76851, 0
0, 41, 76848, 0
0, 42, 80452, 0
0, 43, 77394, 0
0, 44, 77271, 0
0, 45, 77344, 0
0, 46, 79979, 0
0, 47, 89953, 0
0, 48, 81436, 0
0, 49, 80870, 0
0, 50, 81304, 0
0, 51, 88374, 0
0, 52, 82801, 0
0, 53, 87000, 0
0, 54, 93343, 0
0, 55, 94323, 0
0, 56, 92147, 0
0, 57, 91381, 0
0, 58, 91350, 0
0, 59, 83206, 0
0, 60, 87700, 0
0, 0, 0, 79531
3500, 1, 87267, 0
0, 2, 87320, 0
0, 3, 82943, 0
0, 4, 91921, 0
0, 5, 87622, 0
0, 6, 86805, 0
0, 7, 87040, 0
0, 8, 85026, 0
0, 9, 88655, 0
0, 10, 88836, 0
0, 11, 87243, 0
0, 12, 87319, 0
0, 13, 85191, 0
0, 14, 87476, 0
0, 15, 87503, 0
0, 16, 88501, 0
0, 17, 83238, 0
0, 18, 87840, 0
0, 19, 87742, 0
0, 20, 87516, 0
0, 21, 83164, 0
0, 22, 88247, 0
0, 23, 87890, 0
0, 24, 87638, 0
0, 25, 87053, 0
0, 26, 86225, 0
0, 27, 88735, 0
0, 28, 88955, 0
0, 29, 87610, 0
0, 30, 83077, 0
0, 31, 92170, 0
0, 32, 87357, 0
0, 33, 87184, 0
0, 34, 87263, 0
0, 35, 84935, 0
0, 36, 87267, 0
0, 37, 90969, 0
0, 38, 92148, 0
0, 39, 87145, 0
0, 40, 84088, 0
0, 41, 88719, 0
0, 42, 87922, 0
0, 43, 81866, 0
0, 44, 82366, 0
0, 45, 86585, 0
0, 46, 86879, 0
0, 47, 88080, 0
0, 48, 86999, 0
0, 49, 86063, 0
0, 50, 86306, 0
0, 51, 85923, 0
0, 52, 95992, 0
0, 53, 86846, 0
0, 54, 86042, 0
0, 55, 86389, 0
0, 56, 86792, 0
0, 57, 85898, 0
0, 58, 86773, 0
0, 59, 86557, 0
0, 60, 85350, 0
0, 0, 0, 87107
4000, 1, 92393, 0
0, 2, 92553, 0
0, 3, 97118, 0
0, 4, 99258, 0
0, 5, 97774, 0
0, 6, 97326, 0
0, 7, 97342, 0
0, 8, 93607, 0
0, 9, 98241, 0
0, 10, 99402, 0
0, 11, 104177, 0
0, 12, 96832, 0
0, 13, 97021, 0
0, 14, 100099, 0
0, 15, 93161, 0
0, 16, 98148, 0
0, 17, 97317, 0
0, 18, 97613, 0
0, 19, 97585, 0
0, 20, 97472, 0
0, 21, 93389, 0
0, 22, 97928, 0
0, 23, 98591, 0
0, 24, 96953, 0
0, 25, 98092, 0
0, 26, 97871, 0
0, 27, 93319, 0
0, 28, 97774, 0
0, 29, 97496, 0
0, 30, 97089, 0
0, 31, 96826, 0
0, 32, 97790, 0
0, 33, 93388, 0
0, 34, 100405, 0
0, 35, 98365, 0
0, 36, 97196, 0
0, 37, 96803, 0
0, 38, 96874, 0
0, 39, 92975, 0
0, 40, 98220, 0
0, 41, 97775, 0
0, 42, 105313, 0
0, 43, 97755, 0
0, 44, 97141, 0
0, 45, 94877, 0
0, 46, 95673, 0
0, 47, 99114, 0
0, 48, 97364, 0
0, 49, 96998, 0
0, 50, 97416, 0
0, 51, 92012, 0
0, 52, 92938, 0
0, 53, 96993, 0
0, 54, 94995, 0
0, 55, 93890, 0
0, 56, 93378, 0
0, 57, 93857, 0
0, 58, 94713, 0
0, 59, 93185, 0
0, 60, 93681, 0
0, 0, 0, 96680
4500, 1, 103641, 0
0, 2, 101793, 0
0, 3, 102764, 0
0, 4, 102046, 0
0, 5, 102406, 0
0, 6, 102104, 0
0, 7, 101723, 0
0, 8, 103932, 0
0, 9, 101364, 0
0, 10, 101749, 0
0, 11, 107371, 0
0, 12, 110053, 0
0, 13, 107976, 0
0, 14, 106472, 0
0, 15, 108070, 0
0, 16, 113087, 0
0, 17, 106342, 0
0, 18, 105876, 0
0, 19, 106518, 0
0, 20, 104548, 0
0, 21, 103681, 0
0, 22, 107660, 0
0, 23, 107526, 0
0, 24, 107445, 0
0, 25, 105987, 0
0, 26, 106307, 0
0, 27, 106214, 0
0, 28, 106823, 0
0, 29, 101897, 0
0, 30, 107863, 0
0, 31, 107467, 0
0, 32, 114869, 0
0, 33, 107297, 0
0, 34, 106262, 0
0, 35, 115216, 0
0, 36, 106835, 0
0, 37, 107918, 0
0, 38, 107083, 0
0, 39, 111678, 0
0, 40, 106193, 0
0, 41, 106282, 0
0, 42, 102012, 0
0, 43, 110951, 0
0, 44, 106140, 0
0, 45, 107623, 0
0, 46, 106643, 0
0, 47, 106004, 0
0, 48, 106175, 0
0, 49, 102134, 0
0, 50, 105838, 0
0, 51, 108137, 0
0, 52, 107893, 0
0, 53, 106188, 0
0, 54, 106806, 0
0, 55, 106356, 0
0, 56, 100906, 0
0, 57, 102669, 0
0, 58, 109359, 0
0, 59, 102074, 0
0, 60, 101944, 0
0, 0, 0, 106069
5000, 1, 214915, 0
0, 2, 117207, 0
0, 3, 116652, 0
0, 4, 116677, 0
0, 5, 116614, 0
0, 6, 116784, 0
0, 7, 113437, 0
0, 8, 112602, 0
0, 9, 118091, 0
0, 10, 116364, 0
0, 11, 116850, 0
0, 12, 116283, 0
0, 13, 116492, 0
0, 14, 116727, 0
0, 15, 116356, 0
0, 16, 115898, 0
0, 17, 116387, 0
0, 18, 116503, 0
0, 19, 115841, 0
0, 20, 116686, 0
0, 21, 113335, 0
0, 22, 113734, 0
0, 23, 116555, 0
0, 24, 116952, 0
0, 25, 116356, 0
0, 26, 116641, 0
0, 27, 117013, 0
0, 28, 116862, 0
0, 29, 116858, 0
0, 30, 116004, 0
0, 31, 116013, 0
0, 32, 116526, 0
0, 33, 116573, 0
0, 34, 116871, 0
0, 35, 113583, 0
0, 36, 115714, 0
0, 37, 118156, 0
0, 38, 116005, 0
0, 39, 116197, 0
0, 40, 115829, 0
0, 41, 115416, 0
0, 42, 115663, 0
0, 43, 115444, 0
0, 44, 116519, 0
0, 45, 115404, 0
0, 46, 123611, 0
0, 47, 115962, 0
0, 48, 115134, 0
0, 49, 113087, 0
0, 50, 113562, 0
0, 51, 116694, 0
0, 52, 115986, 0
0, 53, 116094, 0
0, 54, 115862, 0
0, 55, 115593, 0
0, 56, 115657, 0
0, 57, 115509, 0
0, 58, 115508, 0
0, 59, 115596, 0
0, 60, 115268, 0
0, 0, 0, 117711
5500, 1, 124371, 0
0, 2, 123910, 0
0, 3, 121887, 0
0, 4, 121976, 0
0, 5, 124566, 0
0, 6, 123586, 0
0, 7, 123828, 0
0, 8, 123951, 0
0, 9, 123859, 0
0, 10, 123507, 0
0, 11, 123560, 0
0, 12, 123852, 0
0, 13, 123361, 0
0, 14, 124579, 0
0, 15, 123850, 0
0, 16, 124162, 0
0, 17, 122642, 0
0, 18, 121653, 0
0, 19, 125174, 0
0, 20, 124481, 0
0, 21, 123291, 0
0, 22, 124103, 0
0, 23, 124785, 0
0, 24, 124436, 0
0, 25, 123767, 0
0, 26, 123931, 0
0, 27, 124267, 0
0, 28, 123661, 0
0, 29, 123779, 0
0, 30, 124332, 0
0, 31, 122108, 0
0, 32, 123094, 0
0, 33, 124966, 0
0, 34, 123613, 0
0, 35, 123962, 0
0, 36, 142639, 0
0, 37, 141571, 0
0, 38, 140298, 0
0, 39, 140678, 0
0, 40, 145528, 0
0, 41, 139855, 0
0, 42, 169671, 0
0, 43, 133722, 0
0, 44, 144501, 0
0, 45, 124724, 0
0, 46, 123743, 0
0, 47, 124338, 0
0, 48, 123349, 0
0, 49, 123902, 0
0, 50, 123420, 0
0, 51, 132187, 0
0, 52, 124140, 0
0, 53, 131962, 0
0, 54, 124720, 0
0, 55, 122121, 0
0, 56, 121533, 0
0, 57, 126976, 0
0, 58, 124426, 0
0, 59, 123898, 0
0, 60, 124691, 0
0, 0, 0, 127157
6000, 1, 136673, 0
0, 2, 132771, 0
0, 3, 132895, 0
0, 4, 133103, 0
0, 5, 139487, 0
0, 6, 132843, 0
0, 7, 133459, 0
0, 8, 131935, 0
0, 9, 134339, 0
0, 10, 133446, 0
0, 11, 133044, 0
0, 12, 132699, 0
0, 13, 133145, 0
0, 14, 132992, 0
0, 15, 132997, 0
0, 16, 133553, 0
0, 17, 133152, 0
0, 18, 139211, 0
0, 19, 133040, 0
0, 20, 132490, 0
0, 21, 132692, 0
0, 22, 131968, 0
0, 23, 132360, 0
0, 24, 133094, 0
0, 25, 132998, 0
0, 26, 140771, 0
0, 27, 133141, 0
0, 28, 132943, 0
0, 29, 133848, 0
0, 30, 132879, 0
0, 31, 133243, 0
0, 32, 133217, 0
0, 33, 133218, 0
0, 34, 132994, 0
0, 35, 132981, 0
0, 36, 132554, 0
0, 37, 132440, 0
0, 38, 132520, 0
0, 39, 133872, 0
0, 40, 132846, 0
0, 41, 132811, 0
0, 42, 132747, 0
0, 43, 132863, 0
0, 44, 132572, 0
