Filter, ID, Time_us, Average_time
500, 1, 74531, 0
0, 2, 68782, 0
0, 3, 30545, 0
0, 4, 29079, 0
0, 5, 31522, 0
0, 6, 31593, 0
0, 7, 32631, 0
0, 8, 36836, 0
0, 9, 30681, 0
0, 10, 29087, 0
0, 11, 31883, 0
0, 12, 31737, 0
0, 13, 32513, 0
0, 14, 36530, 0
0, 15, 30749, 0
0, 16, 28947, 0
0, 17, 31943, 0
0, 18, 31718, 0
0, 19, 32454, 0
0, 20, 38578, 0
0, 21, 32292, 0
0, 22, 31085, 0
0, 23, 31569, 0
0, 24, 28920, 0
0, 25, 31943, 0
0, 26, 34607, 0
0, 27, 38093, 0
0, 28, 32657, 0
0, 29, 34196, 0
0, 30, 31973, 0
0, 31, 30762, 0
0, 32, 34148, 0
0, 33, 28758, 0
0, 34, 33168, 0
0, 35, 36007, 0
0, 36, 32652, 0
0, 37, 32421, 0
0, 38, 36555, 0
0, 39, 30786, 0
0, 40, 28993, 0
0, 41, 31783, 0
0, 42, 31631, 0
0, 43, 32339, 0
0, 44, 36573, 0
0, 45, 30605, 0
0, 46, 29029, 0
0, 47, 32232, 0
0, 48, 31639, 0
0, 49, 32396, 0
0, 50, 36683, 0
0, 51, 30753, 0
0, 52, 28960, 0
0, 53, 32513, 0
0, 54, 31663, 0
0, 55, 32604, 0
0, 56, 36727, 0
0, 57, 36283, 0
0, 58, 31136, 0
0, 59, 31504, 0
0, 60, 28640, 0
0, 0, 0, 33660
1000, 1, 42932, 0
0, 2, 47434, 0
0, 3, 47318, 0
0, 4, 47597, 0
0, 5, 47670, 0
0, 6, 43588, 0
0, 7, 42537, 0
0, 8, 48903, 0
0, 9, 47706, 0
0, 10, 49795, 0
0, 11, 47719, 0
0, 12, 47751, 0
0, 13, 47825, 0
0, 14, 47734, 0
0, 15, 43140, 0
0, 16, 47659, 0
0, 17, 47834, 0
0, 18, 49774, 0
0, 19, 47776, 0
0, 20, 49919, 0
0, 21, 47640, 0
0, 22, 49876, 0
0, 23, 43764, 0
0, 24, 49242, 0
0, 25, 47813, 0
0, 26, 47708, 0
0, 27, 47643, 0
0, 28, 49672, 0
0, 29, 51959, 0
0, 30, 60381, 0
0, 31, 45170, 0
0, 32, 49521, 0
0, 33, 47773, 0
0, 34, 49758, 0
0, 35, 47819, 0
0, 36, 49816, 0
0, 37, 47692, 0
0, 38, 47790, 0
0, 39, 45040, 0
0, 40, 49460, 0
0, 41, 47748, 0
0, 42, 49934, 0
0, 43, 47806, 0
0, 44, 49749, 0
0, 45, 49821, 0
0, 46, 49918, 0
0, 47, 47761, 0
0, 48, 48297, 0
0, 49, 47748, 0
0, 50, 47668, 0
0, 51, 47801, 0
0, 52, 47798, 0
0, 53, 47820, 0
0, 54, 52129, 0
0, 55, 49335, 0
0, 56, 48509, 0
0, 57, 47749, 0
0, 58, 49933, 0
0, 59, 49875, 0
0, 60, 49716, 0
0, 0, 0, 48254
1500, 1, 61880, 0
0, 2, 57420, 0
0, 3, 61948, 0
0, 4, 63070, 0
0, 5, 63309, 0
0, 6, 63303, 0
0, 7, 63359, 0
0, 8, 63370, 0
0, 9, 59743, 0
0, 10, 61655, 0
0, 11, 63405, 0
0, 12, 63270, 0
0, 13, 63404, 0
0, 14, 63235, 0
0, 15, 63392, 0
0, 16, 62931, 0
0, 17, 61258, 0
0, 18, 63372, 0
0, 19, 63274, 0
0, 20, 63394, 0
0, 21, 63291, 0
0, 22, 65312, 0
0, 23, 61243, 0
0, 24, 61654, 0
0, 25, 63408, 0
0, 26, 67561, 0
0, 27, 69695, 0
0, 28, 63462, 0
0, 29, 63321, 0
0, 30, 57381, 0
0, 31, 61078, 0
0, 32, 63149, 0
0, 33, 63336, 0
0, 34, 63282, 0
0, 35, 63189, 0
0, 36, 63392, 0
0, 37, 62951, 0
0, 38, 61585, 0
0, 39, 63418, 0
0, 40, 63279, 0
0, 41, 63334, 0
0, 42, 63324, 0
0, 43, 63307, 0
0, 44, 63287, 0
0, 45, 61344, 0
0, 46, 63217, 0
0, 47, 63210, 0
0, 48, 63455, 0
0, 49, 63263, 0
0, 50, 63346, 0
0, 51, 63185, 0
0, 52, 61665, 0
0, 53, 63319, 0
0, 54, 71842, 0
0, 55, 63183, 0
0, 56, 63416, 0
0, 57, 63288, 0
0, 58, 57338, 0
0, 59, 62854, 0
0, 60, 63144, 0
0, 0, 0, 62988
2000, 1, 75643, 0
0, 2, 76714, 0
0, 3, 76789, 0
0, 4, 76586, 0
0, 5, 74361, 0
0, 6, 76421, 0
0, 7, 74601, 0
0, 8, 76836, 0
0, 9, 76735, 0
0, 10, 76655, 0
0, 11, 75165, 0
0, 12, 76160, 0
0, 13, 76634, 0
0, 14, 76701, 0
0, 15, 76764, 0
0, 16, 76847, 0
0, 17, 76553, 0
0, 18, 72681, 0
0, 19, 76273, 0
0, 20, 76608, 0
0, 21, 74623, 0
0, 22, 76747, 0
0, 23, 76852, 0
0, 24, 76731, 0
0, 25, 74441, 0
0, 26, 76759, 0
0, 27, 76788, 0
0, 28, 76752, 0
0, 29, 76799, 0
0, 30, 76700, 0
0, 31, 70337, 0
0, 32, 75332, 0
0, 33, 76670, 0
0, 34, 78876, 0
0, 35, 76840, 0
0, 36, 76798, 0
0, 37, 76824, 0
0, 38, 74867, 0
0, 39, 76370, 0
0, 40, 76679, 0
0, 41, 76621, 0
0, 42, 76776, 0
0, 43, 76794, 0
0, 44, 73797, 0
0, 45, 76139, 0
0, 46, 76606, 0
0, 47, 78829, 0
0, 48, 76716, 0
0, 49, 76785, 0
0, 50, 76779, 0
0, 51, 72195, 0
0, 52, 76250, 0
0, 53, 76615, 0
0, 54, 76795, 0
0, 55, 76567, 0
0, 56, 76614, 0
0, 57, 74688, 0
0, 58, 74901, 0
0, 59, 87235, 0
0, 60, 76779, 0
0, 0, 0, 76316
2500, 1, 91633, 0
0, 2, 92339, 0
0, 3, 86085, 0
0, 4, 93096, 0
0, 5, 92328, 0
0, 6, 92396, 0
0, 7, 92229, 0
0, 8, 92337, 0
0, 9, 91105, 0
0, 10, 93443, 0
0, 11, 92346, 0
0, 12, 92310, 0
0, 13, 92451, 0
0, 14, 94505, 0
0, 15, 92680, 0
0, 16, 92524, 0
0, 17, 92337, 0
0, 18, 92536, 0
0, 19, 92237, 0
0, 20, 87104, 0
0, 21, 92234, 0
0, 22, 94373, 0
0, 23, 92455, 0
0, 24, 92466, 0
0, 25, 92348, 0
0, 26, 91325, 0
0, 27, 92214, 0
0, 28, 92395, 0
0, 29, 92340, 0
0, 30, 92370, 0
0, 31, 92362, 0
0, 32, 92286, 0
0, 33, 92457, 0
0, 34, 94463, 0
0, 35, 92304, 0
0, 36, 94440, 0
0, 37, 86287, 0
0, 38, 92787, 0
0, 39, 92503, 0
0, 40, 92404, 0
0, 41, 92332, 0
0, 42, 92371, 0
0, 43, 91632, 0
0, 44, 92014, 0
0, 45, 92452, 0
0, 46, 92405, 0
0, 47, 92296, 0
0, 48, 92350, 0
0, 49, 92277, 0
0, 50, 92341, 0
0, 51, 94499, 0
0, 52, 92437, 0
0, 53, 96660, 0
0, 54, 89075, 0
0, 55, 91895, 0
0, 56, 92280, 0
0, 57, 92385, 0
0, 58, 92368, 0
0, 59, 92382, 0
0, 60, 91176, 0
0, 0, 0, 92207
3000, 1, 105285, 0
0, 2, 105732, 0
0, 3, 105820, 0
0, 4, 105788, 0
0, 5, 102267, 0
0, 6, 105404, 0
0, 7, 105747, 0
0, 8, 105675, 0
0, 9, 105765, 0
0, 10, 99704, 0
0, 11, 105730, 0
0, 12, 105649, 0
0, 13, 105750, 0
0, 14, 105777, 0
0, 15, 105836, 0
0, 16, 104249, 0
0, 17, 105777, 0
0, 18, 105641, 0
0, 19, 105747, 0
0, 20, 105973, 0
0, 21, 101642, 0
0, 22, 105333, 0
0, 23, 105884, 0
0, 24, 105857, 0
0, 25, 105752, 0
0, 26, 102046, 0
0, 27, 104401, 0
0, 28, 105866, 0
0, 29, 105852, 0
0, 30, 110002, 0
0, 31, 105716, 0
0, 32, 103202, 0
0, 33, 105274, 0
0, 34, 105716, 0
0, 35, 105845, 0
0, 36, 105654, 0
0, 37, 99570, 0
0, 38, 105409, 0
0, 39, 105657, 0
0, 40, 105835, 0
0, 41, 105751, 0
0, 42, 105851, 0
0, 43, 103848, 0
0, 44, 105656, 0
0, 45, 105666, 0
0, 46, 105691, 0
0, 47, 105782, 0
0, 48, 103117, 0
0, 49, 105319, 0
0, 50, 105718, 0
0, 51, 105783, 0
0, 52, 105862, 0
0, 53, 101968, 0
0, 54, 104878, 0
0, 55, 105736, 0
0, 56, 105762, 0
0, 57, 105707, 0
0, 58, 105731, 0
0, 59, 104279, 0
0, 60, 105773, 0
0, 0, 0, 105128
3500, 1, 120890, 0
0, 2, 121217, 0
0, 3, 119355, 0
0, 4, 121705, 0
0, 5, 119324, 0
0, 6, 121332, 0
0, 7, 123376, 0
0, 8, 114575, 0
0, 9, 119692, 0
0, 10, 125586, 0
0, 11, 119313, 0
0, 12, 121165, 0
0, 13, 114429, 0
0, 14, 119702, 0
0, 15, 119194, 0
0, 16, 121464, 0
0, 17, 119301, 0
0, 18, 114684, 0
0, 19, 119801, 0
0, 20, 121324, 0
0, 21, 121354, 0
0, 22, 121386, 0
0, 23, 114397, 0
0, 24, 120615, 0
0, 25, 119121, 0
0, 26, 121315, 0
0, 27, 119290, 0
0, 28, 114774, 0
0, 29, 119810, 0
0, 30, 121258, 0
0, 31, 119294, 0
0, 32, 119286, 0
0, 33, 114321, 0
0, 34, 120064, 0
0, 35, 119152, 0
0, 36, 121337, 0
0, 37, 119288, 0
