Filter, ID, Time_us, Average_time
500, 1, 95529, 0
0, 2, 62927, 0
0, 3, 57160, 0
0, 4, 58534, 0
0, 5, 62043, 0
0, 6, 59415, 0
0, 7, 60441, 0
0, 8, 61968, 0
0, 9, 59920, 0
0, 10, 59207, 0
0, 11, 61945, 0
0, 12, 59138, 0
0, 13, 59820, 0
0, 14, 61368, 0
0, 15, 62067, 0
0, 16, 59095, 0
0, 17, 61999, 0
0, 18, 59257, 0
0, 19, 59956, 0
0, 20, 61447, 0
0, 21, 60075, 0
0, 22, 56799, 0
0, 23, 62261, 0
0, 24, 57423, 0
0, 25, 60154, 0
0, 26, 59730, 0
0, 27, 60211, 0
0, 28, 60994, 0
0, 29, 62013, 0
0, 30, 57875, 0
0, 31, 59982, 0
0, 32, 60842, 0
0, 33, 59973, 0
0, 34, 59231, 0
0, 35, 62064, 0
0, 36, 58325, 0
0, 37, 59996, 0
0, 38, 61553, 0
0, 39, 59841, 0
0, 40, 57060, 0
0, 41, 64025, 0
0, 42, 59080, 0
0, 43, 59940, 0
0, 44, 61756, 0
0, 45, 60310, 0
0, 46, 59989, 0
0, 47, 61952, 0
0, 48, 58412, 0
0, 49, 60113, 0
0, 50, 59014, 0
0, 51, 59940, 0
0, 52, 59240, 0
0, 53, 61946, 0
0, 54, 58760, 0
0, 55, 58576, 0
0, 56, 56674, 0
0, 57, 54106, 0
0, 58, 54564, 0
0, 59, 61222, 0
0, 60, 57574, 0
0, 0, 0, 60447
1000, 1, 95853, 0
0, 2, 102161, 0
0, 3, 99566, 0
0, 4, 98750, 0
0, 5, 96176, 0
0, 6, 94518, 0
0, 7, 97702, 0
0, 8, 98948, 0
0, 9, 99865, 0
0, 10, 99655, 0
0, 11, 97898, 0
0, 12, 98085, 0
0, 13, 104219, 0
0, 14, 98841, 0
0, 15, 96903, 0
0, 16, 98708, 0
0, 17, 96289, 0
0, 18, 99419, 0
0, 19, 98723, 0
0, 20, 99824, 0
0, 21, 99664, 0
0, 22, 96745, 0
0, 23, 95436, 0
0, 24, 99207, 0
0, 25, 99290, 0
0, 26, 99876, 0
0, 27, 94021, 0
0, 28, 98585, 0
0, 29, 100014, 0
0, 30, 100032, 0
0, 31, 100123, 0
0, 32, 101919, 0
0, 33, 102012, 0
0, 34, 101521, 0
0, 35, 96169, 0
0, 36, 101242, 0
0, 37, 95880, 0
0, 38, 99528, 0
0, 39, 99792, 0
0, 40, 99488, 0
0, 41, 100244, 0
0, 42, 106263, 0
0, 43, 100127, 0
0, 44, 101541, 0
0, 45, 99926, 0
0, 46, 100179, 0
0, 47, 100091, 0
0, 48, 99390, 0
0, 49, 100054, 0
0, 50, 100053, 0
0, 51, 100287, 0
0, 52, 98449, 0
0, 53, 100079, 0
0, 54, 105956, 0
0, 55, 100517, 0
0, 56, 100961, 0
0, 57, 100593, 0
0, 58, 97189, 0
0, 59, 100249, 0
0, 60, 99537, 0
0, 0, 0, 99405
1500, 1, 138266, 0
0, 2, 140385, 0
0, 3, 140320, 0
0, 4, 139455, 0
0, 5, 139696, 0
0, 6, 139320, 0
0, 7, 137935, 0
0, 8, 139638, 0
0, 9, 140919, 0
0, 10, 139279, 0
0, 11, 139721, 0
0, 12, 149295, 0
0, 13, 140088, 0
0, 14, 138288, 0
0, 15, 140767, 0
0, 16, 139463, 0
0, 17, 140538, 0
0, 18, 140313, 0
0, 19, 140588, 0
0, 20, 141228, 0
0, 21, 139865, 0
0, 22, 139980, 0
0, 23, 140097, 0
0, 24, 139976, 0
0, 25, 135457, 0
0, 26, 140359, 0
0, 27, 136106, 0
0, 28, 142293, 0
0, 29, 135915, 0
0, 30, 141015, 0
0, 31, 136870, 0
0, 32, 141135, 0
0, 33, 139984, 0
0, 34, 141068, 0
0, 35, 140471, 0
0, 36, 139954, 0
0, 37, 140637, 0
0, 38, 141897, 0
0, 39, 140788, 0
0, 40, 140663, 0
0, 41, 140159, 0
0, 42, 140689, 0
0, 43, 140479, 0
0, 44, 140388, 0
0, 45, 140752, 0
0, 46, 138024, 0
0, 47, 139669, 0
0, 48, 135293, 0
0, 49, 135231, 0
0, 50, 138323, 0
0, 51, 140133, 0
0, 52, 140340, 0
0, 53, 135641, 0
0, 54, 140132, 0
0, 55, 139771, 0
0, 56, 136716, 0
0, 57, 135720, 0
0, 58, 139487, 0
0, 59, 140069, 0
0, 60, 136033, 0
0, 0, 0, 139551
2000, 1, 177271, 0
0, 2, 180558, 0
0, 3, 180965, 0
0, 4, 180567, 0
0, 5, 180704, 0
0, 6, 176186, 0
0, 7, 180856, 0
0, 8, 180520, 0
0, 9, 176085, 0
0, 10, 182271, 0
0, 11, 180105, 0
0, 12, 180517, 0
0, 13, 180422, 0
0, 14, 180318, 0
0, 15, 180170, 0
0, 16, 180281, 0
0, 17, 182170, 0
0, 18, 176443, 0
0, 19, 175593, 0
0, 20, 180652, 0
0, 21, 176221, 0
0, 22, 182063, 0
0, 23, 178298, 0
0, 24, 187465, 0
0, 25, 199090, 0
0, 26, 189642, 0
0, 27, 183544, 0
0, 28, 185764, 0
0, 29, 182240, 0
0, 30, 184519, 0
0, 31, 181260, 0
0, 32, 195772, 0
0, 33, 187367, 0
0, 34, 193411, 0
0, 35, 189944, 0
0, 36, 181454, 0
0, 37, 180673, 0
0, 38, 180877, 0
0, 39, 179544, 0
0, 40, 179720, 0
0, 41, 180296, 0
0, 42, 178500, 0
0, 43, 180197, 0
0, 44, 178898, 0
0, 45, 182642, 0
0, 46, 178604, 0
0, 47, 182409, 0
0, 48, 180642, 0
0, 49, 181109, 0
0, 50, 180433, 0
0, 51, 178692, 0
0, 52, 182360, 0
0, 53, 176455, 0
0, 54, 181997, 0
0, 55, 179356, 0
0, 56, 180985, 0
0, 57, 180209, 0
0, 58, 179979, 0
0, 59, 180367, 0
0, 60, 177729, 0
0, 0, 0, 181556
2500, 1, 222846, 0
0, 2, 221929, 0
0, 3, 218872, 0
0, 4, 222833, 0
0, 5, 222134, 0
0, 6, 221908, 0
0, 7, 221362, 0
0, 8, 220239, 0
0, 9, 221820, 0
0, 10, 222040, 0
0, 11, 218376, 0
0, 12, 222550, 0
0, 13, 221971, 0
0, 14, 221315, 0
0, 15, 222970, 0
0, 16, 221854, 0
0, 17, 221030, 0
0, 18, 224733, 0
0, 19, 218551, 0
0, 20, 223960, 0
0, 21, 221179, 0
0, 22, 218166, 0
0, 23, 222951, 0
0, 24, 222405, 0
