Filter, ID, Time_us, Average_time
500, 1, 35255, 0
0, 2, 954, 0
0, 3, 2707, 0
0, 4, 781, 0
0, 5, 748, 0
0, 6, 2695, 0
0, 7, 843, 0
0, 8, 759, 0
0, 9, 2702, 0
0, 10, 788, 0
0, 11, 772, 0
0, 12, 2729, 0
0, 13, 804, 0
0, 14, 869, 0
0, 15, 2710, 0
0, 16, 771, 0
0, 17, 782, 0
0, 18, 2702, 0
0, 19, 761, 0
0, 20, 2713, 0
0, 21, 807, 0
0, 22, 2718, 0
0, 23, 719, 0
0, 24, 783, 0
0, 25, 2714, 0
0, 26, 2596, 0
0, 27, 1000, 0
0, 28, 2726, 0
0, 29, 2583, 0
0, 30, 740, 0
0, 31, 2729, 0
0, 32, 2713, 0
0, 33, 741, 0
0, 34, 784, 0
0, 35, 1416, 0
0, 36, 2727, 0
0, 37, 743, 0
0, 38, 825, 0
0, 39, 2719, 0
0, 40, 742, 0
0, 41, 735, 0
0, 42, 2724, 0
0, 43, 793, 0
0, 44, 740, 0
0, 45, 2720, 0
0, 46, 768, 0
0, 47, 758, 0
0, 48, 2725, 0
0, 49, 823, 0
0, 50, 831, 0
0, 51, 2739, 0
0, 52, 777, 0
0, 53, 792, 0
0, 54, 2711, 0
0, 55, 743, 0
0, 56, 818, 0
0, 57, 950, 0
0, 58, 2743, 0
0, 59, 752, 0
0, 60, 763, 0
0, 0, 0, 2079
1000, 1, 796, 0
0, 2, 900, 0
0, 3, 1403, 0
0, 4, 1216, 0
0, 5, 1020, 0
0, 6, 699, 0
0, 7, 939, 0
0, 8, 2729, 0
0, 9, 2658, 0
0, 10, 2623, 0
0, 11, 2715, 0
0, 12, 2739, 0
0, 13, 2752, 0
0, 14, 2609, 0
0, 15, 885, 0
0, 16, 2709, 0
0, 17, 2647, 0
0, 18, 2585, 0
0, 19, 2705, 0
0, 20, 2690, 0
0, 21, 2609, 0
0, 22, 2599, 0
0, 23, 816, 0
0, 24, 2692, 0
0, 25, 2603, 0
0, 26, 2628, 0
0, 27, 2617, 0
0, 28, 2713, 0
0, 29, 2649, 0
0, 30, 2628, 0
0, 31, 2737, 0
0, 32, 2699, 0
0, 33, 2722, 0
0, 34, 2706, 0
0, 35, 2717, 0
0, 36, 2675, 0
0, 37, 2731, 0
0, 38, 2603, 0
0, 39, 2751, 0
0, 40, 2689, 0
0, 41, 2663, 0
0, 42, 2690, 0
0, 43, 2721, 0
0, 44, 2708, 0
0, 45, 2596, 0
0, 46, 2608, 0
0, 47, 1119, 0
0, 48, 2718, 0
0, 49, 2705, 0
0, 50, 2591, 0
0, 51, 2603, 0
0, 52, 2663, 0
0, 53, 2636, 0
0, 54, 2676, 0
0, 55, 1036, 0
