Filter, ID, Time_us, Average_time
500, 1, 1033, 0
0, 2, 2498, 0
0, 3, 747, 0
0, 4, 2431, 0
0, 5, 2433, 0
0, 6, 2452, 0
0, 7, 2434, 0
0, 8, 2458, 0
0, 9, 2436, 0
0, 10, 2453, 0
0, 11, 1938, 0
0, 12, 2420, 0
0, 13, 2419, 0
0, 14, 2422, 0
0, 15, 1287, 0
0, 16, 2481, 0
0, 17, 2420, 0
0, 18, 2468, 0
0, 19, 2425, 0
0, 20, 2431, 0
0, 21, 2425, 0
0, 22, 2569, 0
0, 23, 2521, 0
0, 24, 2479, 0
0, 25, 2420, 0
0, 26, 2436, 0
0, 27, 2420, 0
0, 28, 2465, 0
0, 29, 2419, 0
0, 30, 2465, 0
0, 31, 2426, 0
0, 32, 2423, 0
0, 33, 2563, 0
0, 34, 2413, 0
0, 35, 2433, 0
0, 36, 2431, 0
0, 37, 2562, 0
0, 38, 2423, 0
0, 39, 2449, 0
0, 40, 2469, 0
0, 41, 2438, 0
0, 42, 2478, 0
0, 43, 2447, 0
0, 44, 2568, 0
0, 45, 2444, 0
0, 46, 2423, 0
0, 47, 2426, 0
0, 48, 2434, 0
0, 49, 2433, 0
0, 50, 2425, 0
0, 51, 2430, 0
0, 52, 2447, 0
0, 53, 2434, 0
0, 54, 2461, 0
0, 55, 779, 0
0, 56, 736, 0
0, 57, 737, 0
0, 58, 1591, 0
0, 59, 930, 0
0, 60, 2436, 0
0, 0, 0, 2246
1000, 1, 983, 0
0, 2, 990, 0
0, 3, 2395, 0
0, 4, 2282, 0
0, 5, 816, 0
0, 6, 1130, 0
0, 7, 2487, 0
0, 8, 2448, 0
0, 9, 2483, 0
0, 10, 985, 0
0, 11, 1603, 0
0, 12, 2479, 0
0, 13, 1164, 0
0, 14, 981, 0
0, 15, 2504, 0
0, 16, 2495, 0
0, 17, 1143, 0
0, 18, 2458, 0
0, 19, 2484, 0
0, 20, 1196, 0
0, 21, 2388, 0
0, 22, 2442, 0
0, 23, 971, 0
0, 24, 1801, 0
0, 25, 2172, 0
0, 26, 1504, 0
0, 27, 813, 0
0, 28, 2476, 0
0, 29, 2453, 0
0, 30, 2454, 0
0, 31, 2457, 0
0, 32, 2562, 0
0, 33, 979, 0
0, 34, 2487, 0
0, 35, 1136, 0
0, 36, 2483, 0
0, 37, 818, 0
0, 38, 2464, 0
0, 39, 2446, 0
0, 40, 2575, 0
0, 41, 2595, 0
0, 42, 2442, 0
0, 43, 2445, 0
0, 44, 2450, 0
0, 45, 2458, 0
0, 46, 2583, 0
0, 47, 2449, 0
0, 48, 2487, 0
0, 49, 2461, 0
0, 50, 2491, 0
0, 51, 2452, 0
0, 52, 2452, 0
0, 53, 2452, 0
0, 54, 2449, 0
0, 55, 2452, 0
0, 56, 2447, 0
0, 57, 2457, 0
0, 58, 2480, 0
0, 59, 2589, 0
0, 60, 2479, 0
0, 0, 0, 2082
1500, 1, 865, 0
0, 2, 2507, 0
0, 3, 1084, 0
0, 4, 2519, 0
0, 5, 1007, 0
0, 6, 2476, 0
0, 7, 2611, 0
0, 8, 2348, 0
0, 9, 2487, 0
0, 10, 2596, 0
0, 11, 862, 0
0, 12, 2535, 0
0, 13, 2480, 0
0, 14, 2476, 0
0, 15, 2468, 0
0, 16, 2470, 0
0, 17, 2480, 0
0, 18, 2535, 0
