Filter, ID, Time_ms, Average_time
10, 1, 10, 0
0, 2, 5, 0
0, 3, 4, 0
0, 4, 4, 0
0, 5, 4, 0
0, 6, 3, 0
0, 7, 4, 0
0, 8, 3, 0
0, 9, 3, 0
0, 10, 4, 0
0, 11, 3, 0
0, 12, 3, 0
0, 13, 4, 0
0, 14, 4, 0
0, 15, 3, 0
0, 16, 4, 0
0, 17, 4, 0
0, 18, 4, 0
0, 19, 4, 0
0, 20, 3, 0
0, 21, 6, 0
0, 22, 5, 0
0, 23, 4, 0
0, 24, 4, 0
0, 25, 4, 0
0, 26, 4, 0
0, 27, 4, 0
0, 28, 4, 0
0, 29, 4, 0
0, 30, 5, 0
0, 0, 0, 4
20, 1, 6, 0
0, 2, 8, 0
0, 3, 4, 0
0, 4, 4, 0
0, 5, 4, 0
0, 6, 4, 0
0, 7, 3, 0
0, 8, 4, 0
0, 9, 4, 0
0, 10, 4, 0
0, 11, 4, 0
0, 12, 4, 0
0, 13, 5, 0
0, 14, 4, 0
0, 15, 4, 0
0, 16, 4, 0
0, 17, 4, 0
0, 18, 4, 0
0, 19, 5, 0
0, 20, 4, 0
0, 21, 4, 0
0, 22, 4, 0
0, 23, 4, 0
0, 24, 4, 0
0, 25, 11, 0
0, 26, 8, 0
0, 27, 4, 0
0, 28, 4, 0
0, 29, 4, 0
0, 30, 4, 0
0, 0, 0, 4
30, 1, 4, 0
0, 2, 4, 0
0, 3, 4, 0
0, 4, 6, 0
0, 5, 4, 0
0, 6, 4, 0
0, 7, 4, 0
0, 8, 5, 0
0, 9, 4, 0
0, 10, 4, 0
0, 11, 4, 0
0, 12, 4, 0
0, 13, 4, 0
0, 14, 4, 0
0, 15, 4, 0
0, 16, 4, 0
0, 17, 7, 0
0, 18, 6, 0
0, 19, 8, 0
0, 20, 5, 0
0, 21, 4, 0
0, 22, 4, 0
0, 23, 4, 0
0, 24, 4, 0
0, 25, 4, 0
0, 26, 4, 0
0, 27, 4, 0
0, 28, 5, 0
0, 29, 5, 0
0, 30, 4, 0
0, 0, 0, 4
40, 1, 4, 0
0, 2, 4, 0
0, 3, 4, 0
0, 4, 4, 0
0, 5, 4, 0
0, 6, 4, 0
0, 7, 4, 0
0, 8, 4, 0
0, 9, 4, 0
0, 10, 6, 0
0, 11, 12, 0
0, 12, 4, 0
0, 13, 4, 0
0, 14, 4, 0
0, 15, 4, 0
0, 16, 4, 0
0, 17, 4, 0
0, 18, 4, 0
0, 19, 4, 0
0, 20, 4, 0
0, 21, 4, 0
0, 22, 4, 0
0, 23, 4, 0
0, 24, 4, 0
0, 25, 4, 0
0, 26, 4, 0
0, 27, 4, 0
0, 28, 4, 0
0, 29, 4, 0
0, 30, 4, 0
0, 0, 0, 4
50, 1, 4, 0
0, 2, 4, 0
0, 3, 4, 0
0, 4, 4, 0
0, 5, 4, 0
0, 6, 4, 0
0, 7, 4, 0
0, 8, 5, 0
0, 9, 4, 0
0, 10, 4, 0
0, 11, 4, 0
0, 12, 4, 0
0, 13, 4, 0
0, 14, 4, 0
0, 15, 4, 0
0, 16, 4, 0
0, 17, 4, 0
0, 18, 4, 0
0, 19, 4, 0
0, 20, 4, 0
0, 21, 4, 0
0, 22, 4, 0
0, 23, 4, 0
0, 24, 4, 0
