Filter, ID, Time_ms, Average_time
10, 1, 132, 0
0, 2, 58, 0
0, 3, 57, 0
0, 4, 55, 0
0, 5, 56, 0
0, 6, 57, 0
0, 7, 55, 0
0, 8, 58, 0
0, 9, 56, 0
0, 10, 56, 0
0, 11, 55, 0
0, 12, 55, 0
0, 13, 56, 0
0, 14, 55, 0
0, 15, 57, 0
0, 16, 56, 0
0, 17, 57, 0
0, 18, 59, 0
0, 19, 57, 0
0, 20, 57, 0
0, 21, 56, 0
0, 22, 56, 0
0, 23, 56, 0
0, 24, 56, 0
0, 25, 57, 0
0, 26, 56, 0
0, 27, 56, 0
0, 28, 56, 0
0, 29, 55, 0
0, 30, 56, 0
0, 0, 0, 58
20, 1, 57, 0
0, 2, 57, 0
0, 3, 57, 0
0, 4, 58, 0
0, 5, 57, 0
0, 6, 57, 0
0, 7, 57, 0
0, 8, 57, 0
0, 9, 57, 0
0, 10, 57, 0
0, 11, 57, 0
0, 12, 58, 0
0, 13, 58, 0
0, 14, 58, 0
0, 15, 58, 0
0, 16, 57, 0
0, 17, 57, 0
0, 18, 57, 0
0, 19, 57, 0
0, 20, 58, 0
0, 21, 58, 0
0, 22, 58, 0
0, 23, 58, 0
0, 24, 58, 0
0, 25, 58, 0
0, 26, 58, 0
0, 27, 58, 0
0, 28, 58, 0
0, 29, 58, 0
0, 30, 57, 0
0, 0, 0, 57
30, 1, 59, 0
0, 2, 58, 0
0, 3, 59, 0
0, 4, 59, 0
0, 5, 58, 0
0, 6, 59, 0
0, 7, 58, 0
0, 8, 58, 0
0, 9, 59, 0
0, 10, 59, 0
0, 11, 58, 0
0, 12, 59, 0
0, 13, 59, 0
0, 14, 59, 0
0, 15, 58, 0
0, 16, 61, 0
0, 17, 61, 0
0, 18, 59, 0
0, 19, 59, 0
0, 20, 62, 0
0, 21, 59, 0
0, 22, 59, 0
0, 23, 58, 0
0, 24, 59, 0
0, 25, 58, 0
0, 26, 59, 0
0, 27, 60, 0
0, 28, 59, 0
0, 29, 59, 0
0, 30, 59, 0
0, 0, 0, 59
40, 1, 61, 0
0, 2, 60, 0
0, 3, 61, 0
0, 4, 60, 0
