Filter, ID, Time_us, Average_time
10, 1, 811, 0
0, 2, 138, 0
0, 3, 131, 0
0, 4, 130, 0
0, 5, 134, 0
0, 6, 207, 0
0, 7, 151, 0
0, 8, 133, 0
0, 9, 149, 0
0, 10, 133, 0
0, 11, 127, 0
0, 12, 170, 0
0, 13, 133, 0
0, 14, 134, 0
0, 15, 130, 0
0, 16, 136, 0
0, 17, 140, 0
0, 18, 136, 0
0, 19, 127, 0
0, 20, 131, 0
0, 21, 202, 0
0, 22, 158, 0
0, 23, 125, 0
0, 24, 129, 0
0, 25, 123, 0
0, 26, 317, 0
0, 27, 127, 0
0, 28, 141, 0
0, 29, 131, 0
0, 30, 129, 0
0, 31, 164, 0
0, 32, 159, 0
0, 33, 122, 0
0, 34, 129, 0
0, 35, 163, 0
0, 36, 144, 0
0, 37, 132, 0
0, 38, 127, 0
0, 39, 130, 0
0, 40, 135, 0
0, 41, 142, 0
0, 42, 139, 0
0, 43, 170, 0
0, 44, 146, 0
0, 45, 129, 0
0, 46, 142, 0
0, 47, 131, 0
0, 48, 129, 0
0, 49, 133, 0
0, 50, 135, 0
0, 51, 140, 0
0, 52, 172, 0
0, 53, 167, 0
0, 54, 135, 0
0, 55, 144, 0
0, 56, 169, 0
0, 57, 136, 0
0, 58, 131, 0
0, 59, 131, 0
0, 60, 135, 0
0, 0, 0, 155
20, 1, 256, 0
0, 2, 207, 0
0, 3, 207, 0
0, 4, 206, 0
0, 5, 203, 0
0, 6, 211, 0
0, 7, 213, 0
0, 8, 214, 0
0, 9, 214, 0
0, 10, 212, 0
0, 11, 213, 0
0, 12, 202, 0
0, 13, 210, 0
0, 14, 202, 0
0, 15, 215, 0
0, 16, 218, 0
0, 17, 206, 0
0, 18, 209, 0
0, 19, 223, 0
0, 20, 223, 0
0, 21, 241, 0
0, 22, 222, 0
0, 23, 222, 0
0, 24, 407, 0
0, 25, 205, 0
0, 26, 212, 0
0, 27, 207, 0
0, 28, 229, 0
0, 29, 331, 0
0, 30, 201, 0
0, 31, 213, 0
0, 32, 217, 0
0, 33, 212, 0
0, 34, 204, 0
0, 35, 203, 0
0, 36, 206, 0
0, 37, 223, 0
0, 38, 203, 0
