Filter, ID, Time_us, Average_time
10, 1, 13628, 0
0, 2, 5871, 0
0, 3, 4895, 0
0, 4, 4488, 0
0, 5, 4705, 0
0, 6, 4466, 0
0, 7, 4417, 0
0, 8, 4648, 0
0, 9, 4384, 0
0, 10, 4726, 0
0, 11, 4164, 0
0, 12, 4164, 0
0, 13, 4306, 0
0, 14, 4598, 0
0, 15, 4281, 0
0, 16, 4095, 0
0, 17, 4531, 0
0, 18, 4192, 0
0, 19, 4328, 0
0, 20, 4716, 0
0, 21, 4752, 0
0, 22, 5378, 0
0, 23, 4193, 0
0, 24, 4194, 0
0, 25, 4369, 0
0, 26, 4508, 0
0, 27, 4375, 0
0, 28, 4370, 0
0, 29, 4451, 0
0, 30, 4765, 0
0, 31, 5015, 0
0, 32, 5141, 0
0, 33, 5215, 0
0, 34, 5272, 0
0, 35, 4822, 0
0, 36, 4723, 0
0, 37, 4366, 0
0, 38, 4415, 0
0, 39, 4362, 0
0, 40, 4332, 0
0, 41, 4326, 0
0, 42, 4407, 0
0, 43, 5561, 0
0, 44, 4629, 0
0, 45, 4305, 0
0, 46, 4434, 0
0, 47, 4159, 0
0, 48, 4596, 0
0, 49, 5331, 0
0, 50, 4479, 0
0, 51, 4352, 0
0, 52, 4213, 0
0, 53, 4284, 0
0, 54, 4578, 0
0, 55, 6615, 0
0, 56, 4901, 0
0, 57, 4882, 0
0, 58, 4801, 0
0, 59, 4646, 0
0, 60, 4396, 0
0, 0, 0, 4775
20, 1, 4824, 0
0, 2, 4589, 0
0, 3, 4679, 0
0, 4, 5628, 0
0, 5, 4489, 0
0, 6, 4534, 0
0, 7, 4693, 0
0, 8, 4746, 0
0, 9, 4473, 0
0, 10, 4509, 0
0, 11, 4524, 0
0, 12, 4297, 0
0, 13, 4277, 0
0, 14, 4730, 0
0, 15, 4621, 0
0, 16, 4457, 0
0, 17, 4408, 0
0, 18, 4203, 0
0, 19, 4415, 0
0, 20, 6285, 0
0, 21, 4813, 0
0, 22, 4719, 0
0, 23, 4482, 0
0, 24, 4650, 0
0, 25, 4388, 0
0, 26, 4112, 0
0, 27, 4626, 0
0, 28, 6181, 0
0, 29, 4658, 0
0, 30, 4521, 0
0, 31, 4831, 0
0, 32, 4697, 0
0, 33, 4519, 0
0, 34, 4253, 0
0, 35, 4251, 0
0, 36, 4517, 0
0, 37, 4374, 0
0, 38, 4428, 0
0, 39, 4166, 0
0, 40, 4493, 0
0, 41, 4463, 0
0, 42, 4279, 0
0, 43, 4019, 0
0, 44, 4428, 0
0, 45, 4280, 0
0, 46, 4400, 0
0, 47, 4231, 0
0, 48, 4320, 0
0, 49, 4446, 0
0, 50, 4873, 0
0, 51, 4367, 0
0, 52, 4507, 0
0, 53, 4686, 0
0, 54, 4462, 0
0, 55, 4723, 0
0, 56, 4858, 0
0, 57, 5605, 0
0, 58, 5446, 0
0, 59, 5629, 0
0, 60, 5145, 0
0, 0, 0, 4637
30, 1, 4846, 0
0, 2, 4511, 0
0, 3, 4808, 0
0, 4, 4659, 0
0, 5, 4290, 0
0, 6, 4273, 0
0, 7, 4499, 0
0, 8, 5501, 0
0, 9, 16029, 0
0, 10, 6556, 0
0, 11, 6253, 0
0, 12, 17918, 0
0, 13, 8062, 0
0, 14, 4826, 0
0, 15, 4832, 0
0, 16, 4887, 0
0, 17, 4633, 0
0, 18, 4722, 0
0, 19, 5917, 0
0, 20, 4435, 0
0, 21, 4518, 0
0, 22, 4783, 0
0, 23, 4659, 0
0, 24, 4731, 0
0, 25, 4653, 0
0, 26, 4471, 0
0, 27, 4465, 0
0, 28, 4241, 0
0, 29, 4228, 0
0, 30, 4324, 0
0, 31, 4475, 0
0, 32, 4481, 0
0, 33, 4238, 0
0, 34, 4484, 0
0, 35, 4482, 0
0, 36, 4459, 0
0, 37, 4183, 0
0, 38, 4477, 0
0, 39, 4370, 0
0, 40, 4280, 0
0, 41, 4544, 0
0, 42, 4262, 0
0, 43, 4284, 0
0, 44, 4417, 0
0, 45, 4661, 0
0, 46, 4484, 0
0, 47, 4202, 0
0, 48, 4314, 0
0, 49, 4549, 0
0, 50, 5555, 0
0, 51, 4871, 0
0, 52, 4733, 0
0, 53, 4499, 0
0, 54, 4806, 0
0, 55, 4540, 0
0, 56, 4363, 0
0, 57, 4401, 0
0, 58, 4700, 0
0, 59, 4492, 0
0, 60, 4270, 0
0, 0, 0, 5106
40, 1, 4372, 0
0, 2, 4194, 0
0, 3, 4313, 0
0, 4, 4411, 0
0, 5, 4822, 0
0, 6, 4226, 0
0, 7, 4324, 0
0, 8, 4687, 0
0, 9, 4470, 0
0, 10, 4659, 0
0, 11, 4432, 0
0, 12, 5845, 0
0, 13, 4577, 0
0, 14, 4634, 0
0, 15, 4667, 0
0, 16, 5267, 0
0, 17, 5209, 0
0, 18, 5533, 0
0, 19, 5129, 0
0, 20, 4698, 0
0, 21, 4792, 0
0, 22, 4456, 0
0, 23, 4699, 0
0, 24, 4505, 0
0, 25, 4900, 0
0, 26, 4658, 0
0, 27, 4814, 0
0, 28, 4876, 0
0, 29, 4675, 0
0, 30, 4742, 0
0, 31, 4944, 0
0, 32, 4576, 0
0, 33, 4434, 0
0, 34, 4532, 0
0, 35, 4507, 0
0, 36, 4380, 0
0, 37, 4522, 0
0, 38, 4684, 0
0, 39, 5124, 0
0, 40, 4392, 0
0, 41, 4431, 0
0, 42, 4703, 0
0, 43, 4425, 0
0, 44, 4521, 0
0, 45, 4311, 0
0, 46, 6436, 0
0, 47, 4644, 0
0, 48, 4588, 0
0, 49, 4531, 0
0, 50, 4551, 0
0, 51, 4953, 0
0, 52, 4706, 0
0, 53, 7413, 0
0, 54, 4894, 0
0, 55, 4488, 0
0, 56, 4491, 0
0, 57, 4467, 0
0, 58, 4766, 0
0, 59, 4434, 0
0, 60, 4386, 0
0, 0, 0, 4730
50, 1, 4727, 0
0, 2, 4939, 0
0, 3, 4363, 0
0, 4, 4536, 0
0, 5, 4609, 0
0, 6, 4608, 0
0, 7, 4585, 0
0, 8, 5214, 0
0, 9, 4340, 0
0, 10, 4651, 0
0, 11, 4539, 0
0, 12, 4719, 0
0, 13, 4523, 0
0, 14, 5592, 0
0, 15, 4408, 0
0, 16, 5698, 0
0, 17, 4746, 0
0, 18, 4538, 0
0, 19, 4495, 0
0, 20, 4340, 0
