Filter, ID, Time_us, Average_time
10, 1, 116923, 0
0, 2, 59345, 0
0, 3, 58271, 0
0, 4, 57979, 0
0, 5, 58576, 0
0, 6, 58705, 0
0, 7, 58048, 0
0, 8, 58026, 0
0, 9, 57755, 0
0, 10, 58140, 0
0, 11, 57104, 0
0, 12, 57777, 0
0, 13, 58800, 0
0, 14, 57704, 0
0, 15, 58556, 0
0, 16, 57551, 0
0, 17, 66233, 0
0, 18, 58652, 0
0, 19, 57656, 0
0, 20, 58846, 0
0, 21, 57689, 0
0, 22, 57812, 0
0, 23, 58378, 0
0, 24, 58499, 0
0, 25, 58201, 0
0, 26, 57465, 0
0, 27, 56872, 0
0, 28, 57587, 0
0, 29, 56937, 0
0, 30, 58004, 0
0, 31, 57217, 0
0, 32, 56448, 0
0, 33, 57360, 0
0, 34, 56951, 0
0, 35, 57360, 0
0, 36, 56663, 0
0, 37, 57262, 0
0, 38, 72855, 0
0, 39, 57768, 0
0, 40, 58210, 0
0, 41, 57301, 0
0, 42, 57336, 0
0, 43, 58122, 0
0, 44, 57098, 0
0, 45, 58053, 0
0, 46, 57003, 0
0, 47, 56943, 0
0, 48, 57818, 0
0, 49, 56767, 0
0, 50, 57814, 0
0, 51, 58754, 0
0, 52, 56809, 0
0, 53, 57439, 0
0, 54, 56828, 0
0, 55, 57901, 0
0, 56, 56977, 0
0, 57, 56892, 0
0, 58, 58313, 0
0, 59, 57033, 0
0, 60, 57659, 0
0, 0, 0, 59084
20, 1, 58416, 0
0, 2, 58065, 0
0, 3, 58435, 0
0, 4, 58614, 0
0, 5, 59581, 0
0, 6, 58248, 0
0, 7, 58816, 0
0, 8, 58795, 0
0, 9, 58532, 0
0, 10, 58669, 0
0, 11, 58554, 0
0, 12, 58717, 0
0, 13, 58876, 0
0, 14, 58698, 0
0, 15, 60330, 0
0, 16, 58410, 0
0, 17, 58416, 0
0, 18, 58106, 0
0, 19, 58089, 0
0, 20, 58660, 0
0, 21, 58300, 0
0, 22, 58778, 0
0, 23, 58563, 0
0, 24, 58252, 0
0, 25, 58265, 0
0, 26, 58508, 0
0, 27, 58250, 0
0, 28, 58845, 0
0, 29, 58635, 0
0, 30, 58490, 0
0, 31, 58807, 0
0, 32, 58568, 0
0, 33, 57980, 0
0, 34, 57710, 0
0, 35, 57986, 0
0, 36, 58009, 0
0, 37, 58746, 0
0, 38, 58034, 0
0, 39, 58099, 0
0, 40, 58971, 0
0, 41, 58374, 0
0, 42, 59075, 0
0, 43, 59357, 0
0, 44, 59109, 0
0, 45, 59550, 0
0, 46, 59079, 0
0, 47, 58620, 0
0, 48, 58237, 0
0, 49, 59774, 0
0, 50, 58452, 0
0, 51, 58661, 0
0, 52, 58705, 0
0, 53, 58524, 0
0, 54, 58373, 0
0, 55, 58361, 0
0, 56, 58557, 0
0, 57, 58139, 0
0, 58, 58158, 0
0, 59, 58271, 0
0, 60, 60563, 0
0, 0, 0, 58612
30, 1, 59973, 0
0, 2, 59569, 0
0, 3, 59338, 0
0, 4, 59694, 0
0, 5, 66348, 0
0, 6, 59033, 0
0, 7, 59322, 0
0, 8, 59490, 0
0, 9, 59388, 0
0, 10, 59133, 0
0, 11, 59210, 0
0, 12, 59264, 0
0, 13, 59361, 0
0, 14, 59514, 0
0, 15, 59448, 0
0, 16, 59159, 0
0, 17, 59013, 0
0, 18, 59188, 0
0, 19, 59165, 0
0, 20, 60201, 0
0, 21, 60135, 0
0, 22, 60181, 0
0, 23, 60358, 0
0, 24, 59840, 0
0, 25, 59958, 0
0, 26, 60030, 0
0, 27, 59994, 0
0, 28, 60765, 0
0, 29, 60398, 0
0, 30, 60447, 0
0, 31, 59841, 0
0, 32, 60775, 0
0, 33, 60067, 0
0, 34, 60272, 0
0, 35, 60276, 0
0, 36, 59822, 0
0, 37, 60015, 0
0, 38, 59637, 0
0, 39, 61346, 0
0, 40, 60598, 0
0, 41, 58488, 0
0, 42, 59055, 0
0, 43, 61043, 0
0, 44, 59757, 0
0, 45, 59107, 0
0, 46, 59443, 0
0, 47, 59543, 0
0, 48, 59037, 0
0, 49, 58832, 0
0, 50, 59750, 0
0, 51, 76010, 0
0, 52, 60415, 0
0, 53, 68140, 0
0, 54, 60132, 0
0, 55, 60057, 0
0, 56, 60074, 0
0, 57, 61729, 0
0, 58, 60569, 0
0, 59, 60111, 0
