Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
500, 1, 14, 0, 58, 26695
0, 2, 12, 0, 58, 26695
0, 3, 12, 0, 58, 26695
0, 4, 12, 0, 58, 26695
0, 5, 12, 0, 58, 26695
0, 6, 12, 0, 58, 26695
0, 7, 12, 0, 58, 26695
0, 8, 12, 0, 58, 26695
0, 9, 12, 0, 58, 26695
0, 10, 14, 0, 58, 26695
0, 11, 12, 0, 58, 26695
0, 12, 12, 0, 58, 26695
0, 13, 12, 0, 58, 26695
0, 14, 12, 0, 58, 26695
0, 15, 12, 0, 58, 26695
0, 16, 12, 0, 58, 26695
0, 17, 12, 0, 58, 26695
0, 18, 12, 0, 58, 26695
0, 19, 12, 0, 58, 26695
0, 20, 12, 0, 58, 26695
0, 21, 12, 0, 58, 26695
0, 22, 12, 0, 58, 26695
0, 23, 12, 0, 58, 26695
0, 24, 12, 0, 58, 26695
0, 25, 12, 0, 58, 26695
0, 26, 12, 0, 58, 26695
0, 27, 12, 0, 58, 26695
0, 28, 12, 0, 58, 26695
0, 29, 12, 0, 58, 26695
0, 30, 13, 0, 58, 26695
0, 0, 0, 12
1000, 1, 13, 0, 84, 26669
0, 2, 13, 0, 84, 26669
0, 3, 13, 0, 84, 26669
0, 4, 13, 0, 84, 26669
0, 5, 13, 0, 84, 26669
0, 6, 13, 0, 84, 26669
0, 7, 13, 0, 84, 26669
0, 8, 13, 0, 84, 26669
0, 9, 13, 0, 84, 26669
0, 10, 13, 0, 84, 26669
0, 11, 13, 0, 84, 26669
0, 12, 13, 0, 84, 26669
0, 13, 13, 0, 84, 26669
0, 14, 13, 0, 84, 26669
0, 15, 13, 0, 84, 26669
0, 16, 14, 0, 84, 26669
0, 17, 13, 0, 84, 26669
0, 18, 13, 0, 84, 26669
0, 19, 14, 0, 84, 26669
0, 20, 13, 0, 84, 26669
0, 21, 13, 0, 84, 26669
0, 22, 13, 0, 84, 26669
0, 23, 13, 0, 84, 26669
0, 24, 13, 0, 84, 26669
0, 25, 13, 0, 84, 26669
0, 26, 13, 0, 84, 26669
0, 27, 13, 0, 84, 26669
0, 28, 13, 0, 84, 26669
0, 29, 13, 0, 84, 26669
0, 30, 13, 0, 84, 26669
0, 0, 0, 13
1500, 1, 14, 0, 106, 26647
0, 2, 14, 0, 106, 26647
0, 3, 14, 0, 106, 26647
0, 4, 14, 0, 106, 26647
0, 5, 14, 0, 106, 26647
0, 6, 14, 0, 106, 26647
0, 7, 14, 0, 106, 26647
0, 8, 14, 0, 106, 26647
0, 9, 14, 0, 106, 26647
0, 10, 14, 0, 106, 26647
0, 11, 14, 0, 106, 26647
0, 12, 14, 0, 106, 26647
0, 13, 14, 0, 106, 26647
0, 14, 14, 0, 106, 26647
0, 15, 14, 0, 106, 26647
0, 16, 14, 0, 106, 26647
0, 17, 14, 0, 106, 26647
0, 18, 14, 0, 106, 26647
0, 19, 14, 0, 106, 26647
0, 20, 14, 0, 106, 26647
0, 21, 14, 0, 106, 26647
0, 22, 14, 0, 106, 26647
0, 23, 14, 0, 106, 26647
0, 24, 14, 0, 106, 26647
0, 25, 14, 0, 106, 26647
0, 26, 14, 0, 106, 26647
0, 27, 14, 0, 106, 26647
0, 28, 15, 0, 106, 26647
0, 29, 14, 0, 106, 26647
0, 30, 14, 0, 106, 26647
0, 0, 0, 14
2000, 1, 15, 0, 130, 26623
0, 2, 15, 0, 130, 26623
0, 3, 15, 0, 130, 26623
0, 4, 15, 0, 130, 26623
0, 5, 15, 0, 130, 26623
0, 6, 15, 0, 130, 26623
0, 7, 15, 0, 130, 26623
0, 8, 15, 0, 130, 26623
0, 9, 17, 0, 130, 26623
0, 10, 15, 0, 130, 26623
0, 11, 15, 0, 130, 26623
0, 12, 15, 0, 130, 26623
0, 13, 15, 0, 130, 26623
0, 14, 15, 0, 130, 26623
0, 15, 15, 0, 130, 26623
0, 16, 15, 0, 130, 26623
0, 17, 15, 0, 130, 26623
0, 18, 15, 0, 130, 26623
0, 19, 15, 0, 130, 26623
0, 20, 15, 0, 130, 26623
0, 21, 15, 0, 130, 26623
0, 22, 15, 0, 130, 26623
0, 23, 15, 0, 130, 26623
0, 24, 15, 0, 130, 26623
0, 25, 15, 0, 130, 26623
0, 26, 15, 0, 130, 26623
0, 27, 15, 0, 130, 26623
0, 28, 15, 0, 130, 26623
0, 29, 15, 0, 130, 26623
0, 30, 15, 0, 130, 26623
0, 0, 0, 15
2500, 1, 16, 0, 152, 26601
0, 2, 16, 0, 152, 26601
0, 3, 16, 0, 152, 26601
0, 4, 16, 0, 152, 26601
0, 5, 16, 0, 152, 26601
0, 6, 16, 0, 152, 26601
0, 7, 16, 0, 152, 26601
0, 8, 16, 0, 152, 26601
0, 9, 16, 0, 152, 26601
0, 10, 16, 0, 152, 26601
0, 11, 16, 0, 152, 26601
0, 12, 16, 0, 152, 26601
0, 13, 16, 0, 152, 26601
0, 14, 16, 0, 152, 26601
0, 15, 17, 0, 152, 26601
0, 16, 16, 0, 152, 26601
0, 17, 16, 0, 152, 26601
0, 18, 16, 0, 152, 26601
0, 19, 16, 0, 152, 26601
0, 20, 16, 0, 152, 26601
0, 21, 16, 0, 152, 26601
0, 22, 16, 0, 152, 26601
0, 23, 16, 0, 152, 26601
0, 24, 16, 0, 152, 26601
0, 25, 18, 0, 152, 26601
0, 26, 16, 0, 152, 26601
0, 27, 20, 0, 152, 26601
0, 28, 16, 0, 152, 26601
0, 29, 16, 0, 152, 26601
0, 30, 16, 0, 152, 26601
0, 0, 0, 16
3000, 1, 17, 0, 172, 26581
0, 2, 17, 0, 172, 26581
0, 3, 17, 0, 172, 26581
0, 4, 17, 0, 172, 26581
0, 5, 17, 0, 172, 26581
0, 6, 17, 0, 172, 26581
0, 7, 25, 0, 172, 26581
0, 8, 17, 0, 172, 26581
0, 9, 17, 0, 172, 26581
0, 10, 17, 0, 172, 26581
0, 11, 17, 0, 172, 26581
0, 12, 17, 0, 172, 26581
0, 13, 19, 0, 172, 26581
0, 14, 17, 0, 172, 26581
0, 15, 17, 0, 172, 26581
0, 16, 16, 0, 172, 26581
0, 17, 16, 0, 172, 26581
0, 18, 17, 0, 172, 26581
0, 19, 17, 0, 172, 26581
0, 20, 17, 0, 172, 26581
0, 21, 17, 0, 172, 26581
0, 22, 31, 0, 172, 26581
0, 23, 17, 0, 172, 26581
0, 24, 17, 0, 172, 26581
0, 25, 17, 0, 172, 26581
0, 26, 17, 0, 172, 26581
0, 27, 17, 0, 172, 26581
0, 28, 17, 0, 172, 26581
0, 29, 17, 0, 172, 26581
0, 30, 17, 0, 172, 26581
0, 0, 0, 18
3500, 1, 18, 0, 194, 26559
0, 2, 18, 0, 194, 26559
0, 3, 18, 0, 194, 26559
0, 4, 17, 0, 194, 26559
0, 5, 17, 0, 194, 26559
0, 6, 17, 0, 194, 26559
0, 7, 17, 0, 194, 26559
0, 8, 17, 0, 194, 26559
0, 9, 17, 0, 194, 26559
0, 10, 18, 0, 194, 26559
0, 11, 18, 0, 194, 26559
0, 12, 18, 0, 194, 26559
0, 13, 17, 0, 194, 26559
0, 14, 17, 0, 194, 26559
0, 15, 17, 0, 194, 26559
0, 16, 17, 0, 194, 26559
0, 17, 17, 0, 194, 26559
0, 18, 17, 0, 194, 26559
0, 19, 18, 0, 194, 26559
0, 20, 17, 0, 194, 26559
0, 21, 17, 0, 194, 26559
0, 22, 17, 0, 194, 26559
0, 23, 17, 0, 194, 26559
0, 24, 18, 0, 194, 26559
0, 25, 104, 0, 194, 26559
0, 26, 18, 0, 194, 26559
0, 27, 17, 0, 194, 26559
0, 28, 17, 0, 194, 26559
0, 29, 18, 0, 194, 26559
0, 30, 18, 0, 194, 26559
0, 0, 0, 20
4000, 1, 18, 0, 218, 26535
0, 2, 18, 0, 218, 26535
0, 3, 18, 0, 218, 26535
0, 4, 40, 0, 218, 26535
0, 5, 18, 0, 218, 26535
0, 6, 18, 0, 218, 26535
0, 7, 18, 0, 218, 26535
0, 8, 18, 0, 218, 26535
0, 9, 19, 0, 218, 26535
0, 10, 18, 0, 218, 26535
0, 11, 18, 0, 218, 26535
0, 12, 18, 0, 218, 26535
0, 13, 18, 0, 218, 26535
0, 14, 18, 0, 218, 26535
0, 15, 19, 0, 218, 26535
0, 16, 18, 0, 218, 26535
0, 17, 18, 0, 218, 26535
0, 18, 18, 0, 218, 26535
0, 19, 18, 0, 218, 26535
0, 20, 18, 0, 218, 26535
0, 21, 18, 0, 218, 26535
0, 22, 18, 0, 218, 26535
0, 23, 18, 0, 218, 26535
0, 24, 18, 0, 218, 26535
0, 25, 18, 0, 218, 26535
0, 26, 18, 0, 218, 26535
0, 27, 18, 0, 218, 26535
0, 28, 18, 0, 218, 26535
0, 29, 18, 0, 218, 26535
0, 30, 18, 0, 218, 26535
0, 0, 0, 19
4500, 1, 19, 0, 240, 26513
0, 2, 20, 0, 240, 26513
0, 3, 19, 0, 240, 26513
0, 4, 19, 0, 240, 26513
0, 5, 19, 0, 240, 26513
0, 6, 20, 0, 240, 26513
0, 7, 19, 0, 240, 26513
0, 8, 19, 0, 240, 26513
0, 9, 19, 0, 240, 26513
0, 10, 21, 0, 240, 26513
0, 11, 19, 0, 240, 26513
0, 12, 19, 0, 240, 26513
0, 13, 19, 0, 240, 26513
0, 14, 19, 0, 240, 26513
0, 15, 19, 0, 240, 26513
0, 16, 19, 0, 240, 26513
0, 17, 19, 0, 240, 26513
0, 18, 19, 0, 240, 26513
0, 19, 19, 0, 240, 26513
0, 20, 19, 0, 240, 26513
