Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
1, 1, 4, 0, 2, 39908
0, 2, 3, 0, 2, 39908
0, 3, 3, 0, 2, 39908
0, 4, 3, 0, 2, 39908
0, 5, 3, 0, 2, 39908
0, 6, 3, 0, 2, 39908
0, 7, 3, 0, 2, 39908
0, 8, 3, 0, 2, 39908
0, 9, 3, 0, 2, 39908
0, 10, 3, 0, 2, 39908
0, 11, 3, 0, 2, 39908
0, 12, 3, 0, 2, 39908
0, 13, 3, 0, 2, 39908
0, 14, 3, 0, 2, 39908
0, 15, 3, 0, 2, 39908
0, 16, 3, 0, 2, 39908
0, 17, 3, 0, 2, 39908
0, 18, 3, 0, 2, 39908
0, 19, 3, 0, 2, 39908
0, 20, 3, 0, 2, 39908
0, 21, 3, 0, 2, 39908
0, 22, 3, 0, 2, 39908
0, 23, 3, 0, 2, 39908
0, 24, 3, 0, 2, 39908
0, 25, 3, 0, 2, 39908
0, 26, 3, 0, 2, 39908
0, 27, 3, 0, 2, 39908
0, 28, 3, 0, 2, 39908
0, 29, 3, 0, 2, 39908
0, 30, 3, 0, 2, 39908
0, 0, 0, 3
2, 1, 3, 0, 2, 39908
0, 2, 3, 0, 2, 39908
0, 3, 3, 0, 2, 39908
0, 4, 3, 0, 2, 39908
0, 5, 3, 0, 2, 39908
0, 6, 3, 0, 2, 39908
0, 7, 3, 0, 2, 39908
0, 8, 8, 0, 2, 39908
0, 9, 10, 0, 2, 39908
0, 10, 10, 0, 2, 39908
0, 11, 8, 0, 2, 39908
0, 12, 3, 0, 2, 39908
0, 13, 3, 0, 2, 39908
0, 14, 3, 0, 2, 39908
0, 15, 3, 0, 2, 39908
0, 16, 3, 0, 2, 39908
0, 17, 3, 0, 2, 39908
0, 18, 3, 0, 2, 39908
0, 19, 3, 0, 2, 39908
0, 20, 3, 0, 2, 39908
0, 21, 4, 0, 2, 39908
0, 22, 3, 0, 2, 39908
0, 23, 3, 0, 2, 39908
0, 24, 3, 0, 2, 39908
0, 25, 3, 0, 2, 39908
0, 26, 3, 0, 2, 39908
0, 27, 3, 0, 2, 39908
0, 28, 3, 0, 2, 39908
0, 29, 3, 0, 2, 39908
0, 30, 3, 0, 2, 39908
0, 0, 0, 4
3, 1, 3, 0, 2, 39908
0, 2, 3, 0, 2, 39908
0, 3, 3, 0, 2, 39908
0, 4, 3, 0, 2, 39908
0, 5, 3, 0, 2, 39908
0, 6, 3, 0, 2, 39908
0, 7, 3, 0, 2, 39908
0, 8, 3, 0, 2, 39908
