Filter, ID, Time_us, Average_time
500, 1, 35482, 0
500, 2, 19037, 0
500, 3, 19248, 0
500, 4, 21672, 0
500, 5, 24472, 0
500, 6, 24236, 0
500, 7, 25394, 0
500, 8, 24789, 0
500, 9, 22826, 0
500, 10, 23683, 0
500, 11, 24210, 0
500, 12, 22906, 0
500, 13, 23571, 0
500, 14, 24350, 0
500, 15, 22886, 0
500, 16, 23554, 0
500, 17, 24248, 0
500, 18, 23056, 0
500, 19, 23922, 0
500, 20, 24045, 0
500, 21, 23005, 0
500, 22, 23597, 0
500, 23, 24244, 0
500, 24, 23297, 0
500, 25, 23635, 0
500, 26, 24296, 0
500, 27, 23352, 0
500, 28, 22673, 0
500, 29, 21083, 0
500, 30, 21691, 0
500, 31, 23032, 0
500, 32, 23856, 0
500, 33, 22858, 0
500, 34, 23224, 0
500, 35, 23947, 0
500, 36, 22692, 0
500, 37, 23363, 0
500, 38, 23916, 0
500, 39, 22934, 0
500, 40, 23145, 0
500, 41, 23958, 0
500, 42, 22896, 0
500, 43, 23380, 0
500, 44, 24156, 0
500, 45, 22897, 0
500, 46, 23253, 0
500, 47, 23971, 0
500, 48, 22590, 0
500, 49, 23331, 0
500, 50, 23953, 0
500, 51, 22903, 0
500, 52, 23263, 0
500, 53, 23982, 0
500, 54, 22768, 0
500, 55, 23264, 0
500, 56, 23721, 0
500, 57, 22876, 0
500, 58, 23114, 0
500, 59, 24038, 0
500, 60, 21964, 0
0, 0, 0, 23461
1000, 1, 31224, 0
1000, 2, 38286, 0
1000, 3, 39553, 0
1000, 4, 39778, 0
1000, 5, 39916, 0
1000, 6, 33932, 0
1000, 7, 38671, 0
1000, 8, 39550, 0
1000, 9, 39849, 0
1000, 10, 39111, 0
1000, 11, 39675, 0
1000, 12, 39639, 0
1000, 13, 39999, 0
1000, 14, 39633, 0
1000, 15, 39605, 0
1000, 16, 39594, 0
1000, 17, 40600, 0
1000, 18, 39828, 0
1000, 19, 39854, 0
1000, 20, 39716, 0
1000, 21, 39764, 0
1000, 22, 39701, 0
1000, 23, 39765, 0
1000, 24, 39971, 0
1000, 25, 39670, 0
1000, 26, 39642, 0
1000, 27, 39559, 0
1000, 28, 39781, 0
1000, 29, 39660, 0
1000, 30, 40341, 0
1000, 31, 40328, 0
1000, 32, 39831, 0
1000, 33, 39695, 0
1000, 34, 39682, 0
1000, 35, 39755, 0
1000, 36, 34090, 0
1000, 37, 39563, 0
1000, 38, 39340, 0
1000, 39, 39438, 0
1000, 40, 39237, 0
1000, 41, 39314, 0
1000, 42, 39213, 0
1000, 43, 39501, 0
1000, 44, 39509, 0
1000, 45, 39411, 0
1000, 46, 39648, 0
1000, 47, 39561, 0
1000, 48, 39469, 0
1000, 49, 39361, 0
1000, 50, 39434, 0
1000, 51, 39402, 0
1000, 52, 39157, 0
1000, 53, 39638, 0
1000, 54, 39504, 0
1000, 55, 38441, 0
1000, 56, 33122, 0
1000, 57, 39610, 0
1000, 58, 39759, 0
1000, 59, 38764, 0
1000, 60, 40823, 0
0, 0, 0, 39157
1500, 1, 43951, 0
1500, 2, 53505, 0
1500, 3, 54107, 0
1500, 4, 54035, 0
1500, 5, 53880, 0
1500, 6, 53695, 0
1500, 7, 53247, 0
1500, 8, 53996, 0
1500, 9, 45093, 0
1500, 10, 46485, 0
1500, 11, 53737, 0
1500, 12, 53751, 0
1500, 13, 53951, 0
1500, 14, 53151, 0
1500, 15, 54351, 0
1500, 16, 53953, 0
1500, 17, 52280, 0
1500, 18, 54685, 0
1500, 19, 53862, 0
1500, 20, 53716, 0
1500, 21, 53834, 0
1500, 22, 54032, 0
1500, 23, 47516, 0
1500, 24, 53981, 0
1500, 25, 54257, 0
1500, 26, 54071, 0
1500, 27, 53882, 0
1500, 28, 54013, 0
1500, 29, 46111, 0
1500, 30, 55079, 0
1500, 31, 54357, 0
1500, 32, 53872, 0
1500, 33, 51164, 0
1500, 34, 46812, 0
1500, 35, 54223, 0
1500, 36, 54022, 0
1500, 37, 53986, 0
1500, 38, 54025, 0
1500, 39, 54039, 0
1500, 40, 54252, 0
1500, 41, 54194, 0
1500, 42, 54152, 0
1500, 43, 54077, 0
1500, 44, 53527, 0
1500, 45, 54406, 0
1500, 46, 54169, 0
1500, 47, 54308, 0
1500, 48, 53891, 0
1500, 49, 54540, 0
1500, 50, 54066, 0
1500, 51, 51773, 0
1500, 52, 53792, 0
1500, 53, 54310, 0
1500, 54, 53942, 0
1500, 55, 54172, 0
1500, 56, 53960, 0
1500, 57, 54276, 0
1500, 58, 53998, 0
1500, 59, 54092, 0
1500, 60, 54175, 0
0, 0, 0, 53112
2000, 1, 57756, 0
2000, 2, 67471, 0
2000, 3, 68627, 0
2000, 4, 67480, 0
2000, 5, 67700, 0
2000, 6, 67832, 0
2000, 7, 67719, 0
2000, 8, 67921, 0
2000, 9, 68147, 0
2000, 10, 67682, 0
2000, 11, 67870, 0
2000, 12, 67847, 0
2000, 13, 68350, 0
2000, 14, 68052, 0
2000, 15, 59642, 0
2000, 16, 67229, 0
2000, 17, 67762, 0
2000, 18, 64338, 0
2000, 19, 67674, 0
2000, 20, 67769, 0
2000, 21, 67783, 0
2000, 22, 68903, 0
2000, 23, 67833, 0
2000, 24, 68027, 0
2000, 25, 67939, 0
2000, 26, 68504, 0
2000, 27, 67961, 0
2000, 28, 68092, 0
2000, 29, 67617, 0
2000, 30, 68409, 0
2000, 31, 67854, 0
2000, 32, 67944, 0
2000, 33, 67736, 0
2000, 34, 67804, 0
2000, 35, 67895, 0
2000, 36, 67943, 0
2000, 37, 69210, 0
2000, 38, 65805, 0
2000, 39, 68049, 0
2000, 40, 68187, 0
2000, 41, 67582, 0
2000, 42, 58005, 0
2000, 43, 58153, 0
2000, 44, 56023, 0
2000, 45, 64045, 0
2000, 46, 56294, 0
2000, 47, 66667, 0
2000, 48, 67968, 0
2000, 49, 67974, 0
2000, 50, 67850, 0
2000, 51, 67624, 0
2000, 52, 67846, 0
2000, 53, 67588, 0
2000, 54, 68034, 0
2000, 55, 67865, 0
2000, 56, 67910, 0
2000, 57, 67939, 0
2000, 58, 68149, 0
