Filter, ID, Time_us, Average_time
500, 1, 86692, 0
500, 2, 80020, 0
500, 3, 78941, 0
500, 4, 75231, 0
500, 5, 75569, 0
500, 6, 73382, 0
500, 7, 73737, 0
500, 8, 76120, 0
500, 9, 70629, 0
500, 10, 67057, 0
500, 11, 76285, 0
500, 12, 74609, 0
500, 13, 74090, 0
500, 14, 76078, 0
500, 15, 73987, 0
500, 16, 74044, 0
500, 17, 67483, 0
500, 18, 74245, 0
500, 19, 74047, 0
500, 20, 75884, 0
500, 21, 75004, 0
500, 22, 74724, 0
500, 23, 76302, 0
500, 24, 67328, 0
500, 25, 74892, 0
500, 26, 75208, 0
500, 27, 74671, 0
500, 28, 74376, 0
500, 29, 75913, 0
500, 30, 71555, 0
500, 31, 74790, 0
500, 32, 67685, 0
500, 33, 74119, 0
500, 34, 74796, 0
500, 35, 76229, 0
500, 36, 74722, 0
500, 37, 74758, 0
500, 38, 75982, 0
500, 39, 74183, 0
500, 40, 74247, 0
500, 41, 76232, 0
500, 42, 66824, 0
500, 43, 74315, 0
500, 44, 75692, 0
500, 45, 75048, 0
500, 46, 73906, 0
500, 47, 76244, 0
500, 48, 74468, 0
500, 49, 74328, 0
500, 50, 75854, 0
500, 51, 73927, 0
500, 52, 75288, 0
500, 53, 76435, 0
500, 54, 68932, 0
500, 55, 73591, 0
500, 56, 66252, 0
500, 57, 74477, 0
500, 58, 74575, 0
500, 59, 75710, 0
500, 60, 74211, 0
0, 0, 0, 74265
1000, 1, 132974, 0
1000, 2, 135712, 0
1000, 3, 135412, 0
1000, 4, 126529, 0
1000, 5, 127809, 0
1000, 6, 126271, 0
1000, 7, 135466, 0
1000, 8, 135816, 0
1000, 9, 135596, 0
1000, 10, 135160, 0
1000, 11, 135124, 0
1000, 12, 135114, 0
1000, 13, 134688, 0
1000, 14, 127032, 0
1000, 15, 127070, 0
1000, 16, 135654, 0
1000, 17, 126643, 0
1000, 18, 135389, 0
1000, 19, 134953, 0
1000, 20, 135422, 0
1000, 21, 135555, 0
1000, 22, 126630, 0
1000, 23, 135211, 0
1000, 24, 135024, 0
1000, 25, 135198, 0
1000, 26, 135411, 0
1000, 27, 135456, 0
1000, 28, 127385, 0
1000, 29, 135828, 0
1000, 30, 135327, 0
1000, 31, 127011, 0
1000, 32, 135169, 0
1000, 33, 127407, 0
1000, 34, 135784, 0
1000, 35, 128389, 0
1000, 36, 127065, 0
1000, 37, 135599, 0
1000, 38, 128174, 0
1000, 39, 126698, 0
1000, 40, 135524, 0
1000, 41, 135115, 0
1000, 42, 135849, 0
1000, 43, 134286, 0
1000, 44, 127914, 0
1000, 45, 135781, 0
1000, 46, 135885, 0
1000, 47, 133086, 0
1000, 48, 135890, 0
1000, 49, 136276, 0
1000, 50, 127236, 0
1000, 51, 128129, 0
1000, 52, 126411, 0
1000, 53, 134934, 0
1000, 54, 127080, 0
1000, 55, 134899, 0
1000, 56, 135240, 0
1000, 57, 126935, 0
1000, 58, 127367, 0
1000, 59, 132011, 0
1000, 60, 127076, 0
0, 0, 0, 132251
1500, 1, 186827, 0
1500, 2, 187420, 0
1500, 3, 188850, 0
1500, 4, 193662, 0
1500, 5, 196811, 0
1500, 6, 196304, 0
1500, 7, 185377, 0
1500, 8, 196373, 0
1500, 9, 194734, 0
1500, 10, 189808, 0
1500, 11, 198725, 0
1500, 12, 187030, 0
1500, 13, 196758, 0
1500, 14, 187349, 0
1500, 15, 188276, 0
1500, 16, 188672, 0
1500, 17, 196948, 0
1500, 18, 195828, 0
1500, 19, 196961, 0
1500, 20, 196529, 0
1500, 21, 196846, 0
1500, 22, 197499, 0
1500, 23, 196574, 0
1500, 24, 190228, 0
1500, 25, 196924, 0
1500, 26, 187661, 0
1500, 27, 189231, 0
1500, 28, 197711, 0
1500, 29, 197901, 0
1500, 30, 187890, 0
1500, 31, 196640, 0
1500, 32, 197419, 0
1500, 33, 196233, 0
1500, 34, 190355, 0
1500, 35, 187933, 0
1500, 36, 196892, 0
1500, 37, 197366, 0
1500, 38, 197494, 0
1500, 39, 197397, 0
1500, 40, 197320, 0
1500, 41, 190068, 0
1500, 42, 188439, 0
1500, 43, 197582, 0
1500, 44, 197364, 0
1500, 45, 197537, 0
1500, 46, 188868, 0
1500, 47, 187977, 0
1500, 48, 188367, 0
1500, 49, 188326, 0
1500, 50, 196524, 0
1500, 51, 197260, 0
1500, 52, 197044, 0
1500, 53, 188513, 0
1500, 54, 197767, 0
1500, 55, 188168, 0
1500, 56, 196470, 0
1500, 57, 197520, 0
1500, 58, 197545, 0
1500, 59, 199596, 0
1500, 60, 188250, 0
0, 0, 0, 193532
2000, 1, 246459, 0
2000, 2, 248880, 0
2000, 3, 249249, 0
2000, 4, 251161, 0
2000, 5, 249145, 0
2000, 6, 259067, 0
2000, 7, 257880, 0
2000, 8, 249141, 0
2000, 9, 263547, 0
2000, 10, 258457, 0
2000, 11, 258602, 0
2000, 12, 252264, 0
2000, 13, 258712, 0
2000, 14, 249833, 0
2000, 15, 260847, 0
2000, 16, 254062, 0
2000, 17, 249236, 0
2000, 18, 258657, 0
2000, 19, 251648, 0
2000, 20, 249763, 0
2000, 21, 249545, 0
2000, 22, 258790, 0
2000, 23, 248297, 0
2000, 24, 261052, 0
2000, 25, 258897, 0
2000, 26, 259993, 0
2000, 27, 249193, 0
2000, 28, 258755, 0
2000, 29, 256884, 0
2000, 30, 257537, 0
2000, 31, 249473, 0
2000, 32, 247413, 0
2000, 33, 247858, 0
2000, 34, 247668, 0
2000, 35, 248312, 0
2000, 36, 247448, 0
2000, 37, 252191, 0
2000, 38, 254690, 0
2000, 39, 250269, 0
2000, 40, 262109, 0
2000, 41, 258763, 0
2000, 42, 252134, 0
2000, 43, 250395, 0
2000, 44, 260657, 0
2000, 45, 259780, 0
2000, 46, 260126, 0
2000, 47, 256525, 0
2000, 48, 252774, 0
2000, 49, 253803, 0
2000, 50, 261026, 0
2000, 51, 248690, 0
2000, 52, 259205, 0
2000, 53, 258604, 0
2000, 54, 258379, 0
2000, 55, 249319, 0
2000, 56, 251275, 0
2000, 57, 257069, 0
2000, 58, 249025, 0
2000, 59, 250526, 0
2000, 60, 249780, 0
0, 0, 0, 254013
2500, 1, 309188, 0
2500, 2, 320453, 0
2500, 3, 311819, 0
2500, 4, 316539, 0
2500, 5, 309707, 0
2500, 6, 310920, 0
2500, 7, 313751, 0
2500, 8, 320284, 0
2500, 9, 310687, 0
2500, 10, 322243, 0
2500, 11, 311752, 0
2500, 12, 321836, 0
2500, 13, 316212, 0
2500, 14, 322656, 0
