Filter, ID, Time_us, Average_time
500, 1, 5445, 0
500, 2, 657, 0
500, 3, 1125, 0
500, 4, 1511, 0
500, 5, 1664, 0
500, 6, 1550, 0
500, 7, 1618, 0
500, 8, 1583, 0
500, 9, 1672, 0
500, 10, 1763, 0
500, 11, 1700, 0
500, 12, 1759, 0
500, 13, 1673, 0
500, 14, 1750, 0
500, 15, 1679, 0
500, 16, 1681, 0
500, 17, 1682, 0
500, 18, 1692, 0
500, 19, 1724, 0
500, 20, 1717, 0
500, 21, 1683, 0
500, 22, 1676, 0
500, 23, 1734, 0
500, 24, 1679, 0
500, 25, 1687, 0
500, 26, 1717, 0
500, 27, 1186, 0
500, 28, 1106, 0
500, 29, 1478, 0
500, 30, 1627, 0
500, 31, 1714, 0
500, 32, 1690, 0
500, 33, 1691, 0
500, 34, 1672, 0
500, 35, 1707, 0
500, 36, 1780, 0
500, 37, 1681, 0
500, 38, 1787, 0
500, 39, 1706, 0
500, 40, 1758, 0
500, 41, 1555, 0
500, 42, 1667, 0
500, 43, 1717, 0
500, 44, 1732, 0
500, 45, 1553, 0
500, 46, 1798, 0
500, 47, 1671, 0
500, 48, 1741, 0
500, 49, 1553, 0
500, 50, 1773, 0
500, 51, 1674, 0
500, 52, 1752, 0
500, 53, 1702, 0
500, 54, 1786, 0
500, 55, 1682, 0
500, 56, 1733, 0
500, 57, 1588, 0
500, 58, 1801, 0
500, 59, 1554, 0
500, 60, 1743, 0
0, 0, 0, 1702
1000, 1, 1775, 0
1000, 2, 1769, 0
1000, 3, 1772, 0
1000, 4, 1624, 0
1000, 5, 1382, 0
1000, 6, 1773, 0
1000, 7, 1768, 0
1000, 8, 1783, 0
1000, 9, 1694, 0
1000, 10, 1786, 0
1000, 11, 1738, 0
1000, 12, 1622, 0
1000, 13, 1785, 0
1000, 14, 1737, 0
1000, 15, 1738, 0
1000, 16, 1805, 0
1000, 17, 1739, 0
1000, 18, 1768, 0
1000, 19, 1746, 0
1000, 20, 1808, 0
1000, 21, 1753, 0
1000, 22, 1620, 0
1000, 23, 1777, 0
1000, 24, 1820, 0
1000, 25, 1764, 0
1000, 26, 1822, 0
1000, 27, 1755, 0
1000, 28, 1857, 0
1000, 29, 1751, 0
1000, 30, 1752, 0
1000, 31, 1752, 0
1000, 32, 1740, 0
1000, 33, 1752, 0
1000, 34, 1832, 0
1000, 35, 1927, 0
1000, 36, 1753, 0
1000, 37, 1751, 0
1000, 38, 1724, 0
1000, 39, 1641, 0
1000, 40, 1767, 0
1000, 41, 1975, 0
1000, 42, 1730, 0
1000, 43, 1767, 0
1000, 44, 1722, 0
1000, 45, 1765, 0
1000, 46, 1725, 0
1000, 47, 1750, 0
1000, 48, 1731, 0
1000, 49, 1643, 0
1000, 50, 1756, 0
1000, 51, 1722, 0
1000, 52, 1730, 0
1000, 53, 1901, 0
1000, 54, 1716, 0
1000, 55, 1053, 0
1000, 56, 1761, 0
1000, 57, 1792, 0
1000, 58, 1780, 0
1000, 59, 1552, 0
1000, 60, 1753, 0
0, 0, 0, 1737
1500, 1, 1884, 0
1500, 2, 2114, 0
1500, 3, 1880, 0
1500, 4, 1874, 0
1500, 5, 1951, 0
1500, 6, 2861, 0
1500, 7, 1871, 0
1500, 8, 1847, 0
1500, 9, 1460, 0
1500, 10, 1923, 0
1500, 11, 1847, 0
1500, 12, 1810, 0
1500, 13, 1837, 0
1500, 14, 1778, 0
1500, 15, 1868, 0
1500, 16, 1910, 0
1500, 17, 1992, 0
1500, 18, 1782, 0
1500, 19, 1871, 0
1500, 20, 1913, 0
1500, 21, 1880, 0
1500, 22, 1890, 0
1500, 23, 1853, 0
1500, 24, 1799, 0
1500, 25, 1926, 0
1500, 26, 1860, 0
1500, 27, 1859, 0
1500, 28, 2159, 0
1500, 29, 1862, 0
1500, 30, 1916, 0
1500, 31, 1851, 0
1500, 32, 1683, 0
1500, 33, 699, 0
1500, 34, 1898, 0
1500, 35, 1885, 0
1500, 36, 1912, 0
1500, 37, 1853, 0
1500, 38, 1973, 0
1500, 39, 1855, 0
1500, 40, 1896, 0
1500, 41, 1882, 0
1500, 42, 1859, 0
1500, 43, 1881, 0
1500, 44, 1871, 0
1500, 45, 1893, 0
1500, 46, 1904, 0
1500, 47, 1886, 0
1500, 48, 1881, 0
1500, 49, 1799, 0
1500, 50, 2054, 0
1500, 51, 1911, 0
1500, 52, 1908, 0
1500, 53, 1973, 0
1500, 54, 1914, 0
1500, 55, 1923, 0
1500, 56, 1913, 0
1500, 57, 1841, 0
1500, 58, 2045, 0
1500, 59, 1898, 0
1500, 60, 1949, 0
0, 0, 0, 1882
2000, 1, 2023, 0
2000, 2, 2077, 0
2000, 3, 2117, 0
2000, 4, 2220, 0
2000, 5, 2086, 0
2000, 6, 2078, 0
2000, 7, 2062, 0
2000, 8, 2198, 0
2000, 9, 2082, 0
2000, 10, 2099, 0
2000, 11, 2162, 0
2000, 12, 1997, 0
2000, 13, 1953, 0
2000, 14, 2249, 0
2000, 15, 2203, 0
2000, 16, 2152, 0
2000, 17, 2440, 0
2000, 18, 2106, 0
2000, 19, 2052, 0
2000, 20, 2082, 0
2000, 21, 2013, 0
2000, 22, 2036, 0
2000, 23, 1987, 0
2000, 24, 2092, 0
2000, 25, 1935, 0
2000, 26, 2061, 0
2000, 27, 2099, 0
2000, 28, 2010, 0
2000, 29, 2030, 0
2000, 30, 2069, 0
2000, 31, 2087, 0
2000, 32, 2062, 0
2000, 33, 2058, 0
2000, 34, 2114, 0
2000, 35, 2086, 0
2000, 36, 2028, 0
2000, 37, 2155, 0
2000, 38, 2145, 0
2000, 39, 2047, 0
2000, 40, 2045, 0
2000, 41, 1985, 0
2000, 42, 2072, 0
2000, 43, 846, 0
2000, 44, 1689, 0
2000, 45, 921, 0
2000, 46, 2060, 0
2000, 47, 2292, 0
2000, 48, 2105, 0
2000, 49, 2098, 0
2000, 50, 2094, 0
2000, 51, 2071, 0
2000, 52, 2159, 0
2000, 53, 2075, 0
2000, 54, 2025, 0
2000, 55, 2109, 0
2000, 56, 2034, 0
2000, 57, 2134, 0
2000, 58, 2052, 0
2000, 59, 2115, 0
2000, 60, 2051, 0
0, 0, 0, 2043
2500, 1, 2476, 0
2500, 2, 2422, 0
2500, 3, 2416, 0
2500, 4, 2478, 0
2500, 5, 2288, 0
2500, 6, 2604, 0
2500, 7, 2435, 0
2500, 8, 2405, 0
2500, 9, 2489, 0
2500, 10, 1429, 0
2500, 11, 2474, 0
2500, 12, 2456, 0
2500, 13, 2412, 0
2500, 14, 2874, 0
2500, 15, 2408, 0
2500, 16, 2428, 0
2500, 17, 2433, 0
2500, 18, 2457, 0
2500, 19, 2428, 0
2500, 20, 2419, 0
2500, 21, 2430, 0
2500, 22, 2487, 0
2500, 23, 2360, 0
2500, 24, 2436, 0
2500, 25, 2324, 0
2500, 26, 2406, 0
2500, 27, 2504, 0
2500, 28, 2431, 0
2500, 29, 2465, 0
2500, 30, 2539, 0
2500, 31, 2450, 0
2500, 32, 2438, 0
2500, 33, 2423, 0
2500, 34, 2431, 0
2500, 35, 2422, 0
