Filter, ID, Time_us, Average_time
500, 1, 2019, 0
500, 2, 2149, 0
500, 3, 2039, 0
500, 4, 1955, 0
500, 5, 1887, 0
500, 6, 2024, 0
500, 7, 1942, 0
500, 8, 1997, 0
500, 9, 1955, 0
500, 10, 1955, 0
500, 11, 2168, 0
500, 12, 1862, 0
500, 13, 1882, 0
500, 14, 1937, 0
500, 15, 2050, 0
500, 16, 2117, 0
500, 17, 2006, 0
500, 18, 1810, 0
500, 19, 1818, 0
500, 20, 1849, 0
500, 21, 2050, 0
500, 22, 1973, 0
500, 23, 1870, 0
500, 24, 1986, 0
500, 25, 1801, 0
500, 26, 1810, 0
500, 27, 1883, 0
500, 28, 2011, 0
500, 29, 2073, 0
500, 30, 2070, 0
500, 31, 2016, 0
500, 32, 1842, 0
500, 33, 1863, 0
500, 34, 1949, 0
500, 35, 2019, 0
500, 36, 1966, 0
500, 37, 1984, 0
500, 38, 2189, 0
500, 39, 2031, 0
500, 40, 1999, 0
500, 41, 2052, 0
500, 42, 2016, 0
500, 43, 2050, 0
500, 44, 2013, 0
500, 45, 2013, 0
500, 46, 1992, 0
500, 47, 2132, 0
500, 48, 1865, 0
500, 49, 1908, 0
500, 50, 1962, 0
500, 51, 1961, 0
500, 52, 2054, 0
500, 53, 2102, 0
500, 54, 2102, 0
500, 55, 509, 0
500, 56, 2024, 0
500, 57, 2150, 0
500, 58, 1991, 0
500, 59, 1954, 0
500, 60, 2180, 0
0, 0, 0, 1963
1000, 1, 2062, 0
1000, 2, 2024, 0
1000, 3, 2002, 0
1000, 4, 1994, 0
1000, 5, 1964, 0
1000, 6, 1967, 0
1000, 7, 2078, 0
1000, 8, 2043, 0
1000, 9, 2073, 0
1000, 10, 2265, 0
1000, 11, 2047, 0
1000, 12, 2073, 0
1000, 13, 2115, 0
1000, 14, 1963, 0
1000, 15, 2161, 0
1000, 16, 2028, 0
1000, 17, 1966, 0
1000, 18, 1918, 0
1000, 19, 1985, 0
1000, 20, 2111, 0
1000, 21, 1834, 0
1000, 22, 1831, 0
1000, 23, 2356, 0
1000, 24, 1968, 0
1000, 25, 1978, 0
1000, 26, 2035, 0
1000, 27, 2045, 0
1000, 28, 1840, 0
1000, 29, 2016, 0
1000, 30, 2032, 0
1000, 31, 2005, 0
1000, 32, 2230, 0
1000, 33, 2092, 0
1000, 34, 2420, 0
1000, 35, 2229, 0
1000, 36, 1948, 0
1000, 37, 2022, 0
1000, 38, 2098, 0
1000, 39, 2081, 0
1000, 40, 2080, 0
1000, 41, 1985, 0
1000, 42, 2147, 0
1000, 43, 578, 0
1000, 44, 2083, 0
1000, 45, 2145, 0
1000, 46, 2118, 0
1000, 47, 2064, 0
1000, 48, 1991, 0
1000, 49, 2031, 0
1000, 50, 2059, 0
1000, 51, 2175, 0
1000, 52, 1984, 0
1000, 53, 1966, 0
1000, 54, 1974, 0
1000, 55, 2008, 0
1000, 56, 2033, 0
1000, 57, 1966, 0
1000, 58, 2080, 0
1000, 59, 2144, 0
1000, 60, 1882, 0
0, 0, 0, 2023
1500, 1, 2091, 0
1500, 2, 2196, 0
1500, 3, 1492, 0
1500, 4, 2012, 0
1500, 5, 2197, 0
1500, 6, 3383, 0
1500, 7, 2081, 0
1500, 8, 2581, 0
1500, 9, 2126, 0
1500, 10, 2258, 0
1500, 11, 716, 0
1500, 12, 2031, 0
1500, 13, 2140, 0
1500, 14, 2029, 0
1500, 15, 2068, 0
1500, 16, 1976, 0
1500, 17, 2024, 0
1500, 18, 2012, 0
1500, 19, 1996, 0
1500, 20, 2189, 0
1500, 21, 2241, 0
1500, 22, 2005, 0
1500, 23, 2003, 0
1500, 24, 2002, 0
1500, 25, 2056, 0
1500, 26, 2173, 0
1500, 27, 2025, 0
1500, 28, 1991, 0
1500, 29, 1979, 0
1500, 30, 2133, 0
1500, 31, 2202, 0
1500, 32, 2070, 0
1500, 33, 2308, 0
1500, 34, 2079, 0
1500, 35, 2113, 0
1500, 36, 2091, 0
1500, 37, 2001, 0
1500, 38, 2159, 0
1500, 39, 2297, 0
1500, 40, 2116, 0
1500, 41, 2099, 0
1500, 42, 2070, 0
1500, 43, 2092, 0
1500, 44, 2096, 0
1500, 45, 2161, 0
1500, 46, 2141, 0
1500, 47, 2117, 0
1500, 48, 2103, 0
1500, 49, 2273, 0
1500, 50, 2307, 0
1500, 51, 2127, 0
1500, 52, 2110, 0
1500, 53, 2239, 0
1500, 54, 2109, 0
1500, 55, 2302, 0
1500, 56, 2224, 0
1500, 57, 2187, 0
1500, 58, 2185, 0
1500, 59, 1487, 0
1500, 60, 2116, 0
0, 0, 0, 2103
