Filter, ID, Time_us, Average_time
10, 1, 558, 0
0, 2, 444, 0
0, 3, 307, 0
0, 4, 257, 0
0, 5, 324, 0
0, 6, 246, 0
0, 7, 261, 0
0, 8, 234, 0
0, 9, 384, 0
0, 10, 294, 0
0, 11, 276, 0
0, 12, 254, 0
0, 13, 246, 0
0, 14, 292, 0
0, 15, 279, 0
0, 16, 267, 0
0, 17, 255, 0
0, 18, 259, 0
0, 19, 255, 0
0, 20, 277, 0
0, 21, 296, 0
0, 22, 258, 0
0, 23, 247, 0
0, 24, 307, 0
0, 25, 251, 0
0, 26, 250, 0
0, 27, 274, 0
0, 28, 248, 0
0, 29, 242, 0
0, 30, 264, 0
0, 31, 251, 0
0, 32, 250, 0
0, 33, 254, 0
0, 34, 257, 0
0, 35, 253, 0
0, 36, 325, 0
0, 37, 264, 0
0, 38, 274, 0
0, 39, 242, 0
0, 40, 255, 0
0, 41, 260, 0
0, 42, 245, 0
0, 43, 249, 0
0, 44, 251, 0
0, 45, 264, 0
0, 46, 245, 0
0, 47, 249, 0
0, 48, 253, 0
0, 49, 248, 0
0, 50, 266, 0
0, 51, 260, 0
0, 52, 268, 0
0, 53, 245, 0
0, 54, 250, 0
0, 55, 267, 0
0, 56, 252, 0
0, 57, 257, 0
0, 58, 259, 0
0, 59, 262, 0
0, 60, 262, 0
0, 0, 0, 272
20, 1, 440, 0
0, 2, 467, 0
0, 3, 436, 0
0, 4, 415, 0
0, 5, 440, 0
0, 6, 451, 0
0, 7, 440, 0
0, 8, 449, 0
0, 9, 470, 0
0, 10, 454, 0
0, 11, 428, 0
0, 12, 440, 0
0, 13, 441, 0
0, 14, 477, 0
0, 15, 450, 0
0, 16, 426, 0
0, 17, 445, 0
0, 18, 437, 0
0, 19, 448, 0
0, 20, 439, 0
0, 21, 454, 0
0, 22, 421, 0
0, 23, 458, 0
0, 24, 429, 0
0, 25, 414, 0
0, 26, 425, 0
0, 27, 417, 0
0, 28, 418, 0
0, 29, 442, 0
0, 30, 482, 0
0, 31, 440, 0
0, 32, 428, 0
0, 33, 439, 0
0, 34, 424, 0
0, 35, 430, 0
0, 36, 433, 0
0, 37, 430, 0
0, 38, 417, 0
0, 39, 419, 0
0, 40, 454, 0
0, 41, 444, 0
0, 42, 448, 0
0, 43, 430, 0
0, 44, 432, 0
0, 45, 423, 0
0, 46, 426, 0
0, 47, 446, 0
0, 48, 450, 0
0, 49, 454, 0
0, 50, 438, 0
0, 51, 433, 0
0, 52, 426, 0
0, 53, 432, 0
0, 54, 437, 0
0, 55, 455, 0
0, 56, 452, 0
0, 57, 446, 0
0, 58, 443, 0
0, 59, 428, 0
0, 60, 429, 0
0, 0, 0, 438
30, 1, 615, 0
0, 2, 593, 0
0, 3, 611, 0
0, 4, 594, 0
0, 5, 646, 0
0, 6, 605, 0
0, 7, 611, 0
0, 8, 624, 0
0, 9, 629, 0
0, 10, 608, 0
0, 11, 623, 0
0, 12, 607, 0
0, 13, 619, 0
0, 14, 593, 0
0, 15, 591, 0
0, 16, 602, 0
0, 17, 599, 0
0, 18, 619, 0
0, 19, 604, 0
0, 20, 595, 0
0, 21, 607, 0
0, 22, 619, 0
0, 23, 596, 0
0, 24, 605, 0
0, 25, 605, 0
0, 26, 610, 0
0, 27, 598, 0
0, 28, 611, 0
0, 29, 582, 0
0, 30, 592, 0
0, 31, 611, 0
0, 32, 610, 0
0, 33, 625, 0
0, 34, 608, 0
0, 35, 647, 0
0, 36, 622, 0
0, 37, 602, 0
0, 38, 594, 0
0, 39, 626, 0
0, 40, 602, 0
0, 41, 594, 0
0, 42, 605, 0
0, 43, 604, 0
0, 44, 608, 0
0, 45, 595, 0
0, 46, 600, 0
0, 47, 602, 0
0, 48, 607, 0
0, 49, 623, 0
0, 50, 625, 0
0, 51, 592, 0
0, 52, 605, 0
0, 53, 614, 0
0, 54, 834, 0
0, 55, 606, 0
0, 56, 603, 0
0, 57, 625, 0
0, 58, 607, 0
0, 59, 619, 0
0, 60, 594, 0
0, 0, 0, 612
40, 1, 834, 0
0, 2, 808, 0
0, 3, 792, 0
0, 4, 793, 0
0, 5, 786, 0
0, 6, 792, 0
0, 7, 854, 0
0, 8, 839, 0
0, 9, 812, 0
0, 10, 828, 0
0, 11, 811, 0
0, 12, 872, 0
0, 13, 807, 0
0, 14, 936, 0
0, 15, 776, 0
0, 16, 786, 0
0, 17, 775, 0
0, 18, 797, 0
0, 19, 785, 0
0, 20, 766, 0
0, 21, 862, 0
0, 22, 859, 0
0, 23, 818, 0
0, 24, 814, 0
0, 25, 808, 0
0, 26, 816, 0
0, 27, 819, 0
0, 28, 832, 0
0, 29, 796, 0
0, 30, 816, 0
0, 31, 816, 0
0, 32, 830, 0
0, 33, 842, 0
0, 34, 818, 0
0, 35, 880, 0
0, 36, 831, 0
0, 37, 814, 0
0, 38, 845, 0
0, 39, 848, 0
0, 40, 805, 0
0, 41, 789, 0
0, 42, 832, 0
0, 43, 1373, 0
0, 44, 878, 0
0, 45, 831, 0
0, 46, 825, 0
0, 47, 904, 0
0, 48, 847, 0
0, 49, 789, 0
0, 50, 853, 0
0, 51, 818, 0
0, 52, 837, 0
0, 53, 784, 0
0, 54, 791, 0
0, 55, 785, 0
0, 56, 772, 0
0, 57, 774, 0
0, 58, 765, 0
0, 59, 777, 0
0, 60, 782, 0
0, 0, 0, 827
50, 1, 964, 0
0, 2, 959, 0
0, 3, 958, 0
0, 4, 938, 0
0, 5, 925, 0
0, 6, 974, 0
0, 7, 988, 0
0, 8, 986, 0
0, 9, 960, 0
0, 10, 955, 0
0, 11, 949, 0
0, 12, 956, 0
0, 13, 948, 0
0, 14, 984, 0
0, 15, 973, 0
0, 16, 974, 0
0, 17, 977, 0
0, 18, 940, 0
0, 19, 946, 0
