Filter, ID, Time_ms, Average_time
10, 1, 3, 0
0, 2, 3, 0
0, 3, 3, 0
0, 4, 3, 0
0, 5, 3, 0
0, 6, 3, 0
0, 7, 3, 0
0, 8, 3, 0
0, 9, 3, 0
0, 10, 3, 0
0, 11, 3, 0
0, 12, 3, 0
0, 13, 3, 0
0, 14, 3, 0
0, 15, 3, 0
0, 16, 3, 0
0, 17, 3, 0
0, 18, 3, 0
0, 19, 3, 0
0, 20, 3, 0
0, 21, 3, 0
0, 22, 3, 0
0, 23, 3, 0
0, 24, 3, 0
0, 25, 3, 0
0, 26, 3, 0
0, 27, 3, 0
0, 28, 3, 0
0, 29, 3, 0
0, 30, 3, 0
0, 0, 0, 3
20, 1, 7, 0
0, 2, 7, 0
0, 3, 7, 0
0, 4, 7, 0
0, 5, 7, 0
0, 6, 7, 0
0, 7, 7, 0
0, 8, 7, 0
0, 9, 7, 0
0, 10, 7, 0
0, 11, 7, 0
0, 12, 7, 0
0, 13, 7, 0
0, 14, 7, 0
0, 15, 7, 0
0, 16, 7, 0
0, 17, 7, 0
0, 18, 7, 0
0, 19, 7, 0
0, 20, 7, 0
0, 21, 7, 0
0, 22, 7, 0
0, 23, 7, 0
0, 24, 7, 0
0, 25, 7, 0
0, 26, 7, 0
0, 27, 7, 0
0, 28, 7, 0
0, 29, 7, 0
0, 30, 7, 0
0, 0, 0, 7
30, 1, 10, 0
0, 2, 10, 0
0, 3, 10, 0
0, 4, 10, 0
0, 5, 10, 0
0, 6, 10, 0
0, 7, 11, 0
0, 8, 12, 0
0, 9, 11, 0
0, 10, 10, 0
0, 11, 11, 0
0, 12, 11, 0
0, 13, 10, 0
0, 14, 13, 0
0, 15, 11, 0
0, 16, 11, 0
0, 17, 10, 0
0, 18, 10, 0
0, 19, 10, 0
0, 20, 10, 0
0, 21, 10, 0
0, 22, 10, 0
0, 23, 10, 0
0, 24, 10, 0
0, 25, 10, 0
0, 26, 11, 0
0, 27, 10, 0
0, 28, 10, 0
0, 29, 10, 0
0, 30, 10, 0
0, 0, 0, 10
40, 1, 14, 0
0, 2, 14, 0
0, 3, 14, 0
0, 4, 14, 0
0, 5, 14, 0
0, 6, 15, 0
0, 7, 14, 0
0, 8, 14, 0
0, 9, 15, 0
0, 10, 14, 0
0, 11, 15, 0
0, 12, 14, 0
0, 13, 14, 0
0, 14, 14, 0
0, 15, 14, 0
0, 16, 14, 0
0, 17, 14, 0
0, 18, 14, 0
0, 19, 14, 0
0, 20, 14, 0
0, 21, 16, 0
0, 22, 14, 0
0, 23, 14, 0
0, 24, 14, 0
0, 25, 14, 0
0, 26, 14, 0
0, 27, 14, 0
0, 28, 16, 0
0, 29, 14, 0
0, 30, 14, 0
0, 0, 0, 14
50, 1, 17, 0
0, 2, 18, 0
0, 3, 18, 0
0, 4, 18, 0
0, 5, 18, 0
0, 6, 17, 0
0, 7, 18, 0
0, 8, 18, 0
0, 9, 18, 0
0, 10, 18, 0
0, 11, 17, 0
0, 12, 17, 0
0, 13, 17, 0
0, 14, 17, 0
0, 15, 17, 0
0, 16, 18, 0
0, 17, 18, 0
0, 18, 18, 0
0, 19, 18, 0
0, 20, 18, 0
0, 21, 18, 0
0, 22, 17, 0
0, 23, 17, 0
0, 24, 17, 0
0, 25, 17, 0
0, 26, 17, 0
0, 27, 17, 0
0, 28, 17, 0
0, 29, 17, 0
0, 30, 17, 0
0, 0, 0, 17
60, 1, 21, 0
0, 2, 21, 0
0, 3, 21, 0
0, 4, 21, 0
0, 5, 21, 0
0, 6, 20, 0
0, 7, 21, 0
0, 8, 21, 0
0, 9, 21, 0
0, 10, 21, 0
0, 11, 21, 0
0, 12, 21, 0
0, 13, 21, 0
0, 14, 21, 0
0, 15, 22, 0
0, 16, 21, 0
0, 17, 21, 0
0, 18, 21, 0
0, 19, 21, 0
0, 20, 21, 0
0, 21, 21, 0
0, 22, 21, 0
0, 23, 21, 0
0, 24, 21, 0
0, 25, 21, 0
0, 26, 21, 0
0, 27, 21, 0
0, 28, 21, 0
0, 29, 21, 0
0, 30, 21, 0
0, 0, 0, 21
70, 1, 24, 0
0, 2, 25, 0
0, 3, 25, 0
0, 4, 25, 0
0, 5, 24, 0
0, 6, 24, 0
0, 7, 25, 0
0, 8, 25, 0
0, 9, 25, 0
0, 10, 25, 0
0, 11, 25, 0
0, 12, 24, 0
0, 13, 25, 0
0, 14, 24, 0
0, 15, 24, 0
0, 16, 24, 0
0, 17, 24, 0
0, 18, 24, 0
0, 19, 24, 0
0, 20, 24, 0
0, 21, 24, 0
0, 22, 24, 0
0, 23, 24, 0
0, 24, 24, 0
0, 25, 24, 0
0, 26, 25, 0
0, 27, 25, 0
0, 28, 24, 0
0, 29, 24, 0
0, 30, 24, 0
0, 0, 0, 24
80, 1, 28, 0
0, 2, 28, 0
0, 3, 28, 0
0, 4, 28, 0
0, 5, 28, 0
0, 6, 27, 0
0, 7, 27, 0
0, 8, 28, 0
0, 9, 28, 0
0, 10, 28, 0
0, 11, 28, 0
0, 12, 28, 0
0, 13, 28, 0
0, 14, 28, 0
0, 15, 28, 0
0, 16, 28, 0
0, 17, 28, 0
0, 18, 28, 0
0, 19, 28, 0
0, 20, 28, 0
0, 21, 28, 0
0, 22, 28, 0
0, 23, 28, 0
0, 24, 28, 0
0, 25, 28, 0
0, 26, 28, 0
0, 27, 28, 0
0, 28, 28, 0
0, 29, 28, 0
0, 30, 28, 0
0, 0, 0, 27
90, 1, 31, 0
0, 2, 33, 0
0, 3, 32, 0
0, 4, 32, 0
0, 5, 32, 0
0, 6, 31, 0
0, 7, 31, 0
0, 8, 32, 0
0, 9, 31, 0
0, 10, 32, 0
0, 11, 32, 0
0, 12, 32, 0
0, 13, 31, 0
0, 14, 31, 0
0, 15, 31, 0
0, 16, 31, 0
0, 17, 32, 0
0, 18, 32, 0
0, 19, 32, 0
0, 20, 33, 0
0, 21, 32, 0
0, 22, 32, 0
0, 23, 32, 0
0, 24, 32, 0
0, 25, 32, 0
0, 26, 32, 0
0, 27, 32, 0
0, 28, 32, 0
0, 29, 32, 0
0, 30, 31, 0
0, 0, 0, 31
100, 1, 36, 0
0, 2, 36, 0
0, 3, 36, 0
0, 4, 35, 0
0, 5, 35, 0
0, 6, 37, 0
0, 7, 36, 0
0, 8, 36, 0
0, 9, 36, 0
0, 10, 35, 0
0, 11, 35, 0
0, 12, 35, 0
0, 13, 35, 0
0, 14, 35, 0
0, 15, 35, 0
0, 16, 36, 0
0, 17, 36, 0
0, 18, 36, 0
0, 19, 35, 0
0, 20, 36, 0
0, 21, 36, 0
0, 22, 36, 0
0, 23, 36, 0
0, 24, 36, 0
0, 25, 35, 0
0, 26, 35, 0
0, 27, 35, 0
0, 28, 35, 0
0, 29, 35, 0
0, 30, 35, 0
0, 0, 0, 35
110, 1, 39, 0
0, 2, 40, 0
0, 3, 39, 0
0, 4, 39, 0
0, 5, 39, 0
0, 6, 39, 0
0, 7, 39, 0
0, 8, 40, 0
0, 9, 39, 0
0, 10, 39, 0
0, 11, 39, 0
0, 12, 39, 0
0, 13, 39, 0
0, 14, 39, 0
0, 15, 39, 0
0, 16, 39, 0
0, 17, 39, 0
0, 18, 39, 0
0, 19, 40, 0
0, 20, 39, 0
0, 21, 39, 0
0, 22, 38, 0
0, 23, 38, 0
0, 24, 38, 0
0, 25, 39, 0
0, 26, 39, 0
0, 27, 38, 0
0, 28, 38, 0
0, 29, 38, 0
0, 30, 38, 0
0, 0, 0, 38
120, 1, 42, 0
0, 2, 43, 0
0, 3, 42, 0
0, 4, 42, 0
0, 5, 41, 0
0, 6, 41, 0
0, 7, 43, 0
0, 8, 43, 0
0, 9, 43, 0
0, 10, 43, 0
0, 11, 42, 0
0, 12, 42, 0
0, 13, 42, 0
0, 14, 42, 0
0, 15, 42, 0
0, 16, 43, 0
0, 17, 43, 0
0, 18, 43, 0
0, 19, 45, 0
0, 20, 42, 0
0, 21, 42, 0
0, 22, 42, 0
0, 23, 42, 0
0, 24, 42, 0
0, 25, 41, 0
0, 26, 42, 0
0, 27, 42, 0
0, 28, 42, 0
0, 29, 41, 0
0, 30, 41, 0
0, 0, 0, 42
130, 1, 45, 0
0, 2, 47, 0
0, 3, 46, 0
0, 4, 46, 0
0, 5, 46, 0
0, 6, 47, 0
0, 7, 46, 0
0, 8, 46, 0
0, 9, 45, 0
0, 10, 46, 0
0, 11, 46, 0
0, 12, 46, 0
0, 13, 46, 0
0, 14, 46, 0
0, 15, 46, 0
0, 16, 46, 0
0, 17, 46, 0
0, 18, 46, 0
0, 19, 46, 0
0, 20, 46, 0
0, 21, 45, 0
0, 22, 46, 0
0, 23, 47, 0
0, 24, 47, 0
0, 25, 46, 0
0, 26, 46, 0
0, 27, 46, 0
0, 28, 45, 0
0, 29, 45, 0
0, 30, 45, 0
0, 0, 0, 45
140, 1, 49, 0
0, 2, 50, 0
0, 3, 49, 0
0, 4, 49, 0
0, 5, 48, 0
0, 6, 49, 0
0, 7, 50, 0
