Filter, ID, Time_us, Average_time
10, 1, 23267, 0
0, 2, 17338, 0
0, 3, 19228, 0
0, 4, 14975, 0
0, 5, 15054, 0
0, 6, 19667, 0
0, 7, 18247, 0
0, 8, 15319, 0
0, 9, 14745, 0
0, 10, 16538, 0
0, 11, 19038, 0
0, 12, 15006, 0
0, 13, 14615, 0
0, 14, 16802, 0
0, 15, 16053, 0
0, 16, 15138, 0
0, 17, 14168, 0
0, 18, 19418, 0
0, 19, 18248, 0
0, 20, 15431, 0
0, 21, 14669, 0
0, 22, 16608, 0
0, 23, 18705, 0
0, 24, 14728, 0
0, 25, 14786, 0
0, 26, 16677, 0
0, 27, 16177, 0
0, 28, 15236, 0
0, 29, 13879, 0
0, 30, 19441, 0
0, 31, 18433, 0
0, 32, 15398, 0
0, 33, 15093, 0
0, 34, 16433, 0
0, 35, 18850, 0
0, 36, 15006, 0
0, 37, 14662, 0
0, 38, 17212, 0
0, 39, 16402, 0
0, 40, 14996, 0
0, 41, 13964, 0
0, 42, 19625, 0
0, 43, 18239, 0
0, 44, 15476, 0
0, 45, 14548, 0
0, 46, 16397, 0
0, 47, 19075, 0
0, 48, 14814, 0
0, 49, 14893, 0
0, 50, 16989, 0
0, 51, 16049, 0
0, 52, 16095, 0
0, 53, 14053, 0
0, 54, 19498, 0
0, 55, 18111, 0
0, 56, 15323, 0
0, 57, 14575, 0
0, 58, 16396, 0
0, 59, 19653, 0
0, 60, 14830, 0
0, 0, 0, 16505
20, 1, 28722, 0
0, 2, 26890, 0
0, 3, 29491, 0
0, 4, 30311, 0
0, 5, 27648, 0
0, 6, 29142, 0
0, 7, 30589, 0
0, 8, 29297, 0
0, 9, 27328, 0
0, 10, 28305, 0
0, 11, 27901, 0
0, 12, 28414, 0
0, 13, 30498, 0
0, 14, 29609, 0
0, 15, 27496, 0
0, 16, 28309, 0
0, 17, 28110, 0
0, 18, 28028, 0
0, 19, 30691, 0
0, 20, 29586, 0
0, 21, 27147, 0
0, 22, 28021, 0
0, 23, 28439, 0
0, 24, 28502, 0
0, 25, 30480, 0
0, 26, 29486, 0
0, 27, 27592, 0
0, 28, 27895, 0
0, 29, 28164, 0
0, 30, 28431, 0
0, 31, 30263, 0
0, 32, 29583, 0
0, 33, 27511, 0
0, 34, 28080, 0
0, 35, 28094, 0
0, 36, 28796, 0
0, 37, 30409, 0
0, 38, 29537, 0
0, 39, 27529, 0
0, 40, 28034, 0
0, 41, 28003, 0
0, 42, 29021, 0
0, 43, 30565, 0
