Filter, ID, Time_us, Average_time
10, 1, 3703, 0
0, 2, 4433, 0
0, 3, 3674, 0
0, 4, 3836, 0
0, 5, 4097, 0
0, 6, 3663, 0
0, 7, 3586, 0
0, 8, 3528, 0
0, 9, 3545, 0
0, 10, 3519, 0
0, 11, 3510, 0
0, 12, 3529, 0
0, 13, 3519, 0
0, 14, 3520, 0
0, 15, 3566, 0
0, 16, 3538, 0
0, 17, 3544, 0
0, 18, 3541, 0
0, 19, 3545, 0
0, 20, 3576, 0
0, 21, 3544, 0
0, 22, 3551, 0
0, 23, 3535, 0
0, 24, 3514, 0
0, 25, 3513, 0
0, 26, 3519, 0
0, 27, 3506, 0
0, 28, 3438, 0
0, 29, 3470, 0
0, 30, 3469, 0
0, 31, 3457, 0
0, 32, 3472, 0
0, 33, 3449, 0
0, 34, 3470, 0
0, 35, 3475, 0
0, 36, 3438, 0
0, 37, 3464, 0
0, 38, 3462, 0
0, 39, 3450, 0
0, 40, 3453, 0
0, 41, 3450, 0
0, 42, 3443, 0
0, 43, 3439, 0
0, 44, 3449, 0
0, 45, 3441, 0
0, 46, 3445, 0
0, 47, 3484, 0
0, 48, 3498, 0
0, 49, 3455, 0
0, 50, 3443, 0
0, 51, 3464, 0
0, 52, 3520, 0
0, 53, 3504, 0
0, 54, 3530, 0
0, 55, 3530, 0
0, 56, 3542, 0
0, 57, 3542, 0
0, 58, 3560, 0
0, 59, 3528, 0
0, 60, 3511, 0
0, 0, 0, 3539
20, 1, 6977, 0
0, 2, 6873, 0
0, 3, 7065, 0
0, 4, 7028, 0
0, 5, 6877, 0
0, 6, 6908, 0
0, 7, 6850, 0
0, 8, 6884, 0
0, 9, 6905, 0
0, 10, 6885, 0
0, 11, 6836, 0
0, 12, 6850, 0
0, 13, 6838, 0
0, 14, 6832, 0
0, 15, 6939, 0
0, 16, 6915, 0
0, 17, 7045, 0
0, 18, 6974, 0
0, 19, 7010, 0
0, 20, 6988, 0
0, 21, 6904, 0
0, 22, 6845, 0
0, 23, 6876, 0
0, 24, 6845, 0
0, 25, 6868, 0
0, 26, 8871, 0
0, 27, 6864, 0
0, 28, 6899, 0
0, 29, 6834, 0
0, 30, 6906, 0
0, 31, 6832, 0
0, 32, 6860, 0
0, 33, 6865, 0
0, 34, 6938, 0
0, 35, 6941, 0
0, 36, 7045, 0
0, 37, 7075, 0
0, 38, 7038, 0
0, 39, 6844, 0
0, 40, 6867, 0
0, 41, 6874, 0
0, 42, 6905, 0
0, 43, 6907, 0
0, 44, 6850, 0
0, 45, 6884, 0
0, 46, 6892, 0
0, 47, 6870, 0
0, 48, 6880, 0
0, 49, 6944, 0
0, 50, 6839, 0
0, 51, 6843, 0
0, 52, 6898, 0
0, 53, 6898, 0
0, 54, 6950, 0
0, 55, 7022, 0
0, 56, 7052, 0
0, 57, 6991, 0
0, 58, 6886, 0
0, 59, 6859, 0
0, 60, 6856, 0
0, 0, 0, 6943
30, 1, 10311, 0
0, 2, 10248, 0
0, 3, 10289, 0
0, 4, 10244, 0
0, 5, 10224, 0
0, 6, 10238, 0
0, 7, 10221, 0
0, 8, 10314, 0
0, 9, 10390, 0
0, 10, 10480, 0
0, 11, 10467, 0
0, 12, 10256, 0
0, 13, 10254, 0
0, 14, 10356, 0
0, 15, 10234, 0
0, 16, 10242, 0
0, 17, 10253, 0
0, 18, 10224, 0
0, 19, 10307, 0
0, 20, 10226, 0
0, 21, 10329, 0
0, 22, 10411, 0
0, 23, 10528, 0
0, 24, 10425, 0
0, 25, 10298, 0
0, 26, 10470, 0
0, 27, 10242, 0
0, 28, 10223, 0
0, 29, 10233, 0
0, 30, 10242, 0
0, 31, 10352, 0
0, 32, 10300, 0
0, 33, 10238, 0
0, 34, 10456, 0
0, 35, 10517, 0
0, 36, 10524, 0
0, 37, 10550, 0
0, 38, 10409, 0
0, 39, 10515, 0
0, 40, 10460, 0
0, 41, 10382, 0
0, 42, 10340, 0
0, 43, 10454, 0
0, 44, 10431, 0
0, 45, 10327, 0
0, 46, 10322, 0
0, 47, 10453, 0
0, 48, 10540, 0
0, 49, 10384, 0
0, 50, 10286, 0
0, 51, 10224, 0
0, 52, 10259, 0
0, 53, 10255, 0
0, 54, 10310, 0
0, 55, 10304, 0
0, 56, 10224, 0
0, 57, 10247, 0
0, 58, 10257, 0
0, 59, 10502, 0
0, 60, 10516, 0
0, 0, 0, 10341
40, 1, 14214, 0
0, 2, 14051, 0
0, 3, 13787, 0
0, 4, 13640, 0
0, 5, 13620, 0
0, 6, 13688, 0
0, 7, 13658, 0
0, 8, 13667, 0
0, 9, 13857, 0
0, 10, 14014, 0
0, 11, 13795, 0
0, 12, 13707, 0
0, 13, 13696, 0
0, 14, 13663, 0
0, 15, 13769, 0
0, 16, 13637, 0
0, 17, 13683, 0
0, 18, 13835, 0
0, 19, 13893, 0
0, 20, 14025, 0
0, 21, 13824, 0
0, 22, 13651, 0
0, 23, 13631, 0
0, 24, 13643, 0
0, 25, 13692, 0
0, 26, 13684, 0
0, 27, 13631, 0
0, 28, 13864, 0
0, 29, 14000, 0
0, 30, 13755, 0
0, 31, 13694, 0
0, 32, 13621, 0
0, 33, 13780, 0
0, 34, 13680, 0
0, 35, 13693, 0
0, 36, 13609, 0
0, 37, 13730, 0
0, 38, 13922, 0
0, 39, 13960, 0
0, 40, 13737, 0
0, 41, 13624, 0
0, 42, 13643, 0
0, 43, 13761, 0
0, 44, 13646, 0
0, 45, 13591, 0
0, 46, 13702, 0
0, 47, 14029, 0
0, 48, 13966, 0
0, 49, 14015, 0
0, 50, 13959, 0
0, 51, 13924, 0
0, 52, 13943, 0
0, 53, 13847, 0
0, 54, 13920, 0
0, 55, 13920, 0
0, 56, 13991, 0
0, 57, 14339, 0
0, 58, 14075, 0
0, 59, 14434, 0
0, 60, 14422, 0
0, 0, 0, 13824
50, 1, 17645, 0
0, 2, 17313, 0
0, 3, 17298, 0
0, 4, 17859, 0
0, 5, 17919, 0
0, 6, 17942, 0
0, 7, 17784, 0
0, 8, 17413, 0
0, 9, 17472, 0
0, 10, 17495, 0
0, 11, 17291, 0
0, 12, 17278, 0
0, 13, 17428, 0
0, 14, 17259, 0
0, 15, 17282, 0
0, 16, 17072, 0
0, 17, 17190, 0
0, 18, 17163, 0
0, 19, 17113, 0
0, 20, 17370, 0
0, 21, 17395, 0
0, 22, 17141, 0
0, 23, 17028, 0
0, 24, 17042, 0
0, 25, 17200, 0
0, 26, 16992, 0
0, 27, 17119, 0
0, 28, 17467, 0
0, 29, 17275, 0
0, 30, 17086, 0
0, 31, 17022, 0
0, 32, 17040, 0
0, 33, 17075, 0
0, 34, 16996, 0
0, 35, 17296, 0
0, 36, 17284, 0
0, 37, 17054, 0
0, 38, 17157, 0
0, 39, 17015, 0
0, 40, 17075, 0
0, 41, 17063, 0
0, 42, 17218, 0
0, 43, 17263, 0
0, 44, 17207, 0
0, 45, 17182, 0
0, 46, 17139, 0
0, 47, 17160, 0
0, 48, 17470, 0
0, 49, 17295, 0
0, 50, 17262, 0
0, 51, 17322, 0
0, 52, 17277, 0
0, 53, 17060, 0
0, 54, 16990, 0
0, 55, 17133, 0
0, 56, 17085, 0
0, 57, 17194, 0
0, 58, 17752, 0
0, 59, 17706, 0
0, 60, 17385, 0
0, 0, 0, 17275
60, 1, 20617, 0
0, 2, 20526, 0
0, 3, 20491, 0
0, 4, 20687, 0
0, 5, 20914, 0
0, 6, 20929, 0
0, 7, 20893, 0
0, 8, 20809, 0
0, 9, 20448, 0
0, 10, 20505, 0
0, 11, 20846, 0
0, 12, 20624, 0
0, 13, 20533, 0
0, 14, 20518, 0
0, 15, 20563, 0
0, 16, 20503, 0
0, 17, 20767, 0
0, 18, 20758, 0
0, 19, 20495, 0
0, 20, 20526, 0
0, 21, 20365, 0
0, 22, 20380, 0
0, 23, 20662, 0
0, 24, 20972, 0
0, 25, 20600, 0
0, 26, 20490, 0
0, 27, 20390, 0
0, 28, 20451, 0
0, 29, 20533, 0
0, 30, 20807, 0
0, 31, 20853, 0
0, 32, 20605, 0
0, 33, 20440, 0
0, 34, 20388, 0
0, 35, 20468, 0
0, 36, 20490, 0
0, 37, 20936, 0
0, 38, 20782, 0
0, 39, 20786, 0
0, 40, 20399, 0
0, 41, 20433, 0
0, 42, 20521, 0
0, 43, 20819, 0
0, 44, 20808, 0
0, 45, 20502, 0
0, 46, 20373, 0
0, 47, 20778, 0
0, 48, 20782, 0
0, 49, 20754, 0
0, 50, 20974, 0
0, 51, 20583, 0
0, 52, 20543, 0
0, 53, 20382, 0
0, 54, 20440, 0
0, 55, 20807, 0
0, 56, 21768, 0
