Filter, ID, Time_ms, Average_time
1, 1, 5, 0
0, 2, 2, 0
0, 3, 3, 0
0, 4, 2, 0
0, 5, 2, 0
0, 6, 2, 0
0, 7, 2, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 2, 0
0, 11, 2, 0
0, 12, 3, 0
0, 13, 6, 0
0, 14, 4, 0
0, 15, 6, 0
0, 16, 2, 0
0, 17, 2, 0
0, 18, 2, 0
0, 19, 2, 0
0, 20, 3, 0
0, 21, 2, 0
0, 22, 2, 0
0, 23, 2, 0
0, 24, 2, 0
0, 25, 2, 0
0, 26, 2, 0
0, 27, 2, 0
0, 28, 2, 0
0, 29, 2, 0
0, 30, 2, 0
0, 0, 0, 2
2, 1, 3, 0
0, 2, 3, 0
0, 3, 2, 0
0, 4, 2, 0
0, 5, 2, 0
0, 6, 2, 0
0, 7, 2, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 2, 0
0, 11, 2, 0
0, 12, 1, 0
0, 13, 2, 0
0, 14, 2, 0
0, 15, 2, 0
0, 16, 2, 0
0, 17, 2, 0
0, 18, 2, 0
0, 19, 2, 0
0, 20, 3, 0
0, 21, 4, 0
0, 22, 3, 0
0, 23, 3, 0
0, 24, 4, 0
0, 25, 4, 0
0, 26, 3, 0
0, 27, 2, 0
0, 28, 2, 0
0, 29, 2, 0
0, 30, 2, 0
0, 0, 0, 2
3, 1, 6, 0
0, 2, 6, 0
0, 3, 2, 0
0, 4, 2, 0
0, 5, 2, 0
0, 6, 2, 0
0, 7, 2, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 2, 0
0, 11, 3, 0
0, 12, 2, 0
0, 13, 2, 0
0, 14, 3, 0
0, 15, 3, 0
0, 16, 3, 0
0, 17, 3, 0
0, 18, 4, 0
0, 19, 4, 0
0, 20, 4, 0
0, 21, 4, 0
0, 22, 5, 0
0, 23, 4, 0
0, 24, 3, 0
0, 25, 2, 0
0, 26, 2, 0
0, 27, 4, 0
0, 28, 5, 0
0, 29, 4, 0
0, 30, 3, 0
0, 0, 0, 3
4, 1, 4, 0
0, 2, 6, 0
0, 3, 4, 0
0, 4, 3, 0
0, 5, 2, 0
0, 6, 2, 0
0, 7, 3, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 2, 0
0, 11, 6, 0
0, 12, 7, 0
0, 13, 3, 0
0, 14, 2, 0
0, 15, 2, 0
0, 16, 2, 0
0, 17, 2, 0
0, 18, 3, 0
0, 19, 2, 0
0, 20, 2, 0
0, 21, 2, 0
0, 22, 2, 0
0, 23, 2, 0
0, 24, 2, 0
0, 25, 2, 0
0, 26, 2, 0
0, 27, 2, 0
0, 28, 2, 0
0, 29, 2, 0
0, 30, 2, 0
0, 0, 0, 2
5, 1, 3, 0
0, 2, 3, 0
0, 3, 3, 0
0, 4, 3, 0
0, 5, 3, 0
0, 6, 2, 0
0, 7, 2, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 2, 0
0, 11, 2, 0
0, 12, 3, 0
0, 13, 3, 0
0, 14, 3, 0
0, 15, 4, 0
0, 16, 5, 0
0, 17, 7, 0
0, 18, 4, 0
0, 19, 3, 0
0, 20, 3, 0
0, 21, 3, 0
0, 22, 3, 0
0, 23, 3, 0
0, 24, 3, 0
0, 25, 3, 0
0, 26, 7, 0
0, 27, 6, 0
0, 28, 2, 0
