Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
1, 1, 13, 0, 2, 8025
0, 2, 0, 0, 2, 8025
0, 3, 0, 0, 2, 8025
0, 4, 0, 0, 2, 8025
0, 5, 0, 0, 2, 8025
0, 6, 0, 0, 2, 8025
0, 7, 0, 0, 2, 8025
0, 8, 0, 0, 2, 8025
0, 9, 0, 0, 2, 8025
0, 10, 0, 0, 2, 8025
0, 11, 0, 0, 2, 8025
0, 12, 0, 0, 2, 8025
0, 13, 0, 0, 2, 8025
0, 14, 0, 0, 2, 8025
0, 15, 0, 0, 2, 8025
0, 16, 0, 0, 2, 8025
0, 17, 0, 0, 2, 8025
0, 18, 0, 0, 2, 8025
0, 19, 0, 0, 2, 8025
0, 20, 0, 0, 2, 8025
0, 21, 0, 0, 2, 8025
0, 22, 0, 0, 2, 8025
0, 23, 0, 0, 2, 8025
0, 24, 0, 0, 2, 8025
0, 25, 0, 0, 2, 8025
0, 26, 0, 0, 2, 8025
0, 27, 0, 0, 2, 8025
0, 28, 0, 0, 2, 8025
0, 29, 0, 0, 2, 8025
0, 30, 1, 0, 2, 8025
0, 0, 0, 1
2, 1, 1, 0, 2, 8025
0, 2, 0, 0, 2, 8025
0, 3, 0, 0, 2, 8025
0, 4, 0, 0, 2, 8025
0, 5, 0, 0, 2, 8025
0, 6, 0, 0, 2, 8025
0, 7, 0, 0, 2, 8025
0, 8, 0, 0, 2, 8025
0, 9, 0, 0, 2, 8025
0, 10, 0, 0, 2, 8025
0, 11, 0, 0, 2, 8025
0, 12, 0, 0, 2, 8025
0, 13, 0, 0, 2, 8025
0, 14, 0, 0, 2, 8025
0, 15, 0, 0, 2, 8025
0, 16, 0, 0, 2, 8025
0, 17, 0, 0, 2, 8025
0, 18, 0, 0, 2, 8025
0, 19, 0, 0, 2, 8025
0, 20, 0, 0, 2, 8025
0, 21, 0, 0, 2, 8025
0, 22, 0, 0, 2, 8025
0, 23, 0, 0, 2, 8025
0, 24, 0, 0, 2, 8025
0, 25, 0, 0, 2, 8025
0, 26, 0, 0, 2, 8025
0, 27, 0, 0, 2, 8025
0, 28, 0, 0, 2, 8025
0, 29, 0, 0, 2, 8025
0, 30, 0, 0, 2, 8025
0, 0, 0, 1
3, 1, 0, 0, 2, 8025
0, 2, 0, 0, 2, 8025
0, 3, 0, 0, 2, 8025
0, 4, 0, 0, 2, 8025
0, 5, 0, 0, 2, 8025
0, 6, 0, 0, 2, 8025
0, 7, 0, 0, 2, 8025
0, 8, 0, 0, 2, 8025
0, 9, 0, 0, 2, 8025
0, 10, 0, 0, 2, 8025
0, 11, 0, 0, 2, 8025
0, 12, 0, 0, 2, 8025
0, 13, 0, 0, 2, 8025
0, 14, 0, 0, 2, 8025
0, 15, 0, 0, 2, 8025
0, 16, 0, 0, 2, 8025
0, 17, 0, 0, 2, 8025
0, 18, 0, 0, 2, 8025
0, 19, 0, 0, 2, 8025
0, 20, 0, 0, 2, 8025
0, 21, 0, 0, 2, 8025
0, 22, 0, 0, 2, 8025
0, 23, 0, 0, 2, 8025
0, 24, 0, 0, 2, 8025
0, 25, 0, 0, 2, 8025
0, 26, 0, 0, 2, 8025
0, 27, 0, 0, 2, 8025
0, 28, 0, 0, 2, 8025
0, 29, 0, 0, 2, 8025
0, 30, 0, 0, 2, 8025
0, 0, 0, 1
4, 1, 0, 0, 2, 8025
0, 2, 1, 0, 2, 8025
0, 3, 1, 0, 2, 8025
0, 4, 0, 0, 2, 8025
0, 5, 0, 0, 2, 8025
0, 6, 0, 0, 2, 8025
0, 7, 0, 0, 2, 8025
0, 8, 0, 0, 2, 8025
0, 9, 0, 0, 2, 8025
0, 10, 0, 0, 2, 8025
0, 11, 0, 0, 2, 8025
0, 12, 0, 0, 2, 8025
0, 13, 0, 0, 2, 8025
0, 14, 0, 0, 2, 8025
