Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
1, 1, 11939, 0, 14, 8647
0, 2, 1502, 0, 14, 8647
0, 3, 1124, 0, 14, 8647
0, 4, 1110, 0, 14, 8647
0, 5, 1091, 0, 14, 8647
0, 6, 1238, 0, 14, 8647
0, 7, 1086, 0, 14, 8647
0, 8, 1087, 0, 14, 8647
0, 9, 1103, 0, 14, 8647
0, 10, 1086, 0, 14, 8647
0, 11, 1080, 0, 14, 8647
0, 12, 1086, 0, 14, 8647
0, 13, 1083, 0, 14, 8647
0, 14, 1097, 0, 14, 8647
0, 15, 1102, 0, 14, 8647
0, 16, 1084, 0, 14, 8647
0, 17, 1086, 0, 14, 8647
0, 18, 1085, 0, 14, 8647
0, 19, 1089, 0, 14, 8647
0, 20, 1086, 0, 14, 8647
0, 21, 1336, 0, 14, 8647
0, 22, 1089, 0, 14, 8647
0, 23, 1079, 0, 14, 8647
0, 24, 1082, 0, 14, 8647
0, 25, 1080, 0, 14, 8647
0, 26, 1108, 0, 14, 8647
0, 27, 1082, 0, 14, 8647
0, 28, 1084, 0, 14, 8647
0, 29, 1083, 0, 14, 8647
0, 30, 1082, 0, 14, 8647
0, 31, 1082, 0, 14, 8647
0, 32, 1083, 0, 14, 8647
0, 33, 1083, 0, 14, 8647
0, 34, 1083, 0, 14, 8647
0, 35, 1083, 0, 14, 8647
0, 36, 1138, 0, 14, 8647
0, 37, 1123, 0, 14, 8647
0, 38, 1082, 0, 14, 8647
0, 39, 1091, 0, 14, 8647
0, 40, 1083, 0, 14, 8647
0, 41, 1085, 0, 14, 8647
0, 42, 1080, 0, 14, 8647
0, 43, 1080, 0, 14, 8647
0, 44, 1091, 0, 14, 8647
0, 45, 1079, 0, 14, 8647
0, 46, 1100, 0, 14, 8647
0, 47, 1092, 0, 14, 8647
0, 48, 1082, 0, 14, 8647
0, 49, 1081, 0, 14, 8647
0, 50, 1084, 0, 14, 8647
0, 51, 1083, 0, 14, 8647
0, 52, 1139, 0, 14, 8647
0, 53, 1082, 0, 14, 8647
0, 54, 1081, 0, 14, 8647
0, 55, 1083, 0, 14, 8647
0, 56, 1082, 0, 14, 8647
0, 57, 1081, 0, 14, 8647
0, 58, 1081, 0, 14, 8647
0, 59, 1080, 0, 14, 8647
0, 60, 1080, 0, 14, 8647
0, 0, 0, 1283
2, 1, 1069, 0, 14, 8647
0, 2, 1086, 0, 14, 8647
0, 3, 1092, 0, 14, 8647
0, 4, 1086, 0, 14, 8647
0, 5, 1080, 0, 14, 8647
0, 6, 1085, 0, 14, 8647
0, 7, 1141, 0, 14, 8647
0, 8, 1081, 0, 14, 8647
0, 9, 1079, 0, 14, 8647
0, 10, 1082, 0, 14, 8647
0, 11, 1078, 0, 14, 8647
0, 12, 1109, 0, 14, 8647
0, 13, 1096, 0, 14, 8647
0, 14, 1084, 0, 14, 8647
0, 15, 1083, 0, 14, 8647
0, 16, 1080, 0, 14, 8647
0, 17, 1081, 0, 14, 8647
0, 18, 1082, 0, 14, 8647
0, 19, 1083, 0, 14, 8647
0, 20, 1081, 0, 14, 8647
0, 21, 1081, 0, 14, 8647
0, 22, 1343, 0, 14, 8647
0, 23, 1086, 0, 14, 8647
0, 24, 1082, 0, 14, 8647
0, 25, 1089, 0, 14, 8647
0, 26, 1081, 0, 14, 8647
0, 27, 1082, 0, 14, 8647
0, 28, 1105, 0, 14, 8647
0, 29, 1080, 0, 14, 8647
0, 30, 1079, 0, 14, 8647
0, 31, 1080, 0, 14, 8647
0, 32, 1081, 0, 14, 8647
0, 33, 1084, 0, 14, 8647
0, 34, 1078, 0, 14, 8647
0, 35, 1135, 0, 14, 8647
0, 36, 1089, 0, 14, 8647
0, 37, 1109, 0, 14, 8647
0, 38, 1126, 0, 14, 8647
0, 39, 1082, 0, 14, 8647
0, 40, 1085, 0, 14, 8647
0, 41, 1111, 0, 14, 8647
0, 42, 1081, 0, 14, 8647
0, 43, 1084, 0, 14, 8647
0, 44, 1142, 0, 14, 8647
0, 45, 1122, 0, 14, 8647
0, 46, 1140, 0, 14, 8647
0, 47, 1140, 0, 14, 8647
0, 48, 1126, 0, 14, 8647
0, 49, 1145, 0, 14, 8647
0, 50, 1192, 0, 14, 8647
0, 51, 1174, 0, 14, 8647
0, 52, 1281, 0, 14, 8647
0, 53, 1102, 0, 14, 8647
0, 54, 1101, 0, 14, 8647
0, 55, 1104, 0, 14, 8647
0, 56, 1099, 0, 14, 8647
0, 57, 1099, 0, 14, 8647
0, 58, 1098, 0, 14, 8647
0, 59, 1099, 0, 14, 8647
0, 60, 1097, 0, 14, 8647
0, 0, 0, 1106
3, 1, 1082, 0, 14, 8647
0, 2, 1098, 0, 14, 8647
0, 3, 1098, 0, 14, 8647
0, 4, 1099, 0, 14, 8647
0, 5, 1096, 0, 14, 8647
0, 6, 1096, 0, 14, 8647
0, 7, 1215, 0, 14, 8647
0, 8, 1098, 0, 14, 8647
0, 9, 1094, 0, 14, 8647
0, 10, 1095, 0, 14, 8647
0, 11, 1094, 0, 14, 8647
0, 12, 1093, 0, 14, 8647
0, 13, 1093, 0, 14, 8647
0, 14, 1095, 0, 14, 8647
0, 15, 1093, 0, 14, 8647
0, 16, 1094, 0, 14, 8647
0, 17, 1088, 0, 14, 8647
0, 18, 1083, 0, 14, 8647
0, 19, 1118, 0, 14, 8647
0, 20, 1082, 0, 14, 8647
0, 21, 1084, 0, 14, 8647
0, 22, 1342, 0, 14, 8647
0, 23, 1116, 0, 14, 8647
0, 24, 1084, 0, 14, 8647
0, 25, 1084, 0, 14, 8647
0, 26, 1108, 0, 14, 8647
0, 27, 1091, 0, 14, 8647
0, 28, 1092, 0, 14, 8647
0, 29, 1113, 0, 14, 8647
0, 30, 1087, 0, 14, 8647
0, 31, 1087, 0, 14, 8647
0, 32, 1087, 0, 14, 8647
0, 33, 1097, 0, 14, 8647
0, 34, 1134, 0, 14, 8647
0, 35, 1142, 0, 14, 8647
0, 36, 1171, 0, 14, 8647
0, 37, 1234, 0, 14, 8647
0, 38, 1146, 0, 14, 8647
0, 39, 1104, 0, 14, 8647
0, 40, 1118, 0, 14, 8647
0, 41, 1101, 0, 14, 8647
0, 42, 1098, 0, 14, 8647
0, 43, 1099, 0, 14, 8647
0, 44, 1108, 0, 14, 8647
0, 45, 1100, 0, 14, 8647
0, 46, 1099, 0, 14, 8647
0, 47, 1121, 0, 14, 8647
0, 48, 1099, 0, 14, 8647
0, 49, 1098, 0, 14, 8647
0, 50, 1097, 0, 14, 8647
0, 51, 1110, 0, 14, 8647
0, 52, 1151, 0, 14, 8647
0, 53, 1098, 0, 14, 8647
0, 54, 1092, 0, 14, 8647
