Filter, ID, Time_us, Average_time
1, 1, 4870, 0
0, 2, 2582, 0
0, 3, 2378, 0
0, 4, 3802, 0
0, 5, 3524, 0
0, 6, 3358, 0
0, 7, 3852, 0
0, 8, 3325, 0
0, 9, 2603, 0
0, 10, 3520, 0
0, 11, 2973, 0
0, 12, 3912, 0
0, 13, 4902, 0
0, 14, 6214, 0
0, 15, 5944, 0
0, 16, 3894, 0
0, 17, 2713, 0
0, 18, 2392, 0
0, 19, 2442, 0
0, 20, 3070, 0
0, 21, 3962, 0
0, 22, 4845, 0
0, 23, 5447, 0
0, 24, 5417, 0
0, 25, 3867, 0
0, 26, 3246, 0
0, 27, 4099, 0
0, 28, 4133, 0
0, 29, 2932, 0
0, 30, 2483, 0
0, 31, 2434, 0
0, 32, 2200, 0
0, 33, 2544, 0
0, 34, 2335, 0
0, 35, 2662, 0
0, 36, 3136, 0
0, 37, 3270, 0
0, 38, 3429, 0
0, 39, 3978, 0
0, 40, 4147, 0
0, 41, 3811, 0
0, 42, 4467, 0
0, 43, 5096, 0
0, 44, 5961, 0
0, 45, 5905, 0
0, 46, 3696, 0
0, 47, 2687, 0
0, 48, 2176, 0
0, 49, 2266, 0
0, 50, 3250, 0
0, 51, 3325, 0
0, 52, 3726, 0
0, 53, 3668, 0
0, 54, 4025, 0
0, 55, 3002, 0
0, 56, 2225, 0
0, 57, 2123, 0
0, 58, 2304, 0
0, 59, 2864, 0
0, 60, 3332, 0
0, 0, 0, 3545
2, 1, 3417, 0
0, 2, 4276, 0
0, 3, 4220, 0
0, 4, 5428, 0
0, 5, 4634, 0
0, 6, 4510, 0
0, 7, 3495, 0
0, 8, 2378, 0
0, 9, 2170, 0
0, 10, 2330, 0
0, 11, 2199, 0
0, 12, 2170, 0
0, 13, 2202, 0
0, 14, 2203, 0
0, 15, 2197, 0
0, 16, 2192, 0
0, 17, 2452, 0
0, 18, 2206, 0
0, 19, 2143, 0
0, 20, 2108, 0
0, 21, 2131, 0
0, 22, 2135, 0
0, 23, 2234, 0
0, 24, 2179, 0
0, 25, 2303, 0
0, 26, 2724, 0
0, 27, 2623, 0
0, 28, 2266, 0
0, 29, 2206, 0
0, 30, 2211, 0
0, 31, 3301, 0
0, 32, 3185, 0
0, 33, 3948, 0
0, 34, 3742, 0
0, 35, 3496, 0
0, 36, 4407, 0
0, 37, 3875, 0
0, 38, 3409, 0
0, 39, 3512, 0
0, 40, 2755, 0
0, 41, 3450, 0
0, 42, 3454, 0
0, 43, 3486, 0
0, 44, 3295, 0
0, 45, 3328, 0
0, 46, 2524, 0
0, 47, 2424, 0
0, 48, 2427, 0
0, 49, 2966, 0
0, 50, 2685, 0
0, 51, 2706, 0
0, 52, 3170, 0
0, 53, 2560, 0
0, 54, 2436, 0
0, 55, 2824, 0
0, 56, 3628, 0
0, 57, 4389, 0
0, 58, 4532, 0
0, 59, 4957, 0
0, 60, 5945, 0
0, 0, 0, 3079
3, 1, 5593, 0
0, 2, 8196, 0
0, 3, 7834, 0
0, 4, 8009, 0
0, 5, 11905, 0
0, 6, 10433, 0
0, 7, 9929, 0
0, 8, 7171, 0
0, 9, 6519, 0
0, 10, 5880, 0
0, 11, 4190, 0
0, 12, 3607, 0
0, 13, 5292, 0
0, 14, 8658, 0
0, 15, 11807, 0
0, 16, 7185, 0
0, 17, 6828, 0
