Filter, ID, Time_us, Average_time
1, 1, 352, 0
0, 2, 97, 0
0, 3, 81, 0
0, 4, 90, 0
0, 5, 153, 0
0, 6, 93, 0
0, 7, 106, 0
0, 8, 89, 0
0, 9, 106, 0
0, 10, 94, 0
0, 11, 84, 0
0, 12, 154, 0
0, 13, 157, 0
0, 14, 192, 0
0, 15, 198, 0
0, 16, 290, 0
0, 17, 218, 0
0, 18, 226, 0
0, 19, 174, 0
0, 20, 167, 0
0, 21, 193, 0
0, 22, 263, 0
0, 23, 205, 0
0, 24, 195, 0
0, 25, 179, 0
0, 26, 205, 0
0, 27, 199, 0
0, 28, 179, 0
0, 29, 243, 0
0, 30, 167, 0
0, 31, 160, 0
0, 32, 208, 0
0, 33, 176, 0
0, 34, 158, 0
0, 35, 172, 0
0, 36, 294, 0
0, 37, 273, 0
0, 38, 273, 0
0, 39, 267, 0
0, 40, 221, 0
0, 41, 284, 0
0, 42, 160, 0
0, 43, 142, 0
0, 44, 241, 0
0, 45, 227, 0
0, 46, 157, 0
0, 47, 151, 0
0, 48, 158, 0
0, 49, 167, 0
0, 50, 172, 0
0, 51, 172, 0
0, 52, 170, 0
0, 53, 171, 0
0, 54, 160, 0
0, 55, 169, 0
0, 56, 175, 0
0, 57, 160, 0
0, 58, 155, 0
0, 59, 155, 0
0, 60, 218, 0
0, 0, 0, 181
2, 1, 187, 0
0, 2, 129, 0
0, 3, 175, 0
0, 4, 200, 0
0, 5, 256, 0
0, 6, 235, 0
0, 7, 232, 0
0, 8, 234, 0
0, 9, 205, 0
0, 10, 226, 0
0, 11, 211, 0
0, 12, 199, 0
0, 13, 193, 0
0, 14, 193, 0
0, 15, 208, 0
0, 16, 198, 0
0, 17, 191, 0
0, 18, 186, 0
0, 19, 178, 0
0, 20, 184, 0
0, 21, 192, 0
0, 22, 186, 0
0, 23, 180, 0
0, 24, 171, 0
0, 25, 181, 0
0, 26, 200, 0
0, 27, 206, 0
0, 28, 185, 0
0, 29, 182, 0
0, 30, 181, 0
0, 31, 170, 0
0, 32, 189, 0
0, 33, 195, 0
0, 34, 195, 0
0, 35, 180, 0
0, 36, 174, 0
0, 37, 174, 0
0, 38, 165, 0
0, 39, 175, 0
0, 40, 218, 0
0, 41, 185, 0
0, 42, 180, 0
0, 43, 179, 0
0, 44, 168, 0
0, 45, 170, 0
0, 46, 190, 0
0, 47, 173, 0
0, 48, 187, 0
0, 49, 193, 0
0, 50, 180, 0
0, 51, 167, 0
0, 52, 175, 0
0, 53, 171, 0
0, 54, 202, 0
0, 55, 156, 0
0, 56, 301, 0
0, 57, 185, 0
0, 58, 255, 0
0, 59, 175, 0
0, 60, 174, 0
0, 0, 0, 191
3, 1, 173, 0
0, 2, 118, 0
0, 3, 205, 0
0, 4, 223, 0
0, 5, 253, 0
0, 6, 228, 0
0, 7, 217, 0
0, 8, 229, 0
0, 9, 233, 0
0, 10, 205, 0
0, 11, 206, 0
0, 12, 201, 0
0, 13, 208, 0
0, 14, 195, 0
0, 15, 203, 0
0, 16, 199, 0
0, 17, 192, 0
0, 18, 185, 0
0, 19, 189, 0
0, 20, 191, 0
0, 21, 184, 0
0, 22, 205, 0
0, 23, 199, 0
0, 24, 197, 0
0, 25, 204, 0
0, 26, 192, 0
0, 27, 193, 0
0, 28, 211, 0
0, 29, 208, 0
0, 30, 217, 0
0, 31, 206, 0
0, 32, 201, 0
0, 33, 204, 0
0, 34, 186, 0
0, 35, 179, 0
0, 36, 180, 0
0, 37, 185, 0
0, 38, 174, 0
0, 39, 173, 0
0, 40, 173, 0
0, 41, 181, 0
0, 42, 169, 0
0, 43, 189, 0
0, 44, 182, 0
0, 45, 179, 0
0, 46, 183, 0
0, 47, 181, 0
0, 48, 193, 0
0, 49, 198, 0
0, 50, 179, 0
0, 51, 186, 0
0, 52, 312, 0
0, 53, 182, 0
0, 54, 189, 0
0, 55, 176, 0
0, 56, 176, 0
0, 57, 196, 0
0, 58, 177, 0
0, 59, 182, 0
0, 60, 177, 0
0, 0, 0, 195
4, 1, 170, 0
0, 2, 146, 0
0, 3, 149, 0
0, 4, 140, 0
0, 5, 190, 0
0, 6, 210, 0
0, 7, 227, 0
0, 8, 224, 0
0, 9, 213, 0
0, 10, 225, 0
0, 11, 205, 0
0, 12, 201, 0
0, 13, 187, 0
0, 14, 182, 0
0, 15, 186, 0
0, 16, 272, 0
0, 17, 207, 0
0, 18, 196, 0
0, 19, 189, 0
0, 20, 187, 0
0, 21, 184, 0
0, 22, 178, 0
0, 23, 174, 0
0, 24, 167, 0
0, 25, 172, 0
0, 26, 173, 0
0, 27, 169, 0
0, 28, 173, 0
0, 29, 167, 0
0, 30, 173, 0
0, 31, 168, 0
0, 32, 163, 0
0, 33, 164, 0
0, 34, 165, 0
0, 35, 173, 0
0, 36, 164, 0
0, 37, 190, 0
0, 38, 182, 0
0, 39, 177, 0
0, 40, 173, 0
0, 41, 164, 0
0, 42, 158, 0
0, 43, 171, 0
0, 44, 175, 0
0, 45, 171, 0
0, 46, 170, 0
0, 47, 165, 0
0, 48, 171, 0
0, 49, 152, 0
0, 50, 142, 0
0, 51, 163, 0
0, 52, 176, 0
0, 53, 155, 0
0, 54, 155, 0
0, 55, 171, 0
0, 56, 150, 0
0, 57, 310, 0
0, 58, 164, 0
0, 59, 166, 0
0, 60, 154, 0
0, 0, 0, 179
5, 1, 195, 0
0, 2, 181, 0
0, 3, 192, 0
0, 4, 168, 0
0, 5, 163, 0
0, 6, 174, 0
0, 7, 178, 0
0, 8, 171, 0
0, 9, 180, 0
0, 10, 175, 0
0, 11, 165, 0
0, 12, 175, 0
0, 13, 187, 0
0, 14, 170, 0
0, 15, 172, 0
0, 16, 191, 0
0, 17, 178, 0
0, 18, 163, 0
0, 19, 157, 0
0, 20, 156, 0
0, 21, 164, 0
0, 22, 171, 0
0, 23, 171, 0
0, 24, 157, 0
0, 25, 168, 0
0, 26, 169, 0
0, 27, 160, 0
0, 28, 160, 0
0, 29, 165, 0
0, 30, 163, 0
0, 31, 159, 0
0, 32, 177, 0
0, 33, 171, 0
0, 34, 156, 0
0, 35, 157, 0
0, 36, 159, 0
0, 37, 170, 0
0, 38, 171, 0
0, 39, 177, 0
0, 40, 176, 0
0, 41, 182, 0
0, 42, 171, 0
0, 43, 156, 0
0, 44, 159, 0
0, 45, 155, 0
0, 46, 163, 0
0, 47, 151, 0
0, 48, 162, 0
0, 49, 220, 0
0, 50, 160, 0
0, 51, 163, 0
0, 52, 150, 0
0, 53, 181, 0
0, 54, 175, 0
0, 55, 176, 0
0, 56, 172, 0
0, 57, 168, 0
0, 58, 184, 0
0, 59, 181, 0
0, 60, 188, 0
0, 0, 0, 170
6, 1, 212, 0
0, 2, 207, 0
0, 3, 228, 0
0, 4, 202, 0
0, 5, 212, 0
0, 6, 186, 0
0, 7, 185, 0
0, 8, 185, 0
0, 9, 182, 0
0, 10, 203, 0
0, 11, 199, 0
0, 12, 202, 0
0, 13, 195, 0
0, 14, 205, 0
0, 15, 199, 0
0, 16, 181, 0
0, 17, 185, 0
0, 18, 178, 0
0, 19, 179, 0
0, 20, 182, 0
0, 21, 195, 0
0, 22, 181, 0
0, 23, 180, 0
0, 24, 189, 0
0, 25, 189, 0
0, 26, 173, 0
0, 27, 184, 0
0, 28, 187, 0
0, 29, 176, 0
0, 30, 193, 0
0, 31, 190, 0
0, 32, 205, 0
0, 33, 211, 0
0, 34, 197, 0
0, 35, 185, 0
0, 36, 178, 0
0, 37, 179, 0
0, 38, 182, 0
0, 39, 175, 0
0, 40, 180, 0
0, 41, 175, 0
0, 42, 180, 0
0, 43, 174, 0
0, 44, 171, 0
0, 45, 162, 0
0, 46, 182, 0
0, 47, 175, 0
0, 48, 172, 0
0, 49, 176, 0
0, 50, 173, 0
0, 51, 177, 0
0, 52, 195, 0
0, 53, 163, 0
0, 54, 177, 0
0, 55, 197, 0
0, 56, 182, 0
0, 57, 174, 0
0, 58, 184, 0
0, 59, 256, 0
0, 60, 200, 0
0, 0, 0, 188
7, 1, 216, 0
0, 2, 198, 0
0, 3, 232, 0
0, 4, 202, 0
0, 5, 189, 0
0, 6, 263, 0
0, 7, 204, 0
0, 8, 205, 0
0, 9, 197, 0
0, 10, 227, 0
0, 11, 213, 0
0, 12, 220, 0
0, 13, 220, 0
0, 14, 215, 0
0, 15, 215, 0
0, 16, 207, 0
0, 17, 210, 0
0, 18, 199, 0
0, 19, 196, 0
0, 20, 196, 0
0, 21, 202, 0
0, 22, 204, 0
0, 23, 244, 0
0, 24, 210, 0
0, 25, 225, 0
0, 26, 217, 0
0, 27, 213, 0
0, 28, 211, 0
0, 29, 200, 0
0, 30, 202, 0
0, 31, 218, 0
0, 32, 199, 0
0, 33, 181, 0
0, 34, 203, 0
0, 35, 206, 0
0, 36, 202, 0
0, 37, 201, 0
0, 38, 188, 0
0, 39, 196, 0
0, 40, 197, 0
0, 41, 209, 0
0, 42, 196, 0
0, 43, 195, 0
0, 44, 189, 0
0, 45, 190, 0
0, 46, 201, 0
0, 47, 208, 0
0, 48, 214, 0
0, 49, 264, 0
0, 50, 223, 0
0, 51, 206, 0
0, 52, 207, 0
0, 53, 196, 0
0, 54, 200, 0
0, 55, 207, 0
0, 56, 206, 0
0, 57, 196, 0
0, 58, 232, 0
0, 59, 192, 0
0, 60, 197, 0
0, 0, 0, 207
8, 1, 253, 0
0, 2, 242, 0
0, 3, 232, 0
0, 4, 218, 0
0, 5, 213, 0
0, 6, 229, 0
0, 7, 218, 0
0, 8, 210, 0
0, 9, 220, 0
0, 10, 219, 0
0, 11, 226, 0
0, 12, 211, 0
0, 13, 291, 0
0, 14, 225, 0
0, 15, 223, 0
0, 16, 220, 0
0, 17, 216, 0
0, 18, 219, 0
0, 19, 216, 0
0, 20, 222, 0
0, 21, 226, 0
0, 22, 221, 0
0, 23, 234, 0
0, 24, 233, 0
0, 25, 238, 0
0, 26, 231, 0
0, 27, 226, 0
0, 28, 220, 0
0, 29, 217, 0
0, 30, 211, 0
0, 31, 219, 0
0, 32, 213, 0
0, 33, 234, 0
0, 34, 233, 0
0, 35, 233, 0
0, 36, 225, 0
0, 37, 224, 0
0, 38, 234, 0
0, 39, 228, 0
0, 40, 229, 0
0, 41, 215, 0
0, 42, 211, 0
0, 43, 204, 0
0, 44, 219, 0
0, 45, 330, 0
0, 46, 841, 0
0, 47, 253, 0
0, 48, 230, 0
0, 49, 222, 0
0, 50, 226, 0
0, 51, 223, 0
0, 52, 220, 0
0, 53, 219, 0
0, 54, 212, 0
0, 55, 217, 0
0, 56, 215, 0
0, 57, 218, 0
0, 58, 203, 0
0, 59, 234, 0
0, 60, 209, 0
0, 0, 0, 236
9, 1, 274, 0
0, 2, 255, 0
0, 3, 271, 0
0, 4, 239, 0
0, 5, 265, 0
0, 6, 241, 0
0, 7, 244, 0
0, 8, 227, 0
0, 9, 242, 0
0, 10, 233, 0
0, 11, 255, 0
0, 12, 255, 0
0, 13, 246, 0
0, 14, 242, 0
0, 15, 240, 0
0, 16, 220, 0
0, 17, 231, 0
0, 18, 297, 0
0, 19, 254, 0
0, 20, 257, 0
0, 21, 234, 0
0, 22, 259, 0
0, 23, 249, 0
0, 24, 244, 0
0, 25, 242, 0
0, 26, 257, 0
0, 27, 243, 0
0, 28, 242, 0
0, 29, 225, 0
0, 30, 244, 0
0, 31, 236, 0
0, 32, 241, 0
0, 33, 227, 0
0, 34, 224, 0
0, 35, 232, 0
0, 36, 262, 0
0, 37, 269, 0
0, 38, 241, 0
0, 39, 242, 0
0, 40, 240, 0
0, 41, 318, 0
0, 42, 251, 0
0, 43, 253, 0
0, 44, 251, 0
0, 45, 252, 0
0, 46, 239, 0
0, 47, 241, 0
0, 48, 242, 0
0, 49, 236, 0
0, 50, 249, 0
0, 51, 274, 0
0, 52, 257, 0
0, 53, 246, 0
0, 54, 224, 0
0, 55, 241, 0
0, 56, 257, 0
0, 57, 234, 0
0, 58, 234, 0
0, 59, 256, 0
0, 60, 248, 0
0, 0, 0, 247
10, 1, 280, 0
0, 2, 254, 0
0, 3, 269, 0
0, 4, 258, 0
0, 5, 284, 0
0, 6, 272, 0
0, 7, 262, 0
0, 8, 266, 0
0, 9, 253, 0
0, 10, 245, 0
0, 11, 249, 0
0, 12, 246, 0
0, 13, 257, 0
0, 14, 269, 0
0, 15, 264, 0
0, 16, 274, 0
0, 17, 256, 0
0, 18, 283, 0
0, 19, 270, 0
0, 20, 277, 0
0, 21, 261, 0
0, 22, 273, 0
0, 23, 276, 0
0, 24, 278, 0
0, 25, 279, 0
0, 26, 263, 0
0, 27, 258, 0
0, 28, 261, 0
0, 29, 266, 0
0, 30, 265, 0
0, 31, 253, 0
0, 32, 266, 0
0, 33, 252, 0
0, 34, 309, 0
0, 35, 259, 0
0, 36, 244, 0
0, 37, 239, 0
0, 38, 260, 0
0, 39, 260, 0
0, 40, 263, 0
0, 41, 271, 0
0, 42, 280, 0
0, 43, 280, 0
0, 44, 262, 0
0, 45, 254, 0
0, 46, 255, 0
0, 47, 265, 0
0, 48, 265, 0
0, 49, 274, 0
0, 50, 264, 0
0, 51, 261, 0
0, 52, 264, 0
0, 53, 267, 0
0, 54, 268, 0
0, 55, 258, 0
0, 56, 270, 0
0, 57, 273, 0
0, 58, 264, 0
0, 59, 262, 0
0, 60, 274, 0
0, 0, 0, 265
11, 1, 327, 0
0, 2, 270, 0
0, 3, 262, 0
0, 4, 266, 0
0, 5, 267, 0
0, 6, 282, 0
0, 7, 308, 0
0, 8, 307, 0
0, 9, 288, 0
0, 10, 273, 0
0, 11, 278, 0
0, 12, 268, 0
0, 13, 297, 0
0, 14, 331, 0
0, 15, 276, 0
0, 16, 276, 0
0, 17, 303, 0
0, 18, 276, 0
0, 19, 260, 0
0, 20, 256, 0
0, 21, 289, 0
0, 22, 268, 0
0, 23, 266, 0
0, 24, 287, 0
0, 25, 287, 0
0, 26, 285, 0
0, 27, 274, 0
0, 28, 265, 0
0, 29, 266, 0
0, 30, 269, 0
0, 31, 263, 0
0, 32, 272, 0
0, 33, 263, 0
0, 34, 292, 0
0, 35, 291, 0
0, 36, 390, 0
0, 37, 304, 0
0, 38, 306, 0
0, 39, 318, 0
0, 40, 298, 0
0, 41, 273, 0
0, 42, 259, 0
0, 43, 266, 0
0, 44, 262, 0
0, 45, 271, 0
0, 46, 279, 0
0, 47, 266, 0
0, 48, 267, 0
0, 49, 248, 0
0, 50, 281, 0
0, 51, 284, 0
0, 52, 288, 0
0, 53, 279, 0
0, 54, 290, 0
0, 55, 285, 0
0, 56, 273, 0
0, 57, 272, 0
0, 58, 279, 0
0, 59, 282, 0
0, 60, 279, 0
0, 0, 0, 281
12, 1, 339, 0
0, 2, 301, 0
0, 3, 296, 0
0, 4, 286, 0
0, 5, 295, 0
0, 6, 304, 0
0, 7, 298, 0
0, 8, 303, 0
0, 9, 303, 0
0, 10, 290, 0
0, 11, 304, 0
0, 12, 321, 0
0, 13, 315, 0
0, 14, 310, 0
0, 15, 310, 0
0, 16, 318, 0
0, 17, 306, 0
0, 18, 307, 0
0, 19, 297, 0
0, 20, 290, 0
0, 21, 302, 0
0, 22, 292, 0
0, 23, 296, 0
0, 24, 303, 0
0, 25, 294, 0
0, 26, 295, 0
0, 27, 318, 0
0, 28, 303, 0
0, 29, 307, 0
0, 30, 323, 0
0, 31, 324, 0
0, 32, 295, 0
0, 33, 292, 0
0, 34, 309, 0
0, 35, 332, 0
0, 36, 306, 0
0, 37, 311, 0
0, 38, 285, 0
0, 39, 287, 0
0, 40, 281, 0
0, 41, 277, 0
0, 42, 321, 0
0, 43, 302, 0
0, 44, 297, 0
0, 45, 293, 0
0, 46, 320, 0
0, 47, 297, 0
0, 48, 295, 0
0, 49, 316, 0
0, 50, 298, 0
0, 51, 301, 0
0, 52, 293, 0
0, 53, 323, 0
0, 54, 324, 0
0, 55, 312, 0
0, 56, 308, 0
0, 57, 298, 0
0, 58, 302, 0
0, 59, 302, 0
0, 60, 312, 0
0, 0, 0, 303
13, 1, 364, 0
0, 2, 323, 0
0, 3, 316, 0
0, 4, 387, 0
0, 5, 323, 0
0, 6, 370, 0
0, 7, 315, 0
0, 8, 299, 0
0, 9, 305, 0
0, 10, 322, 0
0, 11, 307, 0
0, 12, 315, 0
0, 13, 300, 0
0, 14, 308, 0
0, 15, 298, 0
0, 16, 304, 0
0, 17, 302, 0
0, 18, 306, 0
0, 19, 366, 0
0, 20, 301, 0
0, 21, 346, 0
0, 22, 316, 0
0, 23, 327, 0
0, 24, 306, 0
0, 25, 306, 0
0, 26, 333, 0
0, 27, 335, 0
0, 28, 315, 0
0, 29, 315, 0
0, 30, 341, 0
0, 31, 322, 0
0, 32, 367, 0
0, 33, 314, 0
0, 34, 319, 0
0, 35, 318, 0
0, 36, 313, 0
0, 37, 314, 0
0, 38, 317, 0
0, 39, 302, 0
0, 40, 302, 0
0, 41, 303, 0
0, 42, 303, 0
0, 43, 318, 0
0, 44, 318, 0
0, 45, 315, 0
0, 46, 312, 0
0, 47, 310, 0
0, 48, 319, 0
0, 49, 319, 0
0, 50, 310, 0
0, 51, 311, 0
0, 52, 319, 0
0, 53, 321, 0
0, 54, 323, 0
0, 55, 321, 0
0, 56, 315, 0
0, 57, 314, 0
0, 58, 323, 0
0, 59, 313, 0
0, 60, 308, 0
0, 0, 0, 319
14, 1, 341, 0
0, 2, 333, 0
0, 3, 350, 0
0, 4, 348, 0
0, 5, 331, 0
0, 6, 360, 0
0, 7, 337, 0
0, 8, 347, 0
0, 9, 346, 0
0, 10, 332, 0
0, 11, 322, 0
0, 12, 314, 0
0, 13, 318, 0
0, 14, 319, 0
0, 15, 320, 0
0, 16, 323, 0
0, 17, 324, 0
0, 18, 357, 0
0, 19, 340, 0
0, 20, 354, 0
0, 21, 345, 0
0, 22, 351, 0
0, 23, 339, 0
0, 24, 319, 0
0, 25, 324, 0
0, 26, 313, 0
0, 27, 326, 0
0, 28, 336, 0
0, 29, 339, 0
0, 30, 331, 0
0, 31, 345, 0
0, 32, 337, 0
0, 33, 345, 0
0, 34, 340, 0
0, 35, 325, 0
0, 36, 334, 0
