Filter, ID, Time_ms, Average_time
500, 1, 59, 0
0, 2, 43, 0
0, 3, 38, 0
0, 4, 40, 0
0, 5, 40, 0
0, 6, 43, 0
0, 7, 42, 0
0, 8, 39, 0
0, 9, 39, 0
0, 10, 37, 0
0, 11, 36, 0
0, 12, 37, 0
0, 13, 45, 0
0, 14, 37, 0
0, 15, 36, 0
0, 16, 48, 0
0, 17, 40, 0
0, 18, 45, 0
0, 19, 37, 0
0, 20, 37, 0
0, 21, 36, 0
0, 22, 38, 0
0, 23, 46, 0
0, 24, 37, 0
0, 25, 37, 0
0, 26, 37, 0
0, 27, 37, 0
0, 28, 37, 0
0, 29, 39, 0
0, 30, 37, 0
0, 0, 0, 39
1000, 1, 118, 0
0, 2, 115, 0
0, 3, 129, 0
0, 4, 116, 0
0, 5, 117, 0
0, 6, 115, 0
0, 7, 119, 0
0, 8, 120, 0
0, 9, 117, 0
0, 10, 116, 0
0, 11, 117, 0
0, 12, 116, 0
0, 13, 116, 0
0, 14, 117, 0
0, 15, 117, 0
0, 16, 115, 0
0, 17, 121, 0
0, 18, 115, 0
0, 19, 117, 0
0, 20, 116, 0
0, 21, 116, 0
0, 22, 117, 0
0, 23, 122, 0
0, 24, 117, 0
0, 25, 119, 0
0, 26, 115, 0
0, 27, 117, 0
0, 28, 116, 0
0, 29, 117, 0
0, 30, 121, 0
0, 0, 0, 117
1500, 1, 182, 0
0, 2, 185, 0
0, 3, 182, 0
0, 4, 179, 0
0, 5, 181, 0
0, 6, 178, 0
0, 7, 183, 0
0, 8, 192, 0
0, 9, 187, 0
0, 10, 179, 0
0, 11, 181, 0
0, 12, 179, 0
0, 13, 180, 0
0, 14, 179, 0
0, 15, 182, 0
0, 16, 181, 0
0, 17, 183, 0
0, 18, 181, 0
0, 19, 193, 0
0, 20, 178, 0
0, 21, 184, 0
0, 22, 179, 0
0, 23, 182, 0
0, 24, 178, 0
0, 25, 180, 0
0, 26, 179, 0
0, 27, 181, 0
0, 28, 179, 0
0, 29, 181, 0
0, 30, 178, 0
0, 0, 0, 181
2000, 1, 239, 0
0, 2, 247, 0
0, 3, 239, 0
0, 4, 239, 0
0, 5, 239, 0
0, 6, 237, 0
0, 7, 241, 0
0, 8, 238, 0
0, 9, 240, 0
0, 10, 238, 0
0, 11, 239, 0
