Filter, ID, Time_ms, Average_time
500, 1, 45, 0
0, 2, 21, 0
0, 3, 19, 0
0, 4, 20, 0
0, 5, 21, 0
0, 6, 19, 0
0, 7, 18, 0
0, 8, 21, 0
0, 9, 19, 0
0, 10, 19, 0
0, 11, 17, 0
0, 12, 19, 0
0, 13, 18, 0
0, 14, 19, 0
0, 15, 17, 0
0, 16, 19, 0
0, 17, 21, 0
0, 18, 24, 0
0, 19, 21, 0
0, 20, 24, 0
0, 21, 24, 0
0, 22, 19, 0
0, 23, 21, 0
0, 24, 18, 0
0, 25, 25, 0
0, 26, 18, 0
0, 27, 20, 0
0, 28, 23, 0
0, 29, 19, 0
0, 30, 19, 0
0, 0, 0, 20
1000, 1, 33, 0
0, 2, 32, 0
0, 3, 31, 0
0, 4, 32, 0
0, 5, 31, 0
0, 6, 32, 0
0, 7, 31, 0
0, 8, 31, 0
0, 9, 33, 0
0, 10, 33, 0
0, 11, 34, 0
0, 12, 31, 0
0, 13, 33, 0
0, 14, 33, 0
0, 15, 36, 0
0, 16, 33, 0
0, 17, 33, 0
0, 18, 35, 0
0, 19, 31, 0
0, 20, 31, 0
0, 21, 31, 0
0, 22, 35, 0
0, 23, 32, 0
0, 24, 31, 0
0, 25, 31, 0
0, 26, 32, 0
0, 27, 31, 0
0, 28, 31, 0
0, 29, 31, 0
0, 30, 32, 0
0, 0, 0, 32
1500, 1, 44, 0
0, 2, 45, 0
0, 3, 45, 0
0, 4, 45, 0
0, 5, 44, 0
0, 6, 44, 0
0, 7, 44, 0
0, 8, 43, 0
0, 9, 45, 0
0, 10, 46, 0
0, 11, 45, 0
0, 12, 50, 0
0, 13, 44, 0
0, 14, 44, 0
0, 15, 43, 0
0, 16, 44, 0
0, 17, 46, 0
0, 18, 56, 0
0, 19, 44, 0
0, 20, 45, 0
0, 21, 54, 0
0, 22, 52, 0
0, 23, 44, 0
0, 24, 43, 0
0, 25, 45, 0
0, 26, 46, 0
0, 27, 57, 0
0, 28, 47, 0
0, 29, 43, 0
0, 30, 43, 0
0, 0, 0, 46
2000, 1, 65, 0
0, 2, 58, 0
0, 3, 59, 0
0, 4, 57, 0
0, 5, 57, 0
0, 6, 59, 0
0, 7, 67, 0
0, 8, 57, 0
0, 9, 56, 0
0, 10, 62, 0
0, 11, 61, 0
0, 12, 61, 0
0, 13, 57, 0
0, 14, 56, 0
0, 15, 58, 0
0, 16, 69, 0
0, 17, 61, 0
0, 18, 57, 0
0, 19, 58, 0
0, 20, 58, 0
0, 21, 57, 0
0, 22, 56, 0
0, 23, 57, 0
0, 24, 59, 0
0, 25, 57, 0
0, 26, 69, 0
0, 27, 58, 0
0, 28, 58, 0
0, 29, 58, 0
0, 30, 57, 0
0, 0, 0, 59
2500, 1, 72, 0
0, 2, 71, 0
0, 3, 72, 0
0, 4, 70, 0
0, 5, 71, 0
0, 6, 72, 0
0, 7, 72, 0
0, 8, 74, 0
0, 9, 72, 0
0, 10, 73, 0
0, 11, 71, 0
0, 12, 70, 0
