Filter, ID, Time_ms, Average_time
500, 1, 99, 0
0, 2, 75, 0
0, 3, 69, 0
0, 4, 70, 0
0, 5, 68, 0
0, 6, 66, 0
0, 7, 70, 0
0, 8, 77, 0
0, 9, 67, 0
0, 10, 78, 0
0, 11, 67, 0
0, 12, 69, 0
0, 13, 66, 0
0, 14, 69, 0
0, 15, 67, 0
0, 16, 80, 0
0, 17, 83, 0
0, 18, 70, 0
0, 19, 67, 0
0, 20, 66, 0
0, 21, 66, 0
0, 22, 66, 0
0, 23, 66, 0
0, 24, 66, 0
0, 25, 67, 0
0, 26, 66, 0
0, 27, 66, 0
0, 28, 66, 0
0, 29, 66, 0
0, 30, 66, 0
0, 0, 0, 70
1000, 1, 126, 0
0, 2, 126, 0
0, 3, 130, 0
0, 4, 130, 0
0, 5, 128, 0
0, 6, 133, 0
0, 7, 129, 0
0, 8, 130, 0
0, 9, 133, 0
0, 10, 128, 0
0, 11, 129, 0
0, 12, 131, 0
0, 13, 125, 0
0, 14, 128, 0
0, 15, 139, 0
0, 16, 126, 0
0, 17, 130, 0
0, 18, 127, 0
0, 19, 126, 0
0, 20, 129, 0
0, 21, 131, 0
0, 22, 131, 0
0, 23, 131, 0
0, 24, 133, 0
0, 25, 140, 0
0, 26, 144, 0
0, 27, 140, 0
0, 28, 139, 0
0, 29, 131, 0
0, 30, 132, 0
0, 0, 0, 131
1500, 1, 190, 0
0, 2, 187, 0
0, 3, 188, 0
0, 4, 186, 0
0, 5, 187, 0
0, 6, 187, 0
0, 7, 188, 0
0, 8, 188, 0
0, 9, 187, 0
0, 10, 187, 0
0, 11, 188, 0
0, 12, 188, 0
0, 13, 194, 0
0, 14, 195, 0
0, 15, 188, 0
0, 16, 188, 0
0, 17, 188, 0
0, 18, 189, 0
0, 19, 188, 0
0, 20, 188, 0
0, 21, 189, 0
0, 22, 190, 0
0, 23, 195, 0
0, 24, 202, 0
0, 25, 188, 0
0, 26, 188, 0
0, 27, 189, 0
0, 28, 188, 0
0, 29, 188, 0
0, 30, 188, 0
0, 0, 0, 189
2000, 1, 250, 0
0, 2, 250, 0
0, 3, 250, 0
0, 4, 250, 0
0, 5, 249, 0
0, 6, 251, 0
0, 7, 250, 0
0, 8, 249, 0
0, 9, 250, 0
0, 10, 249, 0
0, 11, 249, 0
0, 12, 250, 0
0, 13, 250, 0
0, 14, 250, 0
0, 15, 249, 0
0, 16, 249, 0
0, 17, 250, 0
0, 18, 250, 0
0, 19, 250, 0
0, 20, 250, 0
0, 21, 250, 0
0, 22, 258, 0
0, 23, 251, 0
0, 24, 251, 0
0, 25, 250, 0
0, 26, 251, 0
0, 27, 252, 0
0, 28, 264, 0
0, 29, 249, 0
0, 30, 249, 0
0, 0, 0, 250
2500, 1, 311, 0
0, 2, 312, 0
0, 3, 311, 0
0, 4, 311, 0
0, 5, 311, 0
0, 6, 311, 0
0, 7, 310, 0
0, 8, 313, 0
0, 9, 315, 0
0, 10, 310, 0
0, 11, 314, 0
0, 12, 322, 0
0, 13, 312, 0
0, 14, 311, 0
0, 15, 311, 0
0, 16, 310, 0
0, 17, 313, 0
0, 18, 311, 0
0, 19, 316, 0
0, 20, 320, 0
0, 21, 325, 0
0, 22, 315, 0
0, 23, 315, 0
0, 24, 314, 0
0, 25, 314, 0
0, 26, 311, 0
0, 27, 317, 0
0, 28, 314, 0
0, 29, 314, 0
0, 30, 315, 0
0, 0, 0, 313
3000, 1, 381, 0
0, 2, 374, 0
0, 3, 372, 0
0, 4, 373, 0
0, 5, 390, 0
0, 6, 372, 0
0, 7, 372, 0
0, 8, 372, 0
0, 9, 371, 0
0, 10, 371, 0
0, 11, 371, 0
0, 12, 372, 0
0, 13, 371, 0
0, 14, 371, 0
0, 15, 379, 0
0, 16, 373, 0
0, 17, 379, 0
0, 18, 379, 0
0, 19, 371, 0
0, 20, 371, 0
0, 21, 372, 0
0, 22, 372, 0
0, 23, 372, 0
0, 24, 372, 0
0, 25, 377, 0
0, 26, 372, 0
0, 27, 371, 0
0, 28, 372, 0
0, 29, 378, 0
0, 30, 374, 0
0, 0, 0, 373
3500, 1, 441, 0
0, 2, 434, 0
0, 3, 438, 0
0, 4, 431, 0
0, 5, 433, 0
0, 6, 432, 0
0, 7, 432, 0
0, 8, 432, 0
0, 9, 435, 0
0, 10, 438, 0
0, 11, 438, 0
0, 12, 443, 0
0, 13, 432, 0
0, 14, 432, 0
0, 15, 432, 0
0, 16, 433, 0
0, 17, 432, 0
0, 18, 434, 0
0, 19, 433, 0
0, 20, 436, 0
0, 21, 432, 0
0, 22, 433, 0
0, 23, 435, 0
0, 24, 437, 0
0, 25, 435, 0
0, 26, 446, 0
0, 27, 434, 0
0, 28, 435, 0
0, 29, 438, 0
0, 30, 433, 0
0, 0, 0, 434
4000, 1, 503, 0
0, 2, 494, 0
0, 3, 496, 0
0, 4, 493, 0
0, 5, 493, 0
0, 6, 494, 0
0, 7, 505, 0
0, 8, 497, 0
0, 9, 511, 0
0, 10, 493, 0
0, 11, 500, 0
0, 12, 495, 0
0, 13, 509, 0
0, 14, 497, 0
0, 15, 511, 0
0, 16, 492, 0
0, 17, 493, 0
0, 18, 495, 0
0, 19, 497, 0
0, 20, 495, 0
0, 21, 494, 0
0, 22, 493, 0
0, 23, 494, 0
0, 24, 495, 0
0, 25, 499, 0
0, 26, 496, 0
0, 27, 500, 0
0, 28, 495, 0
0, 29, 505, 0
0, 30, 497, 0
0, 0, 0, 497
4500, 1, 554, 0
0, 2, 555, 0
0, 3, 557, 0
0, 4, 557, 0
0, 5, 556, 0
0, 6, 554, 0
0, 7, 565, 0
0, 8, 556, 0
0, 9, 556, 0
0, 10, 566, 0
0, 11, 553, 0
0, 12, 555, 0
0, 13, 555, 0
0, 14, 555, 0
0, 15, 558, 0
0, 16, 555, 0
0, 17, 554, 0
0, 18, 557, 0
0, 19, 572, 0
0, 20, 553, 0
0, 21, 555, 0
0, 22, 556, 0
0, 23, 576, 0
0, 24, 554, 0
0, 25, 554, 0
0, 26, 554, 0
0, 27, 562, 0
0, 28, 555, 0
0, 29, 561, 0
0, 30, 558, 0
0, 0, 0, 557
5000, 1, 659, 0
0, 2, 618, 0
0, 3, 625, 0
0, 4, 615, 0
0, 5, 617, 0
0, 6, 615, 0
0, 7, 615, 0
0, 8, 616, 0
0, 9, 617, 0
0, 10, 615, 0
0, 11, 614, 0
0, 12, 615, 0
0, 13, 622, 0
0, 14, 615, 0
0, 15, 616, 0
0, 16, 615, 0
0, 17, 620, 0
0, 18, 624, 0
0, 19, 615, 0
0, 20, 617, 0
0, 21, 617, 0
0, 22, 615, 0
0, 23, 616, 0
0, 24, 617, 0
0, 25, 627, 0
0, 26, 615, 0
0, 27, 615, 0
0, 28, 618, 0
0, 29, 616, 0
0, 30, 618, 0
0, 0, 0, 618
5500, 1, 679, 0
0, 2, 679, 0
0, 3, 678, 0
0, 4, 679, 0
0, 5, 677, 0
0, 6, 675, 0
0, 7, 676, 0
0, 8, 676, 0
0, 9, 676, 0
0, 10, 679, 0
0, 11, 679, 0
0, 12, 675, 0
0, 13, 679, 0
0, 14, 680, 0
0, 15, 679, 0
0, 16, 676, 0
0, 17, 677, 0
0, 18, 675, 0
0, 19, 697, 0
0, 20, 678, 0
0, 21, 681, 0
0, 22, 676, 0
0, 23, 686, 0
0, 24, 676, 0
0, 25, 676, 0
0, 26, 677, 0
0, 27, 681, 0
0, 28, 677, 0
0, 29, 693, 0
0, 30, 677, 0
0, 0, 0, 678
6000, 1, 741, 0
0, 2, 737, 0
0, 3, 738, 0
0, 4, 740, 0
0, 5, 739, 0
0, 6, 741, 0
0, 7, 743, 0
0, 8, 738, 0
0, 9, 738, 0
0, 10, 741, 0
0, 11, 738, 0
0, 12, 738, 0
0, 13, 741, 0
0, 14, 741, 0
0, 15, 742, 0
0, 16, 739, 0
0, 17, 739, 0
0, 18, 739, 0
0, 19, 740, 0
0, 20, 737, 0
0, 21, 740, 0
0, 22, 750, 0
0, 23, 738, 0
0, 24, 739, 0
0, 25, 746, 0
0, 26, 741, 0
0, 27, 738, 0
0, 28, 747, 0
0, 29, 740, 0
0, 30, 737, 0
0, 0, 0, 740
6500, 1, 802, 0
0, 2, 800, 0
0, 3, 799, 0
0, 4, 801, 0
0, 5, 801, 0
0, 6, 800, 0
0, 7, 797, 0
0, 8, 800, 0
0, 9, 804, 0
0, 10, 798, 0
0, 11, 808, 0
0, 12, 800, 0
0, 13, 801, 0
0, 14, 801, 0
0, 15, 799, 0
0, 16, 798, 0
0, 17, 799, 0
0, 18, 797, 0
0, 19, 799, 0
0, 20, 805, 0
0, 21, 799, 0
0, 22, 800, 0
0, 23, 801, 0
0, 24, 798, 0
0, 25, 806, 0
0, 26, 799, 0
0, 27, 799, 0
0, 28, 802, 0
0, 29, 799, 0
0, 30, 801, 0
0, 0, 0, 800
7000, 1, 861, 0
0, 2, 861, 0
0, 3, 861, 0
0, 4, 860, 0
0, 5, 877, 0
0, 6, 861, 0
0, 7, 861, 0
0, 8, 858, 0
0, 9, 859, 0
0, 10, 865, 0
0, 11, 859, 0
0, 12, 863, 0
0, 13, 862, 0
0, 14, 874, 0
0, 15, 861, 0
0, 16, 860, 0
0, 17, 861, 0
0, 18, 860, 0
0, 19, 862, 0
0, 20, 864, 0
0, 21, 857, 0
0, 22, 860, 0
0, 23, 860, 0
0, 24, 861, 0
0, 25, 861, 0
0, 26, 860, 0
0, 27, 859, 0
0, 28, 863, 0
0, 29, 860, 0
0, 30, 860, 0
0, 0, 0, 861
7500, 1, 923, 0
0, 2, 921, 0
0, 3, 928, 0
0, 4, 922, 0
0, 5, 923, 0
0, 6, 922, 0
0, 7, 922, 0
0, 8, 919, 0
0, 9, 926, 0
0, 10, 923, 0
0, 11, 925, 0
0, 12, 926, 0
0, 13, 924, 0
0, 14, 930, 0
0, 15, 924, 0
0, 16, 924, 0
0, 17, 921, 0
0, 18, 924, 0
0, 19, 929, 0
0, 20, 925, 0
0, 21, 921, 0
0, 22, 922, 0
0, 23, 929, 0
0, 24, 931, 0
0, 25, 922, 0
0, 26, 921, 0
0, 27, 926, 0
0, 28, 920, 0
0, 29, 924, 0
0, 30, 921, 0
0, 0, 0, 923
8000, 1, 982, 0
0, 2, 981, 0
0, 3, 984, 0
0, 4, 982, 0
0, 5, 983, 0
0, 6, 984, 0
0, 7, 996, 0
0, 8, 981, 0
0, 9, 984, 0
0, 10, 986, 0
0, 11, 985, 0
0, 12, 982, 0
0, 13, 981, 0
0, 14, 988, 0
0, 15, 982, 0
0, 16, 982, 0
0, 17, 984, 0
0, 18, 983, 0
0, 19, 985, 0
0, 20, 982, 0
0, 21, 984, 0
0, 22, 984, 0
0, 23, 988, 0
0, 24, 981, 0
0, 25, 981, 0
0, 26, 987, 0
0, 27, 987, 0
0, 28, 982, 0
0, 29, 984, 0
0, 30, 982, 0
0, 0, 0, 983
8500, 1, 1051, 0
0, 2, 1045, 0
0, 3, 1046, 0
0, 4, 1044, 0
0, 5, 1044, 0
0, 6, 1047, 0
0, 7, 1047, 0
0, 8, 1043, 0
0, 9, 1046, 0
0, 10, 1045, 0
0, 11, 1057, 0
0, 12, 1045, 0
0, 13, 1054, 0
0, 14, 1045, 0
0, 15, 1047, 0
0, 16, 1042, 0
0, 17, 1048, 0
0, 18, 1044, 0
0, 19, 1045, 0
0, 20, 1043, 0
0, 21, 1047, 0
0, 22, 1044, 0
0, 23, 1057, 0
0, 24, 1048, 0
0, 25, 1043, 0
0, 26, 1046, 0
0, 27, 1044, 0
0, 28, 1046, 0
0, 29, 1051, 0
0, 30, 1056, 0
0, 0, 0, 1047
9000, 1, 1110, 0
0, 2, 1107, 0
0, 3, 1104, 0
0, 4, 1124, 0
0, 5, 1108, 0
0, 6, 1104, 0
0, 7, 1111, 0
0, 8, 1104, 0
0, 9, 1121, 0
0, 10, 1104, 0
0, 11, 1104, 0
0, 12, 1103, 0
0, 13, 1103, 0
0, 14, 1103, 0
0, 15, 1110, 0
0, 16, 1114, 0
0, 17, 1104, 0
0, 18, 1111, 0
0, 19, 1115, 0
0, 20, 1108, 0
0, 21, 1109, 0
0, 22, 1110, 0
0, 23, 1104, 0
0, 24, 1118, 0
0, 25, 1106, 0
0, 26, 1107, 0
0, 27, 1116, 0
0, 28, 1104, 0
0, 29, 1107, 0
0, 30, 1104, 0
0, 0, 0, 1108
9500, 1, 1177, 0
0, 2, 1168, 0
0, 3, 1182, 0
0, 4, 1164, 0
0, 5, 1181, 0
0, 6, 1165, 0
0, 7, 1169, 0
0, 8, 1170, 0
0, 9, 1172, 0
0, 10, 1164, 0
0, 11, 1165, 0
0, 12, 1171, 0
0, 13, 1166, 0
0, 14, 1166, 0
0, 15, 1181, 0
