Filter, ID, Time_ms, Average_time
500, 1, 65, 0
0, 2, 27, 0
0, 3, 26, 0
0, 4, 26, 0
0, 5, 27, 0
0, 6, 26, 0
0, 7, 26, 0
0, 8, 26, 0
0, 9, 25, 0
0, 10, 27, 0
0, 11, 24, 0
0, 12, 24, 0
0, 13, 25, 0
0, 14, 24, 0
0, 15, 24, 0
0, 16, 25, 0
0, 17, 24, 0
0, 18, 24, 0
0, 19, 25, 0
0, 20, 25, 0
0, 21, 25, 0
0, 22, 25, 0
0, 23, 24, 0
0, 24, 24, 0
0, 25, 25, 0
0, 26, 25, 0
0, 27, 24, 0
0, 28, 25, 0
0, 29, 24, 0
0, 30, 24, 0
0, 0, 0, 26
1000, 1, 79, 0
0, 2, 79, 0
0, 3, 85, 0
0, 4, 92, 0
0, 5, 93, 0
0, 6, 91, 0
0, 7, 90, 0
0, 8, 78, 0
0, 9, 80, 0
0, 10, 91, 0
0, 11, 92, 0
0, 12, 85, 0
0, 13, 91, 0
0, 14, 84, 0
0, 15, 92, 0
0, 16, 86, 0
0, 17, 92, 0
0, 18, 91, 0
0, 19, 92, 0
0, 20, 92, 0
0, 21, 91, 0
0, 22, 89, 0
0, 23, 80, 0
0, 24, 86, 0
0, 25, 96, 0
0, 26, 92, 0
0, 27, 87, 0
0, 28, 91, 0
0, 29, 85, 0
0, 30, 91, 0
0, 0, 0, 88
1500, 1, 147, 0
0, 2, 144, 0
0, 3, 145, 0
0, 4, 156, 0
0, 5, 157, 0
0, 6, 150, 0
0, 7, 158, 0
0, 8, 157, 0
0, 9, 161, 0
0, 10, 159, 0
0, 11, 159, 0
0, 12, 159, 0
0, 13, 158, 0
0, 14, 157, 0
0, 15, 158, 0
0, 16, 156, 0
0, 17, 152, 0
0, 18, 149, 0
0, 19, 151, 0
0, 20, 158, 0
0, 21, 159, 0
0, 22, 155, 0
0, 23, 157, 0
0, 24, 163, 0
0, 25, 160, 0
0, 26, 157, 0
0, 27, 157, 0
0, 28, 160, 0
0, 29, 150, 0
0, 30, 157, 0
0, 0, 0, 155
2000, 1, 203, 0
0, 2, 205, 0
0, 3, 192, 0
0, 4, 194, 0
0, 5, 207, 0
0, 6, 198, 0
0, 7, 203, 0
0, 8, 205, 0
0, 9, 193, 0
0, 10, 208, 0
0, 11, 193, 0
0, 12, 195, 0
0, 13, 199, 0
0, 14, 195, 0
0, 15, 194, 0
0, 16, 194, 0
0, 17, 196, 0
0, 18, 194, 0
0, 19, 192, 0
0, 20, 195, 0
0, 21, 192, 0
0, 22, 194, 0
0, 23, 195, 0
0, 24, 193, 0
0, 25, 196, 0
0, 26, 209, 0
