Filter, ID, Time_ms, Average_time
500, 0, 81, 0
0, 1, 17, 0
0, 2, 18, 0
0, 3, 18, 0
0, 4, 23, 0
0, 5, 18, 0
0, 6, 17, 0
0, 7, 18, 0
0, 8, 18, 0
0, 9, 17, 0
0, 10, 20, 0
0, 11, 17, 0
0, 12, 16, 0
0, 13, 16, 0
0, 14, 17, 0
0, 15, 17, 0
0, 16, 16, 0
0, 17, 17, 0
0, 18, 18, 0
0, 19, 17, 0
0, 20, 16, 0
0, 21, 17, 0
0, 22, 17, 0
0, 23, 17, 0
0, 24, 17, 0
0, 25, 17, 0
0, 26, 17, 0
0, 27, 16, 0
0, 28, 22, 0
0, 29, 17, 0
0, 0, 0, 20
1000, 0, 33, 0
0, 1, 34, 0
0, 2, 35, 0
0, 3, 30, 0
0, 4, 31, 0
0, 5, 35, 0
0, 6, 33, 0
0, 7, 32, 0
0, 8, 33, 0
0, 9, 31, 0
0, 10, 31, 0
0, 11, 31, 0
0, 12, 32, 0
0, 13, 31, 0
0, 14, 32, 0
0, 15, 34, 0
0, 16, 32, 0
0, 17, 32, 0
0, 18, 34, 0
0, 19, 32, 0
0, 20, 31, 0
0, 21, 32, 0
0, 22, 35, 0
0, 23, 32, 0
0, 24, 30, 0
0, 25, 30, 0
0, 26, 31, 0
0, 27, 32, 0
0, 28, 32, 0
0, 29, 32, 0
0, 0, 0, 32
1500, 0, 47, 0
0, 1, 47, 0
0, 2, 46, 0
0, 3, 51, 0
0, 4, 45, 0
0, 5, 45, 0
0, 6, 46, 0
0, 7, 46, 0
0, 8, 45, 0
0, 9, 46, 0
0, 10, 46, 0
0, 11, 46, 0
0, 12, 46, 0
0, 13, 46, 0
0, 14, 46, 0
0, 15, 48, 0
0, 16, 46, 0
0, 17, 46, 0
0, 18, 48, 0
0, 19, 46, 0
0, 20, 44, 0
0, 21, 43, 0
0, 22, 43, 0
0, 23, 47, 0
0, 24, 43, 0
0, 25, 43, 0
0, 26, 43, 0
0, 27, 45, 0
0, 28, 45, 0
0, 29, 43, 0
0, 0, 0, 46
2000, 0, 60, 0
0, 1, 56, 0
0, 2, 56, 0
0, 3, 56, 0
0, 4, 59, 0
0, 5, 57, 0
0, 6, 56, 0
0, 7, 57, 0
0, 8, 56, 0
0, 9, 58, 0
0, 10, 56, 0
0, 11, 60, 0
0, 12, 56, 0
0, 13, 57, 0
0, 14, 59, 0
0, 15, 56, 0
0, 16, 56, 0
0, 17, 56, 0
0, 18, 58, 0
0, 19, 59, 0
