Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
500, 1, 28122, 0, 64, 8559
0, 2, 15112, 0, 64, 8559
0, 3, 14976, 0, 64, 8559
0, 4, 14960, 0, 64, 8559
0, 5, 14961, 0, 64, 8559
0, 6, 14902, 0, 64, 8559
0, 7, 14945, 0, 64, 8559
0, 8, 15357, 0, 60, 8562
0, 9, 14514, 0, 64, 8562
0, 10, 14515, 0, 64, 8562
0, 11, 14542, 0, 64, 8562
0, 12, 14892, 0, 64, 8562
0, 13, 14888, 0, 64, 8562
0, 14, 14878, 0, 64, 8562
0, 15, 14905, 0, 64, 8562
0, 16, 14530, 0, 64, 8562
0, 17, 13646, 0, 64, 8562
0, 18, 13647, 0, 64, 8562
0, 19, 13950, 0, 64, 8562
0, 20, 13975, 0, 64, 8562
0, 21, 13981, 0, 64, 8562
0, 22, 13958, 0, 64, 8562
0, 23, 13650, 0, 64, 8562
0, 24, 13678, 0, 64, 8562
0, 25, 14032, 0, 64, 8562
0, 26, 13983, 0, 64, 8562
0, 27, 14039, 0, 64, 8562
0, 28, 14006, 0, 64, 8562
0, 29, 13653, 0, 64, 8562
0, 30, 13621, 0, 64, 8562
0, 31, 14015, 0, 64, 8562
0, 32, 13989, 0, 64, 8562
0, 33, 13979, 0, 64, 8562
0, 34, 13982, 0, 64, 8562
0, 35, 13652, 0, 64, 8562
0, 36, 13936, 0, 64, 8562
0, 37, 14064, 0, 64, 8562
0, 38, 14086, 0, 64, 8562
0, 39, 13985, 0, 64, 8562
0, 40, 13996, 0, 64, 8562
0, 41, 13581, 0, 64, 8562
0, 42, 13588, 0, 64, 8562
0, 43, 13895, 0, 64, 8562
0, 44, 13946, 0, 64, 8562
0, 45, 13925, 0, 64, 8562
0, 46, 13944, 0, 64, 8562
0, 47, 13512, 0, 64, 8562
0, 48, 13610, 0, 64, 8562
0, 49, 13919, 0, 64, 8562
0, 50, 13875, 0, 64, 8562
0, 51, 13926, 0, 64, 8562
0, 52, 13775, 0, 64, 8562
0, 53, 13463, 0, 64, 8562
0, 54, 13538, 0, 64, 8562
0, 55, 13995, 0, 64, 8562
0, 56, 14125, 0, 64, 8562
0, 57, 14113, 0, 64, 8562
0, 58, 13611, 0, 64, 8562
0, 59, 13624, 0, 64, 8562
0, 60, 13610, 0, 64, 8562
0, 0, 0, 14335
1000, 1, 24194, 0, 88, 8538
0, 2, 24750, 0, 88, 8538
0, 3, 24395, 0, 88, 8538
0, 4, 24216, 0, 88, 8538
0, 5, 24347, 0, 88, 8538
0, 6, 24251, 0, 88, 8538
0, 7, 24433, 0, 88, 8538
0, 8, 24114, 0, 88, 8538
0, 9, 24532, 0, 88, 8538
0, 10, 23957, 0, 88, 8538
0, 11, 23983, 0, 88, 8538
0, 12, 24002, 0, 88, 8538
0, 13, 24230, 0, 88, 8538
0, 14, 24124, 0, 88, 8538
0, 15, 23976, 0, 88, 8538
0, 16, 24314, 0, 88, 8538
0, 17, 23991, 0, 88, 8538
0, 18, 24786, 0, 88, 8538
0, 19, 24217, 0, 88, 8538
0, 20, 24018, 0, 88, 8538
0, 21, 23964, 0, 88, 8538
0, 22, 23889, 0, 88, 8538
0, 23, 24411, 0, 88, 8538
0, 24, 24061, 0, 88, 8538
0, 25, 23948, 0, 88, 8538
0, 26, 23931, 0, 88, 8538
0, 27, 24444, 0, 88, 8538
0, 28, 24610, 0, 88, 8538
0, 29, 24383, 0, 88, 8538
0, 30, 24030, 0, 88, 8538
0, 31, 24024, 0, 88, 8538
0, 32, 24305, 0, 88, 8538
0, 33, 24256, 0, 88, 8538
0, 34, 24105, 0, 88, 8538
0, 35, 23973, 0, 88, 8538
0, 36, 24398, 0, 88, 8538
0, 37, 24480, 0, 88, 8538
0, 38, 24640, 0, 88, 8538
0, 39, 24111, 0, 88, 8538
0, 40, 24138, 0, 88, 8538
0, 41, 24056, 0, 88, 8538
0, 42, 24255, 0, 88, 8538
0, 43, 24204, 0, 88, 8538
