Filter, ID, Time_us, Average_time
500, 1, 36053, 0
0, 2, 20133, 0
0, 3, 23086, 0
0, 4, 28732, 0
0, 5, 29333, 0
0, 6, 27686, 0
0, 7, 30084, 0
0, 8, 31228, 0
0, 9, 28527, 0
0, 10, 23615, 0
0, 11, 19481, 0
0, 12, 26897, 0
0, 13, 23623, 0
0, 14, 21635, 0
0, 15, 21749, 0
0, 16, 24472, 0
0, 17, 28546, 0
0, 18, 23287, 0
0, 19, 30349, 0
0, 20, 24146, 0
0, 21, 29692, 0
0, 22, 26460, 0
0, 23, 21583, 0
0, 24, 17689, 0
0, 25, 19080, 0
0, 26, 19554, 0
0, 27, 23733, 0
0, 28, 25089, 0
0, 29, 28629, 0
0, 30, 22802, 0
0, 31, 24092, 0
0, 32, 22061, 0
0, 33, 31145, 0
0, 34, 29982, 0
0, 35, 29013, 0
0, 36, 26110, 0
0, 37, 22590, 0
0, 38, 26319, 0
0, 39, 24239, 0
0, 40, 25445, 0
0, 41, 23019, 0
0, 42, 30719, 0
0, 43, 24429, 0
0, 44, 28045, 0
0, 45, 23884, 0
0, 46, 28320, 0
0, 47, 27068, 0
0, 48, 23691, 0
0, 49, 22479, 0
0, 50, 22473, 0
0, 51, 29018, 0
0, 52, 27051, 0
0, 53, 27442, 0
0, 54, 22598, 0
0, 55, 24799, 0
0, 56, 28077, 0
0, 57, 24014, 0
0, 58, 28717, 0
0, 59, 23144, 0
0, 60, 23823, 0
0, 0, 0, 25512
1000, 1, 38357, 0
0, 2, 40872, 0
0, 3, 43306, 0
0, 4, 43293, 0
0, 5, 43649, 0
0, 6, 41983, 0
0, 7, 44851, 0
0, 8, 45722, 0
0, 9, 38024, 0
0, 10, 44808, 0
0, 11, 43251, 0
0, 12, 38118, 0
0, 13, 44960, 0
0, 14, 44906, 0
0, 15, 43899, 0
0, 16, 42499, 0
0, 17, 36667, 0
0, 18, 44983, 0
0, 19, 41734, 0
0, 20, 40819, 0
0, 21, 36696, 0
0, 22, 41071, 0
0, 23, 37365, 0
0, 24, 40242, 0
0, 25, 43476, 0
0, 26, 41751, 0
0, 27, 43455, 0
0, 28, 41699, 0
0, 29, 42565, 0
0, 30, 41559, 0
0, 31, 36801, 0
0, 32, 44118, 0
0, 33, 43237, 0
0, 34, 43655, 0
0, 35, 41069, 0
0, 36, 45136, 0
0, 37, 44714, 0
0, 38, 43730, 0
0, 39, 43536, 0
0, 40, 41291, 0
0, 41, 40865, 0
0, 42, 40768, 0
0, 43, 40236, 0
0, 44, 44957, 0
0, 45, 41546, 0
0, 46, 41438, 0
0, 47, 41880, 0
0, 48, 40900, 0
0, 49, 36326, 0
0, 50, 44464, 0
0, 51, 44135, 0
0, 52, 44532, 0
0, 53, 43739, 0
0, 54, 41598, 0
0, 55, 41564, 0
0, 56, 37743, 0
0, 57, 40518, 0
0, 58, 36631, 0
0, 59, 40125, 0
0, 60, 32329, 0
0, 0, 0, 41669
1500, 1, 57603, 0
0, 2, 57351, 0
0, 3, 58753, 0
0, 4, 59214, 0
0, 5, 57157, 0
0, 6, 55425, 0
0, 7, 56313, 0
0, 8, 51181, 0
0, 9, 56746, 0
0, 10, 56050, 0
0, 11, 55835, 0
0, 12, 56382, 0
0, 13, 49474, 0
0, 14, 55462, 0
0, 15, 49606, 0
0, 16, 57856, 0
0, 17, 59577, 0
0, 18, 57258, 0
0, 19, 55741, 0
0, 20, 58185, 0
0, 21, 58734, 0
0, 22, 56680, 0
0, 23, 56327, 0
0, 24, 56321, 0
0, 25, 57217, 0
0, 26, 50239, 0
0, 27, 56215, 0
0, 28, 57582, 0
0, 29, 58281, 0
0, 30, 51746, 0
0, 31, 58379, 0
0, 32, 56387, 0
0, 33, 57256, 0
0, 34, 54294, 0
0, 35, 56219, 0
0, 36, 54416, 0
0, 37, 51479, 0
0, 38, 51214, 0
0, 39, 55623, 0
0, 40, 56354, 0
0, 41, 49480, 0
0, 42, 56981, 0
0, 43, 56422, 0
0, 44, 59412, 0
0, 45, 55811, 0
0, 46, 56165, 0
0, 47, 55486, 0
0, 48, 56096, 0
0, 49, 55783, 0
0, 50, 49964, 0
0, 51, 56386, 0
0, 52, 49352, 0
0, 53, 50075, 0
0, 54, 56245, 0
0, 55, 56154, 0
0, 56, 57325, 0
0, 57, 57654, 0
0, 58, 56162, 0
0, 59, 56304, 0
0, 60, 56582, 0
0, 0, 0, 55599
2000, 1, 66963, 0
0, 2, 70333, 0
0, 3, 70028, 0
0, 4, 68881, 0
0, 5, 58328, 0
0, 6, 69706, 0
0, 7, 70959, 0
0, 8, 70254, 0
0, 9, 70184, 0
0, 10, 64071, 0
0, 11, 69638, 0
0, 12, 70443, 0
0, 13, 70632, 0
0, 14, 71085, 0
0, 15, 69988, 0
0, 16, 70902, 0
0, 17, 70324, 0
0, 18, 70833, 0
0, 19, 70769, 0
0, 20, 71476, 0
0, 21, 72482, 0
0, 22, 70432, 0
0, 23, 70701, 0
0, 24, 71043, 0
0, 25, 71048, 0
0, 26, 72236, 0
0, 27, 71080, 0
0, 28, 71563, 0
0, 29, 71338, 0
0, 30, 72771, 0
0, 31, 70430, 0
0, 32, 70431, 0
0, 33, 69531, 0
0, 34, 71585, 0
0, 35, 71327, 0
0, 36, 71098, 0
0, 37, 73593, 0
0, 38, 59913, 0
0, 39, 70783, 0
0, 40, 70109, 0
0, 41, 70569, 0
0, 42, 71194, 0
0, 43, 71318, 0
0, 44, 73331, 0
0, 45, 71123, 0
0, 46, 70740, 0
0, 47, 71037, 0
0, 48, 70608, 0
0, 49, 70341, 0
0, 50, 71090, 0
0, 51, 71675, 0
0, 52, 71325, 0
0, 53, 72204, 0
0, 54, 71594, 0
0, 55, 64264, 0
0, 56, 63503, 0
0, 57, 71133, 0
0, 58, 74497, 0
0, 59, 71098, 0
0, 60, 69618, 0
0, 0, 0, 70192
2500, 1, 72398, 0
0, 2, 72731, 0
0, 3, 83669, 0
0, 4, 86121, 0
0, 5, 85961, 0
0, 6, 79634, 0
0, 7, 85067, 0
0, 8, 76437, 0
0, 9, 81614, 0
0, 10, 84776, 0
0, 11, 85945, 0
0, 12, 82803, 0
0, 13, 85262, 0
0, 14, 76807, 0
0, 15, 77957, 0
0, 16, 87464, 0
0, 17, 79160, 0
0, 18, 77402, 0
0, 19, 85818, 0
0, 20, 85685, 0
0, 21, 86059, 0
0, 22, 80887, 0
0, 23, 85690, 0
0, 24, 85458, 0
0, 25, 84608, 0
0, 26, 84080, 0
0, 27, 85245, 0
0, 28, 84764, 0
0, 29, 88045, 0
0, 30, 86189, 0
0, 31, 77391, 0
0, 32, 78450, 0
0, 33, 85380, 0
0, 34, 84957, 0
0, 35, 76402, 0
0, 36, 77083, 0
0, 37, 84183, 0
0, 38, 85391, 0
0, 39, 85655, 0
0, 40, 84877, 0
0, 41, 84849, 0
0, 42, 85137, 0
0, 43, 76306, 0
0, 44, 85416, 0
0, 45, 85038, 0
0, 46, 87819, 0
0, 47, 84657, 0
0, 48, 83302, 0
0, 49, 85305, 0
0, 50, 76884, 0
0, 51, 84794, 0
0, 52, 79976, 0
0, 53, 85827, 0
0, 54, 85141, 0
0, 55, 84422, 0
0, 56, 85039, 0
0, 57, 85474, 0
0, 58, 85323, 0
0, 59, 85175, 0
0, 60, 76543, 0
0, 0, 0, 82932
3000, 1, 95220, 0
0, 2, 100118, 0
0, 3, 88848, 0
0, 4, 86677, 0
0, 5, 100306, 0
0, 6, 101927, 0
0, 7, 89586, 0
0, 8, 94629, 0
0, 9, 98650, 0
0, 10, 98782, 0
0, 11, 99152, 0
0, 12, 98622, 0
0, 13, 99023, 0
0, 14, 91029, 0
0, 15, 99802, 0
0, 16, 100285, 0
0, 17, 99712, 0
0, 18, 89694, 0
0, 19, 98600, 0
0, 20, 92691, 0
0, 21, 99739, 0
0, 22, 99731, 0
0, 23, 99712, 0
0, 24, 99254, 0
0, 25, 104109, 0
0, 26, 90738, 0
0, 27, 90540, 0
0, 28, 99319, 0
0, 29, 99848, 0
0, 30, 98576, 0
0, 31, 98476, 0
0, 32, 99061, 0
0, 33, 99088, 0
0, 34, 99009, 0
0, 35, 89646, 0
0, 36, 99952, 0
0, 37, 99200, 0
0, 38, 99203, 0
0, 39, 99341, 0
0, 40, 99318, 0
0, 41, 91778, 0
0, 42, 92070, 0
0, 43, 98215, 0
0, 44, 98383, 0
0, 45, 100284, 0
0, 46, 91084, 0
0, 47, 91775, 0
0, 48, 95030, 0
0, 49, 92600, 0
0, 50, 99121, 0
0, 51, 93047, 0
0, 52, 100543, 0
0, 53, 100154, 0
0, 54, 99073, 0
0, 55, 98788, 0
0, 56, 98325, 0
0, 57, 91834, 0
0, 58, 96352, 0
0, 59, 99923, 0
0, 60, 102490, 0
0, 0, 0, 96968
3500, 1, 113951, 0
0, 2, 114209, 0
0, 3, 112372, 0
0, 4, 99516, 0
0, 5, 113715, 0
0, 6, 104980, 0
0, 7, 112701, 0
0, 8, 103682, 0
0, 9, 105418, 0
0, 10, 107948, 0
0, 11, 105804, 0
0, 12, 106230, 0
0, 13, 112856, 0
0, 14, 114701, 0
0, 15, 118519, 0
0, 16, 115641, 0
0, 17, 112768, 0
0, 18, 109398, 0
0, 19, 112749, 0
0, 20, 103296, 0
0, 21, 113896, 0
0, 22, 103573, 0
0, 23, 114087, 0
0, 24, 114832, 0
0, 25, 112260, 0
0, 26, 113530, 0
0, 27, 112969, 0
0, 28, 113268, 0
0, 29, 104077, 0
0, 30, 104223, 0
0, 31, 104004, 0
0, 32, 113061, 0
0, 33, 114827, 0
0, 34, 115675, 0
0, 35, 109716, 0
0, 36, 107817, 0
0, 37, 104349, 0
0, 38, 118059, 0
0, 39, 113284, 0
0, 40, 114389, 0
0, 41, 113309, 0
0, 42, 114300, 0
0, 43, 113738, 0
0, 44, 112458, 0
0, 45, 113517, 0
0, 46, 113451, 0
0, 47, 112659, 0
0, 48, 113777, 0
0, 49, 113234, 0
0, 50, 113732, 0
0, 51, 114250, 0
0, 52, 112316, 0
0, 53, 105000, 0
0, 54, 112684, 0
0, 55, 103176, 0
0, 56, 112725, 0
0, 57, 114394, 0
0, 58, 113228, 0
0, 59, 104301, 0
0, 60, 114382, 0
0, 0, 0, 111049
4000, 1, 121560, 0
0, 2, 126347, 0
0, 3, 126813, 0
0, 4, 127307, 0
0, 5, 127327, 0
0, 6, 126152, 0
0, 7, 117814, 0
0, 8, 127522, 0
0, 9, 118281, 0
0, 10, 114533, 0
0, 11, 126697, 0
0, 12, 126097, 0
0, 13, 126599, 0
0, 14, 126785, 0
0, 15, 126743, 0
0, 16, 127478, 0
0, 17, 126843, 0
0, 18, 126384, 0
0, 19, 125981, 0
0, 20, 126021, 0
0, 21, 116660, 0
0, 22, 126056, 0
0, 23, 126371, 0
0, 24, 127169, 0
0, 25, 127285, 0
0, 26, 116847, 0
0, 27, 126682, 0
0, 28, 126416, 0
0, 29, 127429, 0
0, 30, 118847, 0
0, 31, 118074, 0
0, 32, 129594, 0
0, 33, 130482, 0
0, 34, 125716, 0
0, 35, 126654, 0
0, 36, 125932, 0
0, 37, 126999, 0
0, 38, 126344, 0
0, 39, 128048, 0
0, 40, 117755, 0
0, 41, 128001, 0
0, 42, 116132, 0
0, 43, 127376, 0
0, 44, 126215, 0
0, 45, 117437, 0
0, 46, 126258, 0
0, 47, 126775, 0
0, 48, 120851, 0
0, 49, 128847, 0
0, 50, 125680, 0
0, 51, 116794, 0
0, 52, 117004, 0
0, 53, 116682, 0
0, 54, 125154, 0
0, 55, 116673, 0
0, 56, 133976, 0
0, 57, 124738, 0
0, 58, 118321, 0
0, 59, 124573, 0
0, 60, 128976, 0
0, 0, 0, 124351
4500, 1, 126356, 0
0, 2, 137606, 0
0, 3, 125988, 0
0, 4, 140171, 0
0, 5, 139880, 0
0, 6, 131086, 0
0, 7, 139698, 0
0, 8, 141151, 0
0, 9, 145611, 0
0, 10, 139613, 0
0, 11, 141933, 0
0, 12, 138448, 0
0, 13, 132729, 0
0, 14, 132283, 0
0, 15, 131819, 0
0, 16, 140261, 0
0, 17, 140172, 0
0, 18, 140200, 0
0, 19, 131047, 0
0, 20, 143843, 0
0, 21, 139334, 0
0, 22, 133531, 0
0, 23, 139115, 0
0, 24, 135609, 0
0, 25, 142243, 0
0, 26, 130562, 0
0, 27, 142187, 0
0, 28, 139901, 0
0, 29, 138903, 0
0, 30, 131088, 0
0, 31, 135403, 0
0, 32, 132047, 0
0, 33, 140225, 0
0, 34, 139946, 0
0, 35, 131568, 0
0, 36, 140377, 0
0, 37, 138936, 0
0, 38, 133225, 0
0, 39, 132014, 0
0, 40, 140566, 0
0, 41, 139018, 0
0, 42, 138562, 0
0, 43, 140283, 0
0, 44, 129564, 0
0, 45, 131041, 0
0, 46, 128984, 0
0, 47, 140996, 0
0, 48, 140640, 0
0, 49, 139325, 0
0, 50, 134235, 0
0, 51, 139231, 0
0, 52, 139547, 0
0, 53, 141312, 0
0, 54, 131672, 0
0, 55, 140396, 0
0, 56, 138142, 0
0, 57, 125690, 0
0, 58, 136242, 0
0, 59, 136771, 0
0, 60, 125675, 0
0, 0, 0, 136566
5000, 1, 188172, 0
0, 2, 140239, 0
0, 3, 139644, 0
0, 4, 145383, 0
0, 5, 153612, 0
0, 6, 153513, 0
0, 7, 152339, 0
0, 8, 153115, 0
0, 9, 154653, 0
0, 10, 152385, 0
0, 11, 153621, 0
0, 12, 153309, 0
0, 13, 154002, 0
0, 14, 152678, 0
0, 15, 145616, 0
0, 16, 154575, 0
0, 17, 146780, 0
0, 18, 146537, 0
0, 19, 148071, 0
0, 20, 152366, 0
0, 21, 153616, 0
0, 22, 154516, 0
0, 23, 154978, 0
0, 24, 152366, 0
0, 25, 144778, 0
0, 26, 155233, 0
0, 27, 147396, 0
0, 28, 154962, 0
0, 29, 153915, 0
0, 30, 142779, 0
0, 31, 153797, 0
0, 32, 152503, 0
0, 33, 143274, 0
0, 34, 152906, 0
0, 35, 160986, 0
0, 36, 143009, 0
0, 37, 158477, 0
0, 38, 153101, 0
0, 39, 153647, 0
0, 40, 149922, 0
0, 41, 143921, 0
0, 42, 144901, 0
0, 43, 149171, 0
0, 44, 153975, 0
0, 45, 147593, 0
0, 46, 152562, 0
0, 47, 153790, 0
0, 48, 159356, 0
0, 49, 152029, 0
0, 50, 155966, 0
0, 51, 154017, 0
0, 52, 152590, 0
0, 53, 149821, 0
0, 54, 142980, 0
0, 55, 154105, 0
0, 56, 153332, 0
0, 57, 153589, 0
0, 58, 154933, 0
0, 59, 156935, 0
0, 60, 153547, 0
0, 0, 0, 151931
5500, 1, 161986, 0
0, 2, 171642, 0
0, 3, 152001, 0
0, 4, 156249, 0
0, 5, 156603, 0
0, 6, 155826, 0
0, 7, 156268, 0
0, 8, 168639, 0
0, 9, 165050, 0
0, 10, 157994, 0
0, 11, 157762, 0
0, 12, 158119, 0
0, 13, 167594, 0
0, 14, 167993, 0
0, 15, 156729, 0
0, 16, 166143, 0
0, 17, 165901, 0
0, 18, 167119, 0
0, 19, 172167, 0
0, 20, 166850, 0
0, 21, 166892, 0
0, 22, 168133, 0
0, 23, 168675, 0
0, 24, 167736, 0
0, 25, 166990, 0
0, 26, 167930, 0
0, 27, 167747, 0
0, 28, 166653, 0
0, 29, 156686, 0
0, 30, 167005, 0
0, 31, 167373, 0
0, 32, 167341, 0
0, 33, 166951, 0
0, 34, 169163, 0
0, 35, 166410, 0
0, 36, 166650, 0
0, 37, 166306, 0
0, 38, 166609, 0
0, 39, 166796, 0
0, 40, 156147, 0
0, 41, 167459, 0
0, 42, 156170, 0
0, 43, 165675, 0
0, 44, 166903, 0
0, 45, 166479, 0
0, 46, 155747, 0
0, 47, 157879, 0
0, 48, 156145, 0
0, 49, 166813, 0
0, 50, 167488, 0
0, 51, 166050, 0
0, 52, 155792, 0
0, 53, 166069, 0
0, 54, 156180, 0
0, 55, 166703, 0
0, 56, 170243, 0
0, 57, 167015, 0
0, 58, 166238, 0
0, 59, 166713, 0
0, 60, 156109, 0
0, 0, 0, 163944
6000, 1, 165502, 0
0, 2, 168165, 0
0, 3, 165657, 0
0, 4, 169196, 0
0, 5, 171634, 0
0, 6, 170610, 0
0, 7, 194308, 0
0, 8, 186791, 0
0, 9, 179543, 0
0, 10, 168075, 0
0, 11, 179955, 0
0, 12, 179142, 0
0, 13, 179675, 0
0, 14, 169333, 0
0, 15, 165249, 0
0, 16, 178819, 0
0, 17, 180006, 0
0, 18, 178705, 0
0, 19, 181549, 0
0, 20, 179760, 0
0, 21, 180537, 0
0, 22, 169281, 0
0, 23, 173747, 0
0, 24, 168151, 0
0, 25, 180308, 0
0, 26, 183548, 0
0, 27, 169550, 0
0, 28, 185735, 0
0, 29, 176905, 0
0, 30, 179240, 0
0, 31, 169383, 0
0, 32, 169085, 0
0, 33, 183519, 0
0, 34, 181835, 0
0, 35, 178769, 0
0, 36, 170357, 0
0, 37, 180330, 0
0, 38, 170565, 0
0, 39, 170456, 0
0, 40, 168466, 0
0, 41, 178073, 0
0, 42, 173382, 0
0, 43, 172596, 0
0, 44, 180156, 0
0, 45, 179231, 0
0, 46, 168522, 0
0, 47, 170871, 0
0, 48, 170769, 0
0, 49, 183826, 0
0, 50, 170151, 0
0, 51, 180493, 0
0, 52, 175259, 0
0, 53, 170295, 0
0, 54, 175735, 0
