Filter, ID, Time_us, Average_time
500, 1, 87763, 0
0, 2, 71358, 0
0, 3, 69202, 0
0, 4, 75677, 0
0, 5, 67619, 0
0, 6, 72525, 0
0, 7, 69421, 0
0, 8, 65511, 0
0, 9, 66286, 0
0, 10, 69831, 0
0, 11, 66315, 0
0, 12, 64922, 0
0, 13, 65938, 0
0, 14, 64187, 0
0, 15, 64563, 0
0, 16, 65222, 0
0, 17, 66853, 0
0, 18, 74630, 0
0, 19, 71677, 0
0, 20, 70865, 0
0, 21, 69572, 0
0, 22, 69967, 0
0, 23, 64681, 0
0, 24, 66216, 0
0, 25, 75502, 0
0, 26, 68026, 0
0, 27, 71422, 0
0, 28, 66742, 0
0, 29, 71104, 0
0, 30, 66286, 0
0, 31, 75983, 0
0, 32, 66006, 0
0, 33, 74517, 0
0, 34, 66822, 0
0, 35, 75479, 0
0, 36, 70194, 0
0, 37, 74505, 0
0, 38, 70057, 0
0, 39, 71594, 0
0, 40, 68112, 0
0, 41, 74943, 0
0, 42, 68329, 0
0, 43, 77595, 0
0, 44, 70793, 0
0, 45, 69051, 0
0, 46, 70882, 0
0, 47, 74866, 0
0, 48, 69796, 0
0, 49, 76837, 0
0, 50, 68432, 0
0, 51, 71960, 0
0, 52, 68014, 0
0, 53, 77995, 0
0, 54, 75878, 0
0, 55, 75132, 0
0, 56, 67857, 0
0, 57, 75605, 0
0, 58, 67788, 0
0, 59, 75414, 0
0, 60, 68606, 0
0, 0, 0, 70648
1000, 1, 138795, 0
0, 2, 126105, 0
0, 3, 125948, 0
0, 4, 128085, 0
0, 5, 127955, 0
0, 6, 125704, 0
0, 7, 125411, 0
0, 8, 125427, 0
0, 9, 125905, 0
0, 10, 130132, 0
0, 11, 129075, 0
0, 12, 128966, 0
0, 13, 125619, 0
0, 14, 126187, 0
0, 15, 125622, 0
0, 16, 125662, 0
0, 17, 126156, 0
0, 18, 125329, 0
0, 19, 125472, 0
0, 20, 126267, 0
0, 21, 125641, 0
0, 22, 126604, 0
0, 23, 128050, 0
0, 24, 125409, 0
0, 25, 125916, 0
0, 26, 125921, 0
0, 27, 126750, 0
0, 28, 126008, 0
0, 29, 125936, 0
0, 30, 125550, 0
0, 31, 125606, 0
0, 32, 126734, 0
0, 33, 137016, 0
0, 34, 126665, 0
0, 35, 128806, 0
0, 36, 125925, 0
0, 37, 126420, 0
0, 38, 127804, 0
0, 39, 127025, 0
0, 40, 126456, 0
0, 41, 125978, 0
0, 42, 126027, 0
0, 43, 126865, 0
0, 44, 126099, 0
0, 45, 126662, 0
0, 46, 129398, 0
0, 47, 126133, 0
0, 48, 129821, 0
0, 49, 127498, 0
0, 50, 126187, 0
0, 51, 126272, 0
0, 52, 126494, 0
0, 53, 126167, 0
0, 54, 127022, 0
0, 55, 126121, 0
0, 56, 127381, 0
0, 57, 126336, 0
0, 58, 126350, 0
0, 59, 126420, 0
0, 60, 126207, 0
0, 0, 0, 126991
1500, 1, 186938, 0
0, 2, 187239, 0
0, 3, 187074, 0
0, 4, 186832, 0
0, 5, 188329, 0
0, 6, 189379, 0
0, 7, 194272, 0
0, 8, 195012, 0
0, 9, 188155, 0
0, 10, 187136, 0
0, 11, 187609, 0
0, 12, 187557, 0
0, 13, 189674, 0
0, 14, 187716, 0
0, 15, 187289, 0
0, 16, 186917, 0
0, 17, 187731, 0
0, 18, 187452, 0
0, 19, 188024, 0
0, 20, 187542, 0
0, 21, 187662, 0
0, 22, 187640, 0
0, 23, 187609, 0
0, 24, 187201, 0
0, 25, 188411, 0
0, 26, 189242, 0
0, 27, 197088, 0
0, 28, 187921, 0
0, 29, 186803, 0
0, 30, 190281, 0
0, 31, 200478, 0
0, 32, 187957, 0
0, 33, 187472, 0
0, 34, 187455, 0
0, 35, 187635, 0
0, 36, 187396, 0
0, 37, 187890, 0
0, 38, 187589, 0
0, 39, 187621, 0
0, 40, 187209, 0
0, 41, 189320, 0
0, 42, 189864, 0
0, 43, 192153, 0
0, 44, 186835, 0
0, 45, 187161, 0
0, 46, 188113, 0
0, 47, 187924, 0
0, 48, 187138, 0
0, 49, 187761, 0
0, 50, 187089, 0
0, 51, 188081, 0
0, 52, 187325, 0
0, 53, 188147, 0
0, 54, 189083, 0
0, 55, 191841, 0
0, 56, 188532, 0
0, 57, 189060, 0
0, 58, 192253, 0
0, 59, 187241, 0
0, 60, 190142, 0
0, 0, 0, 188691
2000, 1, 248701, 0
0, 2, 250262, 0
0, 3, 248279, 0
0, 4, 249282, 0
0, 5, 248067, 0
0, 6, 250338, 0
0, 7, 248433, 0
0, 8, 250861, 0
0, 9, 247598, 0
0, 10, 249775, 0
0, 11, 251908, 0
0, 12, 253560, 0
0, 13, 261792, 0
0, 14, 247829, 0
0, 15, 249863, 0
0, 16, 248175, 0
0, 17, 248780, 0
0, 18, 247698, 0
0, 19, 251327, 0
0, 20, 261093, 0
0, 21, 247243, 0
0, 22, 248287, 0
0, 23, 248462, 0
0, 24, 247741, 0
0, 25, 248348, 0
0, 26, 250715, 0
0, 27, 249114, 0
0, 28, 249923, 0
0, 29, 254789, 0
0, 30, 248014, 0
0, 31, 248451, 0
0, 32, 249722, 0
0, 33, 248566, 0
0, 34, 247868, 0
0, 35, 247935, 0
0, 36, 248270, 0
0, 37, 248240, 0
0, 38, 248440, 0
0, 39, 247608, 0
0, 40, 251153, 0
0, 41, 248229, 0
0, 42, 249857, 0
0, 43, 250346, 0
0, 44, 261414, 0
0, 45, 248554, 0
0, 46, 247506, 0
0, 47, 248426, 0
0, 48, 250707, 0
0, 49, 247862, 0
0, 50, 248241, 0
0, 51, 247788, 0
0, 52, 248080, 0
0, 53, 248080, 0
0, 54, 247668, 0
0, 55, 248101, 0
0, 56, 247602, 0
0, 57, 248796, 0
0, 58, 252277, 0
0, 59, 256040, 0
0, 60, 247864, 0
0, 0, 0, 249765
2500, 1, 309532, 0
0, 2, 310722, 0
0, 3, 308136, 0
0, 4, 308938, 0
0, 5, 309428, 0
0, 6, 308306, 0
0, 7, 309273, 0
0, 8, 308663, 0
0, 9, 311131, 0
0, 10, 311433, 0
0, 11, 309427, 0
0, 12, 308625, 0
0, 13, 309680, 0
0, 14, 309335, 0
0, 15, 309783, 0
0, 16, 309754, 0
0, 17, 308931, 0
0, 18, 308190, 0
0, 19, 311521, 0
0, 20, 308278, 0
0, 21, 309844, 0
0, 22, 313450, 0
0, 23, 310120, 0
0, 24, 310594, 0
0, 25, 309862, 0
0, 26, 309306, 0
0, 27, 308825, 0
0, 28, 311182, 0
0, 29, 318156, 0
0, 30, 310734, 0
0, 31, 308400, 0
0, 32, 308783, 0
0, 33, 309164, 0
0, 34, 312598, 0
0, 35, 308518, 0
0, 36, 309912, 0
0, 37, 308595, 0
0, 38, 308972, 0
0, 39, 309143, 0
0, 40, 309470, 0
0, 41, 310068, 0
0, 42, 308953, 0
0, 43, 308417, 0
0, 44, 308741, 0
0, 45, 309361, 0
0, 46, 309901, 0
0, 47, 311030, 0
0, 48, 315923, 0
0, 49, 310100, 0
0, 50, 311067, 0
0, 51, 317170, 0
0, 52, 309702, 0
0, 53, 309891, 0
0, 54, 308754, 0
0, 55, 308683, 0
0, 56, 310493, 0
0, 57, 322471, 0
0, 58, 309717, 0
0, 59, 308439, 0
0, 60, 309229, 0
0, 0, 0, 310213
3000, 1, 369277, 0
0, 2, 370129, 0
0, 3, 371417, 0
0, 4, 374495, 0
0, 5, 369139, 0
0, 6, 369536, 0
0, 7, 369952, 0
0, 8, 369836, 0
0, 9, 369309, 0
0, 10, 370901, 0
0, 11, 369383, 0
0, 12, 369325, 0
0, 13, 370010, 0
