Filter, ID, Time_us, Average_time
500, 1, 52200, 0
0, 2, 19650, 0
0, 3, 15475, 0
0, 4, 16045, 0
0, 5, 17297, 0
0, 6, 18102, 0
0, 7, 19220, 0
0, 8, 18609, 0
0, 9, 18929, 0
0, 10, 18586, 0
0, 11, 21404, 0
0, 12, 25586, 0
0, 13, 22905, 0
0, 14, 26272, 0
0, 15, 28236, 0
0, 16, 22417, 0
0, 17, 26794, 0
0, 18, 22651, 0
0, 19, 21397, 0
0, 20, 26749, 0
0, 21, 20224, 0
0, 22, 25331, 0
0, 23, 23596, 0
0, 24, 25190, 0
0, 25, 26589, 0
0, 26, 23066, 0
0, 27, 20085, 0
0, 28, 27212, 0
0, 29, 26225, 0
0, 30, 22799, 0
0, 31, 28563, 0
0, 32, 19127, 0
0, 33, 22824, 0
0, 34, 23336, 0
0, 35, 17803, 0
0, 36, 19160, 0
0, 37, 19773, 0
0, 38, 23412, 0
0, 39, 27488, 0
0, 40, 22262, 0
0, 41, 25062, 0
0, 42, 25877, 0
0, 43, 29392, 0
0, 44, 23827, 0
0, 45, 26249, 0
0, 46, 20897, 0
0, 47, 18675, 0
0, 48, 26145, 0
0, 49, 27111, 0
0, 50, 27780, 0
0, 51, 24685, 0
0, 52, 20634, 0
0, 53, 19429, 0
0, 54, 19071, 0
0, 55, 19869, 0
0, 56, 17320, 0
0, 57, 18666, 0
0, 58, 27395, 0
0, 59, 27758, 0
0, 60, 27033, 0
0, 0, 0, 23257
1000, 1, 32009, 0
0, 2, 41985, 0
0, 3, 39391, 0
0, 4, 39257, 0
0, 5, 35299, 0
0, 6, 36549, 0
0, 7, 43556, 0
0, 8, 36571, 0
0, 9, 31828, 0
0, 10, 42596, 0
0, 11, 37884, 0
0, 12, 40542, 0
0, 13, 35124, 0
0, 14, 38269, 0
0, 15, 39087, 0
0, 16, 35464, 0
0, 17, 32326, 0
0, 18, 38543, 0
0, 19, 40022, 0
0, 20, 41867, 0
0, 21, 35117, 0
0, 22, 39456, 0
0, 23, 36059, 0
0, 24, 39862, 0
0, 25, 33100, 0
0, 26, 42982, 0
0, 27, 36248, 0
0, 28, 40563, 0
0, 29, 35596, 0
0, 30, 37881, 0
0, 31, 35157, 0
0, 32, 39261, 0
0, 33, 35538, 0
0, 34, 38871, 0
0, 35, 39413, 0
0, 36, 39271, 0
0, 37, 37672, 0
0, 38, 38387, 0
0, 39, 40010, 0
0, 40, 38753, 0
0, 41, 39432, 0
0, 42, 42406, 0
0, 43, 40474, 0
0, 44, 34880, 0
0, 45, 39133, 0
0, 46, 39063, 0
0, 47, 35770, 0
0, 48, 35508, 0
0, 49, 39740, 0
0, 50, 35451, 0
0, 51, 41402, 0
0, 52, 39938, 0
0, 53, 34763, 0
0, 54, 34997, 0
0, 55, 39461, 0
0, 56, 42587, 0
0, 57, 36178, 0
0, 58, 35566, 0
0, 59, 34009, 0
0, 60, 41853, 0
0, 0, 0, 37999
1500, 1, 47825, 0
0, 2, 56155, 0
0, 3, 50154, 0
0, 4, 48684, 0
