Filter, ID, Time_us, Average_time
500, 1, 44198, 0
0, 2, 27774, 0
0, 3, 27367, 0
0, 4, 26783, 0
0, 5, 26345, 0
0, 6, 31017, 0
0, 7, 25247, 0
0, 8, 26704, 0
0, 9, 29312, 0
0, 10, 38895, 0
0, 11, 30597, 0
0, 12, 25262, 0
0, 13, 31692, 0
0, 14, 35470, 0
0, 15, 29450, 0
0, 16, 26275, 0
0, 17, 26484, 0
0, 18, 32953, 0
0, 19, 34833, 0
0, 20, 35710, 0
0, 21, 28131, 0
0, 22, 26193, 0
0, 23, 26913, 0
0, 24, 28770, 0
0, 25, 39255, 0
0, 26, 30690, 0
0, 27, 25491, 0
0, 28, 28959, 0
0, 29, 34253, 0
0, 30, 33052, 0
0, 31, 30768, 0
0, 32, 27169, 0
0, 33, 36598, 0
0, 34, 40411, 0
0, 35, 33931, 0
0, 36, 28256, 0
0, 37, 31277, 0
0, 38, 35431, 0
0, 39, 34650, 0
0, 40, 28368, 0
0, 41, 27148, 0
0, 42, 31901, 0
0, 43, 39897, 0
0, 44, 34341, 0
0, 45, 31332, 0
0, 46, 31246, 0
0, 47, 40412, 0
0, 48, 35777, 0
0, 49, 26498, 0
0, 50, 26537, 0
0, 51, 31734, 0
0, 52, 35373, 0
0, 53, 36800, 0
0, 54, 33030, 0
0, 55, 30446, 0
0, 56, 29504, 0
0, 57, 30592, 0
0, 58, 32078, 0
0, 59, 25191, 0
0, 60, 25760, 0
0, 0, 0, 31275
1000, 1, 78982, 0
0, 2, 80676, 0
0, 3, 80037, 0
0, 4, 79828, 0
0, 5, 82968, 0
0, 6, 92007, 0
0, 7, 81632, 0
0, 8, 91836, 0
0, 9, 82737, 0
0, 10, 92216, 0
0, 11, 91938, 0
0, 12, 81777, 0
0, 13, 91564, 0
0, 14, 81920, 0
0, 15, 91748, 0
0, 16, 83324, 0
0, 17, 80945, 0
0, 18, 80100, 0
0, 19, 79667, 0
0, 20, 80388, 0
0, 21, 81038, 0
0, 22, 80349, 0
0, 23, 80271, 0
0, 24, 80212, 0
0, 25, 81410, 0
0, 26, 91599, 0
0, 27, 86620, 0
0, 28, 92920, 0
0, 29, 81313, 0
0, 30, 84231, 0
0, 31, 80918, 0
0, 32, 89747, 0
0, 33, 92206, 0
0, 34, 81098, 0
0, 35, 80721, 0
0, 36, 81147, 0
0, 37, 86121, 0
0, 38, 81412, 0
0, 39, 86982, 0
0, 40, 92831, 0
0, 41, 81483, 0
0, 42, 92645, 0
0, 43, 84107, 0
0, 44, 90066, 0
0, 45, 97885, 0
0, 46, 79985, 0
0, 47, 80743, 0
0, 48, 84492, 0
0, 49, 92669, 0
0, 50, 93595, 0
0, 51, 91348, 0
0, 52, 93527, 0
0, 53, 81456, 0
0, 54, 91471, 0
0, 55, 88549, 0
0, 56, 90414, 0
0, 57, 93327, 0
0, 58, 80416, 0
0, 59, 81198, 0
0, 60, 81256, 0
0, 0, 0, 85501
1500, 1, 157898, 0
0, 2, 160056, 0
0, 3, 158191, 0
0, 4, 158538, 0
0, 5, 154257, 0
0, 6, 152728, 0
0, 7, 149573, 0
0, 8, 147918, 0
0, 9, 145563, 0
0, 10, 146389, 0
0, 11, 145154, 0
0, 12, 144791, 0
0, 13, 145266, 0
0, 14, 145107, 0
0, 15, 145497, 0
0, 16, 147229, 0
0, 17, 152880, 0
0, 18, 158232, 0
0, 19, 149109, 0
0, 20, 146185, 0
0, 21, 152895, 0
0, 22, 147793, 0
0, 23, 145275, 0
0, 24, 146223, 0
0, 25, 147327, 0
0, 26, 145015, 0
0, 27, 144521, 0
0, 28, 147109, 0
0, 29, 144530, 0
0, 30, 145631, 0
0, 31, 146173, 0
0, 32, 145391, 0
0, 33, 145646, 0
0, 34, 145488, 0
0, 35, 145622, 0
0, 36, 145512, 0
0, 37, 145646, 0
0, 38, 145086, 0
0, 39, 146411, 0
0, 40, 146381, 0
0, 41, 157098, 0
0, 42, 157968, 0
0, 43, 160900, 0
0, 44, 160505, 0
0, 45, 157841, 0
0, 46, 149887, 0
0, 47, 144454, 0
0, 48, 149260, 0
0, 49, 153560, 0
0, 50, 159048, 0
0, 51, 149098, 0
0, 52, 157250, 0
0, 53, 146073, 0
0, 54, 151178, 0
0, 55, 152257, 0
0, 56, 153897, 0
0, 57, 161512, 0
