Filter, ID, Time_ms, Average_time
10, 1, 6, 0
0, 2, 2, 0
0, 3, 2, 0
0, 4, 2, 0
0, 5, 3, 0
0, 6, 2, 0
0, 7, 2, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 1, 0
0, 11, 2, 0
0, 12, 2, 0
0, 13, 2, 0
0, 14, 2, 0
0, 15, 2, 0
0, 16, 1, 0
0, 17, 2, 0
0, 18, 2, 0
0, 19, 2, 0
0, 20, 2, 0
0, 21, 2, 0
0, 22, 2, 0
0, 23, 2, 0
0, 24, 2, 0
0, 25, 2, 0
0, 26, 2, 0
0, 27, 2, 0
0, 28, 2, 0
0, 29, 2, 0
0, 30, 2, 0
0, 0, 0, 2
20, 1, 2, 0
0, 2, 2, 0
0, 3, 3, 0
0, 4, 2, 0
0, 5, 3, 0
0, 6, 3, 0
0, 7, 2, 0
0, 8, 6, 0
0, 9, 7, 0
0, 10, 2, 0
0, 11, 2, 0
0, 12, 2, 0
0, 13, 1, 0
0, 14, 2, 0
0, 15, 2, 0
0, 16, 2, 0
0, 17, 3, 0
0, 18, 2, 0
0, 19, 2, 0
0, 20, 1, 0
0, 21, 2, 0
0, 22, 2, 0
0, 23, 2, 0
0, 24, 2, 0
0, 25, 2, 0
0, 26, 2, 0
0, 27, 1, 0
0, 28, 2, 0
0, 29, 2, 0
0, 30, 2, 0
0, 0, 0, 2
30, 1, 3, 0
0, 2, 2, 0
0, 3, 3, 0
0, 4, 3, 0
0, 5, 2, 0
0, 6, 2, 0
0, 7, 1, 0
0, 8, 2, 0
0, 9, 2, 0
0, 10, 2, 0
0, 11, 3, 0
0, 12, 2, 0
0, 13, 2, 0
0, 14, 2, 0
0, 15, 2, 0
0, 16, 3, 0
0, 17, 5, 0
0, 18, 5, 0
0, 19, 4, 0
0, 20, 4, 0
0, 21, 3, 0
0, 22, 3, 0
0, 23, 2, 0
0, 24, 2, 0
0, 25, 3, 0
0, 26, 3, 0
0, 27, 5, 0
0, 28, 7, 0
0, 29, 2, 0
0, 30, 2, 0
