Filter, ID, Time_ms, Average_time
10, 1, 34, 0
0, 2, 35, 0
0, 3, 31, 0
0, 4, 31, 0
0, 5, 30, 0
0, 6, 30, 0
0, 7, 32, 0
0, 8, 30, 0
0, 9, 30, 0
0, 10, 31, 0
0, 11, 31, 0
0, 12, 31, 0
0, 13, 29, 0
0, 14, 34, 0
0, 15, 31, 0
0, 16, 32, 0
0, 17, 30, 0
0, 18, 30, 0
0, 19, 30, 0
0, 20, 33, 0
0, 21, 30, 0
0, 22, 32, 0
0, 23, 31, 0
0, 24, 30, 0
0, 25, 32, 0
0, 26, 30, 0
0, 27, 30, 0
0, 28, 29, 0
0, 29, 30, 0
0, 30, 30, 0
0, 0, 0, 30
20, 1, 33, 0
0, 2, 32, 0
0, 3, 33, 0
0, 4, 32, 0
0, 5, 32, 0
0, 6, 33, 0
0, 7, 31, 0
0, 8, 30, 0
0, 9, 30, 0
0, 10, 33, 0
0, 11, 30, 0
0, 12, 31, 0
0, 13, 30, 0
0, 14, 30, 0
0, 15, 32, 0
0, 16, 30, 0
0, 17, 30, 0
0, 18, 31, 0
0, 19, 33, 0
0, 20, 32, 0
0, 21, 31, 0
0, 22, 33, 0
0, 23, 30, 0
0, 24, 31, 0
0, 25, 32, 0
0, 26, 30, 0
0, 27, 30, 0
0, 28, 30, 0
0, 29, 31, 0
0, 30, 29, 0
0, 0, 0, 31
30, 1, 31, 0
0, 2, 30, 0
0, 3, 31, 0
0, 4, 32, 0
0, 5, 31, 0
0, 6, 30, 0
0, 7, 30, 0
0, 8, 33, 0
0, 9, 32, 0
0, 10, 31, 0
0, 11, 30, 0
0, 12, 30, 0
0, 13, 30, 0
0, 14, 31, 0
0, 15, 31, 0
0, 16, 31, 0
0, 17, 30, 0
0, 18, 30, 0
0, 19, 31, 0
0, 20, 31, 0
0, 21, 30, 0
0, 22, 35, 0
0, 23, 33, 0
0, 24, 32, 0
0, 25, 30, 0
0, 26, 30, 0
0, 27, 34, 0
0, 28, 31, 0
0, 29, 32, 0
0, 30, 32, 0
0, 0, 0, 31
40, 1, 33, 0
0, 2, 32, 0
0, 3, 31, 0
0, 4, 32, 0
0, 5, 35, 0
0, 6, 35, 0
0, 7, 37, 0
0, 8, 38, 0
0, 9, 31, 0
0, 10, 31, 0
0, 11, 30, 0
0, 12, 31, 0
0, 13, 31, 0
0, 14, 31, 0
0, 15, 30, 0
0, 16, 30, 0
0, 17, 34, 0
0, 18, 30, 0
0, 19, 32, 0
0, 20, 32, 0
0, 21, 32, 0
0, 22, 31, 0
0, 23, 32, 0
0, 24, 34, 0
0, 25, 30, 0
0, 26, 32, 0
0, 27, 36, 0
0, 28, 30, 0
0, 29, 34, 0
0, 30, 31, 0
0, 0, 0, 32
50, 1, 31, 0
0, 2, 33, 0
0, 3, 32, 0
0, 4, 31, 0
0, 5, 31, 0
0, 6, 37, 0
0, 7, 36, 0
0, 8, 32, 0
0, 9, 31, 0
0, 10, 31, 0
0, 11, 36, 0
0, 12, 31, 0
0, 13, 36, 0
0, 14, 41, 0
0, 15, 33, 0
0, 16, 31, 0
0, 17, 32, 0
0, 18, 31, 0
0, 19, 35, 0
0, 20, 34, 0
0, 21, 32, 0
0, 22, 32, 0
0, 23, 33, 0
0, 24, 33, 0
0, 25, 31, 0
0, 26, 31, 0
0, 27, 33, 0
0, 28, 32, 0
0, 29, 31, 0
0, 30, 31, 0
0, 0, 0, 32
60, 1, 38, 0
0, 2, 34, 0
0, 3, 34, 0
0, 4, 41, 0
0, 5, 44, 0
0, 6, 39, 0
0, 7, 33, 0
0, 8, 36, 0
0, 9, 35, 0
0, 10, 32, 0
0, 11, 33, 0
0, 12, 32, 0
0, 13, 37, 0
0, 14, 35, 0
0, 15, 34, 0
0, 16, 32, 0
0, 17, 32, 0
0, 18, 33, 0
0, 19, 31, 0
0, 20, 31, 0
0, 21, 35, 0
0, 22, 31, 0
0, 23, 34, 0
0, 24, 33, 0
0, 25, 33, 0
0, 26, 33, 0
0, 27, 31, 0
0, 28, 32, 0
0, 29, 34, 0
0, 30, 35, 0
0, 0, 0, 34
70, 1, 35, 0
0, 2, 32, 0
0, 3, 33, 0
0, 4, 32, 0
0, 5, 34, 0
0, 6, 31, 0
0, 7, 32, 0
0, 8, 31, 0
0, 9, 32, 0
0, 10, 31, 0
0, 11, 31, 0
0, 12, 34, 0
0, 13, 33, 0
0, 14, 31, 0
0, 15, 32, 0
0, 16, 32, 0
0, 17, 34, 0
0, 18, 32, 0
0, 19, 32, 0
0, 20, 31, 0
0, 21, 31, 0
0, 22, 35, 0
0, 23, 32, 0
0, 24, 33, 0
0, 25, 34, 0
0, 26, 32, 0
0, 27, 32, 0
0, 28, 32, 0
0, 29, 32, 0
0, 30, 31, 0
0, 0, 0, 32
80, 1, 34, 0
0, 2, 32, 0
0, 3, 36, 0
0, 4, 31, 0
0, 5, 35, 0
0, 6, 36, 0
0, 7, 33, 0
0, 8, 32, 0
0, 9, 33, 0
0, 10, 34, 0
0, 11, 32, 0
0, 12, 32, 0
0, 13, 35, 0
0, 14, 32, 0
0, 15, 33, 0
0, 16, 31, 0
0, 17, 36, 0
0, 18, 37, 0
0, 19, 33, 0
0, 20, 32, 0
0, 21, 33, 0
0, 22, 33, 0
0, 23, 32, 0
0, 24, 31, 0
0, 25, 35, 0
0, 26, 33, 0
0, 27, 32, 0
0, 28, 31, 0
0, 29, 37, 0
0, 30, 32, 0
0, 0, 0, 33
90, 1, 33, 0
0, 2, 33, 0
0, 3, 33, 0
0, 4, 35, 0
0, 5, 32, 0
0, 6, 31, 0
0, 7, 35, 0
0, 8, 35, 0
0, 9, 33, 0
0, 10, 31, 0
0, 11, 33, 0
0, 12, 33, 0
0, 13, 33, 0
0, 14, 33, 0
0, 15, 32, 0
0, 16, 35, 0
0, 17, 32, 0
0, 18, 31, 0
0, 19, 32, 0
0, 20, 32, 0
0, 21, 32, 0
0, 22, 33, 0
0, 23, 35, 0
0, 24, 33, 0
0, 25, 32, 0
0, 26, 32, 0
0, 27, 33, 0
0, 28, 36, 0
0, 29, 34, 0
0, 30, 31, 0
0, 0, 0, 32
100, 1, 33, 0
0, 2, 33, 0
0, 3, 32, 0
0, 4, 33, 0
0, 5, 32, 0
0, 6, 32, 0
0, 7, 32, 0
0, 8, 32, 0
0, 9, 33, 0
0, 10, 34, 0
0, 11, 33, 0
0, 12, 32, 0
0, 13, 33, 0
0, 14, 32, 0
0, 15, 33, 0
0, 16, 32, 0
0, 17, 39, 0
0, 18, 37, 0
0, 19, 37, 0
0, 20, 32, 0
0, 21, 34, 0
0, 22, 38, 0
0, 23, 34, 0
0, 24, 32, 0
0, 25, 33, 0
0, 26, 33, 0
0, 27, 33, 0
0, 28, 34, 0
0, 29, 32, 0
0, 30, 32, 0
0, 0, 0, 33
110, 1, 35, 0
0, 2, 34, 0
0, 3, 42, 0
0, 4, 36, 0
0, 5, 35, 0
0, 6, 37, 0
0, 7, 40, 0
0, 8, 34, 0
0, 9, 34, 0
0, 10, 39, 0
0, 11, 39, 0
0, 12, 35, 0
0, 13, 34, 0
0, 14, 34, 0
0, 15, 33, 0
0, 16, 31, 0
0, 17, 32, 0
0, 18, 33, 0
0, 19, 33, 0
0, 20, 33, 0
0, 21, 32, 0
0, 22, 32, 0
0, 23, 32, 0
0, 24, 32, 0
0, 25, 36, 0
0, 26, 34, 0
0, 27, 35, 0
0, 28, 32, 0
0, 29, 32, 0
0, 30, 33, 0
0, 0, 0, 34
120, 1, 37, 0
0, 2, 38, 0
0, 3, 39, 0
0, 4, 39, 0
0, 5, 35, 0
0, 6, 32, 0
0, 7, 33, 0
0, 8, 32, 0
0, 9, 34, 0
0, 10, 34, 0
0, 11, 33, 0
0, 12, 36, 0
0, 13, 33, 0
0, 14, 32, 0
0, 15, 33, 0
0, 16, 32, 0
0, 17, 32, 0
0, 18, 33, 0
0, 19, 33, 0
0, 20, 32, 0
0, 21, 31, 0
0, 22, 36, 0
0, 23, 33, 0
0, 24, 33, 0
0, 25, 36, 0
0, 26, 33, 0
0, 27, 33, 0
0, 28, 32, 0
0, 29, 33, 0
0, 30, 33, 0
0, 0, 0, 33
130, 1, 49, 0
0, 2, 34, 0
0, 3, 33, 0
0, 4, 32, 0
0, 5, 38, 0
0, 6, 33, 0
0, 7, 32, 0
0, 8, 32, 0
0, 9, 35, 0
